mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0017717183,-0.15613991,0.34197345,0.49231678,0.5325544,0.46744564
-0.0020519719,-0.15618584,0.34179053,0.49214736,0.5325954,0.46740463
-0.0021550804,-0.15612629,0.34176913,0.49210316,0.53260434,0.4673957
4.0747225e-05,-0.1562514,0.3429126,0.49331677,0.532322,0.46767798
0.0022572875,-0.15913439,0.3424103,0.49388865,0.53225845,0.46774155
0.00071466714,-0.15911454,0.3415668,0.49301895,0.53246224,0.46753776
-0.0020491928,-0.15893802,0.34014425,0.491497,0.53281605,0.46718395
-0.00020885468,-0.16135424,0.33971652,0.4919651,0.5327651,0.4672349
-0.004646994,-0.15680134,0.33998707,0.49053556,0.5329903,0.4670097
-0.0026352182,-0.15843815,0.34011942,0.49128422,0.53285396,0.46714607
-0.00398577,-0.15663856,0.34044936,0.49094734,0.5328892,0.46711078
-0.0021795481,-0.15818274,0.34052372,0.49160215,0.5327727,0.46722725
-0.005117938,-0.1551486,0.34071505,0.49066058,0.53292024,0.46707973
-0.005147904,-0.15295312,0.34201428,0.491163,0.5327479,0.46725208
-0.0050035864,-0.14979732,0.34399348,0.49199185,0.53247523,0.46752477
-0.005491279,-0.1478616,0.3448904,0.49217469,0.5323847,0.46761528
-0.001236625,-0.15199319,0.34476867,0.49360397,0.53215003,0.46784994
0.004345581,-0.15699407,0.34497157,0.4957847,0.5317406,0.46825942
0.0040174127,-0.1608659,0.34235924,0.49449867,0.5321554,0.46784464
0.003376916,-0.16099125,0.34191632,0.4940824,0.5322585,0.46774146
0.0033831447,-0.16335115,0.34050593,0.49352524,0.5324472,0.46755275
-0.0015035793,-0.15884387,0.3405018,0.49182773,0.5327359,0.46726418
-0.0037331507,-0.15855867,0.33944196,0.49063575,0.53300977,0.46699023
-0.004193224,-0.15928367,0.3387566,0.49020487,0.5331292,0.46687075
-0.004358031,-0.16056222,0.33790547,0.48980993,0.53325385,0.46674615
-0.0050543845,-0.16134253,0.3370604,0.48923346,0.5334092,0.4665908
-0.005777627,-0.15799505,0.33865243,0.48961604,0.5332367,0.46676335
-0.003501989,-0.15485743,0.34178388,0.49164212,0.53268176,0.46731827
-0.0031977147,-0.15264386,0.34328333,0.49233875,0.53246343,0.46753654
-0.006321661,-0.14771104,0.34451783,0.49174073,0.53248316,0.4675168
-0.0024359077,-0.14868098,0.34610298,0.4937108,0.5320437,0.4679563
-0.0019492507,-0.15111831,0.34489962,0.49340776,0.5321747,0.46782535
-0.00320597,-0.1506986,0.34445176,0.49279538,0.5323083,0.4676917
-0.0032290295,-0.14999682,0.34486294,0.49294883,0.532255,0.467745
-0.0010808855,-0.15123352,0.34531507,0.49387276,0.5320683,0.46793172
-0.0013755783,-0.15079719,0.34541443,0.49380928,0.5320725,0.46792752
0.0025404915,-0.15599239,0.34446058,0.49479663,0.53196836,0.46803167
0.00023518503,-0.15493149,0.34381574,0.49374047,0.53219014,0.4678099
-0.0020077825,-0.15353051,0.34341136,0.49280205,0.5323762,0.46762377
-0.0066583827,-0.15136525,0.3421299,0.49068576,0.5328215,0.4671785
-0.0013316646,-0.1550053,0.34289956,0.492835,0.53240466,0.46759534
-0.002549,-0.1537193,0.34299672,0.4924509,0.53246343,0.46753654
-0.0025396496,-0.15444762,0.34256387,0.49228352,0.5325207,0.4674793
-0.007217638,-0.14983508,0.34273893,0.49073195,0.5327731,0.46722695
-0.0030007437,-0.1518043,0.34389892,0.49264932,0.5323698,0.46763024
-0.002758488,-0.15208453,0.34386483,0.49272,0.53236,0.46763995
-0.0016566366,-0.14996392,0.34576178,0.49384785,0.532043,0.467957
-0.00103423,-0.15089083,0.34554863,0.4939807,0.5320346,0.46796545
-0.00062021613,-0.15271616,0.34467587,0.49378172,0.53212607,0.46787396
0.00055030733,-0.15729883,0.3425658,0.49335682,0.5323383,0.4676617
0.0018000454,-0.15717167,0.34333688,0.49409565,0.5321617,0.46783832
0.0009855404,-0.15788001,0.34245813,0.49346548,0.532327,0.46767297
0.0023882762,-0.16043255,0.34170362,0.4936545,0.5323453,0.46765473
0.0018003657,-0.16496077,0.33867297,0.49224687,0.53278726,0.46721277
-0.0038422942,-0.1593009,0.33893943,0.49039873,0.5330839,0.4669161
-0.0021197647,-0.16081274,0.33898672,0.4910134,0.53297603,0.467024
-0.004289247,-0.15932637,0.33867833,0.49014065,0.5331454,0.46685454
-0.0019239187,-0.16153815,0.3386624,0.49095237,0.53300816,0.4669918
0.00011706352,-0.16391483,0.33837005,0.49154288,0.53292733,0.46707264
-0.0012197047,-0.16179633,0.33889604,0.49128902,0.5329352,0.46706486
-0.0032930598,-0.15873235,0.3395809,0.4908431,0.5329651,0.46703488
-0.0014180765,-0.1600607,0.33982182,0.49158788,0.5328222,0.4671778
-0.002557844,-0.15747648,0.3407372,0.49155554,0.5327664,0.4672336
-0.00026135892,-0.15809521,0.3416374,0.49270803,0.53251034,0.4674897
-0.0016470775,-0.16021961,0.3396007,0.4914208,0.53286546,0.4671346
-0.002912052,-0.15834615,0.34002158,0.4911496,0.5328834,0.46711662
-0.0031804442,-0.15878534,0.33961135,0.4908941,0.5329544,0.4670456
-0.0013704151,-0.15894485,0.34051496,0.49187908,0.5327262,0.46727377
0.0025399327,-0.16138619,0.3412159,0.4935139,0.5324017,0.46759832
-0.00075948983,-0.15950799,0.3405157,0.49209118,0.5326901,0.46730986
-0.0022167638,-0.15963158,0.33963764,0.49123818,0.5328941,0.46710595
-0.0013586357,-0.15957212,0.3401465,0.49173713,0.53277504,0.46722496
-0.0005704388,-0.16162825,0.33935374,0.49169576,0.53283525,0.46716478
-0.0013023317,-0.16041705,0.33967295,0.49156892,0.5328354,0.46716464
-0.0020553023,-0.15965319,0.33971372,0.49132428,0.5328743,0.46712568
-0.0024865568,-0.16009778,0.33921093,0.49097547,0.53296745,0.46703258
-0.0046996325,-0.15781671,0.339352,0.49026588,0.53307885,0.46692118
-0.0063637644,-0.15424609,0.34056646,0.49017105,0.53301364,0.4669864
-0.004180692,-0.15234986,0.34291378,0.4918524,0.5325707,0.4674293
-0.0049211904,-0.15167749,0.34290677,0.491593,0.5326153,0.46738473
-0.0021631643,-0.15412247,0.34296858,0.49257362,0.5324445,0.46755555
-3.1024218e-05,-0.15578544,0.34315306,0.4933867,0.53229415,0.46770588
0.0021302775,-0.15729094,0.3434488,0.49425477,0.5321273,0.46787274
0.00075966865,-0.15677634,0.34299633,0.49359956,0.53226846,0.46773157
-0.00034959614,-0.15629989,0.34266657,0.49308404,0.5323779,0.46762213
-0.0005389452,-0.15635946,0.34252557,0.4929626,0.5324079,0.46759215
-0.0010347217,-0.15770712,0.34144178,0.4923623,0.53258216,0.4674179
-0.0025701895,-0.15859407,0.34006217,0.49128407,0.5328578,0.4671422
-0.0016793683,-0.15994874,0.33974463,0.49146673,0.532848,0.46715203
-0.0040406734,-0.15877959,0.33914086,0.49041006,0.5330685,0.46693155
-0.0044148043,-0.15660301,0.3402337,0.49071348,0.5329435,0.46705657
-0.0046465024,-0.15412992,0.34158614,0.49116775,0.5327757,0.46722433
-0.0034382418,-0.1527879,0.34306285,0.49216843,0.53250706,0.467493
-0.002080761,-0.15385282,0.34317663,0.49268425,0.5324118,0.46758816
-0.0028974488,-0.15324101,0.3430908,0.4923671,0.5324714,0.46752858
-0.0012439191,-0.15452108,0.34323975,0.49299964,0.5323541,0.46764594
4.0084124e-06,-0.15570211,0.34322274,0.49342632,0.53228277,0.4677172
-0.00090281665,-0.15540123,0.34289968,0.49298394,0.5323794,0.46762067
-0.000900276,-0.15465978,0.34334737,0.49316135,0.5323195,0.46768054
-0.007472053,-0.14852339,0.3433869,0.49089858,0.5327016,0.46729842
-0.007917471,-0.14682987,0.34415984,0.49104768,0.53262484,0.46737513
-0.0059255883,-0.14809126,0.34450918,0.4918746,0.532461,0.46753904
-0.0058296844,-0.14717546,0.3451162,0.49214587,0.5323747,0.46762535
-0.0039038584,-0.14717627,0.34619313,0.493236,0.5321183,0.4678817
-0.0016133264,-0.14919281,0.34625342,0.49405572,0.53197527,0.46802473
-0.0023778677,-0.14714968,0.34706512,0.49410763,0.531913,0.46808708
0.00011827052,-0.14803714,0.34792793,0.49531418,0.53165185,0.46834818
0.0023746267,-0.15081665,0.34750482,0.49593523,0.53157467,0.46842533
0.0013781488,-0.1508601,0.34691882,0.49535805,0.53171086,0.46828917
-0.0019650757,-0.15238172,0.34412774,0.49309886,0.53227824,0.46772173
-0.0035068393,-0.15282306,0.3430035,0.4921214,0.532519,0.467481
-0.0028767362,-0.15320238,0.3431256,0.49238795,0.5324656,0.46753445
-0.00092925876,-0.15619749,0.34240624,0.49278,0.53244686,0.46755317
-0.0017024428,-0.15600508,0.3420928,0.49238795,0.53253436,0.46746567
-0.001834996,-0.15508956,0.34256923,0.49253005,0.53247845,0.46752158
-0.0025605187,-0.15547407,0.34193575,0.49202842,0.53260595,0.46739408
-0.0014728084,-0.15587068,0.34230092,0.49254987,0.53249294,0.46750703
-0.0001218915,-0.1560126,0.3429659,0.49328125,0.5323245,0.4676755
0.0017573684,-0.15890083,0.34227318,0.49366057,0.53230625,0.46769378
0.0022383332,-0.16206062,0.3406453,0.49318284,0.53249604,0.46750402
0.0009296313,-0.16323224,0.3392236,0.49216402,0.5327644,0.46723568
-0.0006598234,-0.1627273,0.33864972,0.49138492,0.53293544,0.4670646
-0.0022646189,-0.16021141,0.3392654,0.49107394,0.532947,0.46705303
-0.0018844903,-0.16094598,0.33903682,0.49111474,0.5329554,0.46704462
-0.004296966,-0.15912834,0.338792,0.49018303,0.5331306,0.46686944
-0.005077623,-0.15826723,0.33887538,0.48994634,0.53316534,0.46683466
-0.0030923039,-0.15932736,0.33933663,0.4908157,0.5329862,0.46701384
-0.0023979768,-0.1592609,0.33975896,0.4912235,0.5328884,0.46711162
-0.0011478141,-0.15865767,0.3408098,0.49207306,0.53267354,0.46732646
7.867068e-05,-0.158391,0.34164837,0.4928304,0.5324888,0.4675112
-0.0010788962,-0.15699175,0.34184635,0.4925069,0.53253055,0.46746942
-0.0019636229,-0.15624258,0.34180546,0.49218392,0.5325882,0.46741185
-0.0014146641,-0.15769449,0.34123898,0.4921503,0.5326317,0.4673683
-0.0014601871,-0.1574811,0.3413417,0.49217513,0.5326206,0.4673794
-0.0036469921,-0.15651146,0.3407126,0.49116868,0.5328339,0.4671661
-0.0026271865,-0.1579147,0.3404367,0.49141267,0.5328108,0.4671892
-0.0021660104,-0.15739131,0.34100485,0.49179727,0.5327074,0.46729264
-0.003387265,-0.15542746,0.34150565,0.49157202,0.5327122,0.46728775
-0.0017198175,-0.15601787,0.34207547,0.49237514,0.53253764,0.46746233
-0.00011065602,-0.15703511,0.34235734,0.49304497,0.53240514,0.4675949
0.00016026944,-0.15839818,0.34168932,0.49287486,0.5324785,0.46752146
7.4766576e-05,-0.1595406,0.34095734,0.4925555,0.5325817,0.46741837
-0.0014186054,-0.15802345,0.34103975,0.49207014,0.53265864,0.46734133
-0.0005664602,-0.15897,0.34094435,0.49232787,0.5326212,0.4673788
-0.0036300644,-0.15734795,0.34022173,0.4909803,0.53289884,0.4671012
-0.003642328,-0.15635672,0.3408078,0.49120796,0.5328209,0.46717918
-0.0039225817,-0.15545726,0.34119138,0.4912625,0.5327859,0.46721408
-0.005168006,-0.15457332,0.34103173,0.49076834,0.5328807,0.46711928
-0.0015866607,-0.1569038,0.3416177,0.49224046,0.5325911,0.46740893
-0.0010839775,-0.15654007,0.34211463,0.49261117,0.53249496,0.46750507
-0.0015367568,-0.15529135,0.3426136,0.492651,0.53245497,0.46754506
-0.0025245175,-0.15337062,0.34322017,0.49254742,0.5324322,0.46756783
-0.001632154,-0.1545119,0.3430294,0.4927819,0.532405,0.46759495
-0.0030302554,-0.15228325,0.34359375,0.492519,0.5324122,0.46758783
-0.003894575,-0.15221578,0.3431535,0.49204603,0.53252184,0.46747816
-0.0025484115,-0.15352914,0.34311143,0.49249628,0.5324481,0.46755192
