mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0017572716,-0.023875847,0.019205827,0.27344957,0.9812132,0.018786812
-0.002035357,-0.02414991,0.019219674,0.2736027,0.9812021,0.018797817
-0.001677312,-0.023687646,0.01899003,0.272707,0.9813231,0.018676898
-0.002576597,-0.024592176,0.019129496,0.27351657,0.9812393,0.018760676
-0.0014839843,-0.0234067,0.01885018,0.27216786,0.98139656,0.018603431
-0.001924403,-0.023843125,0.018881872,0.2724451,0.9813737,0.018626245
-0.0015288666,-0.023301467,0.018579053,0.27127948,0.98153335,0.018466685
-0.0016482845,-0.023627147,0.018953735,0.2725764,0.9813416,0.018658385
-0.0016117468,-0.02333863,0.01849204,0.2710186,0.98157644,0.018423576
-0.0020443872,-0.023971304,0.018917413,0.27260938,0.98135406,0.018645955
-0.002185382,-0.024333581,0.019338278,0.2740488,0.9811405,0.018859511
-0.0028635934,-0.025010064,0.019422408,0.27458763,0.98108816,0.018911883
-0.0039356723,-0.026159897,0.01974887,0.2760628,0.9809094,0.019090623
-0.0031271353,-0.025200233,0.019404348,0.27463174,0.98109293,0.018907076
-0.0034264103,-0.025718078,0.019840457,0.27615827,0.98087156,0.019128455
-0.0038652197,-0.026188746,0.019947883,0.2766743,0.9808117,0.019188304
-0.00428576,-0.026743308,0.02026753,0.27785295,0.9806482,0.019351758
-0.0040882304,-0.026821867,0.020770583,0.27934414,0.9804068,0.019593187
-0.004656978,-0.02738674,0.020815188,0.27970785,0.98037624,0.019623734
-0.004078783,-0.026875809,0.020872017,0.27965248,0.9803582,0.019641802
-0.0036535934,-0.02657412,0.021021163,0.27994126,0.9802933,0.019706735
-0.0035407022,-0.026244834,0.02054593,0.27842957,0.98052466,0.019475315
-0.0023108795,-0.024564132,0.01952684,0.27471003,0.9810447,0.018955296
-0.0022828057,-0.024379298,0.019236209,0.27375275,0.9811902,0.018809797
-0.0024775043,-0.024572685,0.019278433,0.27396658,0.9811661,0.018833902
-0.0017684177,-0.023769036,0.019022958,0.27285132,0.981305,0.018694986
-0.0020903125,-0.023909286,0.018731948,0.27200973,0.98144716,0.018552845
-0.0024412647,-0.024434045,0.019110935,0.27340344,0.98125046,0.018749522
-0.0018606558,-0.023747638,0.018844781,0.27229738,0.9813934,0.018606663
-0.0024136677,-0.02439557,0.019075213,0.27327585,0.9812687,0.018731292
-0.0029345527,-0.02520375,0.019677157,0.27544016,0.98096025,0.019039754
-0.0022083,-0.024509326,0.019626128,0.27499148,0.9809967,0.019003265
-0.0026196912,-0.024917886,0.019646287,0.2752175,0.98098046,0.01901953
-0.0017696694,-0.023968652,0.019349333,0.27392238,0.98114145,0.018858582
-0.0014172867,-0.023403719,0.018897343,0.27229935,0.9813737,0.018626254
-0.0016320124,-0.023641571,0.01896988,0.2726224,0.98133403,0.018665971
-0.0007501021,-0.022556767,0.018500967,0.27071473,0.981585,0.018414997
0.0033345148,-0.01831834,0.017663404,0.2662832,0.98207605,0.017923923
0.00045188516,-0.020776197,0.017198587,0.2657406,0.98227847,0.017721558
0.0033594593,-0.017690524,0.016641736,0.26263055,0.9826163,0.017383726
0.0027631745,-0.017891243,0.016061392,0.2607078,0.9829213,0.017078744
0.0025458857,-0.018118158,0.016149817,0.2611185,0.9828703,0.017129678
0.002868168,-0.017581686,0.015817074,0.25974524,0.9830563,0.016943721
0.0031365678,-0.017315581,0.015800603,0.25958407,0.9830687,0.01693127
0.003996961,-0.016316667,0.015481295,0.25804383,0.98325634,0.016743641
0.0033253059,-0.01665558,0.015056712,0.2566346,0.9834844,0.016515616
0.002679132,-0.017286852,0.015146195,0.25722414,0.98342556,0.016574405
-0.00040174276,-0.021853432,0.017853478,0.26836663,0.9819233,0.018076688
9.834021e-05,-0.020987377,0.017198408,0.26587313,0.9822732,0.017726788
-0.0010093525,-0.022713467,0.018385658,0.27042538,0.9816399,0.018360114
-0.00069526583,-0.022326514,0.018207856,0.26970026,0.98173565,0.018264389
-0.001080431,-0.022582218,0.018028632,0.26923388,0.9818223,0.018177705
-0.0009388104,-0.02244775,0.018041477,0.2692234,0.9818178,0.018182242
-0.0021275952,-0.023851857,0.018573292,0.27149162,0.98152727,0.018472701
-0.0034004822,-0.025681868,0.019783083,0.27596268,0.9809007,0.019099306
-0.0033200458,-0.02566351,0.019899623,0.2763046,0.98084426,0.019155744
-0.0026562586,-0.024904177,0.019618273,0.27514192,0.9809936,0.019006409
-0.0024522617,-0.02465041,0.019471135,0.27458635,0.9810699,0.018930122
-0.0036159828,-0.025732324,0.019477127,0.2750604,0.9810492,0.018950842
-0.003391929,-0.025709167,0.019867536,0.27622992,0.980859,0.019140963
-0.0034087673,-0.02595596,0.020291502,0.2775817,0.9806505,0.019349547
-0.0030456558,-0.025532559,0.020097395,0.27682626,0.98075116,0.019248828
-0.0017874315,-0.024299875,0.019935597,0.275818,0.98085034,0.019149644
-0.00045595318,-0.022620156,0.019042019,0.27240556,0.9813153,0.01868469
0.00055419654,-0.021210656,0.018163912,0.2690694,0.981777,0.018222941
0.001131855,-0.020344362,0.017591923,0.26686946,0.98208207,0.017917948
9.404868e-05,-0.021277234,0.017568314,0.26718104,0.9820795,0.017920464
-0.000107087195,-0.021500483,0.017697114,0.26770794,0.9820094,0.017990619
0.00087382644,-0.020027623,0.01680934,0.26417774,0.9824911,0.017508866
0.000480406,-0.020252034,0.0166065,0.26358768,0.98259383,0.017406147
0.0005615279,-0.020271167,0.016772373,0.264164,0.98250586,0.017494159
0.0005456731,-0.020402774,0.0169391,0.26477557,0.9824165,0.017583504
-0.0017429367,-0.023177281,0.018011618,0.26943073,0.9818211,0.018178891
-0.0026510432,-0.024718538,0.01927934,0.27403808,0.9811628,0.018837238
-0.003470786,-0.025978163,0.020205662,0.2773355,0.98069155,0.019308448
-0.0029877499,-0.025750473,0.020612996,0.27841917,0.9805008,0.019499164
-0.0023544803,-0.024744436,0.019766917,0.27550134,0.9809249,0.019075135
-0.0014720336,-0.023547724,0.019063246,0.27286902,0.9812894,0.018710643
-0.0017759278,-0.023662731,0.01876699,0.27200395,0.98143446,0.018565584
-0.0012346581,-0.022909686,0.018357161,0.2704149,0.9816513,0.018348709
-0.0017574206,-0.023509845,0.018573442,0.2713482,0.9815329,0.018467104
-0.0028268471,-0.0248508,0.019221988,0.27391818,0.98118895,0.018811056
-0.0021479502,-0.024013445,0.018867351,0.27248356,0.98137766,0.01862238
-0.0026374832,-0.02450864,0.018936161,0.27290308,0.9813353,0.018664695
-0.0034812763,-0.025422797,0.019193271,0.2740806,0.98119307,0.018806983
-0.004099287,-0.026515797,0.020184992,0.2775186,0.9806916,0.019308405
-0.0042225197,-0.02689986,0.020688869,0.2791449,0.98044413,0.019555872
-0.003925033,-0.026822343,0.021042774,0.2801161,0.9802783,0.019721692
-0.0039948,-0.026730046,0.020690735,0.27906,0.98044705,0.01955292
-0.0039784387,-0.026672944,0.02061644,0.2788219,0.98048353,0.019516442
-0.0036327615,-0.026229158,0.020388443,0.27797335,0.98059994,0.0194001
-0.0026502684,-0.025037274,0.019851541,0.27588764,0.98087853,0.019121498
-0.0028780475,-0.025226668,0.019794164,0.27579364,0.9809033,0.019096693
-0.0032433644,-0.025457218,0.019608427,0.27533895,0.98098975,0.019010264
-0.0025055185,-0.024476454,0.019095741,0.27337816,0.98125714,0.018742861
-0.0022182837,-0.024159774,0.019002484,0.2729595,0.9813083,0.018691745
-0.0031592026,-0.02520512,0.01931128,0.27434167,0.9811389,0.018861145
-0.003789045,-0.026215628,0.020127092,0.2772127,0.98072505,0.019275006
-0.003632851,-0.026142284,0.02025743,0.27756307,0.9806635,0.019336466
-0.0025724545,-0.025042161,0.020005625,0.27634937,0.98080355,0.019196462
-0.0024015084,-0.024753109,0.019710163,0.2753383,0.9809521,0.019047942
-0.0027048066,-0.025121525,0.019863283,0.27594665,0.980872,0.019128028
-0.0029920712,-0.02533473,0.019778302,0.2757865,0.98090965,0.019090362
-0.0024067536,-0.024496987,0.019263906,0.273891,0.98117447,0.018825473
-0.0021422878,-0.024148688,0.019088386,0.2732123,0.9812665,0.01873354
-0.0021191016,-0.024172917,0.019169124,0.27346948,0.98122615,0.018773861
-0.002323456,-0.024154767,0.01879573,0.27231327,0.9814113,0.018588742
-0.0012250915,-0.023021504,0.018601516,0.271238,0.98152626,0.018473716
-0.0020464137,-0.023836002,0.01866623,0.27177358,0.981481,0.018518973
-0.0025616065,-0.024744555,0.019459654,0.2745908,0.98107415,0.018925872
-0.0034779087,-0.025858656,0.019951696,0.2765327,0.98081625,0.019183759
-0.0033902898,-0.025845066,0.020099448,0.2769673,0.980745,0.019255005
-0.001705952,-0.024014428,0.019575754,0.2746325,0.98102945,0.018970555
-0.0013471022,-0.023419335,0.01903594,0.27273175,0.98130476,0.018695265
-0.0013510361,-0.02327393,0.018758658,0.27181208,0.98144495,0.01855505
-0.0007540062,-0.022650674,0.018641345,0.27118805,0.9815135,0.018486448
-0.00044674426,-0.02204208,0.018069852,0.26913115,0.9818107,0.018189343
-0.0006256178,-0.022397056,0.018408535,0.27035403,0.9816342,0.018365812
-0.00018698722,-0.021765396,0.018018827,0.2688559,0.98184085,0.01815918
-0.00022510439,-0.021716788,0.01787886,0.26838762,0.9819127,0.018087354
0.00018780679,-0.021023706,0.017371468,0.26645407,0.9821834,0.0178166
-0.00075728446,-0.021813408,0.017255189,0.2664008,0.98223096,0.01776905
-0.0014074519,-0.022969916,0.018231668,0.27005467,0.98171294,0.018287087
-0.0024109557,-0.024255857,0.01885629,0.27254918,0.98137915,0.018620802
-0.0024558082,-0.024401471,0.019050475,0.27321053,0.98128045,0.01871955
-0.0019100681,-0.024105623,0.019408628,0.27417183,0.98110926,0.018890748
-0.0020492151,-0.024207845,0.019306691,0.2738941,0.9811581,0.018841878
-0.0023992434,-0.024595633,0.019416064,0.27438575,0.9810984,0.018901564
-0.0011563078,-0.02344279,0.019411318,0.27388462,0.98111993,0.018880043
-0.001652576,-0.02380465,0.019189013,0.2733526,0.9812236,0.018776417
-0.001354374,-0.023419961,0.01901512,0.27266312,0.9813157,0.018684315
1.5221536e-05,-0.02157791,0.018016197,0.26876894,0.98184526,0.018154768
0.00061076134,-0.020777687,0.01758767,0.26705423,0.98207635,0.017923674
0.00097128004,-0.020114377,0.017041504,0.26498047,0.9823689,0.017631153
0.0013360307,-0.019612744,0.016784804,0.26391572,0.9825106,0.01748942
-0.00046280771,-0.02166821,0.017428854,0.2669046,0.98214394,0.017856052
-8.8103116e-05,-0.021478578,0.01773127,0.26782238,0.98199123,0.018008739
-0.0004356876,-0.021733508,0.017609615,0.26753128,0.9820494,0.017950583
1.4089048e-05,-0.021724924,0.018299522,0.26973945,0.9816991,0.01830089
9.760261e-07,-0.021580413,0.01797673,0.26864073,0.98186505,0.018134968
-0.00052852184,-0.021965101,0.017801553,0.268236,0.9819484,0.018051684
-2.6263297e-05,-0.021560416,0.017931568,0.26849335,0.98188835,0.018111685
-0.0012853518,-0.022899643,0.018226888,0.26999107,0.9817174,0.018282585
-0.0010735169,-0.022773221,0.018386295,0.2704513,0.9816388,0.018361194
-0.0009284094,-0.022740021,0.01855633,0.27097055,0.98155403,0.018446026
-0.0008934215,-0.022315845,0.017871033,0.2686176,0.98190665,0.018093348
-0.0004062131,-0.021929428,0.01799514,0.2688595,0.98184955,0.018150477
-0.00022027642,-0.021622553,0.01774371,0.26791817,0.9819825,0.018017475
-0.0021256283,-0.023949191,0.018716384,0.27197105,0.9814547,0.018545326
-0.0023763254,-0.024485901,0.01930094,0.2740005,0.98115635,0.018843604
-0.0024210587,-0.024415746,0.0191028,0.27336866,0.98125494,0.01874508
-0.0027378276,-0.024930254,0.019517604,0.27484745,0.9810426,0.018957434
-0.0026248172,-0.024591759,0.019092795,0.27341557,0.98125666,0.018743297
-0.0034632757,-0.025468186,0.019294342,0.27440456,0.9811427,0.018857243
-0.0028332248,-0.02515079,0.019805485,0.2758129,0.98089814,0.019101884
-0.0033229962,-0.025546566,0.019654874,0.27552202,0.980965,0.019034997
