mu1,mu2,sigma1,sigma2,pi1,pi2
-0.00027856976,0.13510524,0.015283465,0.68659914,0.9962477,0.0037522877
-0.00024784356,0.13583906,0.0150140235,0.6871088,0.99633586,0.003664142
-0.00030832738,0.13673191,0.0146545,0.688041,0.9964535,0.0035464172
-0.0006411597,0.13583367,0.014542029,0.6887926,0.996492,0.0035079976
-0.00091990083,0.13227475,0.014955114,0.68838894,0.9963594,0.0036405935
0.00018223375,0.1319463,0.016055724,0.6842032,0.9959868,0.0040131668
0.00035122782,0.13263308,0.016138153,0.68386185,0.9959583,0.004041673
-0.00040259212,0.13076429,0.01596269,0.68557453,0.9960232,0.0039768456
0.000743933,0.13060923,0.017147599,0.68128866,0.9956126,0.0043873615
-2.8006732e-05,0.13001266,0.01685737,0.6832352,0.9957188,0.0042812135
0.00040694326,0.13074385,0.017141849,0.6818843,0.99561787,0.0043821763
-0.0001816526,0.13083982,0.016556554,0.68400294,0.99582213,0.0041778754
0.00042492896,0.1321313,0.016677948,0.682716,0.9957761,0.004223887
0.000106580555,0.13358214,0.016079415,0.6844523,0.995981,0.0040190453
-5.8859587e-07,0.13426255,0.015825586,0.6850649,0.9960665,0.0039335107
-4.694611e-05,0.13453464,0.015736967,0.68530476,0.99609643,0.003903624
-0.0009879693,0.13231596,0.015324472,0.6878262,0.9962398,0.0037602228
-0.0014064535,0.12287548,0.017013634,0.68513143,0.9956761,0.0043239407
0.00041987747,0.11742763,0.020403476,0.67638546,0.99446267,0.0055373064
0.0014138445,0.11365771,0.023758588,0.6699504,0.9931949,0.006805143
0.0014146343,0.110497996,0.02567067,0.6676735,0.9924511,0.007548931
0.002181545,0.10816069,0.027865602,0.666823,0.99158925,0.008410766
0.0016056299,0.11127423,0.02635752,0.6697141,0.9922059,0.00779411
0.0011523888,0.116797164,0.023983056,0.6720215,0.9931296,0.0068704146
0.0008528158,0.12308325,0.021417845,0.67414355,0.9940883,0.0059116967
0.00051198155,0.12809409,0.018865265,0.67875284,0.99501723,0.004982826
0.0004281178,0.130484,0.017784651,0.6806983,0.9953968,0.004603192
-0.000308536,0.13626997,0.014839936,0.6876957,0.9963935,0.0036064838
-0.00025155395,0.13636653,0.014851485,0.68750036,0.99638915,0.0036108096
0.00020279735,0.13532905,0.01558071,0.6852121,0.99614644,0.003853562
-0.0005037263,0.13430972,0.01551341,0.6864749,0.9961738,0.0038262391
-0.00041028112,0.1353304,0.01517191,0.6870159,0.9962854,0.0037146132
-0.00016138703,0.13567774,0.0151951555,0.68656474,0.996276,0.0037239725
-0.00019293278,0.13548319,0.0152721945,0.68647015,0.99625105,0.0037489666
-0.00047823042,0.13526322,0.015131189,0.6872169,0.9962993,0.003700721
-0.0002240166,0.1352909,0.015295996,0.6863734,0.9962431,0.003756938
-0.0012513027,0.1310373,0.01516805,0.6884888,0.99629235,0.0037076403
0.000397332,0.13014975,0.016894357,0.6821916,0.9957017,0.004298337
