mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0023450279,-0.003986652,0.01144911,0.65233916,0.68172,0.6783438,0.34071094,0.3373081,0.32198095
-0.0023093512,-0.0040843096,0.011774356,0.65201133,0.6817302,0.6783155,0.34068182,0.33742842,0.32188973
-0.002344635,-0.0039877202,0.011452733,0.65233546,0.68172014,0.6783435,0.3407106,0.33730945,0.32197994
-0.0023305393,-0.0040057255,0.011694586,0.6521114,0.681741,0.67832196,0.3406852,0.33739042,0.32192442
-0.0023397328,-0.003970311,0.011667239,0.6521488,0.6817468,0.67832404,0.34068573,0.3373761,0.3219382
-0.0023431354,-0.0039567063,0.011659846,0.65216035,0.6817493,0.67832464,0.3406856,0.3373716,0.32194284
-0.0023808752,-0.0038616983,0.011270093,0.65254533,0.68173176,0.6783587,0.340722,0.33723083,0.32204717
-0.0023639027,-0.0039013298,0.011462424,0.65235794,0.6817422,0.6783418,0.34070352,0.33729914,0.3219973
-0.0023091615,-0.0040818695,0.011792393,0.651996,0.68173265,0.6783139,0.34067968,0.33743387,0.32188645
-0.002318283,-0.0040405234,0.0117994435,0.65200454,0.6817435,0.6783129,0.34067604,0.33742976,0.32189426
-0.0023165005,-0.0040330626,0.011883663,0.6519315,0.6817541,0.67830527,0.3406662,0.3374558,0.32187802
-0.0022453337,-0.004301154,0.012128767,0.6516144,0.6817145,0.6782859,0.3406578,0.33757672,0.3217655
-0.002170761,-0.0045863995,0.01236178,0.6513022,0.68166935,0.6782677,0.34065187,0.3376964,0.32165173
-0.002248448,-0.00431461,0.011979304,0.65174407,0.6816955,0.6782994,0.34067523,0.3375305,0.3217943
-0.0022545632,-0.0042548487,0.01216053,0.6516026,0.6817291,0.67828256,0.34065107,0.33757982,0.32176918
-0.00210294,-0.0046122028,0.01231952,0.6512968,0.6816614,0.678269,0.3406622,0.33771032,0.32162747
-0.0016628888,-0.0049244463,0.012033278,0.651237,0.68157184,0.6782813,0.34073877,0.3378071,0.32145414
-0.0021518518,-0.004491303,0.012352895,0.6513225,0.6816933,0.67826587,0.34064874,0.3376939,0.3216574
-0.0022830132,-0.0041898685,0.011830136,0.6519231,0.6817103,0.6783116,0.340683,0.33746287,0.32185408
-0.002263508,-0.0042293696,0.012084471,0.6516802,0.68172723,0.6782891,0.3406577,0.33755127,0.32179108
-0.0022559003,-0.0042348737,0.012238195,0.6515399,0.68174195,0.67827535,0.34064108,0.3376018,0.3217571
-0.0023042695,-0.0040807975,0.011916654,0.6518846,0.68174595,0.67830276,0.34066588,0.3374739,0.32186022
-0.0022845515,-0.004131818,0.012112681,0.65168995,0.681754,0.67828566,0.34064776,0.3375452,0.321807
-0.0023017428,-0.004060692,0.012088532,0.6517373,0.6817688,0.6782871,0.3406455,0.33752632,0.32182816
-0.0023067065,-0.0040321397,0.012125701,0.6517141,0.6817796,0.67828345,0.3406394,0.33753392,0.3218267
-0.0023185147,-0.00399343,0.012053242,0.65179324,0.68178153,0.67828965,0.34064472,0.33750445,0.3218508
-0.0023186628,-0.0039785793,0.012131466,0.6517283,0.6817933,0.67828244,0.34063506,0.33752745,0.3218375
-0.0023864107,-0.0038199266,0.011366252,0.6524738,0.68175197,0.6783497,0.34070846,0.33725542,0.32203612
-0.002410237,-0.0037794611,0.01101269,0.6528067,0.6817249,0.6783809,0.34074464,0.33713487,0.3221205
-0.0023701978,-0.0038983393,0.011326596,0.65248126,0.6817288,0.6783539,0.3407183,0.3372548,0.3220269
-0.0023176447,-0.0040659215,0.01167498,0.65210736,0.68172437,0.6783243,0.3406915,0.33739343,0.321915
-0.0022001867,-0.00451329,0.012052555,0.6516066,0.6816548,0.6782948,0.34068096,0.33758506,0.32173398
-0.0022318307,-0.0043594614,0.012134278,0.6515885,0.68170077,0.67828596,0.34066123,0.33758757,0.3217512
-0.0022755405,-0.0041962247,0.011975918,0.6517897,0.681724,0.67829853,0.3406674,0.337511,0.32182166
-0.0023264938,-0.004042835,0.01158805,0.65219384,0.68172085,0.67833185,0.34069952,0.33736175,0.32193872
-0.002270412,-0.004230179,0.011912974,0.6518341,0.68170923,0.6783046,0.3406767,0.33749592,0.3218274
-0.0014983849,-0.0055636903,0.011727693,0.6514555,0.6814512,0.6782273,0.3407856,0.33776954,0.3214449
-0.002311579,-0.0047652563,0.011987792,0.65185535,0.68160075,0.67830956,0.34066457,0.3375202,0.32181522
-0.0022660554,-0.004593903,0.011936527,0.65181893,0.6816223,0.6783239,0.3406798,0.33752498,0.32179525
-0.002243428,-0.004470436,0.011885481,0.6518181,0.68164754,0.67831534,0.34068987,0.3375126,0.3217975
-0.0022318698,-0.0043822145,0.0120080095,0.6516938,0.6816821,0.6782975,0.34067675,0.33755028,0.32177296
-0.0022834407,-0.004203832,0.011742877,0.6519966,0.68169785,0.6783195,0.34069365,0.33743685,0.32186955
-0.002298261,-0.0041384455,0.011744473,0.65201867,0.68171394,0.6783188,0.3406889,0.3374272,0.32188392
-0.0023928618,-0.0039469134,0.0112251565,0.65260595,0.681706,0.67837024,0.3407256,0.33721653,0.32205793
-0.0023646823,-0.003968294,0.011197127,0.6525813,0.68169814,0.6783674,0.3407362,0.33722156,0.3220422
-0.0022967355,-0.0041709896,0.011602122,0.6521351,0.6816911,0.67833185,0.34070688,0.33738622,0.3219069
-0.0023598475,-0.0039733658,0.011163749,0.65260077,0.6816935,0.67836934,0.34074152,0.3372138,0.3220447
-0.0025256586,-0.003699867,0.01045236,0.65346813,0.68168503,0.6784472,0.34078252,0.3369087,0.32230878
-0.002383823,-0.0047237994,0.011393102,0.6524664,0.6815634,0.6783414,0.3407178,0.33729535,0.32198688
-0.0022451663,-0.0052151727,0.0119005665,0.65181166,0.6815302,0.6782327,0.34069714,0.33751756,0.3217853
-0.0022402054,-0.0048980713,0.011773396,0.65191275,0.68155044,0.67831093,0.34070978,0.33749115,0.32179904
-0.002166646,-0.0047635045,0.011891754,0.65168995,0.6815769,0.67831546,0.34071198,0.33756456,0.3217235
