mu1,mu2,sigma1,sigma2,pi1,pi2
-0.002371451,-0.0055876635,0.6724286,0.67516476,0.5004885,0.49951148
-0.0028005037,-0.005595874,0.6721271,0.6753488,0.500591,0.49940902
-0.0023404304,-0.0055870693,0.6724505,0.6751515,0.5004811,0.4995189
-0.0026787464,-0.005593542,0.6722127,0.6752966,0.5005619,0.4994381
-0.002616644,-0.0055923536,0.67225635,0.67526996,0.50054705,0.49945292
-0.0025941934,-0.0055919252,0.6722721,0.6752603,0.5005417,0.49945828
-0.002071809,-0.0055819284,0.6726393,0.6750362,0.500417,0.49958307
-0.0023380816,-0.0055870246,0.67245203,0.67515045,0.50048053,0.49951944
-0.0028365925,-0.005596563,0.67210174,0.6753643,0.5005996,0.49940044
-0.0028133336,-0.005596122,0.6721181,0.6753543,0.500594,0.49940595
-0.0028913897,-0.0055976138,0.6720633,0.67538786,0.5006127,0.49938732
-0.003338473,-0.005606169,0.6717492,0.67557967,0.5007194,0.49928057
-0.0037571006,-0.00561418,0.6714552,0.6757594,0.5008194,0.4991806
-0.0031477232,-0.0056025162,0.67188317,0.67549783,0.5006739,0.4993261
-0.00333485,-0.005606098,0.6717517,0.6755781,0.5007186,0.49928144
-0.0037890896,-0.005614791,0.67143273,0.6757731,0.5008271,0.49917296
-0.004050374,-0.0056197904,0.6712493,0.67588526,0.5008894,0.49911055
-0.003711056,-0.005613301,0.6714875,0.6757396,0.5008084,0.49919158
-0.0028758366,-0.005597314,0.6720742,0.6753812,0.500609,0.49939105
-0.0031968746,-0.0056034606,0.6718486,0.6755189,0.50068563,0.49931437
-0.0033698808,-0.005606767,0.6717271,0.67559314,0.50072694,0.49927306
-0.0029032975,-0.005597841,0.6720549,0.6753929,0.50061554,0.4993845
-0.0031906944,-0.0056033414,0.671853,0.6755163,0.50068414,0.49931583
-0.0030968264,-0.005601544,0.67191887,0.67547596,0.50066173,0.49933824
-0.003114663,-0.0056018867,0.67190635,0.67548364,0.500666,0.49933404
-0.0030320939,-0.0056003053,0.6719644,0.6754482,0.5006463,0.49935374
-0.0031502116,-0.0056025665,0.67188144,0.6754989,0.5006745,0.4993255
-0.0021380577,-0.005583195,0.67259276,0.6750647,0.5004328,0.4995672
-0.0017053392,-0.0055749174,0.672897,0.674879,0.5003295,0.49967057
-0.002178993,-0.005583981,0.67256397,0.67508227,0.50044256,0.49955747
-0.0027006827,-0.0055939667,0.6721972,0.675306,0.50056714,0.49943286
-0.0033749081,-0.0056068674,0.67172354,0.6755953,0.50072813,0.49927184
-0.0033894721,-0.005607145,0.67171335,0.6756016,0.50073165,0.49926838
-0.0030936413,-0.0056014843,0.6719212,0.67547464,0.500661,0.49933904
-0.0025363993,-0.005590819,0.6723127,0.67523557,0.5005279,0.4994721
-0.0030324124,-0.005600311,0.67196417,0.67544836,0.50064635,0.49935365
-0.0040108655,-0.0056175888,0.67127657,0.6758685,0.5008802,0.49911985
-0.0030395072,-0.005600445,0.67195916,0.6754514,0.500648,0.49935195
-0.0029916558,-0.0055995304,0.6719928,0.6754309,0.50063664,0.4993634
-0.0029452108,-0.005598642,0.6720254,0.675411,0.50062555,0.4993745
-0.0031054858,-0.0056017116,0.67191285,0.6754797,0.5006638,0.4993362
-0.0027291626,-0.005594507,0.6721772,0.6753182,0.50057393,0.49942607
-0.0027018785,-0.005593987,0.67219645,0.67530656,0.50056744,0.4994326
-0.0019220095,-0.0055790637,0.6727446,0.674972,0.5003812,0.4996188
-0.0019578524,-0.0055797473,0.6727194,0.6749874,0.50038975,0.49961025
-0.002599949,-0.005592037,0.67226803,0.6752628,0.5005431,0.4994569
-0.0020327382,-0.005581178,0.6726667,0.6750195,0.50040764,0.49959236
-0.0009199735,-0.0055598877,0.6734494,0.6745423,0.5001419,0.49985808
-0.00238809,-0.00558798,0.6724169,0.6751719,0.5004925,0.49950752
-0.003305152,-0.005605532,0.6717726,0.67556536,0.5007115,0.49928853
-0.0029984657,-0.0055996627,0.671988,0.6754337,0.50063825,0.49936175
-0.0031734798,-0.00560301,0.67186505,0.6755089,0.50068,0.49931994
-0.0038653947,-0.0056162495,0.6713791,0.67580587,0.50084525,0.49915472
-0.0035630353,-0.005610464,0.6715914,0.67567605,0.5007731,0.49922696
-0.002892647,-0.005597636,0.67206234,0.6753884,0.500613,0.49938703
-0.0031017251,-0.005601637,0.6719155,0.6754781,0.5006629,0.4993371
-0.0031032525,-0.005584337,0.6719097,0.6754819,0.50066507,0.4993349
-0.003668338,-0.0056124795,0.6715175,0.6757213,0.5007982,0.4992018
-0.003937412,-0.005617628,0.6713286,0.6758368,0.5008625,0.49913755
-0.0032967739,-0.005605366,0.6717785,0.6755618,0.5007095,0.49929053
-0.003264783,-0.005604755,0.6718009,0.6755481,0.50070184,0.49929816
-0.002887858,-0.005597545,0.6720657,0.6753863,0.50061184,0.4993882
-0.002799729,-0.0055958573,0.67212766,0.6753485,0.5005908,0.49940923
-0.003104506,-0.005601693,0.6719135,0.6754793,0.5006636,0.49933645
-0.0022785217,-0.0055858847,0.67249393,0.6751249,0.50046635,0.49953368
-0.0018337034,-0.0055773724,0.6728067,0.67493415,0.50036013,0.4996399
-0.0024579763,-0.0055893213,0.6723678,0.67520195,0.5005092,0.49949083
-0.002517702,-0.0055904593,0.67232585,0.67522746,0.50052345,0.49947655
-0.0037668888,-0.0056143664,0.6714483,0.6757636,0.50082177,0.4991783
-0.002710214,-0.0055941436,0.67219055,0.6753101,0.5005694,0.4994306
-0.0024562944,-0.0055892877,0.67236906,0.6752011,0.5005088,0.4994912
-0.002441747,-0.0055890065,0.6723792,0.6751949,0.5005053,0.49949473
-0.0028277393,-0.005596392,0.67210793,0.67536056,0.5005975,0.49940252
-0.00306518,-0.0056009386,0.67194116,0.6754624,0.50065416,0.4993458
-0.0025757942,-0.0055915713,0.672285,0.67525244,0.50053734,0.4994627
-0.002455674,-0.0055892766,0.6723694,0.6752009,0.50050867,0.4994914
-0.0020009838,-0.0055805743,0.6726891,0.67500585,0.50040007,0.49959996
-0.0026825164,-0.0055936165,0.67221004,0.6752982,0.5005628,0.4994372
-0.0026554,-0.005593095,0.67222905,0.6752866,0.50055635,0.49944368
-0.0028280262,-0.005596401,0.67210776,0.6753606,0.50059754,0.49940243
-0.0028527472,-0.0055968743,0.6720904,0.6753712,0.50060344,0.49939653
-0.0019970909,-0.0055805,0.67269176,0.6750042,0.5003991,0.4996009
-0.0015775245,-0.00557247,0.67298687,0.6748243,0.5002989,0.49970105
-0.00224342,-0.0055852123,0.6725186,0.6751098,0.50045794,0.49954206
-0.002553856,-0.005591154,0.6723004,0.675243,0.5005321,0.49946794
-0.0017938297,-0.0055766087,0.6728347,0.67491704,0.5003506,0.49964944
-0.002024807,-0.0055810306,0.67267233,0.6750161,0.5004057,0.49959424
-0.0023823306,-0.0055878684,0.672421,0.6751694,0.50049114,0.49950892
-0.0033136476,-0.005605694,0.67176664,0.675569,0.5007135,0.4992865
-0.0030274186,-0.0056002177,0.6719676,0.6754462,0.50064516,0.49935484
-0.0034223814,-0.0056077745,0.6716902,0.67561567,0.50073946,0.49926051
-0.003165679,-0.005602861,0.6718705,0.6755056,0.5006782,0.49932182
-0.0028538462,-0.005596895,0.67208964,0.6753717,0.50060374,0.4993963
-0.0031249374,-0.0056020822,0.67189914,0.67548805,0.50066847,0.49933156
-0.0030576102,-0.0056007914,0.67194647,0.67545915,0.5006524,0.49934763
-0.0032449905,-0.005604379,0.6718148,0.6755396,0.50069714,0.4993029
-0.0030756965,-0.0056011397,0.67193377,0.67546695,0.5006567,0.4993433
-0.0028489903,-0.0055968,0.6720931,0.6753697,0.50060254,0.49939743
-0.0025569964,-0.0055912156,0.67229825,0.6752444,0.5005328,0.49946716
-0.0028233342,-0.0055963118,0.6721111,0.67535865,0.50059646,0.49940357
-0.0028702617,-0.0055972096,0.67207813,0.67537874,0.5006076,0.49939236
-0.0031567812,-0.0056026913,0.6718768,0.67550164,0.50067604,0.49932393
-0.00258003,-0.0055916533,0.67228204,0.6752542,0.50053835,0.49946168
-0.0026149098,-0.005592322,0.67225754,0.6752692,0.50054663,0.49945334
-0.0026423726,-0.005592849,0.6722383,0.675281,0.50055325,0.49944678
-0.002737688,-0.0055946726,0.67217124,0.6753218,0.50057596,0.49942404
-0.0030370913,-0.005600402,0.6719609,0.6754503,0.5006475,0.49935254
-0.0024809018,-0.005589757,0.6723517,0.6752118,0.5005147,0.49948534
-0.0026603937,-0.005593192,0.6722256,0.67528874,0.50055754,0.4994425
-0.002993524,-0.0055995695,0.67199147,0.67543167,0.50063705,0.49936295
-0.0030231029,-0.005600134,0.67197067,0.6754444,0.50064415,0.49935588
-0.002715839,-0.0055942535,0.6721866,0.6753125,0.5005708,0.49942926
-0.002913911,-0.005598044,0.67204744,0.6753975,0.50061804,0.49938193
-0.0031557102,-0.005602671,0.6718775,0.6755012,0.5006758,0.4993242
-0.0031097736,-0.0056017917,0.67190987,0.67548156,0.50066483,0.49933517
-0.003086567,-0.0056013484,0.6719261,0.6754716,0.5006593,0.4993407
-0.0023206938,-0.005586693,0.6724644,0.675143,0.5004764,0.49952364
-0.0027054548,-0.0055940542,0.6721939,0.67530805,0.5005683,0.49943173
-0.0027204193,-0.005594341,0.67218345,0.6753144,0.50057185,0.49942815
-0.002635032,-0.0055927057,0.67224336,0.6752778,0.50055146,0.49944854
-0.0028592404,-0.005596997,0.6720858,0.67537403,0.500605,0.49939498
-0.002960382,-0.005598936,0.67201483,0.6754175,0.5006292,0.49937084
-0.0027054083,-0.0055940542,0.67219394,0.675308,0.5005683,0.49943176
-0.0028017107,-0.0055958964,0.6721263,0.67534935,0.5005913,0.49940875
-0.0028290357,-0.005596418,0.67210704,0.6753611,0.5005978,0.4994022
-0.002785055,-0.005595578,0.672138,0.6753422,0.5005873,0.49941272
-0.0024904236,-0.0055899397,0.67234504,0.67521584,0.50051695,0.49948308
-0.0028543659,-0.005596906,0.6720893,0.67537194,0.50060385,0.49939618
-0.0026765447,-0.005593501,0.6722142,0.67529565,0.50056136,0.4994386
-0.0028126035,-0.005596105,0.6721186,0.675354,0.50059384,0.49940613
-0.0024663694,-0.0055894796,0.6723619,0.67520547,0.50051117,0.4994888
-0.002093682,-0.0055823512,0.6726239,0.6750456,0.5004222,0.4995778
-0.0023577046,-0.0055874027,0.6724383,0.67515886,0.50048524,0.49951476
-0.0025049318,-0.0055902153,0.67233485,0.67522204,0.5005204,0.49947962
-0.0026975702,-0.0055939034,0.6721994,0.67530465,0.5005664,0.49943364
-0.003091419,-0.0056014415,0.67192274,0.6754737,0.5006604,0.49933955
-0.0036675036,-0.0056124628,0.6715181,0.6757209,0.500798,0.49920198
-0.003128672,-0.005602153,0.6718965,0.67548966,0.50066936,0.49933067
-0.0024319012,-0.0055888183,0.67238617,0.6751907,0.50050294,0.49949703
-0.0019018557,-0.0055786762,0.67275876,0.67496336,0.5003764,0.49962363
-0.0014953166,-0.005570896,0.6730447,0.674789,0.5002793,0.49972072
-0.0012342706,-0.005565904,0.67322826,0.6746771,0.50021696,0.49978304
-0.0018399768,-0.0055774935,0.6728023,0.6749368,0.5003616,0.4996384
-0.0028892457,-0.005597571,0.6720647,0.67538697,0.5006122,0.49938786
-0.0026651472,-0.005593285,0.6722222,0.67529076,0.5005587,0.49944136
-0.002126461,-0.005582975,0.67260087,0.6750597,0.50043005,0.49956998
-0.002222132,-0.0055848043,0.6725336,0.6751007,0.5004529,0.49954712
-0.002487911,-0.005589891,0.6723468,0.67521477,0.50051636,0.49948367
-0.0022485293,-0.005585311,0.67251503,0.675112,0.5004592,0.49954087
-0.0028170366,-0.0055961926,0.67211545,0.6753559,0.5005949,0.4994051
-0.003081793,-0.005601255,0.6719295,0.6754695,0.50065815,0.49934188
-0.0028675217,-0.005597152,0.67208,0.6753776,0.50060695,0.49939302
-0.0029196944,-0.005598152,0.6720434,0.6754,0.5006194,0.49938056
-0.0027863886,-0.005595604,0.672137,0.6753428,0.5005876,0.4994124
-0.0028258655,-0.00559636,0.6721093,0.6753597,0.50059706,0.49940297
-0.002981672,-0.0055993404,0.6719998,0.67542654,0.50063425,0.49936578
-0.0034757871,-0.0056087933,0.67165273,0.6756386,0.5007522,0.49924776
-0.0030281562,-0.005600231,0.6719672,0.6754465,0.50064534,0.49935466
-0.002772715,-0.005595343,0.6721467,0.67533696,0.50058436,0.49941567
-0.0022078156,-0.0055845287,0.67254364,0.67509454,0.5004495,0.49955058
-0.002520496,-0.005590515,0.6723239,0.6752287,0.5005241,0.49947587
-0.0027453378,-0.005594818,0.6721659,0.6753251,0.5005778,0.4994222
-0.0020253137,-0.00558104,0.672672,0.6750163,0.50040585,0.49959412
-0.0023812745,-0.0055878516,0.67242175,0.675169,0.50049084,0.49950913
-0.002271438,-0.0055857506,0.672499,0.67512184,0.5004646,0.49953535
-0.0018056352,-0.005576834,0.67282647,0.6749221,0.5003534,0.49964657
-0.0016063992,-0.0055730212,0.67296654,0.6748367,0.50030583,0.49969417
-0.0019861814,-0.005580293,0.67269945,0.67499954,0.50039655,0.49960348
-0.0022524577,-0.0055853836,0.67251223,0.6751137,0.5004601,0.49953988
-0.0025972389,-0.005591985,0.67227,0.6752616,0.50054246,0.4994576
-0.0031032376,-0.0056016687,0.6719144,0.67547876,0.5006633,0.49933675
-0.00410755,-0.005620884,0.6712091,0.6759098,0.50090307,0.4990969
-0.00396136,-0.005618088,0.67131174,0.67584705,0.5008682,0.49913183
-0.003525855,-0.0056097526,0.67161757,0.67566013,0.5007642,0.49923584
-0.0033341106,-0.005606085,0.6717523,0.6755778,0.5007184,0.49928162
-0.0029510185,-0.0055987537,0.6720214,0.6754134,0.5006269,0.49937308
-0.0026475284,-0.005592946,0.6722346,0.67528325,0.50055444,0.49944556
-0.0032281335,-0.0056040566,0.67182666,0.6755323,0.5006931,0.49930692
-0.0029657036,-0.005599037,0.672011,0.6754197,0.50063044,0.4993696
-0.002799902,-0.005595863,0.6721275,0.6753485,0.50059086,0.4994092
-0.0022034869,-0.0055844486,0.6725467,0.6750927,0.5004484,0.4995516
-0.00230279,-0.0055863485,0.6724769,0.6751353,0.5004721,0.49952787
-0.002459813,-0.005589351,0.67236656,0.67520267,0.5005096,0.49949038
-0.002881335,-0.00559742,0.67207026,0.67538357,0.5006103,0.49938974
-0.0029895045,-0.0055994894,0.6719943,0.6754299,0.5006361,0.4993639
-0.0027717631,-0.0055953227,0.67214733,0.67533654,0.5005841,0.4994159
-0.0029711202,-0.0055991374,0.67200726,0.675422,0.5006317,0.49936828
-0.0024434645,-0.005589042,0.67237806,0.67519563,0.50050575,0.4994943
-0.0019051377,-0.0055787396,0.67275643,0.6749647,0.5003772,0.49962285
-0.003312897,-0.005605679,0.6717671,0.6755687,0.50071335,0.49928668
-0.0031299777,-0.005602177,0.6718956,0.6754902,0.50066966,0.49933037
-0.0035025962,-0.0056093074,0.6716339,0.6756501,0.50075865,0.49924138
-0.0031078625,-0.0056017525,0.6719112,0.6754807,0.50066435,0.49933562
-0.0029512104,-0.0055987593,0.6720212,0.6754135,0.500627,0.49937305
-0.003376007,-0.005606888,0.67172277,0.6755958,0.5007284,0.49927163
-0.0033902358,-0.00560716,0.6717128,0.6756019,0.5007318,0.4992682
-0.0030903071,-0.005601419,0.67192346,0.67547315,0.5006602,0.49933985
-0.0030448474,-0.005600551,0.67195547,0.6754536,0.50064933,0.49935067
-0.0036108848,-0.0056113806,0.6715578,0.6756966,0.5007845,0.49921554
-0.0036132298,-0.005611429,0.6715562,0.6756976,0.50078505,0.49921495
-0.0032040346,-0.005603593,0.6718436,0.67552197,0.50068736,0.4993127
-0.0040098596,-0.0056190155,0.67127764,0.6758679,0.50087976,0.49912024
-0.0026561506,-0.0055931136,0.6722285,0.6752869,0.5005565,0.4994435
-0.0024349932,-0.005588878,0.672384,0.67519206,0.5005037,0.49949634
-0.003009325,-0.0055998676,0.6719803,0.67543846,0.50064087,0.4993592
-0.0034828726,-0.0056089293,0.6716478,0.6756416,0.50075394,0.4992461
-0.0028906297,-0.005597597,0.67206377,0.6753875,0.5006125,0.4993875
-0.0028498191,-0.0055968203,0.6720925,0.67537004,0.5006028,0.49939725
-0.002553802,-0.005591154,0.67230046,0.675243,0.5005321,0.49946794
-0.002590755,-0.00559186,0.6722745,0.6752588,0.5005409,0.49945915
-0.0022563618,-0.005585462,0.67250955,0.6751154,0.50046104,0.49953896
-0.0022743978,-0.005581556,0.6724957,0.6751239,0.5004658,0.49953422
-0.003039522,-0.0056004487,0.67195916,0.6754514,0.5006481,0.49935198
-0.003722515,-0.005613515,0.67147946,0.67574453,0.50081116,0.49918887
-0.0029454846,-0.0055986475,0.67202526,0.67541105,0.5006256,0.49937445
-0.0032904688,-0.0056052506,0.67178285,0.67555904,0.500708,0.49929205
-0.0033592172,-0.0056065656,0.67173463,0.67558855,0.5007244,0.4992756
-0.00242039,-0.0055886004,0.6723943,0.6751858,0.5005002,0.49949977
-0.0027146526,-0.005594233,0.67218745,0.675312,0.5005705,0.49942952
-0.0035119,-0.0056094863,0.67162734,0.6756541,0.50076085,0.49923915
-0.0032750368,-0.0056049544,0.67179376,0.6755524,0.5007043,0.4992957
-0.0029398948,-0.005598543,0.6720292,0.67540866,0.50062424,0.49937573
-0.0030262507,-0.0056001954,0.6719685,0.67544574,0.5006449,0.4993551
-0.00366945,-0.005612502,0.6715168,0.67572176,0.50079846,0.49920154
-0.0033156034,-0.0056057293,0.6717652,0.67556983,0.500714,0.49928606
-0.0026098322,-0.005592225,0.6722611,0.675267,0.50054544,0.49945456
-0.0026074909,-0.0055921804,0.6722627,0.6752661,0.5005449,0.49945512
