mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0067707654,0.00273126,0.6729141,0.66381174,0.48943955,0.5105605
-0.006567629,0.002175415,0.67258286,0.66401577,0.48873952,0.51126045
-0.0067933872,0.0027176086,0.67291045,0.6637894,0.4894221,0.51057786
-0.0066318214,0.0022783931,0.67266446,0.66394585,0.4888864,0.51111364
-0.0066799615,0.0023278017,0.67265445,0.66391265,0.48890027,0.51109976
-0.006705582,0.0023374427,0.67265844,0.6638891,0.48890647,0.51109356
-0.0069968067,0.0029565059,0.67314273,0.6635664,0.48979783,0.51020217
-0.00685315,0.0026991721,0.6728807,0.6637426,0.48936555,0.5106345
-0.0066040494,0.0020722914,0.6725155,0.6639881,0.48858887,0.51141113
-0.006611146,0.002087377,0.6724961,0.6639902,0.4885769,0.5114231
-0.006582901,0.0019813478,0.6724185,0.66402423,0.48842576,0.51157427
-0.006387882,0.0013978295,0.67209786,0.6642135,0.48771635,0.5122837
-0.006268529,0.0009194836,0.67177,0.6644072,0.48704842,0.5129516
-0.0065155085,0.0016547982,0.6721455,0.6641251,0.4879187,0.5120813
-0.0064447634,0.0014391728,0.672002,0.6642028,0.48762897,0.51237106
-0.006277846,0.00094875135,0.671667,0.66438824,0.48696163,0.5130384
-0.0061989874,0.00062688626,0.67144644,0.6645271,0.4865105,0.51348954
-0.00632192,0.001020534,0.6716364,0.6643715,0.4869685,0.51303154
-0.006693639,0.0020966642,0.67222947,0.6640102,0.4882766,0.51172346
-0.0065399148,0.0017076414,0.6720318,0.6641525,0.4878258,0.5121742
-0.006445529,0.00147154,0.67192435,0.66423535,0.48756605,0.51243395
-0.0066414326,0.0020486154,0.6722701,0.6640349,0.48829842,0.5117016
-0.0065023676,0.0016667768,0.6721037,0.66415393,0.4878837,0.5121163
-0.0065438002,0.0017769542,0.67215466,0.6641174,0.48800635,0.51199365
-0.006529253,0.0017508566,0.67215496,0.664126,0.48799175,0.51200825
-0.006558953,0.0018204842,0.6722349,0.6640827,0.4881206,0.5118794
-0.006501768,0.0016473122,0.6721694,0.6641278,0.48794228,0.5120577
-0.007027844,0.0028499328,0.6730968,0.6635395,0.48966792,0.51033205
-0.007243639,0.0034317411,0.6735427,0.6632926,0.49050662,0.5094934
-0.0069324244,0.0029442776,0.6731437,0.6636271,0.4898015,0.51019853
-0.006640112,0.0023070127,0.6727238,0.66392726,0.48896742,0.51103264
-0.006392479,0.0016224738,0.6721622,0.66422963,0.4879373,0.5120627
-0.006368993,0.0015361905,0.67209387,0.6642587,0.4878091,0.5121909
-0.0065133777,0.0018620286,0.6722462,0.66412866,0.48816967,0.51183033
-0.006777685,0.0025334395,0.6726257,0.6638699,0.48898995,0.51101005
-0.00655511,0.0018863939,0.6722812,0.66408134,0.48821673,0.5117833
-0.006376341,0.0013966002,0.6715734,0.66441494,0.4871435,0.51285654
-0.006742118,0.0024300572,0.6721766,0.66404456,0.48843604,0.511564
-0.006719969,0.002384344,0.6721963,0.6640481,0.48843127,0.5115687
-0.0066848025,0.002335148,0.67225295,0.6640515,0.4884663,0.51153374
-0.0065697767,0.0020425208,0.6721671,0.6641356,0.48819572,0.51180434
-0.006710205,0.0024149586,0.6724568,0.66396993,0.48873833,0.5112617
-0.006702449,0.0024091788,0.6724944,0.6639622,0.488777,0.51122296
-0.0071153305,0.003272701,0.6732876,0.6634666,0.49014673,0.50985324
-0.007048497,0.0032951217,0.67322445,0.66355145,0.49010685,0.5098932
-0.0066962335,0.0024974048,0.67275286,0.6638972,0.48911843,0.5108816
-0.0069678556,0.0030514896,0.6732947,0.6635592,0.49003264,0.5099674
-0.0076415464,0.004286768,0.67459166,0.66272527,0.49214944,0.5078505
-0.0068375655,0.0034500305,0.6731838,0.663682,0.49024254,0.5097575
-0.006473141,0.002642855,0.67240256,0.66416824,0.48890516,0.5110948
-0.006512692,0.0027919263,0.6725017,0.6641415,0.4891011,0.51089895
