mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0198638,-0.42477542,1.351541,0.028528709,1.2650728,0.18378676,0.4315273,0.4935768,0.07489591
-0.024028018,-0.4199646,1.3453933,0.028783794,1.262162,0.18380141,0.43123946,0.49338874,0.07537176
-0.019071713,-0.4195199,1.3382075,0.02933685,1.2589608,0.18590169,0.43208897,0.49191424,0.07599683
-0.020846024,-0.41933888,1.3400036,0.029184958,1.2597481,0.18525368,0.43181378,0.49234787,0.07583839
-0.017995015,-0.417562,1.3325927,0.029715814,1.2560785,0.18694128,0.43233308,0.49117512,0.07649185
-0.019159093,-0.41626555,1.3312008,0.029777855,1.2551378,0.1869029,0.43216664,0.49121907,0.07661428
-0.018374339,-0.41295725,1.3227353,0.030328682,1.2509215,0.18832818,0.43245682,0.49019614,0.07734704
-0.01928027,-0.4161293,1.331148,0.029781468,1.254847,0.18691786,0.43207607,0.49129894,0.07662496
-0.018170074,-0.41603363,1.3297251,0.029903328,1.2539086,0.1873916,0.43217194,0.49106562,0.076762415
-0.020612791,-0.4136809,1.3273001,0.029989993,1.252604,0.18723942,0.4319183,0.49112803,0.07695369
-0.020591334,-0.41552287,1.3313229,0.029734235,1.2547278,0.18666634,0.43185112,0.49155033,0.07659857
-0.016959116,-0.41216213,1.3193399,0.03058418,1.2488198,0.18922246,0.43256915,0.48977506,0.0776558
-0.019350126,-0.4102283,1.3179075,0.03061532,1.2479419,0.1889167,0.43228394,0.489945,0.07777101
-0.01791139,-0.4086327,1.3124826,0.030999513,1.245359,0.1900398,0.43260404,0.48914838,0.07824754
-0.019122705,-0.40856272,1.3137497,0.030883806,1.2459852,0.18959038,0.43243346,0.48943958,0.07812698
-0.021969303,-0.4060766,1.3111104,0.030961283,1.2452289,0.18933529,0.432318,0.4893717,0.0783103
-0.016573384,-0.41080767,1.3152721,0.030834915,1.2476263,0.18986788,0.43293527,0.48908946,0.07797525
-0.01774092,-0.41016805,1.3154457,0.030802134,1.2474983,0.18956244,0.4327485,0.48928222,0.07796928
-0.016897514,-0.4134341,1.3221159,0.0304094,1.2504888,0.18875834,0.43260428,0.4899811,0.07741466
-0.015971377,-0.41253936,1.319322,0.030625107,1.2485626,0.18940692,0.43262884,0.4896844,0.077686734
