mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0060368627,-0.3220666,1.587611,0.017148765,1.2155613,0.15449569,0.6268219,0.33526862,0.037909564
-0.002780363,-0.3228565,1.584321,0.017315077,1.2144723,0.15549965,0.626971,0.3349501,0.038078975
-0.0041324347,-0.32271856,1.5863711,0.017223781,1.2151177,0.1549857,0.62692076,0.3351002,0.037979092
-0.002325043,-0.31374705,1.5563953,0.018370127,1.2036159,0.15902694,0.6254638,0.33499247,0.03954374
-0.0012529343,-0.31473643,1.5575242,0.01834407,1.2041216,0.1590793,0.6256364,0.3348783,0.03948531
-0.0019758195,-0.31604177,1.5627561,0.018134499,1.2060525,0.15828277,0.625835,0.33495334,0.03921172
-0.0038221925,-0.3158139,1.5651525,0.018012732,1.2070535,0.1576291,0.62584525,0.33507717,0.039077595
-0.004887268,-0.3190139,1.5762768,0.01757498,1.2117227,0.1560372,0.6264959,0.33502454,0.038479574
0.00028522313,-0.323682,1.5815028,0.017464427,1.2137601,0.1563619,0.6271977,0.33457813,0.038224164
0.001100257,-0.32234234,1.576813,0.017665148,1.2110225,0.15712416,0.62668425,0.33480838,0.03850733
-0.0046688765,-0.3154511,1.5663257,0.017972587,1.2063142,0.15738274,0.62542015,0.33551875,0.0390611
-0.006171271,-0.3155927,1.568831,0.017843435,1.2076529,0.15682214,0.62556815,0.33552992,0.038901966
-0.007227406,-0.31472933,1.5674181,0.017865885,1.2078874,0.1567775,0.62568223,0.335379,0.038938764
-0.0010887831,-0.31879646,1.5688138,0.01790406,1.209098,0.15771338,0.6264863,0.3346542,0.038859494
-0.0011620969,-0.31911904,1.5702579,0.017857356,1.2094536,0.15747645,0.6264876,0.33471137,0.03880104
-0.0054127425,-0.31637603,1.5692817,0.017827267,1.2091843,0.15675943,0.62613237,0.3350268,0.038840838
-0.005576715,-0.3152728,1.565694,0.017947277,1.2086328,0.15712635,0.6262181,0.33478624,0.03899572
-0.0010683984,-0.3171631,1.5633426,0.018101417,1.2084237,0.1582113,0.62669665,0.3341949,0.039108485
-0.0027147979,-0.32169563,1.5798067,0.017464487,1.2149837,0.15579621,0.62752706,0.33422315,0.03824982
8.006394e-05,-0.33217168,1.6066726,0.016553715,1.2252388,0.15302739,0.6291261,0.33396518,0.036908835
-0.0038940161,-0.33050525,1.6089767,0.016426548,1.2253903,0.15204203,0.62866926,0.33451673,0.03681399
0.005778149,-0.3367043,1.6117564,0.016484383,1.2253617,0.1535836,0.62920326,0.33406055,0.03673622
0.00047059357,-0.32702577,1.5932733,0.017085012,1.2157481,0.15500538,0.62694144,0.33532384,0.037734777
-0.008911833,-0.3208465,1.590916,0.017028857,1.2137784,0.15371567,0.6256908,0.33645904,0.037850216
-0.0042187423,-0.32453853,1.5935315,0.016994564,1.2147218,0.1544064,0.62618303,0.33610693,0.037710045
0.0015844256,-0.32107407,1.5738387,0.017813472,1.2060242,0.15803486,0.62520343,0.33602518,0.038771387
-0.00809662,-0.30286443,1.5361505,0.019120743,1.190577,0.16101006,0.62201077,0.3372028,0.04078643
-0.007506475,-0.29667753,1.5155592,0.019947303,1.1837654,0.16377822,0.6212803,0.3368499,0.041869823
-0.0038341135,-0.29120642,1.4920036,0.021001192,1.1760976,0.16750398,0.6206964,0.3361398,0.043163765
-0.0012476295,-0.29112202,1.4868108,0.021267464,1.1753255,0.16856614,0.62103444,0.33553272,0.04343282
0.002674535,-0.28911203,1.473917,0.021922313,1.1712642,0.1709318,0.6208956,0.33492422,0.044180136
0.004265383,-0.30010265,1.504375,0.020605342,1.1831148,0.16709979,0.6228766,0.3346949,0.042428534
-0.0020996183,-0.30210924,1.5214322,0.019776644,1.1896034,0.16356494,0.6233267,0.33521014,0.04146318
0.0021467358,-0.3042748,1.5204949,0.019885693,1.1896104,0.1644954,0.6237428,0.33474362,0.04151351
-0.0007443875,-0.30816668,1.5372481,0.019155117,1.1958886,0.16176613,0.62440103,0.335006,0.04059298
-0.008323118,-0.31699657,1.5762522,0.017525772,1.211372,0.1554223,0.6260992,0.33541763,0.038483135
-0.0059126467,-0.32028913,1.5812895,0.017363539,1.2143501,0.15521352,0.6269268,0.3348848,0.03818847
-0.00039057434,-0.3233297,1.5809522,0.017460898,1.2145581,0.15623799,0.62746954,0.33431676,0.0382137
0.00072593987,-0.32251853,1.5772076,0.017629368,1.2125754,0.15688452,0.6271687,0.33439183,0.038439464
-0.00249134,-0.31875098,1.5717787,0.017788744,1.209964,0.15696028,0.6264365,0.3348288,0.038734734
-0.0074463338,-0.31629002,1.5724769,0.017676694,1.2105763,0.15594593,0.6261987,0.33513382,0.038667474
-0.0019435734,-0.3262189,1.5923885,0.017026773,1.2188919,0.15453051,0.6279248,0.3344421,0.037633058
-0.0031897277,-0.3238302,1.5876366,0.017184658,1.2167859,0.15486343,0.62747806,0.33463603,0.037885994
-0.0012066215,-0.3290438,1.6001103,0.016775073,1.2213439,0.15372224,0.62820464,0.33452356,0.037271857
-0.007549569,-0.32568163,1.6010102,0.016652852,1.2213452,0.15246285,0.62762225,0.33515528,0.03722249
-0.006670043,-0.3213756,1.5860527,0.017185016,1.216212,0.1544309,0.62712836,0.33491996,0.0379517
-0.00029866397,-0.32280576,1.5793136,0.017524779,1.2139523,0.15642907,0.6273984,0.33430004,0.038301677
-0.0031723827,-0.3230062,1.5851431,0.017275458,1.215917,0.15514892,0.6273796,0.33460778,0.038012616
-0.0037016124,-0.32712966,1.5984192,0.01679364,1.2210474,0.15343198,0.62804097,0.33461994,0.037339162
-0.005804524,-0.32657695,1.6002935,0.016695462,1.2217921,0.15282148,0.627978,0.33478397,0.03723796
-0.0018511266,-0.3239767,1.5856906,0.01727342,1.2162521,0.15533198,0.627558,0.33446008,0.03798191
-0.0046919435,-0.32412362,1.591068,0.017038984,1.2182287,0.15413897,0.62758106,0.33471236,0.03770659
-0.0059361905,-0.32389957,1.592244,0.016972728,1.2190597,0.15374759,0.62767595,0.33469495,0.03762915
-0.0038321465,-0.33076137,1.6090161,0.01641258,1.2258985,0.1520944,0.6288484,0.33436942,0.036782213
-0.0019400567,-0.32959586,1.6025835,0.016669491,1.2231283,0.15321162,0.62856555,0.33431378,0.03712076
-0.0040196627,-0.32430047,1.5904914,0.017071186,1.2181481,0.15429455,0.6276544,0.33460802,0.037737653
-0.0020776242,-0.3289538,1.6011579,0.01672258,1.2221658,0.15338254,0.6283359,0.3344576,0.037206516
-0.007734701,-0.32483733,1.5984687,0.016733117,1.2210051,0.15267445,0.6276989,0.33497113,0.037329994
-0.005072877,-0.32826716,1.6037431,0.016578391,1.2236366,0.15252271,0.62839615,0.33455667,0.03704715
-0.002466306,-0.328685,1.6006258,0.016727392,1.2224199,0.1533695,0.62843776,0.33435038,0.037211932
-0.0027750582,-0.33027428,1.606241,0.016533792,1.2242273,0.1526344,0.6285797,0.33447263,0.036947772
-0.0031813234,-0.32848692,1.6018507,0.016686125,1.2220905,0.15311523,0.6281637,0.33465505,0.0371813
-0.0022432655,-0.32542038,1.5912738,0.017078495,1.2175674,0.15461579,0.6275282,0.33474243,0.037729453
-0.009214267,-0.3201458,1.5871421,0.017116506,1.2160589,0.15383744,0.62678087,0.335305,0.037914187
-0.004621491,-0.32619244,1.5967557,0.016829003,1.2206591,0.15350917,0.62796885,0.33463028,0.03740087
-0.00067691505,-0.3278033,1.5950811,0.016952226,1.2198765,0.1544285,0.628149,0.33434638,0.037504658
-0.0050480813,-0.32691914,1.600244,0.016712662,1.2214705,0.15298176,0.6279301,0.33481607,0.037253845
-0.004017219,-0.3229844,1.5865728,0.017211758,1.2163017,0.15483795,0.6273294,0.33472905,0.037941586
-0.009564742,-0.31761152,1.5794237,0.017375719,1.2142121,0.15463874,0.62673914,0.33499345,0.038267393
0.0025456697,-0.3286999,1.591635,0.017111305,1.2196516,0.1553731,0.62861246,0.33373863,0.03764895
-0.0020025223,-0.3271137,1.5954702,0.016924083,1.2202164,0.15404162,0.6281298,0.33438185,0.037488315
-0.0046455115,-0.32761645,1.601601,0.01667113,1.2223723,0.15282308,0.6281658,0.33465296,0.037181262
-0.00735949,-0.3295483,1.6117613,0.016274879,1.2264761,0.15112773,0.628539,0.3348028,0.036658134
-0.0035169572,-0.32692236,1.5971043,0.016835136,1.221091,0.15359843,0.62817985,0.3344354,0.037384767
-0.0007074326,-0.32862443,1.5976878,0.016862126,1.221029,0.15405123,0.6283348,0.33428943,0.037375733
-0.0047312826,-0.32968014,1.608076,0.01644733,1.2245157,0.15207252,0.6283713,0.33476102,0.036867682
-0.002656147,-0.3306995,1.6077148,0.016491914,1.2240493,0.15254311,0.6284045,0.33469725,0.036898263
-0.003124103,-0.32922238,1.6044428,0.01660522,1.2220956,0.1529111,0.627955,0.33496374,0.037081283
-0.0014283508,-0.31973714,1.5734222,0.017753538,1.2094926,0.15708232,0.6262207,0.3350953,0.03868403
-0.007215902,-0.31989545,1.5836974,0.017284341,1.2132651,0.1547783,0.6262422,0.3356188,0.038139064
-0.0071981996,-0.32005012,1.5835489,0.017277207,1.2138196,0.15480927,0.62645113,0.3354326,0.038116276
-0.004857287,-0.31975734,1.5782866,0.01749691,1.2123992,0.15585989,0.6265716,0.3350587,0.0383697
-0.001989469,-0.31700826,1.5651126,0.018032294,1.2076312,0.15797813,0.6261992,0.33474404,0.03905678
-0.0005147904,-0.316168,1.56026,0.018245146,1.2057562,0.1588234,0.6260505,0.33462596,0.03932355
-0.002250418,-0.31701452,1.5659083,0.018006533,1.207833,0.15776865,0.6261843,0.33478594,0.039029762
-0.001418516,-0.3169263,1.5642438,0.018083183,1.2071848,0.15813276,0.6261578,0.33472222,0.039119955
-0.0019934624,-0.31938308,1.5726808,0.017759124,1.2102926,0.15698458,0.6265183,0.3347987,0.038683042
-0.0031357259,-0.32191235,1.5822804,0.017389048,1.2138333,0.1556035,0.62688565,0.33492526,0.038189046
-0.0042033643,-0.32514948,1.5938225,0.016957311,1.2181612,0.15401797,0.627369,0.33503062,0.037600413
-0.006753966,-0.32132882,1.5865551,0.017175242,1.2154768,0.15443459,0.62682176,0.33522248,0.037955824
0.002811566,-0.32539123,1.5825127,0.017470337,1.2138362,0.15674098,0.62734365,0.334467,0.03818937
-0.0047020763,-0.3169462,1.5706489,0.017805506,1.2083323,0.15681645,0.6257765,0.33540136,0.038822103
-0.00384216,-0.3169459,1.5688734,0.017878205,1.2078967,0.1572225,0.6258372,0.3352617,0.03890118
-0.004200563,-0.31705844,1.5696317,0.01783972,1.2083493,0.1570719,0.6259063,0.3352428,0.03885097
0.0007238537,-0.3192827,1.5680127,0.017980894,1.2076324,0.15821214,0.62617964,0.3348675,0.03895286
