mu1,mu2,sigma1,sigma2,pi1,pi2
0.004850637,-0.005173877,0.35323435,0.019351214,0.40497258,0.59502745
0.007710915,-0.0040686876,0.35095003,0.01844303,0.40519345,0.59480655
0.0067060366,-0.004891351,0.35229716,0.018940575,0.40517643,0.59482354
0.014416698,-0.0016226321,0.34241784,0.015628876,0.40478662,0.59521335
0.014689919,-0.0015584975,0.34259963,0.01565199,0.40490845,0.5950915
0.01274997,-0.0020604283,0.3442244,0.016186645,0.40486518,0.5951348
0.010644969,-0.0026965886,0.34572133,0.016713975,0.40467596,0.59532404
0.00672549,-0.004222229,0.3502914,0.018267209,0.4047101,0.5952899
0.009640757,-0.0038358718,0.3505039,0.018159708,0.40548846,0.59451157
0.013038173,-0.0030386597,0.34763253,0.017159587,0.4057336,0.5942664
0.012412753,-0.002697125,0.34492838,0.016469045,0.40498903,0.59501094
0.010523956,-0.003100291,0.34654474,0.017037291,0.4048609,0.5951391
0.008414246,-0.0034994632,0.34748375,0.017388742,0.4044677,0.5955323
0.011340424,-0.0026453882,0.3467542,0.016963731,0.4050178,0.5949822
0.010851268,-0.0030944496,0.34727412,0.017128838,0.4050115,0.5949885
0.0074521154,-0.0041400343,0.3490079,0.017825853,0.40450275,0.59549725
0.0057762004,-0.0037672669,0.34877115,0.017784502,0.4040609,0.5959391
0.007606782,-0.0026298314,0.3470145,0.017082699,0.40416893,0.5958311
0.001822032,-0.005188778,0.35367915,0.019425182,0.40420663,0.5957934
-0.0012199394,-0.0075725466,0.36145347,0.02230558,0.4051821,0.59481794
-0.0032360293,-0.008523479,0.36264127,0.0229394,0.40495008,0.5950499
0.0062181093,-0.0059339553,0.3586058,0.020930387,0.40661022,0.5933898
0.011169653,-0.004043117,0.3507309,0.01822895,0.40624404,0.59375596
0.008236889,-0.004468873,0.35046518,0.01845156,0.40550873,0.59449124
0.013269547,-0.003189221,0.348901,0.01776361,0.40639654,0.5936035
0.025093298,0.00022910535,0.33898532,0.014522711,0.40707022,0.5929298
0.028627034,0.0019038767,0.3285431,0.01202423,0.40530086,0.5946992
0.03273448,0.004240796,0.32210258,0.010559762,0.40463433,0.59536564
0.03839909,0.0068514794,0.3136396,0.008818701,0.40377027,0.59622973
0.03833114,0.0073903054,0.31244606,0.008564223,0.4033853,0.5966147
0.042504523,0.008903667,0.30725962,0.007604556,0.40298367,0.5970164
0.033915345,0.005940184,0.31945723,0.009789976,0.40412936,0.5958707
0.023345757,0.0029120892,0.32811645,0.011833044,0.40374464,0.5962554
0.026468303,0.0040449947,0.32646766,0.011345308,0.4041491,0.5958509
0.020172726,0.0013164729,0.33385763,0.013206433,0.40434107,0.59565896
0.004845459,-0.0047152787,0.35081485,0.018565666,0.40437934,0.5956207
0.0037105493,-0.0051928908,0.35322103,0.019340428,0.4045494,0.59545064
0.0069019347,-0.00450857,0.35215753,0.018763563,0.4050764,0.59492356
0.0091829635,-0.0040182024,0.3502761,0.018058449,0.40524822,0.59475183
0.008526508,-0.003573373,0.3484331,0.01755834,0.40477505,0.595225
0.003966458,-0.0045735985,0.35059705,0.01846489,0.40410778,0.59589225
0.0029727556,-0.005747929,0.35614654,0.02028672,0.40508232,0.5949177
0.003023222,-0.005499795,0.35446745,0.019717919,0.4047506,0.5952494
0.0027938373,-0.0060985833,0.3571783,0.020662569,0.40535274,0.5946473
-0.0012491681,-0.0075974613,0.35928705,0.021707535,0.40474582,0.5952542
0.0014562346,-0.0061540753,0.3555556,0.020218737,0.40451103,0.59548897
0.006513711,-0.0040430576,0.35137168,0.01850749,0.4049044,0.5950956
0.0032524131,-0.0053465515,0.35387367,0.019498117,0.4046631,0.5953369
0.00041931123,-0.006775096,0.35825962,0.021167237,0.4049331,0.59506696
-0.0014682263,-0.007586494,0.35980383,0.021848217,0.40475175,0.5952483
0.004222609,-0.0052207857,0.3540911,0.019514782,0.40492412,0.59507585
0.0008007549,-0.0063070804,0.35644507,0.020508729,0.40462002,0.59537995
-0.0011200011,-0.0065820366,0.35736972,0.020923972,0.4043529,0.5956471
-0.0033664666,-0.008305684,0.36275724,0.022999765,0.4049068,0.59509325
-0.0003576614,-0.007356003,0.3600711,0.021812882,0.40508053,0.5949195
