mu1,mu2,sigma1,sigma2,pi1,pi2
-0.018746749,-0.027610011,0.38753033,0.6235557,0.6491222,0.35087785
-0.019591391,-0.026797362,0.3873412,0.62349623,0.6495379,0.35046205
-0.018999472,-0.02701544,0.3875779,0.62356037,0.6492721,0.3507279
-0.019244507,-0.026961379,0.38746884,0.6235317,0.64937913,0.3506209
-0.018819436,-0.027427621,0.38754752,0.6235577,0.64916635,0.35083368
-0.01891543,-0.027627416,0.3874398,0.62353206,0.64919287,0.35080716
-0.018841207,-0.027788334,0.3874304,0.6235313,0.6491505,0.35084957
-0.01882641,-0.027911909,0.38740176,0.62352496,0.64913577,0.35086426
-0.01855731,-0.028396927,0.38739577,0.623529,0.6489878,0.35101214
-0.0189673,-0.028160505,0.38725758,0.6234898,0.6491788,0.35082123
-0.019012094,-0.027905293,0.3873106,0.62350005,0.6492164,0.35078356
-0.018513203,-0.028518029,0.38738316,0.6235266,0.6489615,0.35103855
-0.018859997,-0.028430171,0.3872329,0.6234863,0.6491147,0.35088533
-0.018706113,-0.028502263,0.38729018,0.62350184,0.6490449,0.35095516
-0.018909723,-0.028307624,0.3872441,0.6234875,0.64914477,0.35085523
-0.0196594,-0.027108915,0.38721657,0.62346596,0.649547,0.35045308
-0.018849537,-0.027433239,0.38753176,0.6235526,0.64918023,0.35081977
-0.01892683,-0.027679943,0.3874189,0.62352693,0.64919436,0.3508056
-0.018564343,-0.028208695,0.38744742,0.62354046,0.64900374,0.35099623
-0.01817742,-0.029128693,0.38737297,0.6235319,0.64877504,0.35122496
-0.018985614,-0.02855242,0.38713306,0.6234618,0.6491592,0.3508408
-0.019277543,-0.027689196,0.38723984,0.6234787,0.6493447,0.35065535
-0.018061444,-0.02896794,0.38748017,0.6235572,0.6487383,0.35126168
-0.018566638,-0.029179998,0.38716152,0.62347627,0.6489381,0.3510619
-0.0184616,-0.029345877,0.38716665,0.62347895,0.6488828,0.35111722
-0.018865153,-0.028936915,0.38708243,0.6234519,0.64908284,0.35091713
-0.018850654,-0.028621726,0.3871827,0.62347424,0.64909905,0.35090098
-0.019008368,-0.028262533,0.38720796,0.623477,0.6491906,0.3508094
-0.019116461,-0.027851425,0.3872738,0.6234895,0.64926493,0.35073507
-0.018999845,-0.027765803,0.38735783,0.6235108,0.649221,0.350779
-0.019429207,-0.02714207,0.38732305,0.6234947,0.6494463,0.35055372
-0.019222692,-0.026928462,0.38749033,0.6235363,0.6493731,0.35062695
-0.01919362,-0.026853286,0.38752648,0.6235455,0.64936507,0.3506349
-0.018918723,-0.02718585,0.3875679,0.62356055,0.6492248,0.35077518
-0.019098356,-0.027160622,0.38748407,0.6235384,0.6493027,0.35069728
-0.018989354,-0.02726435,0.38750914,0.6235458,0.64924955,0.35075042
-0.018903375,-0.027489997,0.38748637,0.62354255,0.64919734,0.35080266
-0.018829241,-0.027747668,0.38744834,0.6235355,0.6491481,0.35085192
-0.019121245,-0.027511902,0.38736984,0.62351197,0.64928895,0.3507111
-0.019228995,-0.027193509,0.3874092,0.62351817,0.6493574,0.35064265
-0.018977076,-0.02738779,0.3874797,0.62353903,0.6492366,0.35076338
-0.018775657,-0.027803622,0.38745922,0.62353885,0.64912164,0.35087836
-0.019348219,-0.027236901,0.38733563,0.6234997,0.64940447,0.3505956
-0.019282565,-0.026889183,0.3874715,0.62353086,0.64940125,0.35059872
-0.018634483,-0.027657978,0.3875736,0.6235672,0.6490717,0.3509283
-0.019114226,-0.02750326,0.38737538,0.62351376,0.6492858,0.3507142
-0.018813744,-0.02770073,0.38747036,0.62354046,0.64914525,0.35085478
-0.0186484,-0.0281597,0.38741907,0.62353253,0.6490427,0.35095727
-0.019010633,-0.027937151,0.3873011,0.62349874,0.64921254,0.3507875
-0.018738672,-0.028131165,0.3873824,0.623522,0.649084,0.350916
-0.018688157,-0.028395839,0.38733,0.6235115,0.6490439,0.3509561
-0.018743426,-0.028471641,0.38728002,0.62349904,0.64906245,0.35093755
-0.019372672,-0.027649961,0.38720283,0.6234688,0.64938736,0.35061264
-0.019093156,-0.027453788,0.38740233,0.6235187,0.64928246,0.35071754
-0.01919043,-0.027278997,0.3874037,0.6235177,0.6493351,0.35066494
-0.019495979,-0.026695855,0.38742,0.62351525,0.6495052,0.3504948
-0.019042045,-0.026905887,0.38758817,0.62356204,0.6492974,0.35070258
-0.018295407,-0.028142668,0.3876024,0.6235811,0.648893,0.351107
-0.018552989,-0.02855993,0.38734898,0.62351954,0.64897335,0.35102668
-0.018599391,-0.028644241,0.38730168,0.6235072,0.6489884,0.35101154
-0.018297955,-0.029196747,0.3872926,0.6235111,0.6488224,0.35117757
-0.018580273,-0.029234402,0.3871388,0.62347066,0.6489404,0.35105965
-0.018655166,-0.029141419,0.38712886,0.6234664,0.6489796,0.35102043
-0.01891698,-0.028750472,0.38711134,0.623457,0.64911836,0.35088164
-0.018611073,-0.028929792,0.3872137,0.6234859,0.6489759,0.3510241
-0.019269377,-0.028154038,0.38710758,0.62344927,0.6493091,0.3506909
-0.019324586,-0.027437069,0.38729042,0.6234887,0.6493826,0.3506174
-0.019104168,-0.027339064,0.38743022,0.62352496,0.6492948,0.35070524
-0.01860261,-0.027994774,0.38749093,0.62354934,0.64903504,0.35096496
-0.019266665,-0.027462177,0.3873105,0.62349594,0.64935386,0.3506462
-0.018919155,-0.027480982,0.38748172,0.62354064,0.64920557,0.35079443
-0.019125178,-0.027345024,0.38741678,0.62352246,0.64930195,0.35069802
-0.018994227,-0.027387686,0.3874708,0.6235369,0.6492436,0.3507564
-0.019534439,-0.026709683,0.3873961,0.6235094,0.64952016,0.35047987
-0.019079879,-0.026852079,0.38758498,0.6235604,0.64931744,0.35068256
-0.019279212,-0.02679246,0.38750073,0.62353826,0.6494054,0.3505946
-0.018735617,-0.027401708,0.38759735,0.62357074,0.64913213,0.3508679
-0.01894188,-0.027546816,0.3874497,0.62353396,0.6492092,0.3507908
-0.018940046,-0.027559556,0.3874475,0.623533,0.64920837,0.3507917
-0.019351557,-0.027061038,0.3873856,0.6235107,0.64941806,0.35058197
-0.018403351,-0.028029136,0.38758194,0.62357354,0.64894795,0.35105205
-0.018997654,-0.027961187,0.38730004,0.62349916,0.6492046,0.35079542
-0.018847585,-0.027966224,0.38737565,0.6235183,0.6491418,0.3508582
