mu1,mu2,sigma1,sigma2,pi1,pi2
-0.00862515,-0.06228289,0.18745328,0.52897966,0.81147593,0.1885241
-0.008121908,-0.06340538,0.18744494,0.5290189,0.8112553,0.18874474
-0.008478209,-0.06308921,0.18731885,0.5289299,0.81144595,0.18855405
-0.008774966,-0.06322047,0.18710536,0.5288071,0.8116305,0.18836954
-0.008421227,-0.06364368,0.18720572,0.52888316,0.81144404,0.18855593
-0.00841856,-0.06351367,0.18724176,0.5289,0.81143486,0.18856514
-0.008754402,-0.062383637,0.18734224,0.5289179,0.81156605,0.18843396
-0.008744925,-0.061161965,0.18766935,0.5290695,0.8114915,0.18850857
-0.0074641258,-0.063892245,0.1876995,0.5291922,0.8109032,0.18909673
-0.007328853,-0.06651251,0.18709256,0.52892363,0.8109697,0.18903035
-0.008819744,-0.064995095,0.18662375,0.52858025,0.8117459,0.18825409
-0.009077504,-0.06359322,0.18684691,0.5286612,0.81180984,0.18819015
-0.00949274,-0.061094984,0.18725786,0.5288158,0.81191206,0.18808793
-0.008240655,-0.06240031,0.18763247,0.5290956,0.8112753,0.18872468
-0.008247405,-0.06275362,0.18753448,0.52904993,0.81130034,0.18869968
-0.009189531,-0.060211837,0.18764834,0.5290226,0.81170696,0.18829304
-0.009235099,-0.05807945,0.18818788,0.52926666,0.8116088,0.18839121
-0.008253306,-0.058395356,0.18867883,0.5295757,0.8110598,0.18894026
-0.008201182,-0.057121217,0.18904234,0.52974695,0.8109623,0.18903773
-0.0068340898,-0.059423327,0.18923837,0.52995294,0.81029695,0.1897031
-0.0075458586,-0.059355274,0.18884818,0.5297131,0.81069547,0.18930458
-0.005057037,-0.06737116,0.18819702,0.52962554,0.80969447,0.1903055
-0.0064845234,-0.07062954,0.18652986,0.5287339,0.81068575,0.1893143
-0.008689836,-0.06857139,0.18578619,0.528202,0.811849,0.18815102
-0.0076729953,-0.0720257,0.18548952,0.52814966,0.8114393,0.18856077
-0.007086739,-0.077776566,0.18432847,0.52765864,0.81143016,0.18856981
-0.010572866,-0.0742318,0.18323183,0.5268503,0.81325537,0.18674465
-0.0111417025,-0.07177892,0.18353297,0.5269436,0.8134508,0.18654923
-0.011168674,-0.06971456,0.18403919,0.52717894,0.8133631,0.18663691
-0.010885775,-0.067473784,0.1847652,0.52754277,0.81309354,0.18690649
-0.010281563,-0.06661475,0.18532842,0.5278631,0.81269747,0.1873025
-0.00889577,-0.06733793,0.18594894,0.52826214,0.81194097,0.18805902
-0.009747729,-0.06425345,0.18626586,0.52833647,0.81225365,0.18774632
-0.008578479,-0.065478265,0.18662833,0.5286033,0.8116434,0.1883566
-0.008753553,-0.064458475,0.18680283,0.528677,0.8116652,0.18833484
-0.009496242,-0.060214713,0.18747796,0.52891755,0.81187433,0.1881257
-0.008926228,-0.059110194,0.18810178,0.5292531,0.811483,0.188517
-0.0077846646,-0.06091784,0.18828939,0.52943665,0.81092817,0.18907188
-0.007578209,-0.06252438,0.18798174,0.529313,0.8109042,0.18909578
-0.008261904,-0.062067688,0.18770784,0.52912855,0.8112686,0.1887314
-0.009240016,-0.058834627,0.18799432,0.52917683,0.8116452,0.18835482
-0.007560864,-0.06056471,0.18852293,0.5295625,0.81076884,0.18923117
-0.008025438,-0.060299203,0.18831775,0.52942884,0.8110263,0.18897372
