mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.013122148,0.019504711,-0.02156809,0.0687124,0.017779728,0.011176763,0.00059756974,0.66858554,0.33081684
0.018426843,0.017709896,-0.02033189,0.06873216,0.01778855,0.011258332,0.00059825304,0.6707153,0.32868648
0.021390386,0.017654344,-0.019162446,0.069048874,0.017797468,0.011322011,0.000600206,0.67239356,0.32700625
0.020696111,0.0183485,-0.019213706,0.06908227,0.017771695,0.011297774,0.0005991333,0.67230076,0.32710013
0.020338722,0.01757221,-0.019390672,0.06976308,0.01803293,0.011482731,0.00061439746,0.671688,0.32769763
0.019757695,0.01765196,-0.019580334,0.06965259,0.018010922,0.011455869,0.000612838,0.67141885,0.3279683
0.01951117,0.017158791,-0.01967749,0.06996798,0.018142903,0.011547492,0.00062047853,0.671064,0.3283155
0.01980383,0.017039582,-0.019531459,0.06993909,0.018132057,0.011544677,0.00061985146,0.67123985,0.32814035
0.015296287,0.018289372,-0.020969063,0.0696822,0.018091317,0.011440045,0.0006165843,0.66914445,0.3302389
0.018405266,0.01720123,-0.020191222,0.06962443,0.018076021,0.011473971,0.00061571767,0.6704415,0.32894275
0.019122548,0.018302485,-0.019854456,0.06886792,0.017759385,0.011257372,0.0005975419,0.6713884,0.3280141
0.021158524,0.017697975,-0.019210726,0.06918881,0.017840235,0.011351012,0.00060281245,0.6722619,0.3271353
0.01870174,0.018033788,-0.019918174,0.06963461,0.018007638,0.011436777,0.0006125663,0.6709349,0.3284525
0.01583428,0.018396184,-0.02096513,0.06960019,0.018054543,0.011420168,0.0006144923,0.6693673,0.33001822
0.01616747,0.0179476,-0.021036893,0.0696117,0.018087542,0.011444887,0.00061610073,0.6693067,0.33007726
0.018742032,0.01741378,-0.020174176,0.06968782,0.018076088,0.011480272,0.0006160162,0.67059356,0.3287904
0.02161748,0.016947195,-0.019042403,0.069888614,0.018080322,0.011536691,0.00061724905,0.6721529,0.3272299
0.01656098,0.01833789,-0.020505577,0.069881566,0.018110448,0.011479091,0.0006184476,0.66983813,0.32954344
0.018623658,0.017806336,-0.020103067,0.069324665,0.017942198,0.011381487,0.000608085,0.67080784,0.32858405
0.018208094,0.017873093,-0.020225734,0.06948265,0.017994031,0.011413749,0.0006112135,0.67055863,0.32883018
0.020542927,0.017249271,-0.01944217,0.06962937,0.018015582,0.011468955,0.0006129811,0.67167133,0.32771575
