mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.10341242,-0.0005102018,-1.322132,0.21360983,0.02409771,0.42970973,0.011143585,0.978925,0.009931467
0.10523847,0.00053252187,-1.3278164,0.21267918,0.023769826,0.42896843,0.010979275,0.9792382,0.009782497
0.106039494,0.0009037396,-1.330586,0.21222067,0.023612471,0.42860976,0.01089957,0.9793905,0.009709971
0.102529794,-0.0002280334,-1.3168845,0.21452977,0.024396649,0.43037078,0.01130206,0.9786203,0.010077673
0.10436079,0.0010659834,-1.321849,0.2137272,0.024103273,0.42969763,0.011157547,0.97889566,0.00994678
0.103194326,-8.605514e-05,-1.3197626,0.21403444,0.024229484,0.42998496,0.011215674,0.97878635,0.009997983
0.10325852,0.00031115022,-1.3188587,0.21420582,0.024278117,0.43007845,0.011244051,0.9787315,0.010024399
0.10122523,-0.0011347393,-1.3134053,0.21508597,0.024602536,0.4308092,0.0114038475,0.9784274,0.010168778
0.101226,-0.00095222984,-1.3128089,0.21519943,0.024636433,0.43088776,0.011422835,0.9783904,0.010186796
0.103419274,-0.0004991153,-1.3221263,0.21361169,0.02409804,0.42971158,0.011143822,0.97892445,0.009931756
0.10157588,-0.0002139667,-1.312146,0.21535182,0.024671137,0.43097067,0.011446111,0.9783438,0.010210081
0.10002306,-0.0010298351,-1.3070568,0.21620199,0.024975248,0.4316439,0.011599832,0.97805005,0.010350168
0.09953585,-0.0011195997,-1.3049135,0.2165739,0.025103074,0.43192762,0.011666243,0.9779224,0.01041138
0.099682,-0.00015603099,-1.30261,0.21701847,0.02523316,0.43218964,0.011741744,0.9777759,0.010482384
0.10203895,-0.00036858115,-1.3148714,0.21487519,0.024514565,0.4306423,0.011362733,0.97850364,0.0101336
0.10306862,5.9737824e-05,-1.3185796,0.2142531,0.024298133,0.43016422,0.011252291,0.97871476,0.010032945
0.10708973,0.0013582846,-1.3342702,0.2116139,0.023405772,0.42814934,0.01079454,0.97959065,0.009614822
