mu1,mu2,sigma1,sigma2,pi1,pi2
-0.009246871,0.0054833815,0.03222884,0.054650497,0.52644587,0.4735541
-0.00638251,0.009458415,0.032278687,0.05486956,0.5259537,0.47404626
-0.004246518,0.00923764,0.032324266,0.05493332,0.5260355,0.47396448
-0.0043834895,0.007419221,0.032372545,0.054935344,0.5262827,0.47371727
-0.0020109266,0.008725755,0.029444668,0.050840657,0.5259777,0.47402233
-0.0025599152,0.00815212,0.029689897,0.05117132,0.52604204,0.47395793
-0.0014189035,0.009223096,0.028400678,0.049363635,0.52583295,0.47416705
-0.0013292581,0.009171598,0.028719043,0.049821217,0.5258411,0.4741589
-0.0048120767,0.00816559,0.028703524,0.04975317,0.5259884,0.47401166
-0.0032746643,0.0102372095,0.029149543,0.050465204,0.5257309,0.47426906
-0.0059105605,0.007811539,0.032572877,0.055225786,0.5262109,0.47378913
-0.0036479086,0.008540623,0.031718504,0.054057635,0.52608967,0.4739104
-0.003491059,0.008398287,0.029586077,0.051026765,0.5260336,0.47396642
-0.0050052553,0.008628361,0.028729826,0.049802285,0.5259637,0.47403628
-0.00477387,0.010139339,0.028349362,0.04930422,0.5257525,0.47424755
-0.003249839,0.010769717,0.028752098,0.049909778,0.5256939,0.47430608
-0.0010059923,0.010288827,0.029163426,0.05049377,0.52576524,0.4742348
-0.0037569553,0.008248918,0.02841304,0.049340207,0.5260035,0.47399655
-0.004276946,0.00864505,0.030350622,0.05212192,0.5260015,0.47399852
-0.004199192,0.009050481,0.029682271,0.051183555,0.5259414,0.47405866
-0.0023239404,0.009599797,0.029732078,0.05128025,0.52586436,0.47413564
0.0001963526,0.009659164,0.02903397,0.05029362,0.5258128,0.47418725
-0.0027998239,0.007514827,0.029078238,0.050276738,0.52608824,0.47391176
-0.001820609,0.008317225,0.031062184,0.053132698,0.5260267,0.47397333
-0.004264161,0.006904833,0.03136685,0.053505305,0.5262477,0.4737523
-0.003283009,0.008257382,0.030641023,0.05252738,0.52603954,0.4739605
-0.0017248839,0.009253375,0.029318439,0.050681613,0.52586377,0.4741363
-0.002507165,0.00787019,0.031263757,0.053399675,0.5261154,0.47388458
-0.0032084733,0.0072988197,0.031358253,0.053510517,0.5261946,0.47380546
-0.0031795353,0.0074189827,0.031685106,0.053976007,0.5261862,0.47381383
-0.0016030222,0.00801646,0.031065276,0.05312765,0.526081,0.47391897
0.002908036,0.008693688,0.030806044,0.05280304,0.52595055,0.4740495
-0.00039441884,0.004923098,0.032373156,0.0548713,0.5264866,0.4735134
0.00050483644,0.0060502216,0.03186498,0.054201346,0.5262797,0.4737203
-0.00044117868,0.0055084154,0.033305176,0.056198467,0.5263969,0.47360313
-0.0021432787,0.0051221773,0.033442114,0.05636824,0.52646154,0.47353846
-0.00350596,0.0057327673,0.03314632,0.055970557,0.526387,0.473613
-0.0056372136,0.0063685104,0.032525428,0.055113472,0.5263181,0.4736819
-0.0069556683,0.0073567554,0.032660622,0.055330265,0.5262331,0.47376695
-0.0059870034,0.008352868,0.03273242,0.05546836,0.5261414,0.47385862
-0.0045898706,0.00837528,0.032065734,0.05453697,0.52613735,0.47386268
-0.002420172,0.009208314,0.029246246,0.050570995,0.52591866,0.47408134
-0.0006317049,0.008873574,0.030149579,0.051858142,0.52596265,0.47403738
-0.0011448413,0.007673256,0.029722126,0.051208492,0.52608716,0.4739129
-0.00076310337,0.008132331,0.02927243,0.05058372,0.5259795,0.4740205
0.00078080595,0.00840687,0.030249804,0.051995065,0.52595776,0.47404227
-0.0006736368,0.006772034,0.030979158,0.052970067,0.52619743,0.47380257
-0.0014162511,0.0063166544,0.032597907,0.055231668,0.52630013,0.47369993
-0.0030809194,0.0056754276,0.0335034,0.056467526,0.5264257,0.47357425
-0.0050371736,0.005993359,0.032605365,0.055214085,0.5263753,0.4736247
-0.004173115,0.0077378675,0.03202562,0.054463815,0.5261425,0.4738575
-0.0047666878,0.007648103,0.03182488,0.05417449,0.5261775,0.47382247
-0.0035412163,0.0085871145,0.030645888,0.052543458,0.5260201,0.47397986
-0.0010570735,0.008649699,0.03154563,0.05382987,0.52603316,0.47396687
