mu1,mu2,sigma1,sigma2,pi1,pi2
0.0088727325,0.0017161146,0.30652058,0.016922373,0.39267552,0.6073245
0.009637997,0.0008158758,0.30685395,0.017020177,0.3921365,0.6078635
0.0098737925,0.000618957,0.30685782,0.017020425,0.3920041,0.60799587
0.009703502,0.001063697,0.30583844,0.016719079,0.3922028,0.6077972
0.011580452,-0.000698559,0.30568093,0.016667971,0.39105242,0.60894763
0.010436043,0.0005523935,0.30535108,0.016573982,0.39181978,0.6081802
0.011671886,-0.00049287826,0.30470747,0.016384257,0.39109603,0.608904
0.0100887865,0.0011592135,0.30434445,0.01628342,0.39212492,0.6078751
0.01010941,0.0010621473,0.30440593,0.016301563,0.3920786,0.60792136
0.009085283,0.0017392561,0.30550814,0.016623965,0.39261213,0.6073879
0.010392651,0.000656195,0.30477354,0.016407175,0.39185447,0.60814553
0.009364352,0.0016320422,0.3049349,0.016456267,0.39249256,0.6075074
0.008948132,0.0018394664,0.3054926,0.01662009,0.39268214,0.60731786
0.010770127,0.00010470301,0.3054293,0.016596861,0.39155698,0.608443
0.008916184,0.0015357658,0.30692694,0.017043468,0.39259917,0.60740083
0.00900726,0.0012465045,0.3074763,0.0172084,0.3924692,0.6075308
0.009159967,0.0007977113,0.30863428,0.017559333,0.3922765,0.60772353
0.00845091,0.0014840737,0.30865252,0.017566768,0.39271948,0.60728055
0.008382544,0.0014866665,0.30878714,0.017608471,0.39273754,0.60726243
0.009784028,0.0003254339,0.30812004,0.01740093,0.39192978,0.60807025
0.00863485,0.0013621673,0.3085163,0.017524429,0.39262575,0.6073743
0.012750909,-0.0022623166,0.30725858,0.017132642,0.39018157,0.60981846
0.013401017,-0.002220638,0.3053567,0.01656724,0.3900178,0.6099822
0.009753928,0.0012579635,0.30543655,0.01660005,0.39226916,0.6077308
0.012517318,-0.001109235,0.30397704,0.016172254,0.39063612,0.6093639
0.0104328245,0.0012026355,0.30311498,0.015932044,0.3920395,0.60796046
0.013166115,-0.001203604,0.30205992,0.015630465,0.39040864,0.6095914
0.01164864,0.0006831363,0.300779,0.015281054,0.39149988,0.6085002
0.011798605,0.00076850504,0.29970047,0.014989601,0.3914733,0.6085267
0.011595473,0.0009335801,0.29978526,0.015012886,0.39158845,0.60841155
0.010961339,0.0016311631,0.29940724,0.0149132395,0.39200848,0.6079916
0.01197724,3.3430755e-05,0.30159417,0.01550471,0.39117184,0.6088281
0.010407791,0.0009823814,0.30380222,0.016127564,0.39196724,0.6080328
0.0100737065,0.0013777688,0.30337232,0.016006567,0.39219314,0.60780686
0.0092065185,0.0017576739,0.3049589,0.016463831,0.39257938,0.6074207
0.009972498,0.0010459349,0.30480185,0.016416498,0.39210963,0.60789037
0.008985683,0.001517944,0.30662712,0.016954258,0.39256787,0.6074321
0.009814844,0.00062219054,0.3069295,0.017042276,0.39201853,0.60798144
0.009998664,0.00044105202,0.30707514,0.017085003,0.39190775,0.60809225
0.00942938,0.00095982105,0.3072042,0.017125094,0.3922525,0.60774755
0.008154437,0.0021414384,0.30726817,0.017147955,0.39302593,0.6069741
0.0113000125,-0.0010307059,0.30772573,0.017277451,0.39102218,0.60897785
0.009512886,0.0008490011,0.30752313,0.017220201,0.39219797,0.60780203
0.009777173,0.0006655678,0.30703142,0.01707252,0.39204893,0.6079511
0.011472806,-0.00062607974,0.3058521,0.016718362,0.391111,0.60888904
0.008904085,0.0018958524,0.305792,0.016707072,0.39272678,0.6072732
0.009087667,0.0016937181,0.30553824,0.016633064,0.39259174,0.6074082
0.010112926,0.0006446019,0.30579993,0.016707024,0.3919356,0.6080644
0.010208175,0.000519,0.3060623,0.01678363,0.39187026,0.60812974
0.010119304,0.00066111237,0.30587298,0.016728094,0.39194474,0.6080553
0.010047182,0.0009933785,0.3048882,0.016440934,0.3920753,0.6079247
0.009492442,0.0011067167,0.30639172,0.016882952,0.3922799,0.6077201
0.008847937,0.0016426966,0.3066511,0.016961759,0.3926507,0.60734934
0.009220049,0.0011752024,0.3069786,0.0170586,0.3923808,0.6076192
