mu1,mu2,sigma1,sigma2,pi1,pi2
0.0070042983,0.035800047,0.032986015,0.2473578,0.9532238,0.046776194
0.009516276,0.027861156,0.032964107,0.24712539,0.9528502,0.047149785
0.008607753,0.027048118,0.03295659,0.24746463,0.9527436,0.04725636
0.00720831,0.030074604,0.032916624,0.24760765,0.9529071,0.04709294
0.007107921,0.030797727,0.032661203,0.24705485,0.9532399,0.04676009
0.0070608184,0.0316071,0.03260475,0.2469024,0.95335513,0.04664489
0.0073490813,0.031215318,0.0325753,0.24676457,0.9533836,0.046616375
0.007531397,0.030702807,0.0326265,0.24681312,0.9533183,0.04668165
0.0069338754,0.03464768,0.03238742,0.2462156,0.95382375,0.046176232
0.0085008815,0.02976603,0.0325714,0.24649079,0.95336616,0.04663382
0.0080223605,0.02968765,0.033088908,0.24774162,0.95272964,0.047270413
0.007993601,0.028468736,0.033008844,0.24768642,0.9527298,0.04727022
0.0069719777,0.03205744,0.03257932,0.24682398,0.953417,0.04658298
0.0070142224,0.034157492,0.032265548,0.2459994,0.9539228,0.046077207
0.007926531,0.032153524,0.03233371,0.24601993,0.95375586,0.046244193
0.008280583,0.029658206,0.032446332,0.24632104,0.9534821,0.046517935
0.007907338,0.028493263,0.03252262,0.24665198,0.9533068,0.046693217
0.006378196,0.03458292,0.032300666,0.2462081,0.9538859,0.046114143
0.007873632,0.030814506,0.0326938,0.24688785,0.95324975,0.04675024
0.0077261105,0.030900247,0.03280154,0.24717958,0.95310795,0.046891995
0.007976346,0.029100098,0.03272812,0.24704994,0.9530996,0.0469004
0.0075863525,0.028761156,0.03262098,0.2469217,0.95319873,0.046801247
0.0064319298,0.033746757,0.03256099,0.24679644,0.95353496,0.046465058
0.008150481,0.027989455,0.033363316,0.24841651,0.95228934,0.04771069
0.007179402,0.031369604,0.033249255,0.24823456,0.9525976,0.047402397
0.0078024045,0.03017456,0.032912485,0.2474023,0.95295435,0.047045674
0.007761918,0.029909976,0.03268316,0.24691309,0.9532155,0.04678451
0.007662855,0.029283889,0.03306737,0.24781424,0.95271397,0.04728606
0.007366188,0.030273058,0.033186965,0.24809222,0.95262045,0.047379535
0.00762742,0.029618539,0.03318689,0.24807511,0.95258534,0.047414675
0.00770957,0.028559424,0.033226028,0.24822444,0.95246404,0.047535952
0.009340815,0.025237955,0.03361496,0.24953784,0.95169675,0.048303243
0.0062307343,0.030371554,0.03373518,0.24957362,0.95192534,0.04807468
0.007278569,0.028388001,0.0338795,0.2496988,0.9516774,0.048322648
0.007523559,0.027530082,0.034208942,0.25036687,0.9512489,0.04875117
0.0072976574,0.029264845,0.034043048,0.24994396,0.95156187,0.04843812
0.007588215,0.030119158,0.033547215,0.24872468,0.9522349,0.047765065
0.007683255,0.031512506,0.03327192,0.24804898,0.95264304,0.047356986
0.008224897,0.030616678,0.033253603,0.24794258,0.95261896,0.047381055
0.00852146,0.02876953,0.033034686,0.24753968,0.9527611,0.04723886
0.0079275,0.029064067,0.032847725,0.24731532,0.9529604,0.047039572
0.007266648,0.0307113,0.03258166,0.246837,0.95333886,0.046661112
0.0076139197,0.028311767,0.032956302,0.24770954,0.9527534,0.04724659
0.0067776516,0.030889578,0.033060234,0.24801195,0.95275235,0.047247663
0.007190965,0.030636854,0.03299719,0.24774085,0.9528455,0.047154482
0.007866479,0.027517922,0.03329674,0.24836533,0.95233285,0.047667164
0.0070999637,0.029629774,0.03352567,0.24891919,0.9521689,0.047831114
0.0075962916,0.028417297,0.03372061,0.24923687,0.9518994,0.048100613
0.007463746,0.02926565,0.033773366,0.24934708,0.9518813,0.04811877
