mu1,mu2,sigma1,sigma2,pi1,pi2
0.04237465,-0.013981238,0.084876,0.018332357,0.011999055,0.9880009
0.042342223,-0.01510717,0.08534373,0.018467763,0.012093901,0.9879061
0.042277314,-0.014825299,0.08530956,0.018465525,0.012093098,0.98790693
0.043078937,-0.012883261,0.08367084,0.017937487,0.01170514,0.98829484
0.042189278,-0.009804979,0.08350643,0.01797796,0.011749461,0.9882505
0.0420324,-0.008549586,0.0832105,0.017912807,0.01170563,0.98829436
0.041611113,-0.0051019937,0.08239382,0.017733404,0.011583919,0.9884161
0.042123593,-0.0054366738,0.08195686,0.017569674,0.011457219,0.9885428
0.042626537,-0.006939307,0.0819616,0.017527197,0.011416844,0.9885832
0.04296217,-0.011968687,0.083460286,0.017903458,0.011676898,0.98832315
0.04368774,-0.010306969,0.08204145,0.017445823,0.011343246,0.98865676
0.044251956,-0.012130335,0.082095146,0.017401323,0.011305582,0.9886944
0.04473404,-0.015201047,0.08270112,0.017513463,0.011379463,0.9886205
0.044306554,-0.013337746,0.082479075,0.017488305,0.0113717355,0.9886282
0.043521203,-0.017540708,0.08493397,0.018225498,0.011908265,0.9880917
0.04333339,-0.019234613,0.08579623,0.018479865,0.012091884,0.9879081
0.04243491,-0.021434978,0.08768885,0.01909269,0.012543502,0.9874565
0.042655326,-0.022181287,0.08772533,0.019080803,0.0125306565,0.9874693
0.042914487,-0.023265615,0.08784952,0.019088717,0.012531454,0.9874686
0.04284487,-0.02027084,0.08675816,0.018793907,0.012323303,0.98767674
0.04264275,-0.02150251,0.08747313,0.019010589,0.012481786,0.98751825
0.04115144,-0.012606159,0.085737325,0.018684499,0.012274964,0.987725
0.039648272,-0.0022300035,0.083491616,0.018215992,0.011965529,0.9880345
0.03963194,-0.004075125,0.084207654,0.018430313,0.012111381,0.98788863
0.039773382,0.0012357086,0.082070865,0.017837942,0.011680574,0.9883194
0.04100535,0.0011292547,0.08077338,0.01737288,0.0113261845,0.98867387
0.041077115,0.0056625456,0.079067625,0.016904317,0.010992924,0.9890071
0.042254604,0.0077615827,0.07710084,0.016268117,0.010527209,0.9894728
0.043637253,0.008966312,0.07527806,0.015663026,0.010083575,0.98991644
0.044391073,0.007174298,0.07512622,0.015556057,0.009999598,0.9900004
0.045789994,0.0055817217,0.07425633,0.015207403,0.009739135,0.9902609
0.044343747,0.0006567687,0.07740716,0.01615015,0.010420753,0.98957926
0.043214537,-0.00554581,0.08081248,0.017158063,0.011148303,0.9888517
0.04411397,-0.0059983283,0.080010556,0.016858276,0.01092379,0.98907626
0.044032373,-0.011914626,0.082256556,0.01746678,0.011354702,0.9886453
0.044496752,-0.011991397,0.08177602,0.017289799,0.011224434,0.9887756
0.0437989,-0.017328933,0.08454159,0.018099017,0.011809977,0.98819005
0.043423213,-0.017294005,0.084951654,0.01824421,0.011921048,0.988079
0.04284487,-0.016419426,0.08527257,0.018386902,0.012033486,0.98796654
0.04261724,-0.016606286,0.085603155,0.01850076,0.012118086,0.9878819
0.04337666,-0.018975988,0.085648514,0.018439464,0.012060238,0.9879398
0.041886248,-0.01653643,0.086413704,0.01880131,0.012343027,0.98765695
0.04164163,-0.015668646,0.0863591,0.018811835,0.012354508,0.9876455
0.041800357,-0.014396623,0.085687324,0.018614192,0.012208829,0.9877912
0.041573323,-0.009185806,0.08396097,0.0181642,0.011891384,0.98810863
0.042284288,-0.0112796575,0.08395575,0.018096445,0.011829392,0.9881706
0.043400027,-0.012887731,0.08331682,0.017816534,0.011610909,0.9883891
0.043401517,-0.013379231,0.083498634,0.017863236,0.01164521,0.9883548
0.043035664,-0.013287917,0.08387134,0.017995683,0.011747413,0.9882526
0.04297451,-0.012400821,0.083605364,0.017926443,0.011700805,0.9882992
0.043650724,-0.010314837,0.08208208,0.017447721,0.011351609,0.9886484
0.04291085,-0.014479652,0.08446096,0.018165331,0.011871538,0.9881285
0.043343343,-0.016565457,0.0847655,0.018206427,0.011893003,0.988107
0.04344646,-0.017845169,0.08513658,0.018296368,0.011955589,0.98804444
0.042356648,-0.018949643,0.08680905,0.018862924,0.012378409,0.9876216
0.042653777,-0.016468838,0.085509256,0.01847376,0.012097006,0.987903
0.041939653,-0.009811953,0.083785444,0.018072087,0.011823834,0.9881761
0.04203538,-0.011211708,0.084207155,0.018181855,0.011898305,0.9881017
0.042194583,-0.012757972,0.084615186,0.018284185,0.011965101,0.9880349
0.04187361,-0.011294618,0.08442212,0.018265408,0.011956011,0.98804396
0.041336335,-0.0074075013,0.08355772,0.018081356,0.0118341865,0.98816586
0.041437842,-0.005069509,0.08257352,0.017803848,0.011634399,0.98836565
0.041934945,-0.0018413216,0.080846764,0.017289137,0.011260243,0.9887397
0.04234127,1.3276935e-05,0.07974221,0.016954826,0.011016641,0.98898333
