mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.009311721,0.17102054,0.017564863,0.4916622,0.06758285,0.019723967,0.0068142754,0.20503394,0.7881518
-0.009002969,0.17461687,0.01612112,0.49063757,0.06578515,0.018915989,0.0065289624,0.20325741,0.79021364
-0.008524224,0.17678547,0.015501469,0.4900363,0.064965636,0.018550511,0.006394134,0.20238756,0.79121834
-0.007497236,0.18133712,0.014400452,0.48873448,0.06337825,0.017851453,0.0061307,0.20060405,0.7932653
-0.006577298,0.1845456,0.013830513,0.48770586,0.062413447,0.017435715,0.0059647225,0.19939129,0.794644
-0.0079181045,0.18011951,0.014540762,0.48918116,0.06370421,0.017990218,0.0061908667,0.20106338,0.79274577
-0.0075282305,0.18264207,0.013813466,0.48867396,0.06279504,0.017584253,0.0060483813,0.20015807,0.79379356
-0.007018611,0.18227932,0.014554828,0.48856685,0.06338585,0.01784931,0.0061211954,0.20053662,0.7933422
-0.0067208856,0.18344912,0.014324993,0.48804507,0.062954076,0.017668987,0.006046512,0.19994955,0.79400396
-0.0072039813,0.1836204,0.013749212,0.48818746,0.06251141,0.017469652,0.0059942906,0.19969203,0.7943137
-0.007191047,0.18153131,0.014700264,0.48861718,0.063562244,0.017933812,0.006149113,0.20067792,0.793173
-0.008676454,0.17802736,0.014858216,0.48997408,0.064308435,0.018247679,0.0063009,0.20188665,0.7918124
-0.007568583,0.18003017,0.015040487,0.48918858,0.064111434,0.018168649,0.0062424727,0.2013651,0.79239243
-0.008029088,0.1792427,0.014968127,0.4894756,0.06417219,0.01819335,0.0062625716,0.20154254,0.7921949
-0.008835241,0.17666689,0.015366048,0.4904153,0.06495371,0.01852998,0.0064034057,0.20257418,0.7910225
-0.008380339,0.17781621,0.015335292,0.4900721,0.06474581,0.01843792,0.006360148,0.20225868,0.79138124
-0.008502051,0.17838395,0.015029401,0.4900619,0.06442901,0.018291628,0.0063158018,0.20202287,0.7916613
-0.007917985,0.17836487,0.01565525,0.48978478,0.06486695,0.018496266,0.006363749,0.20219618,0.79144007
-0.00962536,0.17336383,0.016279668,0.4914284,0.066205665,0.019084405,0.0066127935,0.20395176,0.7894355
-0.008730873,0.17543796,0.016182631,0.4906419,0.06576063,0.018893227,0.006520085,0.20325166,0.79022825
-0.009238824,0.17344809,0.01656422,0.49114954,0.0663736,0.019170782,0.0066262516,0.20392972,0.789444
-0.0100113,0.17284122,0.016064614,0.49168405,0.06614998,0.019055473,0.006616565,0.20404364,0.7893398
-0.010007724,0.17133927,0.016808242,0.49215665,0.067042165,0.019453254,0.006755769,0.20491643,0.7883278
-0.008428261,0.1748043,0.016783684,0.49064898,0.06632371,0.019152101,0.0065967073,0.20365408,0.7897492
-0.00866954,0.17586625,0.015976876,0.4903097,0.06545797,0.018768255,0.006469477,0.20285963,0.79067093
-0.006484553,0.18177906,0.015241951,0.48798728,0.063806936,0.01806443,0.0061614835,0.20052719,0.79331136
-0.007969901,0.18097293,0.014016002,0.48866296,0.06305558,0.01771947,0.0060907737,0.20031036,0.79359883
-0.00814943,0.17968464,0.014373392,0.48929688,0.06365869,0.01797132,0.006191433,0.20109306,0.79271543
-0.00760971,0.18175569,0.014041513,0.4888549,0.06311671,0.017727358,0.0060989764,0.20048939,0.7934117
-0.0073714703,0.1817711,0.014367312,0.4888404,0.063362524,0.017834267,0.006128897,0.20066173,0.7932094
-0.0075772256,0.1810118,0.014587849,0.48907503,0.06364062,0.017955083,0.006174248,0.20097308,0.7928527
-0.007233605,0.1834594,0.013873786,0.48847646,0.06270423,0.017542621,0.0060265157,0.1999896,0.7939839
-0.008877739,0.17961973,0.014166087,0.49016935,0.06364878,0.017929984,0.006212124,0.20151833,0.79226947
-0.0063751787,0.1818082,0.015737861,0.48858964,0.064338565,0.01826985,0.0062427223,0.20122886,0.7925284
-0.006832406,0.18113169,0.015503615,0.4883189,0.06408028,0.01817797,0.0062071807,0.20086595,0.79292685
-0.009607121,0.17244881,0.016491145,0.49106055,0.06635984,0.019183144,0.0066289254,0.20385246,0.78951865
-0.0095553845,0.17372474,0.015814275,0.4909616,0.06571706,0.018883808,0.006535739,0.20337583,0.7900884
-0.008568868,0.177111,0.015227765,0.49005795,0.06474673,0.018448813,0.0063652266,0.2022536,0.7913812
