mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.034015685,-0.009659961,-0.0027794242,0.41860664,0.06131642,0.017351616,0.003998735,0.098851904,0.8971494
-0.03400573,-0.008637384,-0.0035544038,0.4177732,0.060475573,0.016986398,0.0039003594,0.097980164,0.89811945
-0.033658355,-0.0078817755,-0.003631413,0.4172868,0.060215645,0.01687942,0.0038640983,0.09764683,0.89848906
-0.033218116,-0.0045815855,-0.0055323243,0.41512427,0.058142394,0.01598688,0.0036239463,0.09546719,0.9009089
-0.03359887,-0.0067614466,-0.00441283,0.4166268,0.059452616,0.016543804,0.0037777026,0.09688694,0.8993354
-0.034165293,-0.008301333,-0.0040628314,0.41761655,0.06009673,0.016813733,0.003861303,0.09765338,0.8984853
-0.033180803,-0.0076350123,-0.0029870868,0.41735482,0.06060823,0.017055392,0.0039002092,0.09796015,0.89813966
-0.03420797,-0.008595124,-0.0039408803,0.41747162,0.06012666,0.016838428,0.00386231,0.09762759,0.8985101
-0.034871966,-0.01008983,-0.0038900971,0.41857046,0.06065851,0.017051853,0.0039390186,0.09835002,0.897711
-0.034271568,-0.008519903,-0.004040301,0.41801387,0.06027394,0.01687953,0.0038862405,0.09790626,0.89820755
-0.033878595,-0.008609667,-0.0031743646,0.41826746,0.060870774,0.017145742,0.003946127,0.098420806,0.8976331
-0.034661263,-0.010405138,-0.0029485822,0.41921252,0.06143919,0.017388677,0.004024893,0.09911063,0.8968645
-0.036442727,-0.014911726,-0.0021954179,0.4221081,0.06323974,0.018154133,0.004274593,0.1012885,0.8944369
-0.033954054,-0.010655478,-0.001395762,0.42001095,0.06269238,0.017942494,0.0041595073,0.10027266,0.8955678
-0.03552869,-0.013677612,-0.0014974475,0.4212782,0.06325118,0.018184863,0.00425198,0.10103928,0.89470875
-0.0361692,-0.015092984,-0.0014809966,0.42220044,0.06370906,0.018375516,0.004322155,0.10165191,0.894026
-0.036792904,-0.018458799,0.00024276972,0.42457226,0.06592794,0.019368608,0.0046073524,0.10397265,0.89142
-0.035633415,-0.016483739,0.00058561563,0.4234055,0.06556939,0.019228367,0.004536007,0.10336263,0.8921014
-0.03730133,-0.018776134,-0.00033801794,0.42440987,0.065494575,0.019171378,0.004562076,0.10360325,0.89183474
-0.036328048,-0.016988292,-0.00017756224,0.42373022,0.06524294,0.019059826,0.004513756,0.103227794,0.89225847
-0.034739226,-0.014432505,0.00040251017,0.42210805,0.06482273,0.018906292,0.004424628,0.10243452,0.8931408
-0.035969526,-0.016036704,-0.00048667192,0.42235225,0.064445406,0.018734537,0.0044008237,0.102224536,0.8933746
-0.0337905,-0.009702221,-0.0022284389,0.41835514,0.061522372,0.017461138,0.0040123877,0.09891607,0.8970715
-0.03414145,-0.010834411,-0.002130568,0.41858575,0.06175198,0.01757326,0.0040434236,0.09915195,0.89680463
-0.034726232,-0.010795489,-0.0033771396,0.41824722,0.06090316,0.017191455,0.0039582946,0.09843146,0.8976102
-0.033608347,-0.0068763047,-0.004800737,0.41606322,0.05907915,0.0164007,0.0037345234,0.096450455,0.8998151
-0.033073097,-0.0043805987,-0.005881846,0.41469705,0.057835933,0.01586529,0.003589048,0.095125385,0.9012856
-0.03352633,-0.0057029277,-0.005491793,0.41575494,0.05850331,0.016136553,0.003672678,0.09593432,0.900393
-0.03200224,-0.0008698255,-0.006688416,0.4131001,0.056618895,0.015345743,0.003441185,0.093749985,0.90280885
-0.03085789,0.0023079962,-0.007190168,0.41114065,0.055476777,0.014884975,0.003298352,0.092317335,0.9043844
-0.033974618,-0.0054634362,-0.006056249,0.41558176,0.058047663,0.015933644,0.003627282,0.095524624,0.9008481
-0.032968074,-0.0043121725,-0.0052505136,0.41545838,0.058413386,0.016091472,0.0036531775,0.095775,0.90057176
-0.033712953,-0.0074989945,-0.003781855,0.41740105,0.06012106,0.016824756,0.0038558124,0.09760717,0.89853704
-0.035434097,-0.012565032,-0.0025244355,0.42046136,0.06228921,0.017755333,0.004139349,0.10010387,0.89575684
-0.035258025,-0.012751237,-0.0020301938,0.42085057,0.06275134,0.01795673,0.0041919868,0.100561775,0.8952462
-0.03578338,-0.014310434,-0.0015308261,0.42189893,0.0635339,0.018296601,0.0042955554,0.101441555,0.8942629
-0.03621325,-0.015628591,-0.0010690093,0.42287734,0.06426337,0.01861315,0.0043929233,0.102262884,0.8933442
-0.03486988,-0.013118401,-0.00078362226,0.42148897,0.06375228,0.018405207,0.0043019857,0.10147644,0.8942216
-0.03607729,-0.015874997,-0.0005506873,0.42278993,0.064544916,0.018756565,0.004419062,0.10242984,0.89315104
