mu1,mu2,sigma1,sigma2,pi1,pi2
0.0016844422,1.0184776,0.020936532,0.2822505,0.6235338,0.37646627
0.0006544441,1.0164894,0.021084933,0.28265232,0.6234863,0.37651372
-0.00021064281,1.0163026,0.021058958,0.2825693,0.6238437,0.37615627
-0.0010597855,1.0077531,0.021722523,0.28420615,0.6221517,0.37784836
0.00026093423,1.0115072,0.021453684,0.28355262,0.6224831,0.37751696
0.00168778,1.0133159,0.0213745,0.28336996,0.62224936,0.3777506
-0.0008395165,1.014949,0.021102017,0.28277054,0.6239345,0.37606552
-0.0006917268,1.0149524,0.021185078,0.28294897,0.6237049,0.37629515
0.0028103143,1.0171621,0.021139156,0.28269285,0.62255603,0.37744394
0.0040551275,1.0139625,0.02139486,0.28334916,0.6213113,0.37868872
0.0031583607,1.0144608,0.021294294,0.283248,0.621976,0.37802395
0.0034918934,1.0159346,0.021228198,0.28316322,0.6221499,0.37785012
0.008470908,1.0215693,0.021005547,0.2825532,0.62112284,0.37887716
0.0044743717,1.0163689,0.02114313,0.2830745,0.6220371,0.37796286
0.0039248765,1.0188252,0.02103111,0.28291073,0.62275255,0.37724748
0.006134495,1.0192747,0.021081043,0.28295,0.62179315,0.37820688
0.008662954,1.0265257,0.02058866,0.2816979,0.6224147,0.37758532
0.0055228323,1.0253359,0.02052858,0.28163818,0.6236931,0.3763069
0.0077430904,1.0265129,0.0206118,0.2817884,0.62274337,0.3772566
0.008253083,1.0240794,0.020747634,0.28208917,0.6220354,0.37796465
0.0029274821,1.0226414,0.02062101,0.28192958,0.62430465,0.37569538
0.0017929971,1.0245665,0.020533672,0.2816552,0.6250603,0.37493974
-0.0027714,1.0143794,0.02110101,0.2829843,0.62475324,0.37524676
-0.0045003593,1.0190666,0.02071217,0.28189334,0.62652785,0.37347212
-0.0029686987,1.0204991,0.020700028,0.2815826,0.6259335,0.3740665
-0.0023327917,1.0159448,0.021037554,0.28222853,0.62451375,0.37548625
-0.0015264452,1.0125461,0.02132571,0.28287992,0.6233117,0.3766883
0.001236394,1.0160518,0.021152118,0.2824159,0.6228682,0.37713185
-0.00030519068,1.0071971,0.02175626,0.28400928,0.6215904,0.37840965
-0.0040373877,1.0002563,0.022160204,0.28519565,0.62178606,0.3782139
0.00097166,1.0092309,0.02172086,0.28412956,0.6214607,0.37853935
0.0015528053,1.0068021,0.021849731,0.28449425,0.6208039,0.37919608
0.0016580075,1.0112742,0.021506865,0.2838193,0.62189585,0.37810412
0.004749909,1.0189147,0.021059787,0.28271067,0.62223434,0.3777657
0.0057665557,1.0193123,0.021034745,0.28266189,0.62193114,0.37806886
0.00708656,1.0212386,0.020942183,0.28248778,0.62180364,0.3781964
0.008726686,1.0223813,0.020911954,0.2824581,0.6213547,0.37864527
0.0054888874,1.0181576,0.021068906,0.2830138,0.6220171,0.37798288
0.0053178817,1.0209385,0.020910729,0.28268385,0.6226767,0.37732333
0.004624471,1.0258819,0.020483194,0.2815625,0.62420213,0.3757979
0.006549433,1.0248042,0.020695845,0.28199878,0.6228859,0.37711415
0.0046052784,1.0228865,0.020684775,0.28195632,0.6234779,0.37652215
0.0025692284,1.0248734,0.020501157,0.28151304,0.62481785,0.37518218
0.00048057735,1.0219933,0.020655693,0.28180715,0.6250086,0.3749914
0.0021659434,1.0227042,0.020697149,0.2817432,0.6242463,0.37575367
0.0039577335,1.0206269,0.020894855,0.28212336,0.62291557,0.3770844
0.0024719983,1.0148387,0.021249516,0.2830732,0.6223257,0.3776743
0.0033061802,1.0179995,0.021062123,0.28265637,0.622673,0.37732702
0.00044459105,1.0142862,0.021209741,0.28309375,0.6232033,0.3767967
0.0035879612,1.0197707,0.020979218,0.28246287,0.6228912,0.37710884
0.004501924,1.0139612,0.021412741,0.28351215,0.6211704,0.37882966
0.005225852,1.0163335,0.021238508,0.28319633,0.6214976,0.37850246
0.008712962,1.0218601,0.020971904,0.2825643,0.6211729,0.37882707
0.010601148,1.0256335,0.020710642,0.28196752,0.62132126,0.37867877
0.007960647,1.022949,0.02079647,0.28236324,0.6220356,0.37796444
0.003575638,1.0192634,0.020933414,0.2828494,0.6232166,0.3767834
0.0042588413,1.0230446,0.020732846,0.2822735,0.6236431,0.3763569
0.0050195307,1.0234209,0.020709675,0.2820893,0.6233571,0.37664285
0.008000001,1.0309138,0.020262131,0.28083658,0.62369835,0.37630162
0.004592404,1.025598,0.020480068,0.28140876,0.6241132,0.37588686
0.0016884506,1.0236193,0.020566965,0.28163984,0.6248936,0.37510636
0.0021817982,1.0244882,0.020550663,0.28144845,0.6247299,0.37527016
-0.00083367527,1.0166413,0.020999232,0.2825229,0.62428683,0.37571314
-0.00041659176,1.0140895,0.021260696,0.28310898,0.6233616,0.3766384
-0.0015818626,1.0125939,0.021284835,0.28313434,0.62361217,0.3763878
-8.620322e-05,1.0176018,0.020993115,0.2823564,0.62401235,0.37598768
0.0019753575,1.0169644,0.02111364,0.2825572,0.62287,0.37712994
-0.0023306087,1.0110279,0.021343127,0.2832326,0.62362456,0.3763754
0.0007328242,1.0107936,0.021599384,0.28382948,0.621919,0.37808102
0.00063562393,1.0102581,0.021528184,0.2836706,0.62204826,0.3779517
3.0040741e-05,1.0125808,0.02135794,0.28337017,0.62287945,0.37712052
-0.0020523518,1.0099987,0.021475134,0.28369284,0.6232514,0.37674868
0.0005350262,1.0153694,0.021200825,0.28294325,0.62321264,0.3767874
0.00030758977,1.0126177,0.02135896,0.28330356,0.6227347,0.3772653
0.0023643374,1.0169463,0.021123987,0.28271747,0.62277293,0.3772271
0.0030386,1.0162821,0.021176755,0.28285262,0.6223528,0.3776472
0.0030420274,1.0133811,0.02140463,0.28348655,0.6216966,0.37830344
0.0034120232,1.0192835,0.020944135,0.2824098,0.62300116,0.37699887
0.0012998134,1.0127903,0.021384563,0.283574,0.6224329,0.37756714
0.0017177612,1.0148228,0.021251583,0.28325126,0.6227096,0.3772904
0.00044369698,1.0149097,0.021179225,0.28308696,0.62335664,0.3766434
0.0008034259,1.0192425,0.020884933,0.28230575,0.6241469,0.3758531
0.0038226992,1.0199312,0.020968718,0.28237683,0.6228014,0.37719858
-0.0028255433,1.0144802,0.021020357,0.2826108,0.6248404,0.37515965
-0.0019123554,1.0165936,0.021051602,0.2826245,0.6245847,0.3754153
-0.00032946467,1.0147998,0.021190366,0.2827693,0.6234331,0.37656692
-0.0031896532,1.0102129,0.021404179,0.28335112,0.6237512,0.37624884
-0.0037895218,1.0106722,0.021391109,0.28330597,0.6240429,0.37595704
-0.0012617856,1.0120701,0.02139305,0.28318834,0.6231189,0.37688115
0.0017249584,1.0119205,0.021496017,0.28339013,0.621725,0.37827498
0.003177628,1.0131468,0.021418689,0.28328624,0.6214652,0.37853485
0.002344355,1.0123066,0.021442896,0.28350392,0.62175494,0.37824512
-0.0012576878,1.0044684,0.021930655,0.28486532,0.6216318,0.37836817
0.004103616,1.0184027,0.021103436,0.28280753,0.62234885,0.37765115
0.003388241,1.014669,0.021289453,0.28329086,0.62194544,0.3780546
0.0027928501,1.0142877,0.021322751,0.2834758,0.6221364,0.3778636
0.0029141903,1.0190438,0.020952316,0.2825683,0.62323374,0.37676623
0.0022640973,1.0218538,0.020721098,0.28196466,0.62417424,0.37582576
0.003160566,1.0220563,0.020765407,0.28198186,0.62370706,0.37629297
0.00808607,1.0224395,0.020936375,0.2822756,0.621426,0.37857407
0.007544413,1.0187064,0.021103462,0.2828045,0.621038,0.37896198
0.005843535,1.0192745,0.021020545,0.2828028,0.62202334,0.3779767
0.004697904,1.0227387,0.020726256,0.2821241,0.62338346,0.37661657
0.0038526803,1.0190046,0.021010002,0.28282443,0.6228184,0.3771816
0.0043842793,1.020382,0.020913832,0.282542,0.62289864,0.37710136
0.0040937513,1.0207372,0.02086901,0.2824185,0.6231235,0.37687647
0.0037791878,1.0226948,0.020709869,0.28199157,0.6237164,0.37628362
0.0055021495,1.0272561,0.020448713,0.28123203,0.62391937,0.37608063
0.0048704445,1.026224,0.020474184,0.28124496,0.62399083,0.37600914
0.0020854026,1.0171492,0.021071436,0.28278983,0.6231127,0.3768873
0.0029014796,1.0174052,0.021104567,0.2828451,0.6227414,0.37725863
0.0039401203,1.0181357,0.021071155,0.28274053,0.62245667,0.3775434
0.0050308704,1.0203701,0.020935634,0.2824157,0.62250376,0.37749624
0.005243197,1.0198925,0.020973852,0.28254476,0.6223232,0.3776768
0.004085794,1.0186068,0.02101915,0.2827248,0.62260574,0.37739426
0.0033419281,1.0189748,0.020978464,0.28265816,0.62302524,0.37697476
0.0043959767,1.0210962,0.020870775,0.2823468,0.6229933,0.37700677
0.0043334216,1.0192935,0.020989407,0.28263116,0.6226184,0.3773816
0.0044150203,1.0204383,0.020903962,0.28243247,0.62286335,0.37713662
0.0032380968,1.0214198,0.020775732,0.28212497,0.6236643,0.37633574
0.0023463815,1.0207229,0.020818768,0.28220782,0.6238492,0.37615076
0.0023103207,1.0199772,0.020878792,0.28229004,0.62364155,0.37635845
0.0028268099,1.0190233,0.020971512,0.28246817,0.62314653,0.3768535
0.0012727678,1.0163674,0.021092942,0.28278822,0.62328476,0.3767152
0.002242446,1.0183668,0.021010565,0.28255498,0.62323266,0.37676737
0.0030233115,1.0189422,0.020976087,0.28242326,0.6230226,0.37697738
0.00406833,1.0181142,0.021085542,0.28269604,0.6223327,0.3776673
0.0025767833,1.0155503,0.02119339,0.28303826,0.6225141,0.37748587
0.0046661943,1.0172423,0.021193396,0.28305173,0.6218653,0.37813476
0.004772827,1.0178099,0.021099068,0.2828554,0.62207574,0.37792426
0.0043133795,1.0189804,0.021009006,0.28271464,0.62257946,0.37742057
0.0015060306,1.0174154,0.021008564,0.28277132,0.62355846,0.37644157
0.0010206997,1.0176768,0.02101942,0.28276387,0.6237306,0.37626937
0.0028003603,1.021207,0.020812789,0.28211698,0.6236867,0.37631336
0.0021040887,1.01966,0.020878058,0.2822404,0.62366724,0.37633273
0.0022427738,1.019939,0.020879831,0.28221247,0.62361753,0.3763825
0.0044958144,1.0194969,0.021010783,0.28246555,0.62241095,0.37758902
0.00294514,1.0188515,0.020938652,0.28234616,0.6231254,0.37687463
0.0006888956,1.0144212,0.021239033,0.28318083,0.62307376,0.37692624
-0.0005414784,1.0131794,0.021290159,0.28330335,0.62333906,0.37666097
0.002684772,1.0153456,0.021287516,0.28320745,0.6222405,0.3777595
