mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0018237904,-0.007584691,0.07919545,0.0990831,0.20248958,0.7975104
-0.0036246255,-0.007228583,0.07909386,0.09909674,0.20217027,0.79782975
-0.0036859885,-0.0074385703,0.07909969,0.099098414,0.20212953,0.7978705
-0.0034234002,-0.007797897,0.07908545,0.09904905,0.20207782,0.7979222
-0.0039186254,-0.006590605,0.07893923,0.09897823,0.2020441,0.79795593
-0.0028498843,-0.008982062,0.07919944,0.09908066,0.20208327,0.7979167
-0.00051707774,-0.0122463405,0.07948997,0.09909491,0.20217006,0.7978299
-0.0008194223,-0.0098749995,0.079282865,0.09900456,0.20230636,0.79769367
-0.0028626695,-0.0072456,0.079013295,0.09896131,0.20216468,0.79783535
-0.002371408,-0.009501934,0.07921885,0.09904423,0.20207554,0.79792446
-0.0029607192,-0.007336259,0.07905367,0.09900828,0.20218813,0.79781187
-0.0011513606,-0.011660904,0.07947714,0.099146955,0.2021769,0.7978231
-0.0013561621,-0.00935176,0.07926021,0.09903826,0.20230183,0.79769814
-0.0015329197,-0.009970844,0.079307966,0.09906892,0.20222197,0.797778
-1.6964972e-05,-0.0125106275,0.07957922,0.09914819,0.2023082,0.7976918
0.0007592067,-0.012719631,0.079596914,0.09911002,0.20239985,0.79760015
0.0021144375,-0.014944285,0.07979789,0.09913475,0.20242894,0.79757106
0.00083925575,-0.011459053,0.0794822,0.09904095,0.20249976,0.79750025
0.0011428818,-0.013618201,0.07971979,0.099173404,0.20244424,0.7975558
0.00029879063,-0.011316448,0.07949847,0.099098556,0.20247366,0.79752636
-0.00090209395,-0.010120958,0.07939455,0.099116966,0.20239699,0.797603
0.0012148246,-0.01471433,0.079829566,0.09923532,0.20239007,0.7976099
0.0029939935,-0.015687525,0.07995536,0.099217534,0.20261887,0.79738116
-0.0002674833,-0.009182632,0.079305544,0.09902861,0.20254673,0.7974533
-0.002636917,-0.0080235,0.079160996,0.09906949,0.20224503,0.797755
-0.0077182725,0.0004375875,0.07833406,0.09888849,0.20204762,0.7979524
-0.0072141364,-0.004549861,0.07876588,0.09908612,0.20174363,0.7982564
-0.0039205626,-0.008379102,0.079161495,0.09913611,0.2019995,0.7980005
-0.001328595,-0.01108703,0.0793899,0.09909435,0.20214623,0.79785377
-0.00035846978,-0.011335343,0.07941289,0.09904757,0.20226428,0.79773575
-9.525567e-05,-0.011607438,0.07944544,0.09905222,0.20229201,0.797708
0.0008450076,-0.013213128,0.07957898,0.09905946,0.20229265,0.7977074
0.0058439597,-0.02126339,0.08039527,0.09924177,0.20252708,0.7974729
0.0017191097,-0.009693444,0.079320826,0.09889835,0.20274583,0.7972542
-0.005340673,-0.00224182,0.07858218,0.09887967,0.20219882,0.7978012
-0.006752141,-0.003798306,0.07880474,0.09913687,0.20200446,0.7979955
-0.004676707,-0.0074101985,0.079136826,0.09920111,0.20204702,0.797953
-0.0028237775,-0.008975983,0.079246566,0.09913297,0.20215169,0.79784834
-0.0027879253,-0.008120179,0.07911728,0.099030994,0.20214745,0.7978526
-0.00243143,-0.009067118,0.07919126,0.09904258,0.20211428,0.7978857
-0.002668567,-0.0082036555,0.07910086,0.09900054,0.20212571,0.7978742
-0.0051174536,-0.004113376,0.07867688,0.098884545,0.20199929,0.7980007
-0.0020645037,-0.011580795,0.079339914,0.099054314,0.20188105,0.79811895
-0.0018015578,-0.008296818,0.07910905,0.098951824,0.20223948,0.79776055
-0.0012196377,-0.010772407,0.07939564,0.09910589,0.20222901,0.797771
-0.00015822798,-0.011913568,0.07952615,0.09912888,0.20233247,0.79766756
-9.0934336e-05,-0.011443347,0.07946173,0.099077,0.20234591,0.79765415
