mu1,mu2,sigma1,sigma2,pi1,pi2
-0.023800181,0.024188682,0.06691871,0.02557139,0.00018970494,0.9998103
-0.024753707,0.024860695,0.06687125,0.025575282,0.00018944139,0.9998105
-0.025484817,0.025845394,0.06679362,0.025561463,0.00018903254,0.999811
-0.02530204,0.025447771,0.066859566,0.025587453,0.00018949722,0.9998105
-0.024481045,0.024609461,0.06690609,0.025584556,0.00018968577,0.99981034
-0.0235713,0.02325268,0.06700694,0.025602639,0.0001901878,0.9998098
-0.024791585,0.026108518,0.06674321,0.025522029,0.00018872492,0.99981123
-0.02653672,0.026067123,0.06677348,0.025577437,0.00018885221,0.9998112
-0.02426325,0.022921726,0.06705115,0.025638228,0.00019041788,0.99980956
-0.021150665,0.020840064,0.06721293,0.025629757,0.00019137819,0.9998086
-0.020650523,0.021413967,0.06711763,0.025574742,0.00019076097,0.99980927
-0.02115448,0.021029398,0.06713037,0.025589272,0.00019070551,0.9998093
-0.01847832,0.016494378,0.06749882,0.025673384,0.00019263668,0.9998074
-0.01792352,0.01960285,0.067193456,0.025533667,0.0001910176,0.99980897
-0.020703303,0.020319268,0.067122094,0.025567919,0.00019042187,0.99980956
-0.019644933,0.018265888,0.067308836,0.025619809,0.00019146105,0.9998085
-0.017987775,0.016670361,0.06740722,0.02561682,0.0001919138,0.99980813
-0.019335525,0.019685432,0.067134745,0.025536917,0.00019041824,0.99980956
-0.019782918,0.017553195,0.06734275,0.025633639,0.00019150853,0.9998085
-0.017621951,0.016725853,0.06741117,0.025610922,0.00019199523,0.999808
-0.020583617,0.021976516,0.066948004,0.02549154,0.00018944716,0.9998105
-0.024745094,0.023812905,0.06683368,0.025545873,0.00018875193,0.99981123
-0.027036147,0.02773492,0.06657843,0.025504105,0.00018765082,0.9998123
-0.030890869,0.030896083,0.06635643,0.025507865,0.00018647329,0.9998135
-0.03183748,0.030313268,0.06647795,0.025587063,0.0001872826,0.99981266
-0.030034887,0.029384717,0.066609465,0.025604762,0.00018826537,0.9998117
-0.028119044,0.027958259,0.066746674,0.025617974,0.00018914072,0.9998109
-0.025713133,0.025331602,0.06694391,0.025639307,0.00019017908,0.9998098
-0.023865568,0.02513285,0.06694956,0.025597675,0.00019029736,0.9998097
-0.024989652,0.027551547,0.06672523,0.02553092,0.00018904066,0.999811
-0.02442457,0.023506775,0.06703718,0.025640309,0.0001904818,0.99980956
-0.021554159,0.022334084,0.067105696,0.025598153,0.00019090326,0.9998091
-0.021819877,0.022486106,0.06703819,0.025571063,0.00019033329,0.9998097
-0.021307664,0.020282134,0.06719365,0.025618207,0.00019100268,0.999809
-0.019643353,0.019137993,0.06727228,0.025609294,0.00019143516,0.9998086
-0.018524902,0.017745629,0.067363136,0.025616826,0.00019185049,0.99980813
-0.01689233,0.015903965,0.06749262,0.02562794,0.00019249476,0.99980754
-0.017480241,0.018380418,0.06725388,0.025542835,0.00019116992,0.99980885
-0.019571142,0.018910483,0.0672015,0.02556922,0.00019073024,0.9998093
-0.021163749,0.020728424,0.0670414,0.025541004,0.00018980952,0.9998102
-0.020983772,0.018744305,0.067250706,0.025625458,0.0001910074,0.99980897
-0.020620393,0.020682707,0.06708437,0.025550092,0.00019021609,0.9998098
-0.023520308,0.023204133,0.06688216,0.02553686,0.000189065,0.999811
-0.025805073,0.025423035,0.066745356,0.025540004,0.00018843761,0.9998116
-0.025815206,0.02418305,0.0668952,0.02560571,0.00018934588,0.99981064
-0.023364948,0.022121564,0.06708952,0.025629632,0.00019055227,0.99980944
-0.022158908,0.022546872,0.067048,0.025584482,0.00019041642,0.99980956
-0.022224264,0.021917835,0.06707829,0.025595604,0.00019046654,0.99980956
-0.023244994,0.0243112,0.06687506,0.025537314,0.0001893988,0.99981064
-0.023361908,0.021872327,0.0670842,0.025624476,0.0001904197,0.99980956
-0.020429956,0.019971058,0.06724952,0.025623664,0.00019145996,0.9998085
-0.019219445,0.019170567,0.06727142,0.025599366,0.00019146981,0.9998085
-0.01748334,0.016000435,0.06750578,0.025649246,0.00019260215,0.9998074
-0.015157149,0.014261112,0.067603916,0.025629176,0.00019305295,0.99980694
-0.015818762,0.016218647,0.06740176,0.02555973,0.00019187007,0.99980813
