mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.7612906,0.008631583,-0.0038939565,0.653753,0.027190313,0.1706899,0.060808524,0.8725253,0.06666624
-0.76106226,0.0083844215,-0.0010726899,0.65442973,0.027267834,0.17064407,0.0611096,0.8721984,0.066691935
-0.75694996,0.007886026,0.000778988,0.65536785,0.027586607,0.17080294,0.061812297,0.87113845,0.067049265
-0.7562075,0.0077324435,0.0014395267,0.6556395,0.027639426,0.17075951,0.061964694,0.8709388,0.06709656
-0.75473905,0.006971918,0.005110875,0.65681523,0.027774421,0.17047504,0.06249808,0.87034214,0.0671598
-0.7514106,0.00683913,0.005945757,0.6572982,0.028073264,0.17089467,0.06303822,0.8694386,0.06752316
-0.7491878,0.0062722676,0.0077626854,0.658097,0.028234657,0.1707673,0.06349751,0.86883354,0.06766892
-0.7511989,0.0064511485,0.00736244,0.6577782,0.028073158,0.1706141,0.063186385,0.869338,0.06747566
-0.7500453,0.0060681626,0.009957507,0.65854394,0.028208252,0.17058669,0.06359832,0.8688275,0.067574084
-0.74787915,0.0059318095,0.01010932,0.65882945,0.02836736,0.17071907,0.06389845,0.8683324,0.0677692
-0.7462566,0.0058265068,0.009964958,0.6589802,0.028487224,0.17084794,0.06410391,0.8679728,0.06792333
-0.74866456,0.00615754,0.009103671,0.65845567,0.028307086,0.1707963,0.06370259,0.86857283,0.06772459
-0.74637973,0.005802337,0.009445563,0.65887004,0.028461022,0.17081442,0.06403538,0.86806154,0.06790314
-0.7486011,0.005585436,0.010296479,0.65896076,0.028259885,0.17033143,0.06379875,0.86858404,0.06761727
-0.74865633,0.0060050264,0.008456424,0.65839684,0.028263103,0.17063814,0.06362805,0.8686915,0.06768048
-0.746864,0.006131053,0.0067781955,0.65815103,0.02838375,0.17094041,0.06371203,0.868406,0.067881964
-0.7499981,0.006095797,0.0063830763,0.6578329,0.028095832,0.17045934,0.06323562,0.8692436,0.06752082
-0.75158733,0.006407965,0.0051164776,0.65730447,0.027971553,0.17048758,0.06290892,0.86968946,0.06740166
-0.7547832,0.0067261457,0.0037947446,0.6566643,0.027689515,0.17019373,0.062343273,0.870581,0.067075774
-0.7535514,0.006942436,0.0033859164,0.6565612,0.02782996,0.17061825,0.062494617,0.8702287,0.06727663
-0.7522549,0.0070343353,0.0026143938,0.656475,0.027927632,0.17084195,0.06259744,0.8699772,0.06742535
-0.75510645,0.007265445,0.001232639,0.6558859,0.027663266,0.17053215,0.062072545,0.8708063,0.0671212
-0.75612247,0.006995667,0.0027778298,0.6562232,0.02759114,0.17023614,0.062078636,0.87094015,0.06698122
-0.75705147,0.0072784647,0.0019387752,0.6558694,0.027518911,0.17027576,0.06187696,0.8712086,0.06691448
-0.75509906,0.0073692463,0.0016942769,0.6559304,0.027694779,0.1706444,0.062126365,0.87072015,0.0671535
-0.75326884,0.0070509315,0.002914384,0.656452,0.027848646,0.17070346,0.062486637,0.8701983,0.06731506
-0.7539551,0.007235773,0.0020212084,0.65613693,0.027789272,0.17073411,0.062312827,0.8704216,0.06726552
-0.75492424,0.0070922785,0.0017298013,0.656084,0.027663734,0.17040184,0.06213404,0.87076205,0.06710397
-0.7551481,0.0073312484,-0.00015811622,0.65558404,0.027621055,0.1705107,0.06192747,0.87097,0.06710252
-0.75753134,0.0073327646,0.00015552342,0.6554438,0.027436346,0.1702181,0.061640915,0.8715057,0.06685342
-0.75708675,0.0071161203,0.0013448149,0.65580446,0.027484292,0.17016123,0.06181195,0.871307,0.06688109
-0.75680244,0.0072514527,0.001139,0.6557317,0.0275181,0.1702934,0.06183455,0.8712317,0.06693375
-0.75632405,0.007884711,-0.0015703887,0.6549474,0.027569022,0.17082189,0.06166473,0.87124914,0.06708615
-0.7583278,0.007934034,-0.0010680407,0.6548582,0.027426723,0.17061746,0.061449733,0.8716618,0.06688848
-0.7574635,0.0075910166,-0.00016610324,0.6552715,0.02746934,0.17043658,0.061631616,0.87145674,0.06691161
-0.7594419,0.0073580816,0.0018962771,0.65563124,0.027329445,0.17001209,0.06155446,0.8717763,0.066669285
-0.75639826,0.0074387267,0.002779141,0.65599406,0.027639713,0.17061165,0.062070366,0.87087244,0.0670572
-0.7529521,0.007442508,0.0028202683,0.65628463,0.02793098,0.17108375,0.06254194,0.87002313,0.06743494
-0.7519887,0.0068745315,0.0043381006,0.6569297,0.02796854,0.1707423,0.06279029,0.8697811,0.067428626
-0.75183743,0.007110961,0.0029061586,0.65654105,0.027978452,0.17095098,0.06268423,0.8698305,0.06748524
