mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.57219505,-0.013620336,0.06871654,0.61667305,0.026634825,0.1478513,0.03590642,0.9013388,0.06275475
-0.5704254,-0.013961758,0.069217935,0.61710256,0.026821233,0.14809363,0.036152557,0.90085584,0.06299163
-0.5706066,-0.013527449,0.07478787,0.61822605,0.026830394,0.14771964,0.03636662,0.90077114,0.06286222
-0.5634651,-0.014992747,0.075957015,0.6197921,0.027589181,0.1487392,0.037343297,0.89882106,0.06383562
-0.5614134,-0.014787059,0.07529481,0.6198728,0.027876856,0.14946042,0.037620235,0.89813554,0.06424423
-0.5656055,-0.014457937,0.07746644,0.61971796,0.027365582,0.14829855,0.03712723,0.89937073,0.063501954
-0.56194043,-0.015142109,0.076563135,0.6201688,0.027770126,0.14900884,0.03757806,0.89836204,0.06405996
-0.5625084,-0.015429486,0.073516086,0.6194741,0.027673438,0.14901017,0.037359204,0.8986325,0.06400819
-0.56280476,-0.015225891,0.07252307,0.6191641,0.027657349,0.14913474,0.037287235,0.8986956,0.064017184
-0.56479484,-0.014836479,0.072789505,0.6188652,0.027439972,0.14877953,0.037035506,0.89924145,0.063723005
-0.56222725,-0.014534745,0.071999684,0.6189639,0.027804628,0.14970872,0.03738484,0.8983729,0.064242214
-0.5592394,-0.014105704,0.07161011,0.6191811,0.028238144,0.15076977,0.037817616,0.89734083,0.064841546
-0.5689716,-0.014491174,0.06451638,0.61636823,0.026960213,0.14866921,0.0361435,0.900557,0.06329953
-0.5700199,-0.013743427,0.06585576,0.6163542,0.026899546,0.14864653,0.03608811,0.90071875,0.06319313
-0.56758964,-0.013135683,0.06691487,0.61677825,0.027264396,0.14950514,0.036496162,0.8998301,0.06367376
-0.5743033,-0.0134220235,0.06266637,0.61499095,0.026403854,0.147991,0.035395768,0.9020039,0.062600374
-0.57431775,-0.013497729,0.06103219,0.6146415,0.026397713,0.14810906,0.035327725,0.9020382,0.062634096
-0.57490915,-0.013212215,0.06226839,0.61477256,0.026349783,0.14797668,0.03530852,0.902152,0.06253945
-0.5738596,-0.0132895745,0.059995368,0.61442375,0.026476154,0.14844087,0.035360094,0.9018658,0.06277408
-0.5782362,-0.012727182,0.058896318,0.6134616,0.025995994,0.14768018,0.03475853,0.9030977,0.06214383
-0.5784933,-0.012823101,0.057045475,0.6130365,0.025959237,0.14774573,0.034650598,0.9032098,0.06213961
-0.5814936,-0.011849802,0.061292484,0.6133572,0.025681436,0.14703694,0.034458086,0.90388787,0.06165405
-0.57565206,-0.012537342,0.06505932,0.61514056,0.026318401,0.14785446,0.035347395,0.9022194,0.06243316
-0.5770077,-0.012534101,0.0660419,0.615177,0.026151327,0.14740266,0.035202414,0.9026224,0.062175125
-0.57654756,-0.012859363,0.06652774,0.6154221,0.026176052,0.14731055,0.035267573,0.9025412,0.06219124
-0.5737377,-0.013161901,0.071204975,0.6169165,0.026483556,0.14743556,0.0358139,0.90169823,0.062487777
-0.56950617,-0.013893869,0.074581936,0.6184129,0.026933357,0.14784366,0.036493722,0.9005041,0.063002214
-0.5671632,-0.01449262,0.074101165,0.6187598,0.027171116,0.14820296,0.036772527,0.89989865,0.063328825
-0.563402,-0.015225168,0.07413973,0.6194461,0.027577812,0.14881697,0.037267715,0.89886653,0.06386581
-0.5620117,-0.015016299,0.0739546,0.6195437,0.027779423,0.14931773,0.037469435,0.89838433,0.0641462
-0.5565766,-0.015156221,0.07326396,0.62015593,0.02847825,0.15076785,0.038216185,0.8966871,0.06509671
-0.56518006,-0.01491956,0.069297746,0.61804926,0.027388876,0.14897957,0.036837857,0.8994149,0.06374725
-0.5668279,-0.014107924,0.0711797,0.6180613,0.027255906,0.14877518,0.036721855,0.8997485,0.063529626
-0.56779623,-0.014264952,0.07032509,0.61777544,0.027119284,0.14852127,0.03654502,0.90009093,0.06336405
-0.565076,-0.013869386,0.07008363,0.61799645,0.027506147,0.14947815,0.036936846,0.8991599,0.06390315
-0.5685105,-0.014017057,0.06566085,0.61657697,0.027062993,0.14892541,0.036275476,0.90030694,0.06341754
-0.57333815,-0.013431635,0.06567617,0.61579573,0.026516475,0.14794423,0.035641648,0.9016825,0.06267586
-0.57359517,-0.013041686,0.07072677,0.6168012,0.026512954,0.14757934,0.035820227,0.9016367,0.062543
-0.56990135,-0.013861541,0.071762696,0.6177203,0.026891708,0.14803202,0.036329318,0.90064913,0.063021526
-0.5693562,-0.013950255,0.072875336,0.61806357,0.026949523,0.14802128,0.036444407,0.9004864,0.06306918
-0.56583583,-0.014880415,0.07100476,0.6183341,0.027306765,0.14865942,0.03681622,0.89959353,0.0635902
-0.56354964,-0.014312934,0.07221903,0.6187838,0.027654253,0.14944373,0.037215885,0.8987467,0.06403736
-0.56800425,-0.014343765,0.0710236,0.6179218,0.027084596,0.14835884,0.036540184,0.9001632,0.063296616
-0.5680883,-0.014032584,0.074876264,0.61870265,0.027097186,0.1481158,0.036695898,0.9000889,0.063215174
-0.56516457,-0.014840644,0.073364034,0.61894494,0.02739168,0.14862399,0.03700644,0.8993516,0.063641995
-0.5601556,-0.01513451,0.07170667,0.61931694,0.028013242,0.149977,0.03763791,0.89784235,0.064519785
-0.5605339,-0.014289167,0.07052113,0.61880434,0.028051646,0.1504343,0.037578255,0.8978029,0.06461884
-0.5689385,-0.014475595,0.064907625,0.61645675,0.026965179,0.14864731,0.036164116,0.9005399,0.06329607
-0.57030743,-0.013635214,0.06618275,0.61636394,0.02687298,0.14859188,0.036066175,0.90078413,0.0631497
-0.57251275,-0.013597298,0.065200165,0.61583865,0.026603421,0.14812343,0.035727642,0.9014666,0.062805794
-0.57025814,-0.013477456,0.06802739,0.6167471,0.026891002,0.14850345,0.036152467,0.90072,0.06312748
-0.5710394,-0.01358949,0.06628157,0.6162766,0.026786428,0.1484145,0.035972234,0.9009987,0.06302906
-0.5681644,-0.013307098,0.06429805,0.6161546,0.027179843,0.14952473,0.036305465,0.90006804,0.06362648
-0.5767764,-0.012978252,0.062050954,0.61441904,0.026144512,0.1476277,0.035060808,0.90267545,0.062263723
-0.57608646,-0.012814861,0.066061094,0.6153699,0.026236854,0.1474982,0.035313617,0.90239763,0.06228874
-0.5728018,-0.01335429,0.068848684,0.61655974,0.026584532,0.14781311,0.03584101,0.90147257,0.062686436
-0.5717734,-0.013650034,0.0687163,0.6167367,0.026684115,0.14794657,0.03596262,0.90121526,0.06282206
-0.5665124,-0.014450733,0.066638246,0.617165,0.027271502,0.14913557,0.0365701,0.8997618,0.063668154
-0.57180154,-0.013689358,0.06697525,0.61635256,0.026679778,0.14808968,0.03588915,0.9012489,0.06286198
-0.5706076,-0.013229195,0.071713105,0.6174679,0.026865019,0.14817637,0.0362607,0.9007422,0.06299716
-0.5710639,-0.01344895,0.07449694,0.61808103,0.026781436,0.14766802,0.036295697,0.9009,0.062804334
-0.5671381,-0.0142524205,0.076430455,0.61923045,0.027193284,0.14810215,0.03688024,0.8998197,0.0633001
-0.5642973,-0.014561724,0.081467345,0.6208182,0.027515246,0.14819717,0.037468985,0.89893746,0.06359359
-0.55783063,-0.015145373,0.081869975,0.6219195,0.028297372,0.14957923,0.03838988,0.8969921,0.064618036
-0.55995196,-0.015625115,0.079281226,0.62116086,0.027974842,0.14901963,0.037950303,0.89779836,0.064251244
-0.5602714,-0.015693542,0.07883598,0.6210335,0.027926829,0.14894208,0.037882254,0.89791965,0.06419806
-0.5596411,-0.015564825,0.081621245,0.6217159,0.028016316,0.14889878,0.038093682,0.897663,0.064243324
