mu1,mu2,sigma1,sigma2,pi1,pi2
-0.027877435,-0.00322479,0.73085296,0.040580116,0.3931471,0.6068529
-0.026186422,-0.004510939,0.7309097,0.040855423,0.393258,0.606742
-0.024758369,-0.0028850436,0.73070097,0.041186705,0.3939198,0.60608023
-0.02502811,-0.0040002465,0.7305304,0.04118039,0.3936939,0.60630614
-0.0226527,-0.006564021,0.72988695,0.042089064,0.39412698,0.605873
-0.021748632,-0.0053970814,0.72974735,0.04231031,0.39457318,0.6054268
-0.020654932,-0.008070171,0.7287197,0.04318091,0.394838,0.605162
-0.021252438,-0.0074924827,0.72929484,0.042703047,0.394538,0.605462
-0.019187614,-0.008336902,0.7290385,0.0433172,0.39500168,0.60499835
-0.018860802,-0.006812632,0.72896236,0.043345984,0.39531836,0.6046817
-0.019216463,-0.008652687,0.72828656,0.043695338,0.39522782,0.60477215
-0.020301074,-0.0085917115,0.7289082,0.043113615,0.39472735,0.60527265
-0.019825533,-0.008320093,0.7284234,0.043532547,0.3951303,0.60486966
-0.019511193,-0.010410547,0.72818696,0.043801878,0.39497298,0.605027
-0.02034983,-0.0076811314,0.72877526,0.04322056,0.3949674,0.6050326
-0.021603942,-0.008422971,0.7282011,0.043331064,0.3948278,0.6051722
-0.022191644,-0.010913849,0.7279718,0.043439917,0.39442292,0.6055771
-0.022635877,-0.0090844035,0.728523,0.043042067,0.39441794,0.6055821
-0.02369517,-0.007275641,0.72931993,0.04230221,0.39408818,0.60591185
-0.023390397,-0.0070325136,0.72919184,0.0424297,0.3942516,0.6057484
-0.02389735,-0.0073756576,0.72887254,0.042525835,0.3942302,0.6057698
-0.025399953,-0.0072197914,0.729336,0.041949216,0.3937051,0.60629493
-0.024146438,-0.008064389,0.7292653,0.042293366,0.39391056,0.6060895
-0.02458696,-0.005033493,0.7301126,0.04162888,0.39389905,0.606101
-0.024703085,-0.005098462,0.7298779,0.041703958,0.3939364,0.60606366
-0.02387616,-0.0075886846,0.7290515,0.042408384,0.39410293,0.6058971
-0.024626032,-0.0069165826,0.7293487,0.042087827,0.3939246,0.6060754
-0.025094584,-0.0067945123,0.72937673,0.04198916,0.39383516,0.6061648
-0.02651447,-0.006079495,0.7294873,0.041654095,0.3936015,0.60639846
-0.026444852,-0.007755995,0.7294625,0.041721504,0.3933558,0.6066442
-0.024949059,-0.007306576,0.7293555,0.042115264,0.39384946,0.60615057
-0.024741828,-0.0065856576,0.7294026,0.042089913,0.39396635,0.6060336
-0.02667047,-0.004881382,0.7298292,0.04140904,0.39360407,0.6063959
-0.026804447,-0.0066304803,0.72993094,0.041336395,0.3932248,0.60677516
-0.025996953,-0.005397916,0.72996765,0.041485768,0.39362517,0.6063748
-0.024754032,-0.0063513517,0.7301434,0.041615218,0.39363554,0.6063645
-0.023359463,-0.004314065,0.73031265,0.041716125,0.3941811,0.6058189
-0.023563966,-0.004575193,0.7298932,0.04185812,0.39423025,0.6057698
-0.023070827,-0.0075805783,0.7290481,0.042513564,0.39424446,0.60575557
-0.024258196,-0.0066897273,0.72931236,0.042136777,0.39403465,0.6059653
-0.0248916,-0.0072371364,0.7293764,0.042001158,0.39378268,0.6062173
-0.02357097,-0.007836521,0.729524,0.042222943,0.39393845,0.6060615
-0.021954373,-0.007109225,0.72888845,0.042914495,0.3947141,0.60528594
-0.023184791,-0.007448435,0.7290144,0.042547416,0.3942788,0.6057212
-0.023288459,-0.008027613,0.7287597,0.042715814,0.39430588,0.6056941
-0.025915787,-0.0060511827,0.7294786,0.04174325,0.39372045,0.6062796
-0.027555719,-0.006561935,0.7294636,0.041471906,0.3933005,0.60669947
-0.027670473,-0.00799197,0.72912806,0.041728258,0.3932375,0.6067625
-0.027970985,-0.007413745,0.72936475,0.04156688,0.3931875,0.6068125
-0.027077347,-0.0076825023,0.72933227,0.041780777,0.39336285,0.6066371
-0.02631718,-0.0065009,0.7297232,0.041666474,0.39353392,0.6064661
-0.025847629,-0.0042301416,0.73098505,0.040926654,0.39338383,0.60661614
