mu1,mu2,sigma1,sigma2,pi1,pi2
0.0044775046,0.0059619546,0.6636213,0.020719912,0.40045726,0.59954274
0.004445318,0.005184293,0.6638045,0.020935634,0.40060607,0.59939396
0.008667592,0.0019186139,0.66242635,0.021249814,0.40076247,0.59923756
0.010606471,0.0038987398,0.66277593,0.022143172,0.40240392,0.59759605
0.008905891,0.0016827583,0.6627873,0.022172363,0.4018562,0.5981438
0.010681484,0.000611186,0.66210866,0.02196703,0.4015755,0.5984245
0.010417197,0.003396213,0.66312003,0.022156226,0.40234908,0.5976509
0.0070404448,0.0025619268,0.66367096,0.022041729,0.40174696,0.598253
0.005745206,-0.0006130934,0.66374743,0.022264948,0.40135086,0.59864914
0.00655574,-0.0014300346,0.6628584,0.022241635,0.40119177,0.5988083
0.006435577,-3.2246113e-05,0.662992,0.022269057,0.40145436,0.5985457
0.005842034,-0.0007762909,0.66321987,0.02240675,0.40143844,0.5985615
0.00045815483,0.0044597983,0.6645915,0.021206345,0.40046033,0.59953964
0.0014247932,-0.0010914207,0.66303474,0.021511015,0.39984623,0.60015374
0.0032667555,0.0009469986,0.6623291,0.021391053,0.40017822,0.5998218
-5.5041164e-05,0.0066480637,0.6638313,0.020458879,0.39976808,0.60023195
-0.0022603832,0.004821956,0.66467094,0.020568749,0.3994421,0.60055786
-0.00091230497,0.0018600821,0.6634672,0.020822536,0.39929327,0.60070676
-0.002189096,0.004551232,0.66374546,0.020630272,0.39939722,0.60060275
-0.0034044646,0.0041368604,0.6638441,0.020221276,0.3986852,0.60131484
-0.0044287406,0.006120622,0.6639429,0.020017697,0.39866167,0.6013383
-0.0010835491,0.0033541322,0.6627046,0.019974623,0.3983787,0.60162127
0.0033078827,0.005560398,0.66211563,0.020584896,0.39994285,0.6000571
0.003632728,0.007564783,0.6625305,0.02021624,0.39987186,0.6001282
0.0034921803,0.00924629,0.6636601,0.020031665,0.40002874,0.5999713
0.006610874,0.0058653355,0.66309667,0.020613069,0.4004829,0.5995171
0.009441737,0.0057335496,0.6628829,0.021145957,0.40140888,0.59859115
0.008573804,0.006878674,0.6632812,0.021116208,0.4015011,0.59849894
0.007469807,0.0030098557,0.6640406,0.021901945,0.40175083,0.59824914
0.0069797076,0.000207901,0.6637522,0.02216644,0.40151381,0.59848624
0.006634269,-0.001696527,0.663487,0.022836074,0.40189832,0.5981017
0.0034987368,-0.00033271313,0.66388816,0.022069866,0.4009427,0.59905726
0.0055577196,-0.002085805,0.66253376,0.02207732,0.4007454,0.5992546
