mu1,mu2,sigma1,sigma2,pi1,pi2
0.004778877,0.019916356,0.552733,0.02268597,0.25741208,0.742588
0.00047245622,0.014428705,0.5516287,0.022975482,0.25757706,0.74242294
0.0032433122,0.01803507,0.55258536,0.02320055,0.25830367,0.74169636
0.0024298579,0.017723486,0.55245626,0.023290796,0.25831535,0.7416847
-0.00093486905,0.014346018,0.55193025,0.023916837,0.25900313,0.7409969
0.0010171682,0.016874686,0.55259496,0.024065759,0.25948277,0.74051726
0.0004451126,0.017812103,0.55289567,0.024585262,0.2601128,0.7398872
-0.0007801801,0.0155073255,0.5523211,0.024354607,0.25969145,0.7403086
-0.0030570328,0.0127773285,0.5519038,0.024767354,0.2601872,0.7398128
-0.00031284988,0.016258404,0.55271006,0.024773518,0.26050225,0.7394977
0.0003542602,0.018390149,0.5531411,0.024961425,0.2607037,0.7392963
-0.001479283,0.015339613,0.55235964,0.024669996,0.2600995,0.7399005
0.0011188388,0.01915674,0.55329376,0.024857,0.26059374,0.7394062
-0.0019240826,0.015756652,0.552546,0.025033532,0.2605184,0.73948157
0.00079491735,0.018153787,0.55302685,0.024652094,0.26027438,0.7397256
0.0037053674,0.02294296,0.55398995,0.024631968,0.26034462,0.73965544
0.0010568649,0.020034224,0.5532824,0.02466361,0.26002157,0.73997843
0.00185965,0.019906685,0.5532423,0.024364833,0.2597154,0.74028456
0.0016758889,0.018523544,0.55281943,0.023939703,0.2591134,0.74088657
0.00243555,0.019579515,0.55308515,0.02399173,0.25927505,0.740725
0.0040647388,0.022188023,0.5536225,0.02399094,0.2593474,0.7406526
0.0034966916,0.02097769,0.55320257,0.023652572,0.25872964,0.74127036
0.0010408461,0.01772657,0.55259824,0.023866085,0.25888708,0.7411129
0.0023569614,0.018017799,0.55262023,0.023497626,0.25857535,0.7414246
0.0035592467,0.020064473,0.55305606,0.023556195,0.25874493,0.7412551
0.0027290136,0.020297214,0.55318624,0.02396068,0.25919843,0.7408016
0.003245756,0.02052173,0.55317557,0.02375697,0.2589302,0.7410698
0.0037633926,0.021171778,0.553284,0.023680625,0.258832,0.741168
0.0059717298,0.023949102,0.55379015,0.023437526,0.25858527,0.7414147
0.002886936,0.020130366,0.552932,0.023500934,0.2583602,0.74163985
0.0026463121,0.019541517,0.5529632,0.023701258,0.25874367,0.7412563
0.0032447428,0.020135298,0.5530974,0.023662616,0.25878015,0.7412199
0.0061915815,0.023470327,0.5536578,0.023229664,0.25833622,0.74166375
0.0026985258,0.019085586,0.55263805,0.023246529,0.2580061,0.7419939
0.0040186793,0.020397678,0.55303985,0.023317924,0.25832286,0.74167717
-0.00016328692,0.01485686,0.5518786,0.023489,0.25829098,0.74170905
0.0012633651,0.01610753,0.55229163,0.023582,0.25873134,0.74126863
0.0032423288,0.019534856,0.55301887,0.02368754,0.2590187,0.74098134
0.0020616949,0.019497335,0.5530536,0.024083775,0.25938895,0.7406111
0.0037100762,0.021262392,0.553364,0.023837084,0.25912893,0.7408711
0.0029341877,0.020322934,0.5531005,0.02376733,0.25889653,0.7411035
-0.00039935112,0.015673965,0.5521885,0.023949351,0.2589542,0.7410458
0.00246872,0.019848615,0.5532931,0.02428644,0.2597842,0.7402158
0.0023145527,0.019772947,0.55312544,0.02406996,0.2593731,0.7406269
0.0029729605,0.020929217,0.55338603,0.024118852,0.25945958,0.74054044
0.0055267513,0.023362845,0.55369616,0.023513772,0.25871083,0.74128914
0.006417662,0.024770439,0.55387425,0.023319246,0.25835672,0.74164325
0.0056549907,0.024234548,0.5537683,0.023419768,0.25835487,0.74164516
0.005528122,0.023519158,0.55359685,0.023272566,0.25812423,0.74187577
0.0039773136,0.021314144,0.55317914,0.02336462,0.25817603,0.741824
0.0030829757,0.019294202,0.5527776,0.023286624,0.25810042,0.7418996
-3.7640333e-05,0.013399109,0.5514501,0.022970384,0.257551,0.74244905
0.0016664416,0.015424103,0.5520561,0.023189502,0.258228,0.74177206
0.0032605082,0.018306524,0.55262804,0.023250328,0.25842026,0.7415797
0.0028403401,0.018744335,0.5526953,0.023418743,0.2585411,0.7414589
0.004300967,0.021801323,0.553431,0.023711855,0.2590117,0.7409883
0.0017419904,0.019533366,0.5530074,0.02408676,0.25925657,0.74074346
0.0030053407,0.021090254,0.5534327,0.024160864,0.2594977,0.7405023
0.006163165,0.025798157,0.55439246,0.02406864,0.25951287,0.74048716
0.0037679821,0.022783399,0.55360794,0.023919282,0.25896034,0.74103963
0.003417343,0.02108103,0.55324715,0.023681829,0.2586604,0.7413396
0.0057931095,0.022498354,0.55337495,0.02301488,0.2579133,0.74208677
0.0038921088,0.019933134,0.55276144,0.022966094,0.25766948,0.7423305
0.003559932,0.019334808,0.5527311,0.023105241,0.25793856,0.74206144
0.0023323,0.01755932,0.5523845,0.023180062,0.25802168,0.7419783
0.0012830794,0.016489029,0.5522886,0.023498233,0.25850332,0.7414967
0.0041927993,0.019994453,0.5529918,0.023293285,0.25846836,0.74153167
0.002909571,0.019246787,0.55278873,0.023447895,0.2584953,0.74150467
0.0042083263,0.022146389,0.5535611,0.023866765,0.25917566,0.74082434
0.005769968,0.024472833,0.5539531,0.023682673,0.25890768,0.7410923
0.0075381696,0.026870921,0.5543369,0.023407668,0.25849602,0.741504
0.005849242,0.025105432,0.55394346,0.023489274,0.25836793,0.7416321
0.008284748,0.02729474,0.55434823,0.023097228,0.25797498,0.742025
0.0064189285,0.024413973,0.5536171,0.022883119,0.25745073,0.74254924
0.0055621266,0.021742135,0.5530102,0.02257019,0.25701526,0.7429847
0.0066850483,0.021951765,0.5529891,0.022224627,0.25668007,0.7433199
0.005783811,0.02113016,0.55284184,0.022374723,0.2568669,0.74313307
0.00470455,0.019165218,0.55240816,0.022306435,0.2567468,0.7432532
0.004965216,0.019655615,0.5525984,0.022473427,0.25710222,0.7428978
0.006181106,0.022142932,0.55318683,0.02269575,0.25752026,0.74247974
0.0039690286,0.020428702,0.5528971,0.02310168,0.25789785,0.7421022
0.0051652044,0.021735534,0.5532151,0.023074236,0.2579888,0.7420112
0.005155638,0.022774383,0.5535064,0.023373384,0.25838053,0.74161947
0.0042133927,0.021391064,0.55318224,0.023323825,0.25821114,0.7417889
0.0063998997,0.02374594,0.553645,0.023090312,0.25804633,0.74195373
0.0054709613,0.022972375,0.5534377,0.023130061,0.25795734,0.74204266
0.0047115237,0.021552905,0.5531398,0.023078084,0.25784335,0.7421566
0.003952265,0.019797131,0.55275345,0.022949759,0.25766152,0.7423385
0.003451705,0.018819109,0.55258816,0.022987146,0.2577636,0.7422364
0.004626602,0.02086705,0.5531029,0.023175897,0.25817403,0.741826
-0.00021494925,0.014323175,0.5516867,0.023278955,0.25797242,0.7420276
0.0019846708,0.016761765,0.5523962,0.02344804,0.25859797,0.74140203
-0.0059576035,0.0069237053,0.5504154,0.024038035,0.25891227,0.74108773
0.00038051605,0.0144853,0.55224466,0.024087492,0.25978053,0.7402195
-0.0007876307,0.015606284,0.55246407,0.024637168,0.26028743,0.73971254
0.00065888464,0.018453866,0.5531077,0.024831116,0.26058316,0.73941684
