mu1,mu2,sigma1,sigma2,pi1,pi2
0.009995669,-0.0070891455,0.42710248,0.02283248,0.12761308,0.87238693
0.010186911,-0.0061274692,0.42763954,0.023036577,0.12802468,0.8719753
0.0036512017,-0.0132550225,0.42698124,0.023525631,0.12859964,0.87140036
0.008300185,-0.0070900694,0.42937624,0.02410604,0.13011716,0.8698828
0.007545054,-0.00658416,0.42949167,0.024191637,0.1301626,0.86983746
0.0038104355,-0.011550121,0.4284331,0.024175784,0.12990625,0.87009376
0.007970512,-0.0070881024,0.42946884,0.024183232,0.13024774,0.8697522
0.009961456,-0.0037161186,0.42985967,0.02405855,0.13004963,0.8699504
0.009130359,-0.0036416873,0.42995822,0.024151828,0.1300832,0.86991674
0.007720053,-0.005591832,0.42951328,0.024119074,0.12991247,0.87008756
0.009242982,-0.0042315647,0.42971918,0.024042133,0.12987627,0.87012374
0.0092763305,-0.003814347,0.42980435,0.024057077,0.12987873,0.8701213
0.015114784,0.00083922595,0.42895564,0.022980243,0.12811367,0.8718864
0.010347247,-0.003225036,0.4284748,0.023263667,0.1282753,0.87172467
0.01026094,-0.004735537,0.42808005,0.023149932,0.12810619,0.8718938
0.0144946575,-0.0018979982,0.42733747,0.022366144,0.12683757,0.87316245
0.015013903,-0.0002522692,0.42760924,0.022376003,0.12681726,0.8731828
0.012405425,-0.0026136562,0.42747706,0.02259572,0.12705907,0.87294096
0.01591307,0.0006079301,0.42772362,0.022320084,0.12673591,0.8732641
0.014336735,-0.001607947,0.42666474,0.022025404,0.12599556,0.8740044
0.016874611,0.0006023273,0.42674884,0.021791566,0.12567902,0.874321
0.009814829,-0.0077326223,0.42528793,0.021963844,0.12560432,0.8743957
0.010905534,-0.0068410113,0.42651185,0.022443824,0.12679207,0.8732079
0.010061741,-0.008472465,0.425901,0.022300405,0.12650861,0.8734914
0.010756195,-0.008204304,0.42582628,0.022217048,0.1264366,0.8735634
0.00677824,-0.011435024,0.4262463,0.022853008,0.1274924,0.8725076
0.006455511,-0.01123967,0.42723668,0.023367183,0.12856594,0.87143403
0.008520901,-0.008413695,0.42790583,0.023422334,0.12882166,0.8711784
0.009053856,-0.0053178445,0.4293932,0.023972128,0.12984978,0.8701502
0.00812012,-0.005369164,0.42963335,0.024155399,0.13007452,0.8699255
0.009837091,-0.002026476,0.43090308,0.024500469,0.13079092,0.86920905
0.010896325,-0.0018483624,0.42980358,0.023839263,0.1295286,0.87047136
0.0071565807,-0.006472014,0.4289438,0.023900745,0.12939857,0.8706015
0.009698063,-0.005011283,0.42891508,0.023635395,0.12911908,0.8708809
0.009615958,-0.004814811,0.42887715,0.023612838,0.12905738,0.87094265
0.013672382,-0.0012951121,0.42851043,0.022969417,0.12802985,0.8719701
0.0104261935,-0.005118437,0.42733973,0.022803454,0.12744045,0.87255955
0.0057917833,-0.011303015,0.4266614,0.023100637,0.12782258,0.87217736
0.009007126,-0.008192427,0.4276654,0.023235321,0.12841219,0.8715878
0.0074426234,-0.009194933,0.4276356,0.023386676,0.12860401,0.871396
0.011513561,-0.0035299286,0.4290641,0.023528779,0.12912393,0.87087613
0.007981181,-0.0059088245,0.4289992,0.023859061,0.12944894,0.87055105
0.009110272,-0.006204866,0.4283534,0.023468437,0.12879327,0.87120676
0.004784256,-0.010937549,0.42796117,0.02382086,0.12923035,0.8707696
0.009784877,-0.00569088,0.42903355,0.023747854,0.1294757,0.8705243
0.011042118,-0.0015050247,0.43043882,0.024147741,0.13021305,0.8697869
0.009556085,-0.0030852184,0.42974356,0.02396792,0.12968901,0.870311
0.0142515,0.00014389306,0.4289095,0.023049979,0.12817848,0.8718215
0.010051668,-0.0040691122,0.4281621,0.023173155,0.12809305,0.87190694
0.011978447,-0.0035940781,0.42778647,0.022833798,0.12760036,0.8723997
0.0091715455,-0.0057418123,0.42812255,0.023300586,0.12835163,0.8716484
0.012003183,-0.0037339702,0.42799005,0.022944106,0.12787333,0.8721267
0.013586104,-0.0016377941,0.42802697,0.022748921,0.12754273,0.8724572
0.012935102,-0.0038437322,0.42646793,0.022149561,0.12626669,0.87373334
0.009063154,-0.00812272,0.42631516,0.022543933,0.12685971,0.8731403
0.009254873,-0.007849373,0.4271322,0.022924775,0.12772219,0.87227786
