mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0044935234,0.0049600136,0.34641683,0.051920496,0.014815738,0.39591056,0.075111754,0.91948414,0.005404134
0.0054395907,0.005460685,0.344527,0.05185903,0.014805931,0.39569542,0.07522101,0.91938186,0.0053971442
0.0054081343,0.005292928,0.34516,0.05230255,0.014994521,0.3968932,0.07552706,0.9190052,0.0054676966
0.005321633,0.00528053,0.34531996,0.0520259,0.014874248,0.3962212,0.07529043,0.9192863,0.005423257
0.007851873,0.006581923,0.34060898,0.05177118,0.014820763,0.39568678,0.07546706,0.919141,0.005391965
0.009502802,0.0074202325,0.33925352,0.0514022,0.014716083,0.39563882,0.07520718,0.9194518,0.005341055
0.0067921914,0.00597669,0.34591773,0.051531166,0.014733344,0.39667416,0.0747086,0.9199372,0.005354245
0.0059263147,0.0055286717,0.34651053,0.051880192,0.0148610575,0.3971435,0.074975,0.91961825,0.0054067397
0.005505156,0.0054289233,0.34662518,0.051812407,0.014818878,0.39674336,0.07491939,0.91968685,0.005393786
0.004697662,0.00498013,0.3476748,0.052241955,0.014979479,0.3975321,0.07520056,0.9193408,0.005458682
0.009646717,0.007493144,0.3378344,0.05214888,0.015041751,0.39716566,0.07595419,0.9185846,0.0054612756
0.007266734,0.0061413776,0.34527645,0.052270006,0.015064089,0.39862397,0.07534505,0.91918087,0.005474077
0.0057076924,0.0052917656,0.34740788,0.05252637,0.0151390685,0.39891282,0.075410336,0.9190798,0.005509929
0.005060915,0.004960647,0.34767422,0.05279988,0.01522957,0.3990662,0.075647734,0.91880244,0.005549856
0.0057058074,0.00541131,0.34564507,0.05243318,0.015077575,0.39785394,0.0755404,0.9189673,0.0054923
0.006091412,0.0057369005,0.3448562,0.051919855,0.014867153,0.39665815,0.075178646,0.9194097,0.0054117055
0.00466894,0.004948532,0.34766358,0.05221783,0.014963527,0.3973652,0.0751926,0.9193533,0.005454055
0.004776221,0.005000768,0.34655252,0.052345023,0.015010786,0.3972433,0.07542326,0.91910297,0.005473798
0.0037628226,0.004461361,0.34821957,0.05250089,0.01504718,0.39738786,0.07543026,0.9190758,0.0054938807
0.004712086,0.004889561,0.34562862,0.0526636,0.015124827,0.39732873,0.075818665,0.9186593,0.0055220234
0.0066543035,0.00608108,0.34208697,0.05159545,0.014712373,0.39490944,0.075222075,0.9194192,0.0053586867
0.011229899,0.008351212,0.33492306,0.05131791,0.014706049,0.39498305,0.07553038,0.91913706,0.0053326166
0.011713278,0.008405304,0.3376434,0.05140436,0.01478836,0.39681348,0.07525441,0.91939366,0.00535195
0.0070020147,0.00588133,0.3479963,0.051844493,0.014899139,0.39857116,0.07471335,0.9198785,0.005408182
0.005357716,0.005178919,0.34885046,0.051995598,0.014918407,0.39810416,0.07482433,0.91975003,0.0054256404
0.005125854,0.005227482,0.34780946,0.0520257,0.014914334,0.3976026,0.074964926,0.9196071,0.0054279696
0.0051138736,0.005222602,0.34714523,0.05236622,0.015052203,0.3981052,0.0753172,0.9192015,0.005481338
0.0040716045,0.0046626087,0.34866026,0.052620776,0.015131039,0.39843178,0.07542107,0.9190616,0.0055173626
0.0026846714,0.0038600098,0.35030013,0.053141136,0.015307055,0.39905202,0.07575924,0.91864693,0.00559387
