mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.003639929,0.2010326,0.0035400838,0.07065467,0.10893357,0.19243875,0.6233442,0.25585634,0.12079949
-0.006709311,0.19874248,0.011902675,0.071119875,0.109063216,0.1933924,0.6206083,0.25774983,0.121641845
-0.00969889,0.19687992,0.016604617,0.071544304,0.10917303,0.19348973,0.6195408,0.25826776,0.122191474
-0.009376001,0.19867703,0.010809556,0.07067311,0.1081682,0.19117881,0.6229246,0.25585198,0.12122336
-0.0062382743,0.19989358,0.0049468726,0.07091646,0.108879544,0.19170906,0.6238002,0.25519404,0.12100575
-0.005263392,0.19982404,0.0057118684,0.071116775,0.10922496,0.19257331,0.62284166,0.2559579,0.121200494
-0.008044004,0.1983937,0.011943653,0.07107653,0.1087727,0.19247444,0.6215265,0.25690407,0.1215695
-0.008318465,0.19837311,0.010704711,0.07109365,0.10876819,0.19206221,0.62223125,0.25628752,0.12148124
-0.00676072,0.19984053,0.0060396343,0.07066251,0.10844967,0.19119696,0.6240477,0.25505668,0.12089567
-0.005547203,0.20148167,0.002690509,0.06989465,0.107678086,0.19004963,0.6257596,0.2540501,0.12019029
-0.008455619,0.20141464,0.006728217,0.06897845,0.10616378,0.18831241,0.62633705,0.25381872,0.11984428
-0.006382663,0.20207314,0.0018665642,0.06929684,0.10688153,0.18877251,0.6270497,0.25320554,0.11974483
-0.005561147,0.20060761,0.0047792345,0.07046135,0.10838697,0.19134238,0.6241178,0.25517017,0.120712034
-0.00656892,0.19917136,0.009017929,0.07101126,0.10891088,0.1925002,0.62215394,0.2564996,0.12134645
-0.0073446035,0.20004036,0.007830158,0.07021942,0.10785557,0.19082303,0.6238857,0.25536793,0.1207464
-0.0053687133,0.20222296,0.0014591962,0.069463216,0.10723118,0.1894585,0.62648624,0.2536651,0.119848676
-0.006283745,0.20019327,0.0072266012,0.07043848,0.10827579,0.1915694,0.6233159,0.25581405,0.1208701
-0.0054567493,0.19987427,0.0065913647,0.070907295,0.10898268,0.19249979,0.6226594,0.25620097,0.12113967
-0.0045392364,0.20065849,0.0048704,0.07064447,0.10879326,0.19225895,0.6232158,0.2559135,0.120870695
-0.0030619279,0.20196392,0.0018840283,0.07018031,0.10845604,0.19180483,0.62421536,0.25538513,0.12039951
-0.0016472377,0.20068273,0.004051253,0.07136961,0.11012298,0.19466704,0.6211907,0.2574665,0.1213428
