mu1,mu2,sigma1,sigma2,pi1,pi2
-0.012653276,0.013547108,0.084632106,0.016184658,0.4235207,0.5764793
-0.012984797,0.014972493,0.08466466,0.0161615,0.42296317,0.57703686
-0.013597891,0.01138185,0.08660738,0.016855022,0.42546186,0.5745382
-0.012744114,0.013530239,0.08505201,0.01631271,0.42375734,0.5762427
-0.013475105,0.018456563,0.084822446,0.01611696,0.42163,0.57837003
-0.01287131,0.021491095,0.08432691,0.015888628,0.42017654,0.57982343
-0.011376902,0.015990362,0.084593914,0.016101655,0.42258242,0.57741755
-0.012597606,0.013404891,0.08604669,0.01661574,0.42437372,0.5756263
-0.0127143115,0.013688669,0.08569462,0.016506089,0.42407408,0.57592595
-0.013524815,0.009750411,0.08740905,0.017150145,0.42657647,0.57342356
-0.016123101,0.016291186,0.08897087,0.017469792,0.42471135,0.57528865
-0.013822183,0.010012314,0.08920938,0.017714048,0.42746168,0.5725384
-0.014090762,0.0073584765,0.08972677,0.017946249,0.42876372,0.5712363
-0.014766142,0.00592719,0.090272754,0.018168956,0.4296076,0.57039243
-0.014409348,0.009997532,0.088380516,0.017450888,0.42696932,0.5730307
-0.01332216,0.013865039,0.08613235,0.016641475,0.42422897,0.57577103
-0.013162777,0.009811565,0.08699559,0.017017163,0.42633393,0.57366604
-0.0138415545,0.00982438,0.08734634,0.017127572,0.42648554,0.57351446
-0.013530299,0.007905468,0.08725814,0.017152956,0.42721856,0.57278144
-0.014416382,0.00899981,0.08768618,0.017259097,0.4269701,0.5730299
-0.012625143,0.018943772,0.083258614,0.015633998,0.42058507,0.57941496
-0.013933942,0.024820551,0.084335074,0.015811404,0.41880956,0.58119047
-0.013204381,0.021518752,0.08616497,0.01644363,0.42119488,0.57880515
-0.011669919,0.011879429,0.08721504,0.017012265,0.4256781,0.5743219
-0.012677833,0.010935351,0.08728794,0.017064758,0.42604852,0.5739515
-0.013487145,0.01119636,0.087369986,0.01709692,0.42598262,0.5740174
-0.0145282,0.008675858,0.08902733,0.01769885,0.4278695,0.5721305
-0.014551744,0.005627796,0.08964981,0.017985191,0.42942443,0.57057554
-0.015083596,0.0013511628,0.09085971,0.018501911,0.43175593,0.5682441
-0.014570519,-0.001260832,0.089985244,0.018290725,0.43233916,0.56766087
-0.01509659,0.0056747645,0.08785015,0.01740763,0.42835248,0.5716476
-0.012622997,0.017137453,0.08236862,0.015415923,0.42078143,0.57921857
-0.010058805,0.023589239,0.07858742,0.014149412,0.41608077,0.5839193
-0.009808585,0.020575866,0.07928953,0.01441514,0.4176999,0.5823001
-0.011299059,0.025226817,0.07984662,0.01447144,0.41611683,0.58388317
-0.008244082,0.017670259,0.07885795,0.014354255,0.4186766,0.5813234
-0.010733411,0.026723906,0.07845938,0.01403752,0.4147109,0.5852891
-0.011060402,0.028011665,0.07955143,0.014329043,0.41488037,0.58511966
-0.009283945,0.017212436,0.080936834,0.014974655,0.420067,0.579933
-0.012399361,0.014947876,0.0840683,0.015970377,0.4226308,0.5773692
-0.013152406,0.016713545,0.0846225,0.016102802,0.42223307,0.57776695
-0.0120114535,0.015764639,0.083996244,0.015933417,0.4223069,0.5776931
-0.011924073,0.014878437,0.08394237,0.015936619,0.4226238,0.57737625
-0.013107106,0.014704928,0.085197605,0.0163279,0.42335778,0.5766422
-0.0123600215,0.019031748,0.083524115,0.015709778,0.4207196,0.5792804
-0.013252661,0.009780392,0.087284006,0.017106121,0.42649314,0.5735069
-0.012820408,0.01305829,0.08546232,0.016449137,0.42417246,0.57582754
-0.011742756,0.017449722,0.08294024,0.0155719165,0.42103705,0.578963
-0.012827203,0.012002334,0.08556465,0.016512401,0.42466268,0.57533735
-0.012843296,0.011664435,0.08540683,0.016472133,0.4247029,0.5752971
-0.01386337,0.019835398,0.08461391,0.01602217,0.42095202,0.579048
-0.012066409,0.014377221,0.08494976,0.016259791,0.42340678,0.5765932
-0.0128527135,0.013739273,0.08570372,0.016503265,0.42403075,0.5759693
-0.0135905,0.017638847,0.08565406,0.016391251,0.4224263,0.5775737
-0.012080595,0.016122267,0.08484327,0.016180051,0.42264923,0.57735074
-0.013064906,0.014563009,0.086221404,0.016643656,0.4239978,0.5760022
-0.013670132,0.014011905,0.08712977,0.01694452,0.4247078,0.57529217
-0.014230177,0.013981983,0.088076465,0.017243583,0.42522424,0.5747758
-0.014520571,0.0107361525,0.08964387,0.017830335,0.42736778,0.57263225
-0.014716074,0.0059309453,0.091034725,0.01841576,0.43002817,0.56997186
-0.013842747,0.0092751235,0.08840477,0.017474808,0.42729765,0.57270235
-0.014906988,0.008297965,0.089629546,0.01789925,0.4283177,0.5716823
-0.015205905,0.008076951,0.0901087,0.018061308,0.42865446,0.57134557
-0.0145518035,0.011509702,0.08855541,0.017465435,0.42645985,0.57354015
-0.014535233,0.010257468,0.08915064,0.017687501,0.4272837,0.5727163
-0.014311239,0.009733066,0.089042865,0.017665282,0.4274389,0.57256114
-0.013526484,0.008465394,0.0881557,0.01741668,0.42749122,0.57250875
-0.013714477,0.012547538,0.08680253,0.01688216,0.4251007,0.5748993
-0.013321564,0.013479993,0.08621581,0.01667727,0.42442802,0.57557195
-0.014109299,0.013749048,0.08728108,0.017001987,0.42487752,0.5751225
-0.01507394,0.01539062,0.088671215,0.01739433,0.4249483,0.57505167
-0.014026806,0.01213406,0.089114256,0.017618962,0.42653725,0.5734628
-0.01402311,0.010970578,0.08927984,0.017700247,0.42708275,0.5729173
-0.014106795,0.011305556,0.08901335,0.017609386,0.4268081,0.57319194
-0.0136051625,0.008335397,0.088869564,0.017648768,0.42794743,0.5720526
-0.014843926,0.009888455,0.08936409,0.017768243,0.42754242,0.57245755
-0.015047237,0.005208537,0.09090377,0.018402886,0.4302483,0.5697517
-0.015791163,0.007176265,0.09100659,0.01837856,0.42947164,0.5705283
-0.015472338,0.006203994,0.09109406,0.018434623,0.42992187,0.5700782
-0.015118524,0.00808309,0.09012966,0.018063705,0.4286545,0.5713455
-0.014217183,0.013888881,0.087638445,0.017107917,0.42500985,0.57499015
-0.013005063,0.011592731,0.087066494,0.01698753,0.42566475,0.5743352
-0.012491986,0.0091703385,0.08646768,0.01686298,0.42631277,0.57368726
-0.013585255,0.013200209,0.085974194,0.01660879,0.42438167,0.5756183
-0.014078423,0.012028441,0.08716995,0.017017234,0.4255094,0.57449067
-0.013005778,0.011232838,0.08626531,0.016750822,0.4253612,0.5746388
-0.013583705,0.010871872,0.08676017,0.016913826,0.42574614,0.5742539
-0.013671324,0.0146142095,0.085942216,0.016561775,0.4237926,0.5762074
-0.012681648,0.012893483,0.08557836,0.016491687,0.4243193,0.57568073
-0.012554213,0.014027819,0.084899,0.016250648,0.42347822,0.57652175
-0.011937186,0.017106518,0.083290145,0.015684983,0.42136347,0.5786365
-0.011029288,0.012258992,0.08328619,0.015804067,0.42333642,0.57666355
-0.012823984,0.011563942,0.084696,0.016255781,0.4243329,0.5756671
-0.0113444775,0.009753212,0.08310249,0.01581605,0.42421433,0.57578564
-0.012846157,0.018886492,0.08197849,0.015255173,0.4198417,0.58015835
-0.011527821,0.0165575,0.08196619,0.015307236,0.42083275,0.5791673
-0.01176922,0.019676909,0.0816428,0.015129141,0.4193679,0.5806321
-0.009857938,0.020100757,0.07975337,0.014561,0.41816956,0.58183044
-0.009344026,0.018365607,0.07919957,0.014437499,0.41854295,0.5814571
-0.011263534,0.026046261,0.07909778,0.014239874,0.41535178,0.5846482
-0.009915873,0.025588319,0.07876307,0.014155362,0.41541576,0.58458424
-0.011192605,0.02282606,0.08128594,0.014946742,0.41794458,0.58205545
-0.01119034,0.02055405,0.08225033,0.015285237,0.41941705,0.5805829
-0.012592718,0.01433371,0.08550624,0.016427256,0.42369935,0.5763006
-0.0119880885,0.015908703,0.08417932,0.015981462,0.42234853,0.57765144
-0.012050077,0.01246129,0.08481947,0.016267495,0.42409128,0.5759087
-0.011035249,0.009712681,0.08353022,0.015943484,0.42449525,0.5755048
-0.0148056,0.017903969,0.085146,0.016238509,0.42198285,0.5780172
-0.015650675,0.016658112,0.08836979,0.01727421,0.424263,0.575737
-0.0129888505,0.015530333,0.08684915,0.016811619,0.42396662,0.57603335
-0.013127372,0.015379772,0.08704782,0.016870696,0.4241137,0.5758863
-0.012785122,0.015210494,0.08660272,0.016739849,0.42396212,0.57603794
-0.012599513,0.012613699,0.08672959,0.01685143,0.42508867,0.5749113
-0.014614746,0.015870258,0.08797492,0.017161125,0.42440084,0.57559913
-0.014198467,0.011448666,0.08930825,0.017706953,0.42693385,0.5730661
-0.014633998,0.004473135,0.091419235,0.01858613,0.43083343,0.56916654
-0.017257676,-0.0013184696,0.095515296,0.020139327,0.43518952,0.56481045
-0.016976997,0.005985245,0.092891954,0.019035438,0.430904,0.56909597
-0.014703855,0.00994204,0.08949752,0.01781058,0.42760202,0.572398
-0.014934108,0.011753544,0.089481845,0.017750585,0.42684767,0.5731523
-0.014401719,0.011629149,0.08922784,0.017671298,0.42678478,0.57321525
-0.014003977,0.0094932765,0.08927531,0.017743893,0.427679,0.572321
-0.015195891,0.0087907165,0.09060875,0.018195884,0.42863032,0.5713697
-0.013386533,0.008823797,0.088228695,0.017431885,0.427408,0.572592
-0.013857767,0.009753391,0.087877706,0.017296916,0.4268172,0.57318276
-0.015031621,0.0084284395,0.08949343,0.017854176,0.4281881,0.5718119
-0.015377507,0.007806346,0.09028047,0.018125117,0.42884603,0.57115394
-0.014515564,0.010184929,0.0887734,0.017570274,0.4271048,0.5728952
-0.014401957,0.011385843,0.08847499,0.017439917,0.42646077,0.5735392
-0.011438772,0.0054082125,0.08618464,0.016873725,0.42770597,0.572294
-0.012604877,0.010313079,0.08457481,0.016248029,0.42476654,0.57523346
-0.013964102,0.016087577,0.08458442,0.016114783,0.42243168,0.57756835
-0.012187406,0.016364321,0.08339031,0.015740816,0.4217197,0.5782803
-0.013476893,0.018818662,0.084671535,0.01606197,0.42139742,0.5786026
-0.012430832,0.01607047,0.085005276,0.016229836,0.4227317,0.5772683
-0.011922881,0.015618607,0.084466495,0.016071813,0.42261693,0.5773831
-0.011207148,0.014461026,0.08349679,0.01580766,0.42256042,0.5774396
-0.011997864,0.01811938,0.08292133,0.015548844,0.42074332,0.5792567
-0.01057367,0.016453013,0.08174154,0.015239103,0.42079964,0.5792004
-0.012837216,0.0090828985,0.08560627,0.016603548,0.4258504,0.5741496
-0.013634965,0.007444367,0.086465985,0.016919037,0.42695045,0.57304955
-0.013509795,0.014813349,0.08433697,0.016067954,0.4228052,0.5771948
-0.014013097,0.02013217,0.08455287,0.015997702,0.42078784,0.5792121
-0.010940596,0.020542488,0.08216406,0.015259879,0.41938043,0.5806196
-0.010655567,0.020569846,0.08177432,0.015137352,0.41913822,0.5808618
-0.0109001845,0.01959835,0.082083665,0.0152562,0.41970733,0.5802927
