mu1,mu2,sigma1,sigma2,pi1,pi2
-0.112559244,0.014323644,0.12881887,0.019055815,0.39761886,0.6023811
-0.11086957,0.0072409436,0.12915647,0.019393768,0.40082633,0.5991737
-0.11069767,0.002657704,0.12882207,0.019456124,0.4025475,0.5974525
-0.11199908,0.0074769184,0.12621464,0.018553337,0.39904428,0.6009558
-0.113260016,0.011733644,0.1277591,0.01885514,0.39809224,0.6019078
-0.112550244,0.011141174,0.12869817,0.019139161,0.3988886,0.6011114
-0.11099015,0.00624495,0.1275234,0.01896033,0.40032598,0.59967405
-0.11176948,0.0072624013,0.12701316,0.01877833,0.3995655,0.6004345
-0.11259656,0.011607103,0.12609941,0.018381517,0.39722615,0.60277385
-0.1125692,0.015317313,0.12460429,0.01784625,0.39485797,0.605142
-0.11096637,0.012772076,0.12151322,0.017081715,0.39422664,0.6057734
-0.11271803,0.01622098,0.123255484,0.01744539,0.39370066,0.60629934
-0.11243044,0.012905411,0.12673572,0.018518748,0.3970647,0.6029353
-0.11165957,0.009187989,0.12779385,0.018937875,0.39922085,0.6007792
-0.1116585,0.010903053,0.12540162,0.018204425,0.3971685,0.60283154
-0.112753436,0.016759269,0.12437479,0.017735617,0.39412156,0.6058784
-0.11175434,0.011153929,0.12686953,0.018613014,0.39790022,0.6020998
-0.11227922,0.011353545,0.12846193,0.019054653,0.39866108,0.6013389
-0.11237721,0.013211124,0.1283382,0.018957464,0.39782467,0.60217535
-0.11258654,0.016304366,0.12821281,0.018815905,0.39646533,0.6035347
-0.11254941,0.014002912,0.132469,0.020119932,0.3997408,0.6002592
-0.11095892,0.008465342,0.13223924,0.020248642,0.40199596,0.5980041
-0.110862,0.0050907657,0.13183363,0.020251857,0.40318295,0.5968171
-0.11211322,0.005733542,0.13344261,0.020718908,0.40373877,0.59626126
-0.11223416,0.004275076,0.13538906,0.021370167,0.40539613,0.5946039
-0.11236404,0.0064390823,0.13474521,0.021089032,0.40413824,0.5958618
-0.111251935,0.00073795766,0.1355141,0.021537675,0.40697286,0.5930272
-0.11258535,0.0052255318,0.13537858,0.021321496,0.40494722,0.5950528
-0.11156063,0.0031061694,0.13406861,0.021005567,0.405193,0.594807
-0.11219184,0.0075015947,0.13180554,0.020162432,0.40209827,0.5979017
-0.11221115,0.011734538,0.12890433,0.019171594,0.39876497,0.60123503
-0.112521335,0.012853675,0.13026953,0.019524813,0.39903304,0.60096693
-0.11207102,0.009653024,0.13293214,0.020417295,0.40182638,0.5981737
-0.11204068,0.009706192,0.13343747,0.020562576,0.40207148,0.5979285
-0.111746356,0.008549623,0.13363181,0.020663617,0.40267518,0.5973248
-0.11144011,0.007085137,0.1329972,0.020529538,0.4029638,0.5970362
-0.1131355,0.010796897,0.13637412,0.021412065,0.40313885,0.5968612
-0.11110531,0.004936628,0.13579762,0.021461591,0.4053906,0.59460944
-0.11203723,0.0045545623,0.13807364,0.022174774,0.4066827,0.59331733
-0.11109881,-0.00058240443,0.13813199,0.022403816,0.40892103,0.59107894
-0.11320214,0.0066438243,0.1389568,0.022374243,0.40622175,0.59377825
-0.11120276,0.0015895292,0.13765934,0.022171693,0.40776825,0.59223175
-0.1108201,-0.002017744,0.13633555,0.021894448,0.40857354,0.5914265
-0.11169337,-0.00035143644,0.13465397,0.021317681,0.40694427,0.5930557
-0.11264478,0.0037663504,0.13390958,0.02094149,0.40479025,0.5952097
-0.11283575,0.006118886,0.13445587,0.021016086,0.40408835,0.5959117
-0.11200224,0.009511463,0.13028555,0.0196475,0.40045354,0.59954643
-0.11140679,0.0062673613,0.13049553,0.019817952,0.4019315,0.59806854
-0.111909255,0.008843772,0.12880194,0.019237204,0.3999057,0.60009426
-0.11236696,0.009279422,0.13019776,0.019629665,0.4004772,0.5995228
-0.11196451,0.013270192,0.12620746,0.018356068,0.39664307,0.60335696
-0.1115226,0.010251753,0.12675172,0.018607927,0.39821717,0.60178286
-0.11221062,0.008983068,0.12942483,0.019416453,0.40018728,0.59981275
-0.113086686,0.0119026825,0.13163504,0.019958649,0.40014187,0.5998581
-0.11158894,0.00857877,0.13118541,0.019941282,0.40135202,0.59864795
-0.11087148,0.0060874745,0.12902126,0.019392882,0.40122384,0.5987762
-0.11211376,0.009113185,0.12857755,0.019165818,0.39966646,0.6003335
-0.11253433,0.009857468,0.13002314,0.019563977,0.400149,0.599851
-0.11274116,0.011839561,0.13101728,0.0197808,0.39985472,0.60014534
-0.11173712,0.009938769,0.13060758,0.019723535,0.4004645,0.5995355
-0.11070542,0.004159741,0.13020752,0.01980781,0.4026905,0.59730947
-0.1120867,0.005436115,0.13129176,0.020085681,0.40268147,0.59731853
-0.1124935,0.007774465,0.1311134,0.019956293,0.4016095,0.59839046
-0.11129503,0.007100694,0.1275931,0.018957254,0.4000135,0.5999865
-0.11213158,0.009101026,0.12736695,0.018822983,0.39900285,0.60099715
-0.112359926,0.007920556,0.12949952,0.019479001,0.40066645,0.5993336
-0.11179583,0.0065863654,0.12897477,0.019370465,0.40095362,0.59904635
-0.112334594,0.010417752,0.12744802,0.018798992,0.39848113,0.60151887
-0.11312632,0.018395357,0.12539771,0.01796401,0.3940021,0.60599786
-0.11344032,0.0237078,0.12630332,0.01803951,0.3923049,0.6076951
-0.109795734,0.007045917,0.12897882,0.01934311,0.40085867,0.59914136
-0.11215411,0.011332624,0.12985489,0.019445203,0.39942095,0.600579
-0.11225848,0.012561791,0.12986758,0.019421266,0.39895838,0.6010416
-0.11196183,0.008636288,0.13294674,0.02046295,0.40227583,0.5977242
-0.112051174,0.0074758455,0.1344959,0.020968817,0.4035806,0.5964194
-0.11183046,0.005723648,0.13532558,0.021286676,0.4047642,0.59523576
-0.111889705,0.0031865165,0.13740438,0.0220245,0.406915,0.593085
-0.111485526,0.00015949458,0.1376743,0.022228934,0.40834048,0.59165955
-0.11212377,0.0040821955,0.13541587,0.021377474,0.4054743,0.5945257
-0.11208443,0.009450428,0.13087954,0.01982583,0.40081224,0.59918773
-0.112877116,0.008683853,0.1357332,0.021300314,0.40369335,0.5963067
-0.11158447,0.0055982396,0.13534674,0.02129644,0.4048368,0.5951632
-0.111539885,0.0051615164,0.13447043,0.02104189,0.4045398,0.59546024
-0.11131738,0.0031112358,0.13374159,0.02090252,0.40502316,0.59497684
-0.111954734,0.0049616024,0.13277233,0.020546654,0.40370402,0.596296
-0.11194943,0.005046658,0.13223737,0.020387644,0.40338823,0.59661174
-0.11209594,0.0059855506,0.13169917,0.02019287,0.40269426,0.5973058
-0.11249624,0.0070877,0.13274553,0.020462137,0.40277597,0.59722406
-0.11244719,0.008855097,0.13258418,0.020346396,0.401951,0.59804904
-0.11225347,0.009871714,0.13250558,0.020281285,0.40148693,0.59851307
-0.11144476,0.01021301,0.1296678,0.019436616,0.3998409,0.6001591
-0.11159955,0.009445243,0.12962914,0.019453272,0.40013173,0.5998683
