mu1,mu2,sigma1,sigma2,pi1,pi2
0.18972093,-0.030090526,0.40237212,0.5332769,0.5661256,0.43387446
0.1896756,-0.029803,0.4024788,0.5332944,0.5660862,0.43391383
0.18974921,-0.030135378,0.40233767,0.53329045,0.5661253,0.43387473
0.18994227,-0.03007283,0.40227205,0.5332128,0.5661032,0.43389678
0.19007313,-0.029825501,0.40227404,0.5332041,0.5660491,0.43395093
0.18980083,-0.029950514,0.4023358,0.53337085,0.566074,0.43392602
0.18930468,-0.030687936,0.40232956,0.5335743,0.5662152,0.43378478
0.18912745,-0.030730322,0.4024067,0.53360987,0.5662405,0.43375957
0.18889359,-0.030448891,0.40260822,0.53366226,0.5662228,0.43377724
0.18874678,-0.030484565,0.40266967,0.5336982,0.56624246,0.43375757
0.18872884,-0.029736787,0.40288493,0.5337572,0.56612253,0.43387747
0.1884701,-0.030743122,0.4026802,0.53390455,0.5662798,0.4337202
0.18829489,-0.030704848,0.4027875,0.53391963,0.566297,0.433703
0.18862239,-0.030800395,0.40261942,0.5337759,0.5662918,0.4337082
0.18912503,-0.03057988,0.40246442,0.53357774,0.56622505,0.43377495
0.18907702,-0.03020104,0.40260395,0.5335843,0.5661748,0.43382525
0.18903354,-0.030485563,0.4025409,0.5335914,0.56622183,0.43377817
0.18910307,-0.030196287,0.4026094,0.5335292,0.5661814,0.4338186
0.18947992,-0.03036604,0.40239692,0.5333674,0.5661836,0.43381643
0.19008228,-0.03033252,0.4021345,0.5331512,0.56613344,0.43386656
0.19025797,-0.029674865,0.40225202,0.5330908,0.5660224,0.43397757
0.18987891,-0.029351965,0.40248647,0.53332597,0.565983,0.434017
0.1891711,-0.030252598,0.40249175,0.5337071,0.56614363,0.4338564
0.18865672,-0.031446196,0.40236178,0.53390175,0.5663568,0.4336432
0.18845245,-0.031152487,0.40257052,0.5338945,0.56634504,0.43365496
0.18824467,-0.030697137,0.4028169,0.53392524,0.5663021,0.43369788
0.18819967,-0.03057918,0.40287715,0.5339289,0.5662906,0.4337094
0.18818009,-0.030487232,0.40292573,0.5339012,0.5662855,0.4337145
0.1884146,-0.03045895,0.40284804,0.5337588,0.5662755,0.43372455
0.18950307,-0.03064873,0.4023293,0.53327787,0.56624013,0.43375987
0.19062737,-0.029939458,0.40204772,0.5328354,0.56605875,0.43394125
0.19157681,-0.029532336,0.40173617,0.53250885,0.56592447,0.43407556
0.19165608,-0.029354952,0.40174845,0.5324956,0.5658892,0.43411085
0.19142792,-0.029641159,0.40176308,0.53258455,0.5659472,0.43405282
0.19135454,-0.02928941,0.40188912,0.53264827,0.5658931,0.43410695
0.19137236,-0.030457772,0.4015287,0.5326451,0.56606394,0.4339361
0.1912834,-0.029311366,0.4019212,0.53265464,0.5659055,0.4340945
0.19089243,-0.02949924,0.4020097,0.532887,0.56594396,0.434056
0.19037351,-0.03057485,0.40191752,0.53308266,0.5661401,0.43385985
