mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0031467807,0.0283406,-0.0070431456,0.6577543,0.47752315,0.531521,0.28110507,0.36741456,0.3514804
-0.0019881707,0.026447617,-0.0074402094,0.65772647,0.47783038,0.53144,0.28115982,0.36743072,0.35140952
-0.0021058153,0.026635982,-0.0073976517,0.6577272,0.47780412,0.5314524,0.28115466,0.3674281,0.35141724
-0.003087027,0.028036714,-0.006942846,0.6576445,0.47780654,0.5317416,0.28113127,0.36736315,0.35150564
-1.5242025e-05,0.023316272,-0.008170269,0.6577273,0.47823438,0.5312018,0.28124255,0.36748153,0.35127595
0.0027357657,0.019269854,-0.00937558,0.6578966,0.4783826,0.5305216,0.28132164,0.3676334,0.351045
0.0005189199,0.022844441,-0.00858812,0.657925,0.4778558,0.5307279,0.28122228,0.36759055,0.3511872
-8.7602064e-05,0.02384954,-0.008388549,0.65794706,0.4776766,0.53075486,0.28119203,0.3675857,0.35122234
-0.0005329978,0.024605691,-0.008252613,0.65797275,0.47752154,0.5307549,0.28116778,0.36758667,0.35124555
-0.0019562077,0.026818924,-0.0076992363,0.65794814,0.4772896,0.53097636,0.28111327,0.36753845,0.35134828
-0.0027629267,0.027981445,-0.007331677,0.65788585,0.4772774,0.53120214,0.28109282,0.36748782,0.35141942
-0.001710264,0.026262604,-0.007693045,0.65786105,0.47755507,0.53112745,0.2811424,0.36750275,0.35135487
-0.0012904834,0.025636978,-0.00787212,0.6578826,0.47758836,0.53103256,0.2811554,0.36752382,0.35132074
-0.00059823506,0.024665594,-0.008202866,0.6579498,0.47756487,0.5308104,0.28117,0.36757395,0.3512561
-0.00032910518,0.02417729,-0.008266643,0.65791774,0.47769922,0.5308445,0.28118822,0.36756536,0.35124642
0.0016482193,0.021090262,-0.009028345,0.65794563,0.4780375,0.5305501,0.28126532,0.3676293,0.35110542
0.00035298057,0.02325631,-0.008613683,0.65800303,0.47762918,0.5305863,0.28119847,0.3676239,0.35117763
-0.00021907501,0.02415637,-0.0083974,0.6579986,0.47752234,0.5306639,0.28117537,0.36760715,0.35121745
0.00023897178,0.023490757,-0.00860282,0.65803105,0.4775365,0.5305418,0.28118762,0.3676345,0.35117787
-0.0005311053,0.02476751,-0.008349821,0.65805936,0.47730827,0.5305754,0.28114918,0.36762848,0.35122237
-0.0015106034,0.026282832,-0.007964373,0.65803826,0.47715887,0.53073627,0.28111255,0.3675933,0.35129416
0.0021620858,0.020675637,-0.0094533935,0.65815663,0.47762236,0.5300518,0.28124133,0.36774412,0.35101452
0.0012560356,0.022242896,-0.0091937855,0.65822405,0.47726947,0.53002053,0.2811887,0.36775354,0.35105777
-0.0018099826,0.026874341,-0.007921718,0.65809923,0.4769469,0.53064567,0.2810868,0.36761507,0.35129815
-0.0049244147,0.03136704,-0.006505482,0.65786123,0.47689378,0.53151214,0.28100726,0.36742067,0.35157207
-0.0026141685,0.027479745,-0.0072311237,0.6577463,0.47765225,0.5314737,0.28112918,0.36742434,0.3514465
-0.0007012468,0.02457524,-0.008016095,0.6578164,0.477873,0.53109926,0.28119448,0.36750695,0.35129854
-0.0014445018,0.025752954,-0.007739924,0.65781504,0.47772342,0.53119105,0.2811635,0.3674873,0.35134915
-0.0030081552,0.028024636,-0.0070382506,0.657704,0.4776759,0.5316089,0.28112176,0.36739382,0.35148445
