mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0036179144,0.012828782,-0.0052124485,0.6217385,0.27122775,0.35364422,0.21125083,0.44153655,0.34721258
-0.003801318,0.013177484,-0.0051823556,0.6217473,0.27108586,0.35354826,0.21121424,0.4415738,0.347212
-0.0059344787,0.01657018,-0.004416026,0.62165403,0.27055642,0.35349998,0.21106026,0.44159424,0.34734553
-0.00473872,0.014400616,-0.0046772957,0.6216274,0.27130547,0.3539588,0.21125637,0.4414161,0.3473276
-0.0032517333,0.012248099,-0.0053451955,0.62175506,0.27131563,0.3536496,0.21127653,0.4415342,0.34718928
-0.0028485972,0.011616647,-0.0054961443,0.6217755,0.27139944,0.35364297,0.21130165,0.4415364,0.34716198
-0.008702936,0.020926446,-0.0033919662,0.6215192,0.26994962,0.353513,0.21087974,0.4415914,0.34752887
-0.008710714,0.02077739,-0.0032876134,0.6214713,0.27021965,0.35377318,0.21094534,0.44149098,0.3475637
-0.0048194546,0.0145896375,-0.0046864673,0.6216418,0.27118284,0.35385907,0.21122561,0.44145462,0.34731975
-0.004483225,0.014154002,-0.004869558,0.6216857,0.27109885,0.3537068,0.21120927,0.44151312,0.3472776
-0.0021265168,0.010275438,-0.005634412,0.6217503,0.2719053,0.35397002,0.2114329,0.44140944,0.3471577
0.0019343775,0.003812924,-0.007091008,0.6219268,0.27292463,0.354068,0.21172798,0.44136792,0.34690413
0.00069415383,0.006014496,-0.0067894086,0.62194,0.2722263,0.3536705,0.21154423,0.44152257,0.34693322
-0.00033235736,0.0076754987,-0.006438397,0.6219035,0.27192256,0.3536017,0.21145843,0.4415501,0.34699148
-0.0042515416,0.013903648,-0.0050270706,0.62173057,0.27095684,0.35352165,0.21117754,0.44158444,0.34723797
-0.002166124,0.01050657,-0.0057258755,0.6217981,0.2716108,0.35369802,0.21136104,0.44151452,0.34712446
-0.00012782402,0.0076512694,-0.006701112,0.6220012,0.27146387,0.35312125,0.21134965,0.4417356,0.34691474
-0.0005266089,0.008529186,-0.006710954,0.6220555,0.27095297,0.3527202,0.21122092,0.4418912,0.34688795
-0.0042940397,0.014524147,-0.005359322,0.6218916,0.27001405,0.3526305,0.21094784,0.4419291,0.34712303
-0.0021645445,0.011127114,-0.006117873,0.6219817,0.27055886,0.35269508,0.21110569,0.44190237,0.34699196
-0.00043317862,0.008326545,-0.0067105666,0.62204367,0.27106744,0.35280928,0.21124983,0.44185662,0.34689358
0.0005368572,0.0065868646,-0.006935373,0.6220281,0.2716414,0.35314795,0.21140064,0.44172472,0.34687468
-0.0027071256,0.011776999,-0.005789101,0.62189525,0.27078366,0.35302556,0.2111539,0.44177493,0.34707123
-0.005441906,0.016090333,-0.0047838017,0.62176496,0.2701668,0.35302213,0.21097139,0.4417785,0.3472501
-0.0030995626,0.012479022,-0.0056970343,0.62190104,0.27055496,0.3528914,0.21109362,0.44182715,0.34707922
-0.0020044465,0.010688841,-0.0060600713,0.62193465,0.27090836,0.3529939,0.2111925,0.44178653,0.34702098
-0.0049040336,0.015207857,-0.004960045,0.6217806,0.2703456,0.35307786,0.21102127,0.44175655,0.34722218
-0.003263535,0.0124825835,-0.005476445,0.621818,0.27094835,0.35330182,0.21118726,0.44166857,0.34714422
-0.0031327326,0.012450889,-0.005634293,0.62187576,0.27068317,0.3530208,0.21112439,0.4417771,0.3470985
-0.004184218,0.014036223,-0.005201824,0.6218041,0.2705692,0.3531372,0.21108417,0.441733,0.34718284
-0.0042037684,0.013910115,-0.005096011,0.621757,0.27082956,0.35338986,0.21114722,0.44163534,0.34721747
