mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0016646143,-0.00054536946,0.6598833,0.57786447,0.48923144,0.51076853
-0.00162456,-0.00054706447,0.6598687,0.5779774,0.48923856,0.5107615
-0.0016312506,-0.0005467851,0.6598711,0.5779585,0.48923734,0.51076263
-0.001685353,-0.000544494,0.6598909,0.577806,0.48922783,0.5107722
-0.0015403312,-0.000550637,0.65983796,0.5782149,0.48925337,0.5107466
-0.0013865009,-0.0005571488,0.6597819,0.5786489,0.48928058,0.5107195
-0.001463322,-0.0005539004,0.6598098,0.5784322,0.489267,0.510733
-0.0014791638,-0.00055321865,0.6598157,0.57838744,0.48926422,0.5107358
-0.0014954619,-0.0005525332,0.6598216,0.5783415,0.48926133,0.5107387
-0.0015651472,-0.00054958276,0.659847,0.57814497,0.48924905,0.510751
-0.0016172435,-0.0005473811,0.659866,0.57799804,0.4892398,0.5107602
-0.0015835669,-0.00054880045,0.65985376,0.578093,0.48924577,0.5107542
-0.0015663523,-0.00054953434,0.65984744,0.5781415,0.4892488,0.5107512
-0.00152722,-0.00055118836,0.6598332,0.57825196,0.4892557,0.5107443
-0.001515964,-0.0005516652,0.6598291,0.5782836,0.4892577,0.5107423
-0.0014183205,-0.000555804,0.65979344,0.5785591,0.48927498,0.5107251
-0.0014583878,-0.00055410154,0.6598081,0.5784461,0.48926786,0.5107321
-0.0014795475,-0.00055320375,0.6598158,0.5783864,0.48926413,0.51073587
-0.0014551785,-0.0005542431,0.6598069,0.57845515,0.48926845,0.5107316
-0.0014860425,-0.0005529318,0.6598182,0.5783681,0.48926297,0.510737
-0.0015353579,-0.0005508419,0.6598362,0.57822895,0.48925427,0.5107457
-0.0013613384,-0.00055821426,0.6597727,0.5787199,0.48928502,0.510715
-0.0013861414,-0.00055716373,0.6597817,0.57864994,0.4892806,0.51071936
-0.0015333034,-0.0005509313,0.6598354,0.57823473,0.48925462,0.51074535
-0.0017078165,-0.000515284,0.6599101,0.5777182,0.48923048,0.5107695
-0.0016396791,-0.00052188523,0.6598838,0.5779135,0.48924166,0.51075834
-0.0015542805,-0.0005279388,0.6598517,0.5781565,0.48925617,0.51074386
-0.0015843976,-0.00052849017,0.6598619,0.57807314,0.48925042,0.5107496
-0.0016660728,-0.0005265642,0.6598911,0.5778442,0.48923564,0.51076436
-0.0017601755,-0.0005237069,0.65992504,0.57757986,0.48921874,0.5107813
-0.0016956273,-0.0005273614,0.65990114,0.5777626,0.48922995,0.5107701
-0.0017066877,-0.000527991,0.6599047,0.5777324,0.48922774,0.5107723
-0.0015889648,-0.00053258054,0.6598619,0.57806396,0.4892486,0.5107514
-0.001647329,-0.00053159334,0.65988266,0.5779007,0.48923793,0.5107621
-0.001599351,-0.0005481336,0.65985954,0.57804847,0.48924297,0.510757
-0.0015551094,-0.0005500112,0.6598434,0.5781732,0.48925078,0.5107492
-0.0016216598,-0.0005471911,0.6598676,0.5779856,0.48923904,0.51076096
-0.0015969556,-0.00054570474,0.6598596,0.57805306,0.489244,0.510756
-0.001540618,-0.0005451869,0.65984017,0.5782094,0.48925462,0.51074535
-0.0015008207,-0.00055230595,0.6598236,0.5783264,0.48926038,0.5107396
-0.0015071351,-0.00055203773,0.6598258,0.5783086,0.4892593,0.51074076
-0.0015150458,-0.0005517062,0.6598288,0.57828623,0.48925784,0.5107421
-0.0015255548,-0.00055125915,0.6598326,0.5782566,0.489256,0.510744
-0.0015560351,-0.0005499702,0.6598437,0.57817066,0.48925066,0.5107494
-0.0015189853,-0.00055153854,0.6598302,0.57827514,0.4892572,0.51074284
-0.0015255269,-0.00055125915,0.6598326,0.57825667,0.48925602,0.510744
-0.0014562495,-0.00055419095,0.6598073,0.5784521,0.48926824,0.51073176
-0.0014524572,-0.00055435486,0.6598059,0.5784628,0.48926893,0.5107311
-0.0013624225,-0.0005581733,0.65977305,0.5787169,0.4892848,0.5107152
-0.0014466867,-0.00055460073,0.6598038,0.5784791,0.48926997,0.5107301
-0.0014666822,-0.0005537551,0.65981114,0.57842267,0.48926643,0.5107336
-0.0014966391,-0.00055248477,0.659822,0.5783382,0.48926112,0.5107389
-0.0015336517,-0.0005509127,0.6598355,0.5782337,0.48925456,0.5107454
-0.0015109442,-0.00055187754,0.6598273,0.5782978,0.4892586,0.5107414
-0.0014757514,-0.0005533714,0.6598145,0.5783971,0.48926482,0.5107352
-0.0014779828,-0.0005532708,0.65981525,0.5783908,0.4892644,0.5107356
-0.0015566051,-0.0005499441,0.6598439,0.57816905,0.4892505,0.51074946
-0.0014809705,-0.0005531516,0.6598163,0.5783824,0.4892639,0.5107361
-0.0014549475,-0.0005542468,0.65980685,0.57845575,0.48926848,0.5107315
-0.0013565011,-0.00055841915,0.65977097,0.5787336,0.4892859,0.5107142
-0.001428349,-0.0005553756,0.65979713,0.5785308,0.48927316,0.5107268
-0.0014813934,-0.00055313297,0.65981644,0.5783812,0.4892638,0.51073617
-0.0014739372,-0.0005534496,0.6598137,0.5784022,0.4892651,0.51073486
-0.0014351998,-0.000555085,0.65979964,0.5785115,0.48927197,0.51072806
-0.0014067721,-0.00055629574,0.65978926,0.5785917,0.48927698,0.51072305
-0.001440851,-0.0005548466,0.65980166,0.57849556,0.48927096,0.5107291
-0.0014262665,-0.0005554687,0.65979636,0.57853675,0.48927355,0.51072645
-0.001456935,-0.0005541686,0.65980756,0.5784502,0.48926815,0.5107319
-0.0014998093,-0.00055234693,0.65982324,0.57832927,0.48926055,0.51073945
-0.0014430452,-0.00055475347,0.6598025,0.57848936,0.48927057,0.51072943
-0.0013923701,-0.0005568955,0.659784,0.57863235,0.48927954,0.5107205
-0.001350075,-0.0005586874,0.6597686,0.57875174,0.489287,0.51071304
-0.0013691429,-0.0005578827,0.6597755,0.5786979,0.48928365,0.5107164
-0.0013684276,-0.0005579125,0.65977526,0.57869995,0.48928377,0.51071626
-0.0014781803,-0.0005532596,0.6598153,0.57839024,0.48926437,0.51073563
-0.001563007,-0.00054966845,0.6598462,0.5781509,0.48924938,0.5107506
-0.0015717912,-0.00054930337,0.65984946,0.5781262,0.48924783,0.51075214
-0.0016498659,-0.0005459916,0.65987796,0.5779061,0.48923406,0.51076597
-0.0015103947,-0.0005518999,0.6598271,0.5782994,0.48925868,0.51074135
