mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0006322898,0.00071099773,0.6402352,0.49766836,0.48003608,0.5199639
-0.00062858313,0.0007097684,0.64023465,0.49768293,0.48003724,0.5199628
-0.0006875321,0.0009927191,0.64031625,0.4971354,0.4800612,0.51993877
-0.0006844662,0.0008904822,0.64028734,0.49726903,0.48004594,0.5199541
-0.000620313,0.0006511919,0.64021796,0.4977824,0.48003086,0.51996917
-0.00059824437,0.00056290254,0.64019245,0.49796626,0.4800247,0.5199753
-0.00070120394,0.0013142191,0.6404845,0.49645248,0.48009694,0.51990306
-0.0006540641,0.001353126,0.64060825,0.4962039,0.48010424,0.5198958
-0.0007176176,0.001007434,0.6403213,0.4970119,0.48005268,0.51994735
-0.0006974228,0.0009289868,0.6402986,0.49717718,0.48004746,0.5199526
-0.0006283894,0.000581827,0.64019865,0.49783742,0.4800168,0.5199832
-0.00047832727,-6.228313e-05,0.6400127,0.49914166,0.47996798,0.52003205
-0.00044613704,-7.000193e-05,0.6400095,0.49926448,0.47997838,0.5200216
-0.00043914467,-2.1267682e-05,0.640023,0.49923036,0.47998872,0.52001125
-0.0005394891,0.00049575046,0.6401717,0.498254,0.48003525,0.5199648
-0.00049541146,0.00026965514,0.6401066,0.49868155,0.48001498,0.5199851
-0.0004017055,-5.8632344e-05,0.6400113,0.4994075,0.4799963,0.52000374
-0.00038410723,-6.945059e-05,0.6400078,0.4994827,0.48000094,0.5199991
-0.000494238,0.00044621155,0.6401563,0.498473,0.48004368,0.51995635
-0.00045195222,0.0002146624,0.6400898,0.4989009,0.4800219,0.5199781
-0.00041252002,-3.6023557e-06,0.64002717,0.499303,0.48000118,0.5199988
-0.00039185956,-0.00014559552,0.6399865,0.49954712,0.47998592,0.52001405
-0.0004694797,0.00025240704,0.6401011,0.4987936,0.48002157,0.5199784
-0.0005605705,0.0006683506,0.64022094,0.497972,0.48005524,0.5199448
-0.00050664693,0.00040747598,0.6401458,0.49847594,0.48003295,0.519967
-0.00049024075,0.00028673932,0.6401113,0.49867913,0.48001957,0.51998043
-0.0005847439,0.000695426,0.64022934,0.49785438,0.48005083,0.5199492
-0.00055930763,0.00052186474,0.6401797,0.49815276,0.48003224,0.5199678
-0.0005437583,0.00048429891,0.64016855,0.4982527,0.48003182,0.51996815
-0.0005852282,0.0006434284,0.64021474,0.4979152,0.48004234,0.5199577
-0.00060613826,0.0006852485,0.64022714,0.4977913,0.4800414,0.51995856
-0.0005689785,0.00046252832,0.64016324,0.49819013,0.4800192,0.5199808
-0.0005798042,0.0005614497,0.64019144,0.49803296,0.48003113,0.51996887
-0.0005405992,0.00041973218,0.6401503,0.49834153,0.48002264,0.5199774
-0.0006411113,0.0008822344,0.6402837,0.4974314,0.48006034,0.51993966
-0.00057981536,0.0005316995,0.6401831,0.4980687,0.48002636,0.51997364
-0.00042820722,-0.00011814758,0.6399954,0.49938577,0.47997716,0.52002287
-0.00043338537,-3.4768134e-05,0.640019,0.499267,0.47998866,0.52001137
-0.0004946254,0.00030663237,0.640117,0.4986397,0.48002115,0.5199788
-0.0004881546,0.00029709563,0.6401142,0.498674,0.480022,0.51997805
-0.00036885217,-0.00024363771,0.63995826,0.49974662,0.47997853,0.52002144
-0.00045979023,0.00021803752,0.64009106,0.49886918,0.4800196,0.51998043
-0.0005696416,0.0007484518,0.64024377,0.49784374,0.48006478,0.51993525
-0.0005980395,0.0007984899,0.6402587,0.49768358,0.48006254,0.5199375
-0.0005511418,0.00056873634,0.6401926,0.49812514,0.48004267,0.5199573
-0.0005333908,0.00042831525,0.6401525,0.49835664,0.48002663,0.5199734
-0.0005849451,0.0005966611,0.64020157,0.49797252,0.48003492,0.5199651
-0.0006423965,0.0008518584,0.6402752,0.49746346,0.48005503,0.519945
-0.0006830022,0.0010325946,0.64032733,0.4971034,0.48006928,0.5199308
-0.0006461777,0.0007987879,0.64026034,0.4975139,0.4800451,0.51995486
-0.00072202086,0.0010747127,0.6403404,0.4969156,0.48006186,0.5199381
-0.0006835051,0.0008907579,0.6402874,0.4972721,0.48004633,0.51995367
-0.0006249696,0.0006628968,0.6402214,0.49775192,0.48003104,0.519969
-0.0005348474,0.0002691634,0.64010775,0.49854317,0.4800006,0.5199994
-0.00051791593,0.00022781268,0.64009553,0.49865255,0.4800001,0.5199999
-0.0005983971,0.00064209476,0.64021474,0.4978705,0.48003733,0.51996267
-0.0005842224,0.0005817227,0.6401973,0.497993,0.4800328,0.5199672
-0.0005014241,0.0002273731,0.64009494,0.4987112,0.480006,0.519994
-0.00042447075,-6.2499195e-05,0.64001095,0.4993319,0.4799874,0.52001256
-0.00051540136,0.0004084967,0.64014643,0.4984438,0.48002997,0.51997006
-0.00058701634,0.000774201,0.64025164,0.49775165,0.4800626,0.5199374
-0.0005042888,0.0003262423,0.64012295,0.49858207,0.4800208,0.5199792
-0.00051709637,0.00037832186,0.640138,0.49847418,0.4800245,0.5199755
-0.00054967776,0.00049169734,0.6401709,0.49822298,0.48003086,0.5199691
-0.00053198263,0.0003916733,0.64014214,0.49840564,0.48002127,0.51997876
-0.0005554259,0.0005510561,0.6401878,0.49813125,0.48003834,0.5199617
-0.000634633,0.00090527907,0.64028996,0.49742654,0.48006636,0.51993364
-0.0007031821,0.0011314861,0.6403558,0.49691367,0.48007777,0.51992226
-0.0006526187,0.0007849522,0.6402566,0.4975079,0.48004058,0.51995945
-0.00051177666,0.00016736612,0.64007837,0.498747,0.4799927,0.5200074
-0.00047609583,0.00010464713,0.6400596,0.49894837,0.47999552,0.5200045
-0.00054983795,0.0004591979,0.64016175,0.4982615,0.48002562,0.5199744
-0.0005154647,0.00030541047,0.64011735,0.49856773,0.48001343,0.51998657
-0.00046493858,0.00010133162,0.64005834,0.49899164,0.47999904,0.520001
