mu1,mu2,sigma1,sigma2,pi1,pi2
0.01824044,0.009049978,0.69242406,0.5082066,0.40744224,0.5925578
0.018205676,0.008996557,0.69241136,0.50823486,0.4074593,0.59254074
0.01820561,0.008958612,0.69243914,0.50819856,0.40746453,0.5925355
0.018140282,0.008940969,0.6923656,0.50830156,0.4074848,0.59251523
0.018201899,0.008911107,0.69245654,0.50819284,0.40747243,0.59252757
0.018379476,0.008803345,0.69275486,0.50780606,0.40743932,0.5925607
0.018456351,0.008794725,0.6928662,0.5076482,0.4074194,0.59258056
0.018475834,0.008907035,0.6928143,0.5077076,0.40739846,0.59260154
0.018492293,0.008971155,0.6927956,0.50772154,0.40738496,0.59261507
0.018458318,0.009032637,0.69271654,0.50781333,0.40738544,0.5926146
0.018379796,0.009080343,0.69258547,0.50798225,0.40740004,0.5925999
0.018336888,0.009059612,0.6925414,0.50804776,0.4074147,0.5925853
0.018346373,0.009021055,0.6925819,0.5079944,0.40741745,0.5925826
0.018391665,0.009016845,0.69264495,0.5079072,0.40740567,0.5925943
0.018382903,0.008953087,0.6926719,0.5078839,0.4074171,0.59258294
0.018431332,0.008880436,0.69277304,0.50776863,0.40741435,0.5925857
0.018506002,0.008892842,0.69286805,0.50762975,0.4073921,0.5926079
0.018505279,0.008955423,0.692824,0.5076834,0.4073836,0.59261644
0.018529784,0.008985221,0.692835,0.5076679,0.4073744,0.59262556
0.018550161,0.009019777,0.69284374,0.50764924,0.4073675,0.5926325
0.018516269,0.009072103,0.6927688,0.5077406,0.4073701,0.5926299
0.018603023,0.009047508,0.6928886,0.50760263,0.40735838,0.5926416
0.018687177,0.008990731,0.6930444,0.5073867,0.4073429,0.5926571
0.018589918,0.009049613,0.6928826,0.507589,0.40735674,0.5926433
0.018366542,0.009131908,0.6925399,0.5080302,0.4073963,0.59260374
0.01823565,0.009096384,0.6923825,0.50826305,0.40743718,0.59256285
0.018286888,0.0089976415,0.6925165,0.5080911,0.407437,0.592563
0.018297423,0.008947782,0.6925671,0.50802386,0.40744102,0.592559
0.01821005,0.008952748,0.69244915,0.5081854,0.40746412,0.59253585
0.018083896,0.008982725,0.69226533,0.50843185,0.40749428,0.59250575
0.018051233,0.008976653,0.69222236,0.5084971,0.40750414,0.59249586
0.017984878,0.008842532,0.692221,0.5085218,0.40754107,0.5924589
0.018058736,0.0087957345,0.6923409,0.5083733,0.40752774,0.5924723
0.018123288,0.008804467,0.6924277,0.5082432,0.4075087,0.5924913
0.01819181,0.00889916,0.6924536,0.5081957,0.4074768,0.5925232
0.018235032,0.008865755,0.69252956,0.50809973,0.40746978,0.59253025
0.018206876,0.008848321,0.6925054,0.50813353,0.40747985,0.5925202
0.018212568,0.008892458,0.6924806,0.50816536,0.40747222,0.5925278
0.018291514,0.008908458,0.69257456,0.5080327,0.4074484,0.5925516
0.018392336,0.008936096,0.6926919,0.50786334,0.407417,0.59258306
0.018417787,0.008937553,0.69272465,0.50781775,0.40740982,0.59259015
0.018435542,0.008972485,0.6927256,0.50781053,0.4074001,0.5925999
0.018406387,0.008959547,0.69269365,0.5078592,0.40740994,0.5925901
0.018406693,0.009000473,0.69267094,0.50787956,0.407404,0.59259605
0.018406112,0.009000484,0.69266754,0.5078876,0.4074042,0.5925958
0.018407907,0.008971319,0.69269025,0.5078591,0.4074078,0.59259224
0.018480804,0.008990414,0.6927718,0.5077462,0.4073853,0.5926147
0.018528696,0.008974969,0.6928466,0.50764364,0.40737438,0.5926257
0.018611211,0.008966424,0.6929535,0.5075158,0.40736043,0.59263957
0.018621515,0.008967008,0.69297254,0.50748116,0.40735662,0.5926434
0.018591542,0.009034932,0.6928855,0.50759995,0.40735993,0.5926401
0.018560316,0.009058848,0.69283134,0.50766623,0.40736383,0.5926362
0.018507157,0.00907512,0.6927539,0.5077616,0.40737197,0.59262806
0.0184956,0.009082966,0.69273394,0.5077867,0.40737358,0.5926264
0.018505279,0.009041231,0.6927739,0.5077348,0.40737385,0.59262615
0.018522438,0.009024046,0.69280934,0.50768584,0.40737095,0.5926291
0.018447887,0.009017307,0.6927174,0.507809,0.40739033,0.5926097
0.018452574,0.00902117,0.6927143,0.50782096,0.40738866,0.5926113
0.018477414,0.008942854,0.692797,0.50772077,0.40739292,0.5926071
0.018604439,0.008949395,0.69295555,0.5075133,0.4073626,0.5926374
0.018640716,0.008961335,0.693001,0.5074454,0.40735352,0.59264654
0.018600393,0.009040568,0.6928951,0.5075848,0.40735748,0.59264255
0.018586118,0.009079486,0.6928506,0.5076435,0.40735838,0.59264165
0.018601973,0.009059474,0.6928842,0.5076002,0.40735647,0.59264356
0.01863392,0.009027634,0.6929469,0.5075189,0.40735212,0.5926479
0.018637296,0.009033538,0.69295007,0.50751066,0.4073504,0.59264964
0.0186623,0.009080682,0.6929513,0.50751096,0.40734372,0.5926563
0.018624533,0.009063285,0.69291455,0.50755596,0.4073511,0.5926489
