mu1,mu2,sigma1,sigma2,pi1,pi2
0.043082662,0.023364298,0.79429984,0.2730843,0.25324857,0.7467514
0.04309053,0.02318789,0.7944558,0.27294192,0.25322092,0.7467791
0.04317581,0.02319859,0.79459196,0.2728089,0.25316498,0.74683505
0.043035172,0.023257561,0.79428566,0.27312163,0.25328103,0.74671894
0.04305195,0.023253351,0.7943343,0.27305925,0.2532573,0.7467427
0.0430262,0.023111954,0.7943971,0.27301258,0.2532622,0.74673784
0.043265216,0.023093715,0.79481685,0.27260628,0.25309983,0.74690014
0.043246187,0.023546442,0.7944303,0.27294788,0.25316173,0.7468383
0.043084897,0.023599312,0.79412943,0.27322364,0.2532657,0.7467343
0.04307016,0.023332804,0.7943244,0.27304384,0.25323862,0.7467614
0.04291015,0.02319476,0.79414165,0.27324915,0.25334468,0.7466553
0.042732455,0.022908613,0.7940382,0.2734015,0.25345883,0.7465412
0.04286515,0.022573248,0.79451275,0.27298504,0.25335163,0.7466484
0.04294259,0.022611782,0.7945976,0.27290517,0.25330523,0.7466948
0.043131925,0.022694916,0.7948467,0.2726578,0.2531858,0.7468142
0.043063127,0.023005053,0.7944801,0.27299684,0.2532706,0.74672943
0.043125056,0.023023076,0.79460484,0.27284408,0.25320715,0.74679285
0.043218143,0.022945747,0.79484296,0.27260107,0.2531224,0.7468776
0.043371655,0.022982657,0.7950783,0.27236682,0.25302082,0.7469792
0.04330445,0.02330564,0.7947193,0.2726838,0.25309536,0.7469047
0.043192096,0.02312792,0.79466844,0.27274564,0.25315088,0.7468491
0.043053307,0.022870913,0.79461074,0.27284187,0.2532327,0.74676734
0.043197222,0.022787035,0.79491675,0.27255479,0.25312978,0.7468702
0.043325387,0.023061283,0.79492074,0.27252948,0.25307274,0.74692726
0.04329578,0.0233806,0.7946428,0.27275497,0.25311136,0.74688864
0.043204732,0.023198567,0.7946353,0.27277204,0.25314966,0.7468504
0.043268837,0.023082055,0.79483175,0.27259335,0.25309652,0.74690354
0.04317213,0.023274086,0.7945123,0.27289352,0.25318575,0.74681425
0.043220274,0.023231864,0.79464626,0.27274907,0.25313517,0.74686486
0.043219157,0.023185454,0.79467666,0.27272686,0.25313383,0.74686617
0.043161295,0.0232106,0.7945483,0.27285904,0.2531828,0.74681723
0.043021165,0.02314049,0.7943505,0.27306995,0.2532798,0.7467202
0.04310117,0.023037672,0.7945734,0.27285504,0.25321022,0.74678975
0.043124147,0.023157328,0.79452664,0.27288443,0.2532022,0.7467978
0.043234102,0.023082033,0.7947697,0.27265623,0.25312197,0.746878
0.04307162,0.023286067,0.79432356,0.27308387,0.25326073,0.7467393
