mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0032081977,0.006791264,-0.035891995,0.03543007,0.02804186,0.2931036,0.34867772,0.5730443,0.07827802
-0.0015524998,0.0072523654,-0.03437747,0.036203645,0.02870305,0.29414606,0.34868366,0.5723869,0.078929424
0.0003290996,0.0060178936,-0.032165304,0.03648535,0.028940164,0.29380563,0.348202,0.57280344,0.078994624
0.0042240247,0.006427884,-0.029671207,0.036773533,0.029204167,0.29327187,0.34792387,0.5728663,0.07920987
0.0059718117,0.010748297,-0.029589936,0.038473148,0.030677628,0.29679906,0.34892598,0.5700835,0.08099057
0.003856741,0.011896342,-0.03161542,0.038392995,0.030602708,0.29761502,0.34939468,0.5695134,0.081091926
0.0006228313,0.013451606,-0.033360526,0.039760064,0.03175341,0.3013334,0.35018253,0.56744766,0.08236986
-0.0011955276,0.011723548,-0.033903047,0.03927225,0.03131829,0.30062202,0.34991676,0.5682511,0.08183214
-0.0009860769,0.013425171,-0.034178898,0.040045008,0.031990286,0.30226257,0.3503787,0.5670163,0.082605
-0.0027184263,0.012641847,-0.035121933,0.039696768,0.031681214,0.30199492,0.35034943,0.5673722,0.08227838
-0.0030731931,0.013532519,-0.036278978,0.039260752,0.031317547,0.30156952,0.35058507,0.56736696,0.08204795
-0.005702056,0.011627048,-0.037261233,0.038729813,0.030840734,0.3009791,0.35035124,0.56818116,0.08146766
-0.004466869,0.01093021,-0.03747444,0.037184644,0.029538102,0.29770392,0.3499535,0.5698876,0.08015897
-0.0052704588,0.008220524,-0.037374064,0.03609114,0.028594662,0.2953051,0.3492815,0.5717167,0.0790018
-0.0034199134,0.008295983,-0.035954043,0.036424536,0.028885735,0.29536867,0.3491432,0.5716077,0.07924914
-0.0019975677,0.0116331875,-0.036814436,0.036691163,0.029139955,0.29623896,0.3498451,0.57035226,0.07980267
-0.006167628,0.010184914,-0.038347617,0.036891975,0.029276486,0.29751936,0.34991363,0.57021415,0.07987222
-0.0051970854,0.009489179,-0.03797026,0.036202826,0.028696628,0.29580426,0.3495923,0.5711792,0.079228505
-0.0053336993,0.008362055,-0.03717597,0.0364408,0.02888995,0.2959919,0.34935287,0.571348,0.0792991
-0.0030165687,0.0089049935,-0.036266282,0.036219876,0.028719898,0.2950206,0.34923953,0.5716168,0.07914369
-0.00337217,0.010202616,-0.036639646,0.036884386,0.029286264,0.2966503,0.3496451,0.57053196,0.07982299
-0.0038776174,0.011344612,-0.038112238,0.03635744,0.028845936,0.29614145,0.34993094,0.5705357,0.07953343
-0.007285036,0.009340912,-0.03860776,0.0368221,0.029206224,0.29752362,0.3498128,0.5704452,0.07974204
-0.0050191656,0.005962372,-0.03557639,0.03640924,0.028849494,0.2952492,0.3487277,0.572263,0.07900935
0.0010358319,0.009352297,-0.03438376,0.035825387,0.02841202,0.2931866,0.34891546,0.5722752,0.07880934
-0.002899684,0.008748561,-0.034962907,0.037419934,0.029729692,0.29711494,0.34927276,0.5706442,0.08008304
-0.00040701777,0.009527922,-0.033917174,0.037346613,0.029685209,0.2964325,0.34920275,0.570725,0.08007228
-0.00096378475,0.005492896,-0.031181797,0.038073793,0.030268116,0.29689163,0.3483148,0.5714749,0.080210336
0.0070370063,0.008629799,-0.028378889,0.037713226,0.030028213,0.29461697,0.34825954,0.57159436,0.08014616
0.00576403,0.009829879,-0.029343382,0.03825936,0.030488063,0.2962762,0.34870052,0.5705718,0.080727726
0.0049388036,0.012266904,-0.030654564,0.03895154,0.031083712,0.29834545,0.3494102,0.5690408,0.081549026
0.0012988672,0.014105409,-0.03258641,0.040629663,0.032500234,0.30274805,0.35032454,0.5665844,0.08309101
-0.00052205473,0.016198307,-0.035451874,0.040100932,0.0320575,0.30293447,0.3509974,0.56604826,0.08295436
-0.0057348385,0.0113177,-0.03715144,0.038553417,0.03068309,0.30066103,0.350232,0.56846464,0.08130335
-0.0044628754,0.012250334,-0.03572543,0.04001461,0.0319391,0.3029613,0.35045373,0.5670431,0.082503155
-0.0035001412,0.011775106,-0.035575554,0.039221913,0.0312727,0.3011699,0.3502108,0.5679628,0.08182644
-0.0041295066,0.009070456,-0.034034148,0.039605614,0.031575836,0.30133408,0.34964028,0.5685317,0.08182801
0.0020151958,0.010744303,-0.033983007,0.036480676,0.028978342,0.29442373,0.3492123,0.5713141,0.0794737
-0.0026400462,0.011019766,-0.03705986,0.03641624,0.02889815,0.29581004,0.34972125,0.5707508,0.079528
-0.0047999397,0.009555191,-0.037824735,0.03607175,0.028585384,0.29549354,0.34953758,0.5713353,0.07912716
-0.0046357885,0.0098041,-0.03748788,0.036506455,0.028955312,0.29628268,0.34962553,0.57087415,0.07950031
-0.0045141354,0.009939522,-0.037405416,0.036630847,0.029063279,0.29648882,0.3496663,0.5707226,0.079611145
-0.0053285733,0.012752622,-0.038249657,0.038143028,0.030356059,0.3001069,0.35056078,0.5683117,0.081127524
-0.0076185837,0.009595245,-0.03859757,0.03726372,0.029580422,0.29846117,0.34995434,0.5699217,0.08012402
-0.0051617995,0.009824783,-0.037826017,0.03660251,0.02903857,0.29657426,0.34972066,0.5706968,0.07958263
-0.005604543,0.009344399,-0.038029984,0.036373887,0.028840581,0.29617524,0.34962907,0.5710171,0.07935388
-0.004236199,0.0071251094,-0.037748232,0.034373093,0.027150342,0.2915237,0.34876364,0.57377636,0.07746003
-0.00424359,0.008743554,-0.03733097,0.035793982,0.028353542,0.29457706,0.3492849,0.5719137,0.0788014
-0.0043459907,0.009247929,-0.03702791,0.03650125,0.028951604,0.29602244,0.34947583,0.57109576,0.079428375
-0.0039762035,0.007142335,-0.035452977,0.036589976,0.029014347,0.29555494,0.3489259,0.57180846,0.07926567
-9.7073615e-05,0.008906454,-0.034075573,0.036597926,0.02905298,0.2948316,0.3489731,0.57162434,0.079402566
-0.0007465258,0.0091127455,-0.034416243,0.036769506,0.029193932,0.29540193,0.34909225,0.5713338,0.07957391
-0.0010020509,0.0110215545,-0.034859553,0.037683893,0.029975994,0.29758593,0.3496486,0.56983936,0.08051206
-0.0021734014,0.010189563,-0.03561233,0.037098944,0.029469324,0.29670694,0.34951302,0.57050914,0.079977885
-0.0025740638,0.011113524,-0.03608556,0.03746601,0.02978354,0.29770622,0.34980962,0.56981474,0.080375664
-0.0035787597,0.013491869,-0.038281873,0.037321936,0.029673321,0.2983358,0.35049003,0.568973,0.08053701
-0.00862018,0.010945857,-0.039876923,0.03737362,0.029673627,0.2993268,0.3503765,0.5692458,0.08037771
-0.00738696,0.0114578605,-0.039558038,0.037266083,0.029595736,0.29885963,0.3503877,0.56928617,0.08032618
-0.008459248,0.010682881,-0.040042385,0.03700734,0.02936901,0.29850873,0.350299,0.5696509,0.080050156
-0.007862307,0.008030295,-0.03945525,0.03555601,0.02813384,0.29502088,0.34947288,0.5719435,0.07858354
-0.006044008,0.008186936,-0.038478747,0.035490744,0.028089432,0.29438838,0.3493251,0.5721562,0.078518756
-0.00521145,0.0076963603,-0.037998125,0.03512936,0.027786028,0.29335505,0.34908414,0.57275736,0.07815848
-0.004462637,0.0074296296,-0.037164077,0.03531932,0.027946457,0.29343078,0.34895164,0.572773,0.078275375
-0.0027878657,0.00835669,-0.03686221,0.03509859,0.02777399,0.29275635,0.3489861,0.5728448,0.07816911
-0.0039629713,0.0041290224,-0.0345145,0.035649437,0.028202828,0.29311037,0.3480979,0.5737164,0.07818567
0.0028159246,0.009558737,-0.031951383,0.03734605,0.029703997,0.29544857,0.34889823,0.5710791,0.08002267
0.0011279806,0.010168523,-0.033559605,0.037094604,0.02948425,0.29568464,0.3491839,0.570897,0.07991912
-0.0006630793,0.010986775,-0.03452535,0.037754923,0.0300354,0.29761958,0.34959832,0.56984067,0.08056102
-0.0018080845,0.011392504,-0.035187915,0.038084183,0.03031027,0.29864573,0.3498358,0.5692823,0.080881886
-0.002435483,0.012241513,-0.03636451,0.03779451,0.030068759,0.29852974,0.35009265,0.56915045,0.080756985
-0.0050202385,0.011265099,-0.037262514,0.03796397,0.030192345,0.29936412,0.35012946,0.5690481,0.08082245
-0.0047969,0.011818171,-0.03751038,0.03793868,0.030177983,0.2993702,0.35025308,0.5688891,0.08085784
-0.0058706775,0.012503743,-0.03901179,0.037501775,0.029809287,0.29908153,0.35050717,0.5688886,0.08060424
-0.00885389,0.011705995,-0.040096804,0.037860498,0.030091926,0.30041954,0.35064235,0.56851226,0.080845386
-0.007721998,0.0075806677,-0.03941141,0.03520543,0.027835835,0.2942301,0.34930927,0.5724427,0.07824802
-0.0056670085,0.008398354,-0.038391307,0.03545349,0.028060608,0.29426524,0.34933177,0.5721623,0.078506045
-0.0054930225,0.00824368,-0.038055077,0.035586875,0.028172253,0.29442552,0.34928477,0.57211924,0.07859595
-0.0046262518,0.008326441,-0.037591234,0.03553959,0.028136496,0.29410663,0.34920853,0.5722377,0.07855388
-0.0040921345,0.008970112,-0.037758186,0.03540037,0.028025255,0.29385522,0.34929627,0.57220167,0.07850205
-0.005146779,0.009530187,-0.038245007,0.035917487,0.028457658,0.2952707,0.3495786,0.5714208,0.079000615
-0.005223848,0.010021299,-0.03901051,0.035467073,0.028081184,0.29458684,0.34966844,0.5716434,0.078688174
-0.0072874203,0.007515818,-0.038467035,0.03582388,0.028354973,0.29525086,0.3492878,0.57197124,0.078740984
-0.0041029826,0.009703159,-0.037033424,0.036652215,0.029084543,0.2963199,0.34958446,0.5708221,0.079593405
-0.0047949925,0.008632511,-0.03673567,0.036753166,0.029159136,0.29644594,0.34939888,0.5710327,0.079568446
-0.00270579,0.009139121,-0.036202326,0.036234967,0.028735993,0.29500934,0.34926903,0.571555,0.07917603
-0.0032201186,0.010266185,-0.03716235,0.036251374,0.028753335,0.29548156,0.34959292,0.57108665,0.0793204
-0.0046586767,0.011834025,-0.039350078,0.035857987,0.028423563,0.29559228,0.35008547,0.5707197,0.07919482
-0.008914627,0.008053094,-0.039726242,0.035882827,0.02839833,0.29599518,0.34958047,0.5715463,0.07887321
-0.005536951,0.0068383515,-0.03643562,0.036408093,0.028852142,0.2956127,0.3489993,0.57189023,0.07911049
-0.001328148,0.009650916,-0.035345897,0.03658955,0.029047094,0.29534462,0.34929574,0.5712113,0.07949299
-0.0033477321,0.011906594,-0.037313417,0.037260167,0.029615732,0.29772693,0.3500956,0.5695978,0.08030662
-0.0059747472,0.00922209,-0.038343623,0.036149878,0.028646132,0.29587862,0.34959912,0.5712317,0.07916916
-0.0050087348,0.010428041,-0.038392022,0.036230452,0.0287272,0.29602626,0.34980875,0.570842,0.07934922
-0.0060276166,0.010413587,-0.039845005,0.035368413,0.02799679,0.2947404,0.3498386,0.5714996,0.07866179
-0.008210994,0.0094560385,-0.040630236,0.035381246,0.027990757,0.29518503,0.34982377,0.5715733,0.07860295
-0.008401908,0.008155644,-0.039481655,0.03592575,0.028440814,0.2959146,0.349577,0.5715152,0.078907795
-0.0064125434,0.010689557,-0.03853272,0.03728354,0.02961398,0.29837155,0.3501227,0.56964016,0.08023712
-0.0065411106,0.010355979,-0.039698258,0.03589967,0.028444795,0.29582375,0.3499454,0.5709619,0.07909271
-0.0075744763,0.00847137,-0.04080917,0.034229703,0.027023435,0.2925617,0.34942845,0.5730387,0.07753283
-0.00841675,0.0067847073,-0.039969966,0.034584686,0.02730624,0.29308102,0.34912527,0.57321227,0.077662416
-0.005787708,0.008601159,-0.03874038,0.035290804,0.027924316,0.29405132,0.34937862,0.5722246,0.07839681
-0.0058029667,0.008110374,-0.038904384,0.034822296,0.027527243,0.29306385,0.34921554,0.5728249,0.07795953
-0.005900897,0.007807046,-0.038310125,0.03529573,0.027921673,0.29391187,0.34918666,0.5724946,0.07831877
-0.0047927275,0.009633988,-0.038014486,0.036024306,0.028551746,0.29536906,0.34958777,0.5713212,0.07909108
