mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.027889997,-0.0075378865,0.028039224,0.0254406,0.019896623,0.21464726,0.3825908,0.56716096,0.050248295
0.028702766,-0.0062275976,0.02790112,0.025573159,0.020014236,0.21503991,0.38283315,0.56671387,0.050453026
0.028063864,-0.006099209,0.027215905,0.025338152,0.0198175,0.21464927,0.38296258,0.56677866,0.050258704
0.025905639,-0.005641654,0.026479729,0.02638932,0.020683834,0.21773759,0.3831909,0.5655598,0.051249284
0.027026862,-0.0057474226,0.026927896,0.02601846,0.020379957,0.21657862,0.3830905,0.5660077,0.05090184
0.026937097,-0.0037609488,0.025845505,0.026229482,0.020563832,0.21748503,0.38360932,0.5651566,0.051234152
0.024086326,-0.004785046,0.024640538,0.026240885,0.020559233,0.2179663,0.38364655,0.56515366,0.05119973
0.02455905,-0.0068172365,0.025449581,0.025433425,0.019883154,0.21552594,0.38315347,0.566518,0.05032843
0.026185602,-0.0046682507,0.025185116,0.025433762,0.019898375,0.21557009,0.38355598,0.56597793,0.05046604
0.02402708,-0.004939869,0.023699798,0.025140384,0.019647205,0.21529761,0.38375604,0.5660394,0.0502046
0.023063391,-0.005609855,0.023150302,0.024769796,0.019334702,0.21447803,0.38372675,0.566443,0.049830265
0.022337645,-0.0057604164,0.022768028,0.024778115,0.019339187,0.21462907,0.38376957,0.5663962,0.049834255
0.021210164,-0.007759586,0.023292936,0.024850136,0.01938771,0.21466626,0.38335422,0.56687737,0.049768463
0.023785144,-0.008864835,0.025203653,0.024424398,0.019040368,0.21280955,0.3828309,0.56789404,0.04927503
0.025512844,-0.009059355,0.02633635,0.024324913,0.018962927,0.21213482,0.38260105,0.56824654,0.049152393
0.026661664,-0.007189557,0.026363946,0.024752542,0.019326689,0.21330146,0.3829197,0.56741655,0.049663767
0.02647993,-0.0063605756,0.025570132,0.024531068,0.019145427,0.21296594,0.38318092,0.5672959,0.04952321
0.024933428,-0.008003756,0.025283732,0.024205446,0.018864298,0.21219444,0.3829415,0.5679336,0.04912488
0.026528388,-0.0042781383,0.024473615,0.024641499,0.019244416,0.21364021,0.38371387,0.5665137,0.04977242
0.021722585,-0.005965188,0.022692151,0.02496738,0.019491987,0.21520343,0.3837515,0.56624967,0.04999881
0.022971004,-0.004587278,0.022771724,0.025102364,0.0196139,0.21551344,0.3839724,0.5658212,0.050206456
0.019145876,-0.009570882,0.023590453,0.025449988,0.019869685,0.21624431,0.38302463,0.5667749,0.050200526
0.026600808,-0.007749662,0.026744105,0.02487694,0.01942826,0.2135004,0.38277122,0.56749225,0.04973658
0.025376052,-0.010015681,0.027095176,0.02462583,0.01920745,0.21272323,0.38232592,0.5683134,0.04936066
0.029142052,-0.0085770935,0.028448083,0.024366513,0.019009415,0.21152678,0.38231686,0.56849515,0.049187988
0.028418452,-0.007733479,0.02772493,0.024601169,0.019203281,0.21244305,0.3825848,0.5679448,0.04947037
0.027100235,-0.008371934,0.027821459,0.025181739,0.019675529,0.21404633,0.38247895,0.567556,0.049965087
0.029097587,-0.008270457,0.02902726,0.025160836,0.019665023,0.2135638,0.3822887,0.5677785,0.049932744
0.02894637,-0.005605802,0.028459944,0.026454687,0.020748956,0.21719556,0.38286167,0.5658617,0.05127664
0.02901873,-0.003388092,0.027118929,0.026389355,0.020704443,0.2174642,0.3834534,0.56516546,0.051381078
0.025311321,-0.0017098039,0.024316646,0.02707846,0.021271909,0.22026218,0.38421896,0.56363213,0.052148957
0.02363959,-0.004568383,0.023618378,0.025526183,0.019965218,0.21641171,0.3838359,0.5655798,0.050584383
0.022717565,-0.004210368,0.023015656,0.025789665,0.020183096,0.21731783,0.38400903,0.56513584,0.050855167
0.02251771,-0.0055535287,0.022940971,0.024978433,0.01950627,0.21512121,0.38378105,0.5661897,0.050029308
0.022286326,-0.0047604293,0.022333898,0.025018997,0.019543003,0.21542194,0.38401994,0.56585526,0.050124824
0.020620972,-0.0056436807,0.021706201,0.024935031,0.019465085,0.21541807,0.38398048,0.56601715,0.05000233
0.021558791,-0.00653328,0.022083737,0.024122668,0.018793847,0.21300694,0.38374025,0.5670749,0.0491848
0.020881325,-0.009308532,0.022827871,0.023615615,0.018363325,0.21133547,0.38313097,0.5683424,0.048526585
0.023183018,-0.011006609,0.02511356,0.023394527,0.018181788,0.20992969,0.3824464,0.5693745,0.048179094
0.026356965,-0.00853841,0.026097544,0.023837015,0.018565292,0.21082032,0.38270867,0.5685609,0.04873041
0.025845677,-0.006739959,0.025036015,0.02418006,0.018852977,0.21215193,0.38319984,0.56762046,0.04917973
0.023154885,-0.009791717,0.025319494,0.024339208,0.018962866,0.21257557,0.38264772,0.56821287,0.0491394
0.026738733,-0.009348944,0.02756203,0.024561357,0.019159267,0.21240452,0.38234636,0.56831706,0.049336545
0.02828899,-0.008227184,0.028093018,0.024792384,0.019359764,0.2128388,0.3824504,0.56793964,0.049609937
0.028129905,-0.0066806823,0.02759225,0.025355605,0.019830951,0.21455178,0.3828075,0.5669616,0.050230976
0.027272016,-0.0063750297,0.027089037,0.02559471,0.0200268,0.2153885,0.3829483,0.56657505,0.050476685
0.027065307,-0.0045734495,0.026281334,0.026057372,0.020417346,0.21689333,0.3833951,0.56558347,0.051021438
0.025493532,-0.005390212,0.025510348,0.025770972,0.020171138,0.21641035,0.38338512,0.56589085,0.050724022
0.025343806,-0.006936267,0.02593375,0.025315387,0.019786969,0.2150434,0.38304532,0.56674856,0.05020608
0.025772482,-0.0065370053,0.026326336,0.02573464,0.020137914,0.21602693,0.38305885,0.56633615,0.050605033
0.025620073,-0.0056600124,0.026265658,0.026398953,0.020692756,0.21780422,0.38323206,0.5655099,0.051257998
0.026423901,-0.0068603903,0.026816435,0.02561028,0.020036139,0.21551234,0.38292015,0.56661636,0.05046351
0.027680725,-0.0055458993,0.026506014,0.02523437,0.019734005,0.21457963,0.3831777,0.5666143,0.050207973
0.025531381,-0.0059881657,0.025354572,0.02517681,0.019676967,0.21484782,0.38329735,0.5665553,0.050147243
0.02507326,-0.006021872,0.025150366,0.025250724,0.019736405,0.21512643,0.38332847,0.56645507,0.05021638
0.024969608,-0.0060649663,0.02502475,0.025170729,0.01967017,0.21494247,0.38334233,0.56651586,0.050141875
0.023605734,-0.0075312406,0.02539242,0.02558918,0.020006502,0.21597445,0.3830518,0.5665222,0.05042599
0.026307851,-0.006273493,0.026373811,0.025609015,0.020037709,0.21564561,0.38309467,0.5663998,0.050505582
0.02655539,-0.0047857612,0.025340416,0.025274886,0.019767871,0.21507445,0.3835069,0.56618273,0.050310325
0.022800058,-0.008829102,0.02528847,0.025173511,0.019654347,0.2149007,0.38284156,0.56718963,0.04996884
