mu1,mu2,sigma1,sigma2,pi1,pi2
0.713543,-0.0010893345,0.38029736,0.017378641,0.35073602,0.64926404
0.71611583,-0.00082075596,0.3799747,0.017287584,0.35056368,0.64943635
0.71929777,-0.00040873885,0.3797517,0.017310126,0.3504926,0.6495074
0.7206994,-0.0005042404,0.37975,0.017296337,0.3504946,0.64950544
0.72089744,-0.0007394701,0.37936303,0.016986832,0.35017288,0.6498271
0.71822906,-0.00095422566,0.37944463,0.016942749,0.3501644,0.6498356
0.72004616,-0.00033420324,0.3787214,0.016704066,0.3497363,0.65026367
0.7206092,2.0489097e-05,0.37867698,0.016787421,0.34976342,0.6502366
0.7212501,3.056228e-05,0.37841257,0.01663643,0.34958157,0.65041846
0.7208279,8.560717e-05,0.37846935,0.016682269,0.34962586,0.6503742
0.71795803,-0.0004362464,0.37880233,0.016699439,0.34976748,0.65023255
0.7181373,-0.00014816225,0.37882414,0.016799605,0.3498247,0.6501753
0.7137732,-0.0009787381,0.3796707,0.017023329,0.35028762,0.6497124
0.7133352,-0.0009034127,0.37999132,0.017240219,0.3505288,0.64947116
0.7150071,-0.0008004755,0.37986228,0.017210122,0.3504708,0.6495292
0.71151197,-0.0016261935,0.38013127,0.017088616,0.35051116,0.6494888
0.7131504,-0.00092735887,0.37974215,0.017076124,0.35033435,0.64966565
0.7119247,-0.0011671185,0.3800571,0.017185535,0.35052463,0.64947534
0.7145302,-0.0006970763,0.37978315,0.017186558,0.35041943,0.64958054
0.7135738,-0.0010949522,0.38003737,0.017213864,0.35054263,0.64945734
0.7139953,-0.0010516495,0.3798153,0.017093625,0.35038617,0.6496138
0.71017176,-0.001660645,0.38022137,0.017118845,0.35055402,0.649446
0.713935,-0.00065393746,0.37962306,0.01709339,0.3502953,0.6497047
0.71799874,-9.249151e-05,0.37954724,0.017262822,0.35037342,0.6496266
0.7125814,-0.0016587824,0.3804334,0.017279757,0.3507485,0.6492515
0.71802074,-0.00040881336,0.37941587,0.01708597,0.35022408,0.6497759
0.7172335,-0.00075760484,0.37960404,0.017088965,0.35030934,0.6496907
0.72553384,0.00078231096,0.37875995,0.017123586,0.34999627,0.65000373
0.7218292,-0.0006377399,0.37953347,0.017134761,0.3503332,0.6496668
0.72154313,-0.0005822331,0.37933517,0.017025005,0.35017827,0.6498217
0.7202368,-0.0007173419,0.3791452,0.016852934,0.35000035,0.6499997
0.7226262,1.5079975e-05,0.3782786,0.016567487,0.34948698,0.65051305
0.71756876,-0.0006889403,0.37864894,0.016529502,0.3496061,0.6503939
0.71798366,2.245605e-05,0.37876093,0.016810246,0.3497935,0.6502065
0.7226092,0.0005953163,0.37806815,0.016608713,0.34942618,0.65057385
0.72088856,0.00012303889,0.37851387,0.016721431,0.34967166,0.65032834
0.72593087,0.000995174,0.37805957,0.016758632,0.34951517,0.65048486
0.7130399,-0.001780659,0.38031802,0.017176744,0.35064933,0.64935064
0.7109317,-0.0016728193,0.38024858,0.017141791,0.35057497,0.6494251
0.711277,-0.001277566,0.3801436,0.01719957,0.3505587,0.6494413
0.7129469,-0.00097619,0.37984633,0.017123979,0.35040602,0.64959395
0.7135284,-0.00090660155,0.37975174,0.017092528,0.35035455,0.64964545
0.71478206,-0.0007644743,0.3792213,0.016822476,0.34999683,0.65000314
0.71551144,-0.00038793683,0.37932757,0.017008208,0.35013565,0.6498644
0.7134364,-0.0009869039,0.3798039,0.017099846,0.35038474,0.6496153
0.7131214,-0.0010101646,0.37988722,0.017140899,0.3504364,0.6495636
0.7087451,-0.0017604232,0.38088724,0.017489146,0.35101846,0.6489815
0.71173656,-0.0012934804,0.38025528,0.01726857,0.35065147,0.64934856
0.7136105,-0.0009860843,0.37990862,0.017166788,0.35046005,0.64953995
0.7170626,-0.00039215386,0.37964952,0.017224696,0.35039318,0.6496068
0.7155615,-0.0010478199,0.37995902,0.017202286,0.35051525,0.64948475
0.71557665,-0.00098674,0.37988392,0.017174121,0.35046214,0.64953786
0.716001,-0.0009242743,0.37957463,0.017005995,0.35024613,0.64975387
0.7147288,-0.00096327066,0.37975654,0.017092157,0.3503588,0.6496412
0.7147552,-0.00092338026,0.3796043,0.017010001,0.35025364,0.64974636
0.7106418,-0.0015811324,0.3798831,0.016938882,0.35031897,0.64968103
0.7133501,-0.0006022155,0.3793963,0.016961783,0.35012594,0.64987403
