mu1,mu2,sigma1,sigma2,pi1,pi2
0.33371657,-0.0060955435,0.42140684,0.02038563,0.38407722,0.6159228
0.33252466,-0.0063426346,0.42150933,0.020333134,0.38410076,0.6158992
0.3313867,-0.006432846,0.4215957,0.02034429,0.38412884,0.6158712
0.33378184,-0.005737111,0.42102936,0.020208606,0.3838767,0.6161233
0.33305722,-0.0060094744,0.42123726,0.020253347,0.38397294,0.61602706
0.33104312,-0.0063548237,0.42136288,0.02015661,0.3839903,0.6160097
0.33185232,-0.0059262365,0.42112488,0.020162556,0.38389298,0.616107
0.33210176,-0.0059902966,0.42131934,0.020319082,0.38401425,0.6159858
0.3295964,-0.0066109,0.42163363,0.020252436,0.3841177,0.61588234
0.32845473,-0.006591797,0.4216697,0.020270457,0.3841235,0.61587656
0.32792896,-0.006588578,0.42172855,0.020315902,0.38415492,0.61584514
0.328125,-0.006486371,0.42166018,0.020306345,0.38412687,0.61587316
0.33096826,-0.0059152693,0.42134616,0.02035658,0.38402626,0.6159737
0.33164102,-0.006136492,0.42155886,0.020462852,0.38414887,0.61585116
0.33187568,-0.006305501,0.4216846,0.020502971,0.38421172,0.6157883
0.33088285,-0.0065748543,0.4217555,0.020413773,0.38421386,0.61578614
0.32878768,-0.0068808645,0.4219616,0.020409783,0.384281,0.615719
0.3295033,-0.006544754,0.42185056,0.020487957,0.38425288,0.61574715
0.3263455,-0.007197872,0.42208946,0.020319054,0.38429925,0.6157007
0.3287735,-0.0062463135,0.42151055,0.020298783,0.3840611,0.6159389
0.32779914,-0.006563589,0.42162943,0.020232659,0.38409773,0.6159023
0.33510423,-0.0049731433,0.42073658,0.02034148,0.38379288,0.6162072
0.33241433,-0.0063243955,0.42156938,0.020398084,0.38415173,0.6158483
0.33417737,-0.0059274137,0.4214376,0.020509873,0.38412246,0.6158775
0.33193946,-0.0066776276,0.42189896,0.020523578,0.38430685,0.6156932
0.33129334,-0.006622389,0.421829,0.02046968,0.38425478,0.6157452
0.3338098,-0.0059555173,0.4213696,0.020422764,0.38406685,0.6159332
0.33415103,-0.0060604066,0.42142737,0.020432493,0.3840999,0.61590016
0.33476222,-0.0058855265,0.4210939,0.020218004,0.38391683,0.6160832
0.33149046,-0.006452203,0.4213839,0.02013881,0.38399735,0.6160027
0.3305573,-0.006180197,0.42108485,0.019973274,0.38382354,0.6161765
0.32901132,-0.006341487,0.42146862,0.020217678,0.38402817,0.61597186
0.32942462,-0.006180197,0.42130896,0.020156635,0.38395444,0.6160456
0.328628,-0.006379083,0.42156142,0.020277504,0.3840833,0.6159167
0.32771134,-0.006556794,0.42163178,0.020235771,0.38409874,0.61590123
0.32830256,-0.006330222,0.42152113,0.020256901,0.3840594,0.61594063
0.32693416,-0.0067348927,0.4218956,0.020378832,0.38423637,0.61576366
0.3287834,-0.0063864887,0.4218253,0.020527035,0.3842502,0.6157498
0.3308223,-0.0062978715,0.42184284,0.020634163,0.38429895,0.6157011
0.32966268,-0.0068129003,0.4220417,0.020539338,0.38435644,0.61564356
0.32808703,-0.0069884807,0.42207342,0.020446483,0.38433266,0.61566734
0.33210248,-0.005972564,0.42152178,0.020520227,0.38413975,0.6158603
0.3331526,-0.006140083,0.4215775,0.02051305,0.38417745,0.61582255
0.33273864,-0.0063515604,0.42165345,0.020469747,0.38419595,0.6158041
0.3323577,-0.0063528866,0.42155102,0.020363672,0.38412404,0.615876
0.33248574,-0.0061959624,0.4214213,0.020321935,0.38405898,0.61594105
0.33152318,-0.006299317,0.42137617,0.02020718,0.38400894,0.61599106
0.33138514,-0.006154418,0.42134455,0.020245692,0.384001,0.61599904
0.33202374,-0.006045565,0.42137223,0.020339709,0.38403934,0.61596066
0.3330865,-0.0059113055,0.4212181,0.020284504,0.38397264,0.61602736
0.33405584,-0.0057459176,0.4210078,0.020190084,0.38387078,0.6161292
0.33316475,-0.0060492456,0.42133355,0.020326676,0.38403118,0.6159688
0.33029377,-0.0066794604,0.42173666,0.020330766,0.3841816,0.6158184
0.33015943,-0.006440878,0.42161754,0.020333603,0.38412598,0.615874
0.33041477,-0.006320581,0.42153075,0.020317161,0.38408947,0.61591053
0.33029157,-0.006332159,0.4215426,0.020319745,0.38409558,0.61590445
0.33348233,-0.0056521893,0.42110762,0.020317562,0.3839341,0.61606586
0.332487,-0.0061510354,0.42136696,0.020292995,0.38403675,0.6159632
0.32927948,-0.0067561865,0.4217453,0.02027864,0.38416696,0.61583304
0.3335451,-0.005624205,0.42118183,0.020403665,0.38398015,0.61601985
0.33586347,-0.005624309,0.42121103,0.020483445,0.38403577,0.6159643
0.33455354,-0.0062312186,0.42155883,0.020480981,0.38417414,0.61582583
0.33404905,-0.0062315464,0.4214452,0.020361846,0.3840912,0.6159088
0.3318203,-0.006528944,0.42155936,0.020272842,0.38410166,0.6158983
0.3313579,-0.006287843,0.42138213,0.020214925,0.3840074,0.6159926
0.331129,-0.0061498284,0.4212467,0.020150945,0.38393638,0.6160636
0.3348531,-0.005344793,0.42090675,0.020311285,0.38385454,0.6161455
0.3356855,-0.005596295,0.42097864,0.02027313,0.38389182,0.6161082
0.33020568,-0.006749451,0.42143506,0.020013789,0.3839883,0.6160117
0.33121723,-0.005963534,0.42120683,0.020208227,0.38392815,0.6160719
0.33112603,-0.006188154,0.4214881,0.020359797,0.38408723,0.6159128
0.33174288,-0.0061548054,0.42148548,0.020387,0.38409802,0.615902
0.3294751,-0.0067045987,0.42178425,0.020345684,0.38420016,0.61579984
0.33068484,-0.006198451,0.42143032,0.020289723,0.3840424,0.61595756
0.3283248,-0.0066964626,0.42166156,0.020209137,0.3841092,0.6158908
0.32821882,-0.006406158,0.42146885,0.020169066,0.38401443,0.6159856
0.32937753,-0.006196499,0.42158294,0.02040565,0.38412353,0.6158765
0.33033067,-0.006305948,0.42173922,0.020520365,0.38422635,0.6157736
0.33258063,-0.0059678108,0.42132944,0.020350542,0.3840338,0.6159662
0.33150488,-0.0063745677,0.42163938,0.020417435,0.38417092,0.61582905
0.32992584,-0.006697774,0.421864,0.020433936,0.38425517,0.6157448
0.325063,-0.0075630993,0.42238948,0.02039246,0.38443103,0.61556894
0.32558852,-0.0068842173,0.42194492,0.02032159,0.38422495,0.61577505
0.32897002,-0.0061213076,0.42156357,0.020415746,0.38411254,0.61588746
