mu1,mu2,sigma1,sigma2,pi1,pi2
0.055411443,0.0052461475,0.37772036,0.26123387,0.10883456,0.89116544
0.056711704,0.0057428367,0.376708,0.25967687,0.107917584,0.89208245
0.058608726,0.0064176247,0.37561733,0.25725627,0.10656754,0.89343244
0.05950816,0.0073462054,0.3746863,0.2559276,0.10557864,0.89442134
0.059599236,0.0073433146,0.3736479,0.25633958,0.105688184,0.89431185
0.05845502,0.007056959,0.37419835,0.25773126,0.10640739,0.89359266
0.058289662,0.0069942065,0.3742435,0.25792956,0.106506154,0.89349383
0.058433145,0.006731238,0.37465683,0.25769722,0.106541716,0.8934583
0.057833776,0.0067341216,0.37475714,0.25844797,0.106855385,0.8931446
0.0574743,0.006451037,0.37527364,0.25885114,0.10717285,0.89282715
0.055863842,0.0060802884,0.3761361,0.260821,0.10819761,0.8918024
0.05597569,0.0057673864,0.3766254,0.26062304,0.10827762,0.8917224
0.054494068,0.005352106,0.37758732,0.26242745,0.10926592,0.8907341
0.055008307,0.00517451,0.377816,0.2617391,0.10907195,0.8909281
0.055752724,0.0054796524,0.3772379,0.26084402,0.10853732,0.89146274
0.05386144,0.005386468,0.37765652,0.26324305,0.10959984,0.8904002
0.054520264,0.0052062944,0.3777839,0.2623743,0.109318145,0.89068186
0.054122344,0.005069766,0.378113,0.2628504,0.109595306,0.8904047
0.055310026,0.005262688,0.37762755,0.26137,0.108868785,0.8911312
0.05504553,0.0053685643,0.3775331,0.2617235,0.10896912,0.8910309
0.05497825,0.0054708533,0.3773432,0.26183257,0.10895824,0.89104176
0.05327019,0.005101744,0.37818217,0.2639518,0.11004656,0.8899534
0.05475001,0.005118143,0.3778933,0.2620631,0.10923113,0.8907689
0.05713214,0.005528506,0.376951,0.25910467,0.10777604,0.8922239
0.05502066,0.005626131,0.37717852,0.26179934,0.10887737,0.89112264
0.05726911,0.005988527,0.3761399,0.2590268,0.107505746,0.89249426
0.05699666,0.006133143,0.37598735,0.25939107,0.10758805,0.89241195
0.05928974,0.008953419,0.3753857,0.25469777,0.10443198,0.895568
0.06009306,0.0072967187,0.37373254,0.25570592,0.10545733,0.8945427
0.060253337,0.00742751,0.37339833,0.25554436,0.10531477,0.8946852
0.059233442,0.0073771514,0.37356788,0.25681356,0.10586074,0.8941393
0.059168115,0.0073477216,0.37353075,0.25689384,0.10589166,0.89410836
0.056125447,0.006617967,0.3751481,0.26059765,0.10781659,0.8921834
0.056666836,0.005953025,0.3761416,0.25978908,0.107819244,0.89218074
0.0575331,0.0063144714,0.37548757,0.25874832,0.10719683,0.8928032
0.056882843,0.006130304,0.37594363,0.25953498,0.10763586,0.89236414
0.05886355,0.0069593824,0.37530681,0.25665966,0.106062025,0.89393795
0.055085912,0.005855087,0.37679195,0.2617616,0.10874383,0.89125615
0.05426158,0.005435258,0.3774737,0.26275212,0.109367974,0.89063203
0.054402813,0.005206082,0.37780946,0.26252556,0.10938516,0.89061487
0.05468878,0.005294662,0.37763444,0.26217133,0.109186664,0.89081335
0.05469869,0.005303923,0.37762937,0.262159,0.109177895,0.8908221
0.05418703,0.0054015256,0.3775134,0.2628323,0.10940521,0.89059484
0.05490476,0.005152371,0.37782627,0.2618703,0.10913268,0.8908673
0.054132834,0.0050911456,0.37810892,0.26283833,0.109583884,0.89041615
0.054192528,0.00503958,0.37817702,0.26275575,0.10957758,0.8904224
0.053499743,0.004709553,0.37886423,0.2635789,0.11010771,0.8898923
0.054343894,0.005102128,0.37805614,0.2625723,0.10946643,0.89053357
0.054938227,0.0053093545,0.37761253,0.26185247,0.10904996,0.89095
0.056834355,0.00563043,0.3768225,0.25950226,0.10789183,0.89210814
0.056324467,0.0058828965,0.37653235,0.26019087,0.10805857,0.8919414
0.056568906,0.005952146,0.37633818,0.25990105,0.10789681,0.8921032
0.056301698,0.0060687587,0.37615094,0.2602623,0.107981294,0.89201874
0.055980608,0.005833499,0.37656608,0.26062772,0.108255275,0.89174473
0.055592075,0.0057930835,0.37667766,0.26111266,0.108476885,0.8915231
0.0532078,0.005325619,0.3777665,0.26407582,0.10996926,0.89003074
0.054094598,0.005030662,0.37807256,0.26288718,0.10961452,0.89038545
0.05335626,0.0049233213,0.3784242,0.2638038,0.110065535,0.8899345
0.053254485,0.0047502555,0.37873647,0.26390362,0.11020365,0.8897964
0.053348824,0.0045426004,0.37912256,0.26374042,0.110254794,0.88974524
0.053508773,0.004700426,0.3788718,0.26356292,0.11010185,0.8898981
0.05370699,0.0047597177,0.3787514,0.26332182,0.10997155,0.8900285
0.05448042,0.004991714,0.37825245,0.262376,0.10944835,0.8905516
0.05394374,0.0050347187,0.37826496,0.26307043,0.10972058,0.8902794
0.057610318,0.006116446,0.37686253,0.25811043,0.1071135,0.8928865
0.057514146,0.006437432,0.37547934,0.25878522,0.10718282,0.8928172
0.056835428,0.0062501654,0.37580568,0.25962254,0.107627116,0.8923729
0.056775734,0.00623234,0.3757893,0.25969675,0.10765707,0.8923429
0.05659099,0.0061524846,0.37592614,0.2599148,0.107784525,0.8922155
0.05528234,0.0058370344,0.37663093,0.2615178,0.10862269,0.89137733
0.055612534,0.0056763776,0.37682262,0.26106873,0.10851291,0.8914871
0.054907545,0.0055382363,0.37718374,0.26193643,0.10895433,0.8910457
0.053407,0.0051357634,0.37806338,0.2637831,0.109947816,0.8900522
0.053683475,0.0049640797,0.37828225,0.26339784,0.10987175,0.89012825
0.053327188,0.0045062266,0.37918112,0.2637611,0.11028162,0.88971835
0.053450868,0.0047261007,0.37883043,0.26364136,0.11011919,0.88988084
0.053919986,0.004855562,0.37854052,0.26306725,0.10980847,0.89019156
0.054044813,0.004951928,0.37836933,0.26292545,0.10969886,0.89030117
0.053573564,0.0049233697,0.37847686,0.26352522,0.10996718,0.8900328
0.0537138,0.0049650483,0.37835097,0.26335558,0.10986714,0.8901329
0.052666113,0.004722517,0.3789015,0.2646552,0.11054483,0.88945514
0.054703787,0.0049110465,0.3782718,0.26207954,0.109350376,0.8906497
0.05460845,0.005263254,0.37775758,0.26225966,0.10924634,0.8907537
0.05558306,0.005389046,0.37739405,0.26104596,0.10866887,0.89133114
0.054921344,0.005380992,0.37753895,0.26188496,0.10903338,0.89096665
