mu1,mu2,sigma1,sigma2,pi1,pi2
0.092382774,-0.00537467,0.086226575,0.021754766,0.0016761904,0.9983238
0.09255363,-0.004981734,0.085865095,0.021676576,0.0016629556,0.99833703
0.091887996,-0.005184237,0.086263135,0.021865133,0.0016853965,0.9983146
0.09403828,-0.0045836046,0.08430683,0.02096935,0.0015771916,0.99842286
0.09342165,-0.004904397,0.08509801,0.021340532,0.0016229176,0.9983771
0.092866525,-0.004621513,0.08518207,0.02148278,0.0016351708,0.99836487
0.092518106,-0.0052672215,0.08554531,0.021557266,0.0016485299,0.99835145
0.09091692,-0.005854197,0.08718731,0.02219145,0.0017292884,0.99827075
0.090018585,-0.005366944,0.08758438,0.02250833,0.0017612583,0.99823874
0.08866495,-0.005986914,0.08857083,0.022926515,0.0018147608,0.9981852
0.08745943,-0.0064221807,0.08963619,0.023372432,0.0018723989,0.99812764
0.08716901,-0.0065707453,0.08992245,0.023483295,0.0018873458,0.9981127
0.087896094,-0.006967798,0.089724965,0.023253063,0.0018651499,0.99813485
0.087549925,-0.0068976097,0.090320565,0.023490999,0.0018960229,0.998104
0.08787793,-0.0067050494,0.09010197,0.023399632,0.0018838169,0.99811614
0.08874349,-0.0060564503,0.08908356,0.023051577,0.0018345497,0.9981654
0.08784832,-0.0061174966,0.0895472,0.023323424,0.0018659445,0.9981341
0.08763328,-0.0066921525,0.089893125,0.023381636,0.001878465,0.99812156
0.08754553,-0.0057132132,0.08938528,0.023380755,0.0018669235,0.9981331
0.08832699,-0.0065591484,0.088893004,0.022998244,0.0018277898,0.9981722
0.08790524,-0.0060920194,0.089157626,0.023205107,0.0018488712,0.9981511
0.08940901,-0.00647578,0.08821038,0.022390366,0.0017582512,0.9982418
0.088913366,-0.0060215816,0.08920662,0.023063779,0.0018376994,0.9981623
0.08931124,-0.0067288578,0.08909193,0.022873193,0.0018212092,0.99817884
0.08901332,-0.005989559,0.089141905,0.023033202,0.0018338977,0.99816614
0.08977397,-0.005859643,0.08824318,0.022670923,0.0017873598,0.9982127
0.092058524,-0.005739942,0.086522415,0.021841627,0.0016890236,0.998311
0.092752665,-0.005313836,0.08603119,0.021651091,0.001664356,0.99833566
0.095085055,-0.003923014,0.083540134,0.020659301,0.0015384898,0.9984615
0.09421089,-0.0040882602,0.084077545,0.021038828,0.001580493,0.9984195
0.09430544,-0.004201494,0.08362943,0.020887258,0.0015614466,0.99843854
0.09024531,-0.005681716,0.08717981,0.022316992,0.0017391226,0.9982609
