mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0048561096,-0.010853253,-0.018203214,0.033491936,0.55780095,0.014117644,0.9964432,0.0013748246,0.0021819652
0.0021490455,-0.013026439,-0.018502548,0.03207118,0.5577503,0.013398241,0.9967321,0.0012604531,0.0020074518
0.0014360547,-0.0100190565,-0.017231345,0.032341912,0.55671,0.013545258,0.9966703,0.0012860699,0.002043553
0.0034809113,-0.009575538,-0.018492326,0.0327558,0.5567904,0.013729309,0.9965893,0.0013182646,0.0020924776
0.0026022792,-0.011218868,-0.020450786,0.031671617,0.55670774,0.0131481,0.99680865,0.0012307242,0.0019606417
9.11355e-05,-0.007137768,-0.021583512,0.030994004,0.5549214,0.012774133,0.99693096,0.0011818631,0.001887196
0.00011974573,-0.005829297,-0.024199948,0.03062992,0.55442876,0.0125459535,0.9970003,0.0011532621,0.0018464207
0.0023998618,-0.0061335787,-0.02422683,0.03146273,0.5550379,0.012959952,0.99684286,0.0012151086,0.0019420899
0.002116561,-0.008182965,-0.024131134,0.03127229,0.5557275,0.012876035,0.99688345,0.0011984685,0.0019180707
0.0020970702,-0.0075717494,-0.022063449,0.031915236,0.5558837,0.013234241,0.9967552,0.0012496014,0.0019952059
0.0028831959,-0.0067220554,-0.021843418,0.03239183,0.5559072,0.01347692,0.9966595,0.0012875415,0.0020529714
0.0067174435,-0.009084307,-0.020096794,0.03396047,0.55750513,0.014312979,0.9963458,0.0014126722,0.002241503
0.0052746534,-0.009567998,-0.020324051,0.033258848,0.55726576,0.013952068,0.99649066,0.0013551747,0.0021541691
0.0035785437,-0.012186162,-0.01943706,0.03252929,0.5577631,0.013609446,0.99664146,0.0012956978,0.0020628676
0.0038164854,-0.010066204,-0.017003119,0.033404022,0.55737907,0.0140915895,0.9964574,0.0013701568,0.0021724831
0.0029264688,-0.009688996,-0.019407108,0.03242845,0.5567543,0.013548708,0.99665576,0.0012909664,0.002053275
0.0020652413,-0.010374598,-0.020423427,0.031695656,0.55651015,0.013159885,0.996802,0.0012329003,0.001965112
0.00030905008,-0.012481831,-0.019914433,0.03095731,0.55681115,0.012806512,0.9969469,0.0011756334,0.0018774892
-5.51939e-05,-0.011474155,-0.017836675,0.031399585,0.5566341,0.013061759,0.99685776,0.0012118528,0.0019303713
-0.0006324053,-0.0102899,-0.01908578,0.03096688,0.55598575,0.012818206,0.9969394,0.001179462,0.0018810757
-0.0015711784,-0.009045534,-0.021310732,0.03018566,0.55508137,0.012383758,0.997086,0.0011210473,0.0017929788
-0.0013970733,-0.008093022,-0.022488147,0.030096637,0.55472916,0.0123160295,0.99710196,0.0011142538,0.0017837781
-0.00093114376,-0.009822093,-0.022578284,0.030108258,0.5553843,0.012326851,0.99710333,0.0011133556,0.0017833025
0.0006888509,-0.0076909885,-0.020874098,0.031357832,0.55534583,0.012971551,0.9968617,0.001209297,0.0019289341
0.000108003616,-0.0075026676,-0.023347631,0.030646086,0.5550064,0.0125747435,0.99699956,0.0011537519,0.0018466237
-4.8696995e-05,-0.007274471,-0.023767814,0.030554302,0.5548826,0.012520531,0.9970168,0.0011465931,0.0018365964
0.000846684,-0.0054835007,-0.023591027,0.031205865,0.55471116,0.012843147,0.99688965,0.0011965646,0.001913776
0.0046437383,-0.007758878,-0.022393212,0.03267979,0.5563563,0.013612706,0.99660563,0.0013090225,0.0020852746
0.004741788,-0.008582465,-0.021602526,0.03284412,0.5567118,0.013713154,0.9965737,0.0013218198,0.0021045636
0.004123986,-0.008333348,-0.021035776,0.032828473,0.5566442,0.013716606,0.9965753,0.0013212409,0.0021034856
0.004092455,-0.008315645,-0.020892754,0.032851696,0.55665606,0.013731504,0.9965704,0.001323283,0.002106323
0.0042130947,-0.0065108165,-0.021413103,0.032960784,0.5560842,0.013769624,0.996545,0.0013332836,0.0021216632
0.0071759224,-0.0072805807,-0.021149486,0.03406928,0.5569459,0.014340054,0.99632055,0.001422434,0.0022570698
0.0062887073,-0.008153997,-0.02208127,0.03339437,0.556903,0.013981412,0.99646246,0.0013655487,0.002171992
0.0059449077,-0.008064322,-0.02109249,0.033580326,0.5569789,0.01409557,0.99642277,0.0013814401,0.0021957874
0.0060519576,-0.009231918,-0.020324126,0.03370041,0.5574654,0.014177482,0.9963999,0.0013907321,0.0022093598
0.0042098165,-0.008615427,-0.020604149,0.03297032,0.5568381,0.013798534,0.99654686,0.0013325203,0.0021206215
0.004538238,-0.008809499,-0.020142749,0.033160154,0.55698955,0.013904399,0.9965085,0.0013480823,0.0021434522
0.005319357,-0.009181343,-0.019649431,0.033484403,0.5572428,0.014078966,0.996443,0.0013745005,0.002182565
0.005599439,-0.0077789947,-0.019999072,0.033631604,0.5568089,0.014140715,0.9964101,0.0013876534,0.0022023243
0.0063685775,-0.009249292,-0.02057667,0.033588737,0.55730754,0.014112836,0.99642336,0.0013821089,0.0021945504
0.004504144,-0.007001303,-0.021541372,0.03291213,0.55616295,0.013742057,0.99655616,0.0013290229,0.0021147733
0.004088819,-0.009323232,-0.022134736,0.032394055,0.55676544,0.013480086,0.99666554,0.0012851944,0.0020492955
0.0036540627,-0.008153163,-0.020646796,0.032740045,0.5564879,0.013677538,0.9965919,0.001314908,0.0020931666
