mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.012924597,0.01135391,0.1587314,0.024134172,0.56896424,0.011068767,0.99758565,0.00087735004,0.0015370501
-0.01120536,0.010864705,0.15744746,0.024353003,0.5692577,0.01117394,0.9975468,0.00089206145,0.0015611653
-0.011193976,0.010731518,0.15706962,0.024027651,0.56904143,0.010981527,0.99760836,0.0008689278,0.0015226994
-0.014143094,0.012625545,0.15715086,0.022943135,0.5679171,0.010371636,0.9978032,0.00079522555,0.0014015379
-0.014291808,0.011230946,0.15733019,0.022733983,0.56830287,0.010261934,0.9978425,0.00078043545,0.0013770598
-0.015754864,0.013920456,0.15760005,0.022635067,0.5673759,0.0102049885,0.99785566,0.00077534444,0.001369025
-0.015026972,0.010231763,0.15759729,0.022366488,0.56850576,0.010065781,0.9979085,0.00075558864,0.0013359039
-0.015716776,0.011261642,0.15907548,0.02267602,0.56820625,0.010254792,0.99785113,0.0007775167,0.0013713121
-0.016324207,0.012206882,0.15879598,0.022463085,0.56785053,0.010132004,0.99788755,0.00076375814,0.0013486233
-0.013069615,0.011260182,0.15794885,0.023498494,0.5686119,0.010697318,0.9977042,0.00083290046,0.0014628181
-0.014480099,0.014022231,0.15705946,0.022971926,0.56747055,0.01038319,0.99779606,0.0007979494,0.0014060575
-0.01422976,0.016791105,0.15503922,0.02297637,0.566679,0.010350536,0.9977926,0.00079840946,0.0014090165
-0.012659833,0.017212957,0.15293816,0.02323588,0.56680036,0.010463503,0.9977468,0.00081472663,0.0014384314
-0.011869118,0.014514416,0.15279768,0.02326355,0.5677787,0.010484117,0.99774617,0.000814636,0.0014392134
-0.01176928,0.013460934,0.1543431,0.023841279,0.5684232,0.01083328,0.99764055,0.00085450994,0.0015049857
-0.013435289,0.014406413,0.15519617,0.023561941,0.5680352,0.010690294,0.9976896,0.0008360995,0.0014743061
-0.010256276,0.012945443,0.15495123,0.024767902,0.5690413,0.011366979,0.99746644,0.0009205436,0.0016130301
-0.009684131,0.01573217,0.15396787,0.025168708,0.568289,0.011569507,0.9973851,0.00095107633,0.0016638784
-0.007303342,0.013172448,0.15254153,0.025360612,0.5692432,0.011660778,0.99735403,0.0009626153,0.0016833607
-0.007355675,0.012218595,0.1533659,0.025454305,0.5695256,0.011728189,0.99733657,0.0009694411,0.0016940124
-0.009226248,0.015209943,0.15353371,0.025198044,0.56849307,0.011580007,0.99738073,0.0009524355,0.0016668602
-0.008989796,0.006256193,0.1550286,0.024108605,0.57090515,0.01101206,0.9976025,0.00086955226,0.0015278535
-0.014246687,0.0031945705,0.16166343,0.023142258,0.571137,0.010574711,0.9977781,0.0008053929,0.0014165167
-0.016928896,0.007487595,0.16438437,0.02334999,0.5696923,0.010723476,0.9977315,0.00082415383,0.0014443959
-0.014934704,0.0060155094,0.16306946,0.023202851,0.5699849,0.01062152,0.997762,0.00081331533,0.0014246632
-0.015335605,0.005264014,0.16329645,0.022569353,0.5696514,0.0102644535,0.99787605,0.0007709734,0.0013530056
-0.017552182,0.008381665,0.16323785,0.021931779,0.5682415,0.009899649,0.9979824,0.00073085324,0.0012867219
-0.020834133,0.011047423,0.1620539,0.020495262,0.56667686,0.00908799,0.99821985,0.00064123026,0.0011389378
-0.02164857,0.01392442,0.16057014,0.020217884,0.56565917,0.008912566,0.998262,0.000624845,0.0011131887
-0.021806344,0.014942974,0.15895227,0.019998927,0.5653802,0.008773964,0.9982968,0.0006111434,0.0010921299
-0.02498345,0.01843825,0.15802005,0.0191334,0.5639111,0.008293923,0.99842834,0.00056138024,0.001010286
-0.01872991,0.016067833,0.15642935,0.021191759,0.5659915,0.0093905805,0.9981021,0.00068250124,0.0012153685
-0.013591334,0.013246477,0.15584299,0.02304558,0.5678974,0.010409641,0.997785,0.0008013738,0.0014137019
-0.015136346,0.015134156,0.15585096,0.022723464,0.56717736,0.010227864,0.99783945,0.0007805618,0.0013799518
-0.013668045,0.016133308,0.15470734,0.02331237,0.56722504,0.010536969,0.997733,0.00082015793,0.0014468457
