mu1,mu2,sigma1,sigma2,pi1,pi2
0.14467886,-0.027318552,0.7319036,0.09035302,0.3924035,0.6075965
0.14538917,-0.028438926,0.732419,0.09013398,0.39179254,0.60820746
0.14565346,-0.026989102,0.73167205,0.09024294,0.3926593,0.6073407
0.14454821,-0.02687651,0.7313507,0.09025061,0.39269653,0.60730344
0.14520058,-0.02772367,0.7319783,0.090015605,0.39212558,0.6078744
0.14446828,-0.027273446,0.7312352,0.09009153,0.3926423,0.6073577
0.14359918,-0.027350664,0.73108995,0.09005823,0.39257747,0.60742253
0.14348727,-0.02711521,0.7312163,0.090138495,0.3926153,0.60738474
0.14461115,-0.02748169,0.7319393,0.09004076,0.3922318,0.60776824
0.14477259,-0.026988298,0.7317313,0.09019361,0.3925727,0.6074273
0.14379227,-0.026837021,0.7313215,0.090314575,0.3927472,0.6072528
0.14386213,-0.026683107,0.7315752,0.09040556,0.39267483,0.60732514
0.14428481,-0.027098358,0.7317868,0.09031567,0.39247388,0.6075261
0.14493099,-0.02819623,0.7323326,0.09019597,0.3919016,0.6080984
0.14510477,-0.026848719,0.7316519,0.090369634,0.39271697,0.60728306
0.14492774,-0.027007505,0.7316489,0.09019541,0.3925446,0.60745543
0.14519778,-0.027538136,0.7319153,0.09007338,0.39225283,0.6077472
0.14581832,-0.02853541,0.7324237,0.08995623,0.39174044,0.6082596
0.14613488,-0.027808994,0.73206013,0.09005835,0.3922094,0.6077906
0.14599529,-0.027453408,0.7318203,0.08998803,0.39236012,0.6076399
0.1459482,-0.027357638,0.73174626,0.08987939,0.3923801,0.6076199
0.14574504,-0.027190238,0.7316726,0.089873135,0.39245465,0.6075454
0.14571139,-0.027930483,0.73207015,0.08984344,0.39203447,0.6079655
0.14474857,-0.027139261,0.731358,0.090113826,0.39265326,0.6073467
0.14514583,-0.027061254,0.7316416,0.08995165,0.39248553,0.60751444
0.14516184,-0.027142897,0.7317179,0.08996554,0.3924563,0.60754377
0.14337987,-0.027227134,0.7310717,0.09019283,0.39268276,0.60731727
0.14408642,-0.026702672,0.73154867,0.09023715,0.39264777,0.6073522
0.14426076,-0.026983202,0.73172605,0.0902632,0.39252695,0.6074731
0.14440432,-0.026878834,0.7316767,0.090286225,0.39260855,0.6073914
0.144378,-0.02681458,0.73163235,0.09029331,0.3926385,0.60736156
0.14283732,-0.026947677,0.7310098,0.09042354,0.39281616,0.6071839
0.1424101,-0.026756793,0.7310293,0.09050097,0.39282778,0.6071722
0.14376053,-0.026724726,0.7316026,0.09032978,0.39262933,0.6073707
0.14395508,-0.026638985,0.73158616,0.09038178,0.39272022,0.60727984
0.14402518,-0.026964948,0.7317444,0.09037914,0.3925409,0.6074591
0.14439529,-0.026925847,0.7317079,0.09031797,0.392589,0.60741097
0.14434868,-0.026836947,0.73164827,0.09033753,0.39263147,0.6073685
0.14427507,-0.026778549,0.7316131,0.09036111,0.3926576,0.60734236
0.14316869,-0.026801005,0.7311281,0.09045049,0.3928256,0.6071744
0.14398667,-0.026811764,0.7316166,0.09032513,0.39259428,0.6074057
0.14334354,-0.026883796,0.7311974,0.090354666,0.39277118,0.6072288
0.14433226,-0.027408868,0.73191744,0.09018269,0.39227116,0.6077289
0.14459985,-0.02678883,0.7316358,0.090291284,0.39268458,0.6073155
0.14445773,-0.026963562,0.73169273,0.090262905,0.39255214,0.60744786
0.14373654,-0.026764393,0.73130476,0.09037388,0.39278075,0.6072193
0.14411071,-0.026703417,0.73155916,0.09030992,0.39266607,0.6073339
0.14424497,-0.0268334,0.7316423,0.090308286,0.39261448,0.6073855
0.14437857,-0.0270053,0.73173046,0.09029561,0.39253145,0.6074686
0.14501688,-0.028279275,0.73235995,0.09013552,0.39184904,0.60815096
0.14554915,-0.027563274,0.7319974,0.09021018,0.39233044,0.60766953
0.14561251,-0.027599186,0.7319414,0.09008567,0.39226738,0.6077326
0.14534363,-0.02699253,0.7316303,0.09016328,0.3925914,0.60740864
0.14424834,-0.027104348,0.73124224,0.090158924,0.3926473,0.60735273
0.14456639,-0.026949793,0.73148715,0.09008936,0.39257905,0.607421
0.14366907,-0.027203947,0.73117965,0.09012407,0.3926256,0.6073744
0.14407837,-0.026988149,0.73144317,0.09009407,0.3925855,0.6074145
0.14418155,-0.026885167,0.7315161,0.0901393,0.39262256,0.6073774
