mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0027886385,0.0033370256,0.2796397,0.19494191,0.093818836,0.90618116
-0.0029004568,0.004686594,0.2814538,0.1966044,0.094929986,0.90507
-0.0030470693,0.0037953854,0.28095847,0.19643776,0.0947893,0.90521073
-0.003102427,0.003461063,0.2803427,0.19586149,0.09440552,0.9055945
-0.0031882578,0.0044769645,0.28154626,0.19692156,0.09511927,0.9048807
-0.0034552866,0.0039072633,0.28164953,0.1973909,0.0953957,0.9046043
-0.0035757625,0.0038255453,0.28154624,0.19735132,0.09536394,0.9046361
-0.0034118348,0.003383994,0.28061107,0.19634333,0.09470432,0.90529567
-0.0032725388,0.0039901733,0.281054,0.19656718,0.094872385,0.90512764
-0.003158694,0.003461361,0.28047097,0.1960382,0.09451766,0.90548235
-0.003147682,0.0029802322,0.2798345,0.19546899,0.09413595,0.90586406
-0.0028430873,0.0026421547,0.2786776,0.19409934,0.09325345,0.90674657
-0.0029050463,0.0031598806,0.27947614,0.19486727,0.09376175,0.90623826
-0.002858376,0.004216194,0.28071487,0.19589628,0.094459504,0.90554047
-0.0028633082,0.0031985044,0.27982008,0.19524431,0.09400676,0.9059933
-0.0030908936,0.0036831498,0.28057083,0.19603881,0.09452724,0.9054728
-0.0031713897,0.0042616725,0.28136536,0.1967862,0.09502545,0.9049746
-0.0031471902,0.005207777,0.2825337,0.19778626,0.09570268,0.9042973
-0.0031339133,0.004707694,0.28217986,0.19756219,0.095541984,0.90445805
-0.003308823,0.004687369,0.2823823,0.19788684,0.09574587,0.90425414
-0.003512522,0.0048500896,0.28285465,0.19847248,0.09612371,0.9038763
-0.0035675967,0.0046775937,0.28268826,0.19836725,0.096048325,0.90395164
-0.0034524405,0.0050829053,0.28287172,0.19837166,0.09606791,0.9039321
-0.0033603513,0.0038276315,0.28138903,0.19707145,0.09518974,0.90481025
-0.0034786218,0.004218161,0.28184745,0.19751039,0.09548228,0.90451765
-0.0034649724,0.0042033195,0.28183687,0.19749808,0.09547428,0.90452576
-0.0034363025,0.0033888817,0.28085607,0.19664477,0.09489808,0.90510195
-0.003118744,0.0030699968,0.27965894,0.19521081,0.09397357,0.9060264
-0.003019979,0.0031665564,0.2796696,0.19514315,0.09393604,0.906064
-0.0030145252,0.0031218529,0.27970943,0.19520652,0.09397553,0.90602446
-0.0030180418,0.0031024218,0.2796886,0.19519104,0.09396486,0.9060351
-0.0031101012,0.0025976896,0.2792692,0.19493367,0.093780376,0.90621966
-0.0029452795,0.0021486282,0.27822462,0.19380136,0.09304339,0.90695655
-0.0029713863,0.002744794,0.27894667,0.19443174,0.09346654,0.9065335
-0.002915194,0.002620101,0.27884594,0.19433865,0.093404375,0.90659565
-0.002834549,0.0028389096,0.2789522,0.19434334,0.09341672,0.9065833
-0.002964338,0.0031052232,0.27962166,0.19508764,0.09390001,0.90610003
-0.0029457563,0.0030434728,0.27949926,0.19495893,0.093815774,0.9061842
-0.0029052251,0.0029442906,0.2792743,0.19471395,0.09365624,0.9063438
-0.0029800588,0.0025202632,0.27891397,0.1944871,0.093494646,0.90650535
-0.0029258633,0.002904117,0.27909428,0.19452427,0.09353241,0.9064676
-0.003112396,0.0027481318,0.2794215,0.19505535,0.09386342,0.9061366
-0.0030534917,0.0036175847,0.28019652,0.19560285,0.09424545,0.90575457
-0.0030343586,0.0031234622,0.27983668,0.19536602,0.094077654,0.90592235
-0.0030330622,0.003299892,0.27993986,0.19541691,0.09411613,0.9058839
-0.003035044,0.0027964711,0.2793775,0.19495097,0.093800105,0.9061999
-0.002998402,0.0029491782,0.27934775,0.19483845,0.0937337,0.90626633
-0.0029711628,0.0030196905,0.2794263,0.19489217,0.093771316,0.90622866
-0.0029469186,0.00316602,0.27959132,0.19501954,0.09385865,0.90614134
-0.0029298568,0.004400313,0.2810487,0.19624966,0.09469109,0.90530884
-0.0029728168,0.004047692,0.28104466,0.19640672,0.094779655,0.9052203
-0.0031616592,0.0044659376,0.2817966,0.19721428,0.095308624,0.9046914
-0.0031455809,0.003884375,0.28102905,0.19652717,0.094846904,0.90515304
-0.0033191645,0.0036866665,0.28099212,0.19663675,0.094906025,0.90509397
-0.0033094638,0.0037065744,0.28084493,0.19644856,0.09478561,0.90521437
-0.0034425461,0.0035315752,0.28094622,0.19669709,0.09493624,0.90506375
-0.0033870393,0.0035136342,0.28073606,0.1964296,0.09476487,0.9052352
-0.0033218616,0.003364861,0.2804861,0.19616395,0.09459076,0.9054093
-0.0032583678,0.0030226111,0.2799874,0.1956807,0.09427032,0.9057297
-0.0028992498,0.0027016401,0.2788387,0.19429043,0.09337649,0.90662354
-0.0028465444,0.0026388764,0.27877432,0.19421719,0.09332895,0.906671
-0.0027990395,0.0023921728,0.2784023,0.19385403,0.09308924,0.9069108
-0.002844503,0.0024760365,0.27853882,0.19400163,0.09318537,0.90681463
-0.002880206,0.002962172,0.27915987,0.19456004,0.0935586,0.90644145
-0.0028412992,0.0032419562,0.27950594,0.1948429,0.09375059,0.9062494
-0.0029501223,0.0034976602,0.28011906,0.19551587,0.094188616,0.9058114
-0.0030551606,0.0032082796,0.27998593,0.19551834,0.0941778,0.9058222
-0.0031260306,0.0031099916,0.27986428,0.19544274,0.09412388,0.90587616
-0.0032079571,0.003046751,0.27988464,0.19552694,0.094173655,0.9058264
-0.0031246596,0.0029293895,0.27953067,0.1951173,0.09390871,0.90609133
-0.003096869,0.0027635098,0.279318,0.19491921,0.0937768,0.9062232
-0.0031094456,0.0026752949,0.27923787,0.1948646,0.093738504,0.9062615
-0.003103798,0.0025066733,0.2790157,0.19466543,0.093605235,0.9063948
-0.0030026787,0.0021393895,0.27835456,0.19398367,0.093158506,0.9068415
-0.0027626508,0.002481401,0.27823097,0.19359906,0.092929505,0.9070705
-0.0027292871,0.002029717,0.2778619,0.19332802,0.09274218,0.9072578
-0.0026088262,0.0034242272,0.27913582,0.19423172,0.09337032,0.9066297
-0.0026522034,0.0038953424,0.28016922,0.19528961,0.094064526,0.90593547
-0.002887746,0.0037395358,0.280552,0.19590811,0.09445088,0.90554917
-0.0030321234,0.0038253665,0.28071594,0.19612952,0.09459202,0.905408
-0.0031633729,0.0039517283,0.28102252,0.19649939,0.09483065,0.90516937
-0.003335362,0.0036976337,0.2810299,0.1966843,0.09493654,0.90506345
-0.003331607,0.004511118,0.28183424,0.19731255,0.095368475,0.9046315
-0.0034404302,0.004547119,0.2823373,0.19794619,0.0957757,0.9042243
-0.0033829117,0.0042147636,0.28181326,0.1974305,0.095433444,0.9045666
-0.003398543,0.0048950315,0.28259414,0.19809338,0.09588346,0.9041165
-0.0031856352,0.0040543675,0.28133017,0.19683471,0.09504959,0.90495044
-0.003162136,0.003211081,0.2801922,0.1958084,0.09436147,0.9056385
-0.0031741315,0.0036633015,0.28052393,0.19602574,0.09451572,0.90548426
-0.0032092982,0.0034751296,0.28048378,0.19606909,0.094536535,0.90546346
-0.0031830424,0.0036379695,0.2805826,0.19610985,0.094568826,0.90543115
-0.0032462084,0.0040084124,0.2812139,0.19674005,0.094985224,0.90501475
-0.0031442845,0.0034331083,0.28040156,0.19596073,0.094467275,0.9055327
-0.0032659525,0.002509594,0.279476,0.19528128,0.09399658,0.9060035
-0.0031817758,0.0028358102,0.27938148,0.19500098,0.09382925,0.9061707
-0.0030504668,0.0018125772,0.2780589,0.19378302,0.09301785,0.9069822
-0.0029466653,0.0019438863,0.27785963,0.19344987,0.092811316,0.9071887
-0.0030598247,0.0015258193,0.27771336,0.19349083,0.09282102,0.907179
-0.0028587633,0.0014686584,0.27710614,0.19270808,0.09232324,0.90767676
-0.0027574354,0.0014625192,0.27700025,0.19254282,0.09222013,0.90777993
-0.0026961172,0.0007146001,0.27608714,0.19173206,0.091679364,0.90832067
-0.0024650597,0.0009174347,0.27569512,0.19109148,0.09128285,0.90871716
-0.0022851878,0.0017876625,0.27648813,0.19161077,0.09164734,0.9083527
-0.0025196874,0.0021023154,0.27765542,0.19296665,0.09251885,0.9074812
-0.002486875,0.0023708344,0.27782688,0.19304903,0.0925811,0.9074189
-0.0027770752,0.0022460818,0.27830124,0.19378349,0.09303994,0.90696007
-0.0028621012,0.0020267367,0.27799654,0.19354442,0.092877075,0.9071229
-0.0029856765,0.002645135,0.2788447,0.19435646,0.0934146,0.90658545
-0.003002932,0.0024991035,0.27881488,0.1943871,0.09342907,0.906571
-0.0029975527,0.00251019,0.27880064,0.1943634,0.09341435,0.90658563
-0.0031978393,0.0024007559,0.279102,0.19485049,0.09371803,0.906282
-0.0030634904,0.00254035,0.27887022,0.19446152,0.09347644,0.9065236
-0.002805283,0.0019860268,0.27781564,0.19332196,0.092734724,0.9072653
-0.0027638727,0.001940906,0.27769616,0.19318078,0.092644,0.907356
-0.0025693232,0.0024112463,0.27784446,0.19308782,0.092604876,0.9073951
-0.002740016,0.0023168921,0.27829954,0.19373757,0.093013786,0.90698624
-0.0028967762,0.0023724437,0.2785577,0.19408764,0.09323575,0.90676427
-0.0029054487,0.0020436049,0.27808902,0.1936657,0.09295416,0.90704584
-0.002858063,0.0025373101,0.27847242,0.19390355,0.09312394,0.906876
-0.0029224062,0.0020686388,0.27821916,0.19381756,0.09305194,0.90694803
-0.0031292045,0.0015709996,0.2779289,0.19375809,0.09299188,0.9070081
-0.002886107,0.002352655,0.27810374,0.19355072,0.09289083,0.9071092
-0.00284191,0.002171874,0.2781571,0.19366862,0.09296197,0.90703803
-0.0028136873,0.002258718,0.27821964,0.1936965,0.092983454,0.9070166
-0.0026004666,0.002235651,0.27777395,0.19308737,0.09259815,0.90740186
-0.0026508623,0.0024433732,0.27820757,0.19354028,0.09289377,0.9071062
-0.0026838982,0.0030657053,0.2790007,0.19424684,0.09336637,0.9066337
-0.0028379166,0.0032736063,0.2796699,0.19502412,0.09386824,0.90613174
-0.0028650367,0.0030178428,0.2793703,0.19478182,0.09370343,0.9062966
-0.0029974484,0.0036334991,0.28025034,0.19563718,0.094269685,0.9057303
-0.0032861137,0.0041160583,0.28148502,0.19703707,0.095179185,0.9048208
-0.003164118,0.0040020943,0.28107303,0.19653952,0.09485813,0.9051419
-0.0032456422,0.00396508,0.28123423,0.19678172,0.09501073,0.90498924
-0.0032784098,0.0040612817,0.2813642,0.1969117,0.095096745,0.9049033
-0.0031452382,0.0046696067,0.2818084,0.19713813,0.09526661,0.9047334
