mu1,mu2,sigma1,sigma2,pi1,pi2
-0.022026207,-0.0153440535,0.10304649,0.02446064,0.005884725,0.9941153
-0.022021826,-0.0153799355,0.10274917,0.024331657,0.0058430796,0.99415696
-0.021953907,-0.01479879,0.103199586,0.024510676,0.0059010778,0.9940989
-0.022288736,-0.013952404,0.10471952,0.025177922,0.006117393,0.99388266
-0.022105005,-0.013259679,0.1050286,0.025271405,0.0061493423,0.99385065
-0.02247503,-0.014009148,0.105129346,0.02537629,0.006181608,0.9938184
-0.022016909,-0.012509137,0.10555943,0.025467502,0.0062147984,0.9937852
-0.022191163,-0.013469368,0.10511146,0.025313215,0.0061631594,0.9938368
-0.022371199,-0.013454229,0.10540785,0.0254597,0.0062104994,0.9937895
-0.02213588,-0.014408976,0.10395541,0.024837501,0.0060071032,0.9939929
-0.022492286,-0.0144201815,0.10466416,0.025189476,0.0061199297,0.9938801
-0.02273735,-0.014979154,0.10459126,0.025211975,0.0061250567,0.99387497
-0.022629496,-0.015151173,0.104175545,0.025035134,0.0060669803,0.993933
-0.022216287,-0.014352709,0.10414174,0.024950992,0.0060420674,0.99395794
-0.022054281,-0.015006572,0.10334361,0.024600228,0.0059288465,0.9940712
-0.022186603,-0.014985949,0.10372458,0.024778293,0.0059860935,0.99401397
-0.021906998,-0.016045004,0.102111824,0.02408969,0.0057636457,0.9942364
-0.022247817,-0.01730743,0.101542756,0.023922171,0.0057072444,0.99429274
-0.021824744,-0.0165402,0.101307176,0.023763904,0.0056583206,0.9943417
-0.02175754,-0.01655534,0.101190045,0.023699148,0.0056384113,0.9943616
-0.022151198,-0.017159492,0.10148678,0.02388385,0.005695472,0.99430454
-0.021091398,-0.013152987,0.10307975,0.024332551,0.005847591,0.9941524
-0.021133687,-0.011984736,0.10453501,0.024889601,0.006031567,0.9939685
-0.021955844,-0.014054686,0.10422947,0.024888406,0.006027229,0.9939728
-0.021954414,-0.013353258,0.10446637,0.024966199,0.006053243,0.99394673
-0.021883633,-0.012239844,0.10540404,0.025341636,0.006176562,0.9938234
-0.022401568,-0.012391835,0.10629324,0.025788585,0.0063212793,0.99367875
-0.022829559,-0.011042148,0.10845163,0.026756205,0.0066411523,0.9933588
-0.023050513,-0.0112583935,0.108785786,0.026952896,0.006704726,0.99329525
-0.023037102,-0.010996252,0.109041646,0.027068555,0.0067430562,0.9932569
-0.023391452,-0.010584861,0.11034438,0.027695475,0.006952037,0.993048
-0.02279922,-0.012529761,0.10716993,0.026272453,0.0064762803,0.9935237
-0.022249665,-0.014087111,0.10452904,0.025101442,0.0060920594,0.9939079
-0.022495802,-0.014223486,0.104959406,0.025320066,0.006162333,0.99383765
-0.02250233,-0.015127093,0.10409393,0.024978455,0.0060495636,0.9939505
-0.02238902,-0.016322523,0.102672696,0.024395308,0.0058594644,0.99414057
-0.022224661,-0.016290098,0.10234642,0.024241433,0.005810248,0.99418974
-0.021845486,-0.015954286,0.10194495,0.024017263,0.0057401555,0.99425983
-0.0216549,-0.015337855,0.1022558,0.024102826,0.005769551,0.9942305
-0.021863844,-0.016142517,0.10200124,0.024034524,0.0057464316,0.9942536
-0.02244803,-0.017470866,0.10180612,0.024056291,0.005749601,0.9942504
-0.021475997,-0.015129477,0.10189541,0.023934316,0.0057156147,0.9942844
-0.021688636,-0.015924126,0.1017097,0.023880452,0.0056981463,0.9943018
-0.021690812,-0.0154283345,0.10220683,0.024075776,0.0057614106,0.9942386
-0.021414604,-0.013554364,0.103431985,0.024510494,0.0059047067,0.9940953
-0.022009905,-0.013561994,0.1047214,0.025120163,0.0061011817,0.9938988
-0.022645112,-0.014235884,0.105159886,0.025397265,0.006188669,0.9938113
-0.022366699,-0.01389423,0.10478769,0.02520855,0.0061274343,0.9938726
-0.022121962,-0.014115602,0.10413518,0.024910808,0.0060308552,0.9939692
-0.022565749,-0.014780313,0.10447156,0.02512738,0.006098851,0.99390113
-0.02291232,-0.013590723,0.10633681,0.02595836,0.0063703484,0.99362963
-0.022342857,-0.014103204,0.10466238,0.025179474,0.0061165025,0.9938835
-0.022598084,-0.01533857,0.10410226,0.02499907,0.006055677,0.99394435
-0.022293594,-0.015408069,0.103417344,0.024680976,0.0059529427,0.99404705
-0.021582928,-0.015737325,0.10166716,0.023861429,0.0056916475,0.9943084
-0.021637615,-0.016104847,0.101525284,0.02380749,0.0056745075,0.9943255
-0.021490809,-0.014460713,0.1027821,0.02427446,0.005826895,0.9941731
-0.021966334,-0.015567571,0.10271877,0.024323536,0.005840288,0.9941597
-0.022335913,-0.016641885,0.10219599,0.024171252,0.0057886494,0.9942114
-0.02206188,-0.0149993,0.10314175,0.02451497,0.0059010778,0.9940989
-0.022179838,-0.014611751,0.103827395,0.02480566,0.005995574,0.9940044
-0.022244599,-0.015323311,0.103367865,0.024637569,0.005940047,0.99406
-0.022022482,-0.013752848,0.104428865,0.0250268,0.0060687554,0.9939313
-0.022489276,-0.014760643,0.104496114,0.025131129,0.0061003487,0.99389964
-0.022304889,-0.015478164,0.10334094,0.024639882,0.0059402366,0.9940598
-0.022091504,-0.01540342,0.1029582,0.024454193,0.0058808126,0.99411917
-0.021464553,-0.015221149,0.10187948,0.023916582,0.0057107112,0.9942893
-0.022146042,-0.016268045,0.10236546,0.024218103,0.005804552,0.9941954
-0.022858407,-0.01675871,0.103185944,0.024671447,0.005946981,0.99405307
-0.022068974,-0.015551597,0.102641106,0.024334488,0.00584116,0.99415886
-0.022235718,-0.01659134,0.102099635,0.024139754,0.005777606,0.9942224
-0.021736678,-0.015239149,0.1024619,0.02420508,0.0058016605,0.9941983
-0.02215841,-0.017679483,0.10110489,0.023734776,0.0056474837,0.9943525
-0.022570278,-0.018431574,0.101096086,0.023809977,0.005668326,0.9943317
-0.022300866,-0.017989665,0.100857355,0.023681805,0.0056278636,0.9943721
-0.022011723,-0.01814428,0.10017585,0.023365226,0.005528187,0.9944718
-0.0210745,-0.017876059,0.09869353,0.022637554,0.005302202,0.9946978
-0.021322515,-0.017778069,0.09945006,0.022958798,0.005403714,0.9945963
-0.021620538,-0.016384512,0.10136789,0.023754792,0.005657033,0.994343
-0.021508511,-0.01678577,0.100681,0.023461439,0.0055636214,0.9944364
-0.02186456,-0.017161995,0.10094393,0.023618292,0.005612019,0.994388
-0.021392312,-0.01716271,0.09985257,0.023112088,0.0054526613,0.99454737
-0.021867123,-0.016757041,0.10120742,0.023715746,0.005643611,0.9943564
-0.02200615,-0.014656097,0.103486106,0.02464517,0.0059439316,0.9940561
-0.022256192,-0.014279991,0.10441735,0.02505815,0.006077854,0.9939222
-0.022188421,-0.013772279,0.104805544,0.025204968,0.006126467,0.9938735
-0.022230562,-0.015401632,0.10333141,0.024619795,0.005934489,0.9940655
-0.021929022,-0.014852315,0.10314957,0.024495494,0.0058957706,0.9941042
-0.022244927,-0.01583007,0.10289296,0.024446068,0.0058777775,0.9941222
-0.02214187,-0.015699774,0.10274325,0.024373392,0.0058544083,0.9941456
-0.021906193,-0.014210254,0.10370187,0.024714123,0.005967096,0.9940329
-0.021837171,-0.014365464,0.10352422,0.024624754,0.0059389407,0.99406105
-0.022306409,-0.014941603,0.10397217,0.024885,0.0060210647,0.993979
-0.022149589,-0.0149333775,0.10350512,0.024669664,0.0059515038,0.9940485
-0.022017922,-0.014640123,0.10353129,0.024660662,0.005949228,0.9940508
-0.022204902,-0.015553266,0.10306361,0.024506075,0.005897633,0.9941024
-0.022243258,-0.014966637,0.1036616,0.02475575,0.005978539,0.9940215
-0.022097435,-0.015185744,0.103161454,0.024531238,0.0059061768,0.99409384
-0.02208447,-0.014289051,0.10404074,0.024880052,0.006020343,0.9939797
-0.022403654,-0.01489225,0.10417912,0.024991063,0.0060547357,0.9939453
-0.021898326,-0.014758021,0.10321885,0.02452193,0.005904371,0.9940956
-0.02214184,-0.0161995,0.10236728,0.024221225,0.0058053117,0.9941947
-0.0221433,-0.015499383,0.102962136,0.024461491,0.005883049,0.99411696
-0.02201971,-0.0152620375,0.10294573,0.024433903,0.005874867,0.9941251
-0.021964725,-0.015556723,0.10259853,0.024285574,0.0058271214,0.9941729
-0.021733489,-0.014241606,0.103405,0.024564989,0.0059197056,0.9940803
-0.022153493,-0.015045792,0.10356036,0.024693586,0.005959442,0.99404055
-0.0222882,-0.015344292,0.10341821,0.024658248,0.0059469496,0.99405307
-0.0220997,-0.015515357,0.10284368,0.024405487,0.005865175,0.99413484
-0.022286888,-0.0154129565,0.10331581,0.024625795,0.005935741,0.9940643
-0.022053774,-0.01565376,0.10262174,0.02431267,0.005835085,0.99416494
-0.022215452,-0.015324265,0.10330819,0.024613602,0.005932096,0.9940679
-0.022345033,-0.015731722,0.10321466,0.024602167,0.0059273345,0.9940727
-0.021912243,-0.015065223,0.10295333,0.024425754,0.005872489,0.9941275
-0.022060867,-0.015646368,0.10277129,0.024372814,0.0058548027,0.9941452
-0.021637853,-0.01592353,0.10165268,0.023861395,0.005691596,0.9943084
-0.02168345,-0.01546064,0.102175824,0.024068587,0.0057587367,0.99424124
-0.021839526,-0.015112549,0.10282327,0.024348052,0.005848664,0.99415135
-0.021896955,-0.0148023665,0.10317784,0.024493868,0.005896,0.994104
-0.022177752,-0.014886647,0.103651345,0.02473081,0.005971507,0.9940285
-0.022294309,-0.015058905,0.10365147,0.024752356,0.0059776017,0.9940224
-0.022343244,-0.015026361,0.103774995,0.024816848,0.00599793,0.99400204
-0.022492822,-0.014817506,0.10429363,0.025054775,0.006074715,0.9939253
-0.022404667,-0.015582591,0.1034051,0.024687568,0.0059547797,0.9940452
-0.022259261,-0.015316278,0.10338905,0.024659775,0.005946439,0.99405354
-0.022132453,-0.015779883,0.102746256,0.02438157,0.0058567007,0.9941433
-0.021569308,-0.014997512,0.10238385,0.02414058,0.005782193,0.9942178
-0.021826472,-0.015888244,0.10215066,0.024083303,0.0057627,0.9942373
-0.021860149,-0.01621154,0.10180297,0.023947626,0.0057186964,0.9942813
-0.021880534,-0.015890032,0.10210148,0.024072556,0.00575868,0.99424136
-0.021615025,-0.014565021,0.1027871,0.024295412,0.0058328398,0.9941672
-0.021934863,-0.01470688,0.10337497,0.02457643,0.0059228777,0.99407715
-0.022189852,-0.014592558,0.10393305,0.024839196,0.0060072793,0.99399275
-0.022183742,-0.013766199,0.104696855,0.02514988,0.006108918,0.9938911
-0.022070255,-0.013184339,0.10505655,0.025274564,0.006150785,0.9938492
-0.022387888,-0.013618857,0.10534519,0.02544638,0.0062054754,0.99379456
-0.022059347,-0.013824493,0.104355946,0.024985088,0.0060559576,0.99394405
-0.022201803,-0.013778001,0.104758866,0.025175875,0.006117543,0.9938825
-0.02234235,-0.013547808,0.10523598,0.025391592,0.006187739,0.99381226
-0.022235867,-0.012889415,0.10567325,0.025553152,0.006241631,0.9937583
-0.022295859,-0.014028221,0.10472731,0.02518078,0.0061184857,0.9938815
-0.022258844,-0.013767272,0.104828306,0.025213262,0.006129427,0.9938706
-0.022312637,-0.013545781,0.10519891,0.025376823,0.0061827325,0.99381727
-0.022497084,-0.014272004,0.104888804,0.02528702,0.006151715,0.99384826
-0.022202041,-0.014288455,0.104210824,0.024965106,0.0060475855,0.99395245
-0.022002187,-0.013363153,0.104735225,0.025138048,0.006105963,0.99389404
-0.022333171,-0.014716774,0.104204156,0.024980526,0.006052294,0.99394774
-0.02244484,-0.015013486,0.10402424,0.024928426,0.0060342466,0.9939658
-0.022510674,-0.015456229,0.10372211,0.024829332,0.006000637,0.99399936
-0.022266712,-0.015778929,0.1028867,0.024457827,0.0058806287,0.9941194
-0.022249665,-0.015796572,0.1028833,0.024454558,0.0058796783,0.9941203
-0.022135433,-0.016128689,0.102400236,0.024246048,0.0058125323,0.9941875
-0.021968957,-0.016220242,0.10201393,0.02406607,0.0057552243,0.99424475
-0.022034522,-0.016066939,0.10232467,0.024199152,0.00579805,0.99420196
-0.022111114,-0.016894013,0.10169861,0.023965672,0.0057218885,0.99427813
-0.021592584,-0.017062813,0.10044343,0.023388386,0.005539095,0.99446094
-0.021402474,-0.015978009,0.10109624,0.023603272,0.005609859,0.9943902
-0.02191874,-0.016680747,0.1015516,0.023863113,0.005690827,0.9943092
-0.022227284,-0.016593605,0.10212156,0.024140434,0.0057783704,0.9942216
-0.021859493,-0.015514046,0.10235167,0.024175528,0.0057915975,0.99420846
-0.022147264,-0.01613453,0.10240211,0.024238866,0.0058107553,0.99418926
-0.022174176,-0.016216785,0.10238906,0.024245499,0.0058122757,0.9941877
-0.021586236,-0.014790326,0.10252467,0.024197068,0.005800412,0.99419963
-0.021699633,-0.014822274,0.102852985,0.024334919,0.0058454094,0.99415463
-0.02183744,-0.014073521,0.103867166,0.02475759,0.0059827203,0.9940173
-0.022144612,-0.014867455,0.10367338,0.024728574,0.0059714476,0.99402857
-0.02169716,-0.01445654,0.102976196,0.024368348,0.0058569703,0.99414307
-0.022119012,-0.01444605,0.103934295,0.02482581,0.006003476,0.9939965
-0.022380915,-0.013674051,0.10511429,0.02534252,0.0061716232,0.99382836
-0.022219565,-0.013617426,0.104878165,0.025227254,0.0061342185,0.9938658
-0.022522446,-0.013591677,0.105571225,0.025563683,0.0062430957,0.9937569
-0.022718307,-0.013409525,0.10615826,0.025844129,0.006334244,0.99366575
-0.022413846,-0.0142247975,0.104722835,0.025211556,0.006126952,0.993873
-0.022439566,-0.015173584,0.10388503,0.024881024,0.006018166,0.99398184
-0.02224904,-0.0155994,0.10308738,0.02453446,0.005905821,0.9940942
-0.022343423,-0.015588433,0.10331036,0.024641095,0.0059399265,0.9940601
-0.022128072,-0.016438037,0.102085374,0.024120374,0.0057718,0.99422824
-0.022257593,-0.016943723,0.10188093,0.024063881,0.00575254,0.99424744
-0.02195942,-0.016673714,0.10152153,0.023875326,0.005693221,0.9943068
-0.021773066,-0.016935378,0.1009452,0.02361408,0.0056105047,0.9943895
-0.021777268,-0.016992003,0.100950785,0.023616055,0.0056112474,0.99438876
-0.021936025,-0.01730302,0.100972295,0.02365104,0.0056215,0.9943785
-0.021586206,-0.01659146,0.100884415,0.02355845,0.0055938126,0.9944062
-0.021841045,-0.0167692,0.10125604,0.023739403,0.0056509716,0.99434906
-0.022012021,-0.017142922,0.10123413,0.023762945,0.00565724,0.9943428
-0.022011217,-0.01697138,0.101324275,0.023800591,0.005669129,0.9943309
-0.02179053,-0.01620844,0.10158399,0.023863956,0.005691056,0.99430895
-0.021946426,-0.015841395,0.10232701,0.024179548,0.0057925694,0.99420744
-0.022018578,-0.016251475,0.102123596,0.024113255,0.005770546,0.99422944
-0.022076901,-0.016747624,0.101730384,0.023969833,0.005723568,0.99427646
-0.021946605,-0.016528994,0.10161886,0.023904929,0.0057032704,0.9942967
-0.022039916,-0.016297251,0.102038145,0.024084078,0.005760771,0.9942392
-0.021866646,-0.01669839,0.1013346,0.02377874,0.005663162,0.99433684
-0.021998074,-0.016992837,0.101331845,0.023799716,0.0056691156,0.9943309
-0.021801826,-0.01581946,0.10202539,0.02404093,0.005748198,0.99425185
-0.021903154,-0.015667468,0.102429174,0.024211643,0.0058033606,0.99419665
-0.021834876,-0.01609829,0.10190627,0.023993885,0.0057332395,0.9942668
-0.022217926,-0.01736775,0.10143297,0.02387256,0.005691507,0.99430853
-0.02203926,-0.016756326,0.1015288,0.023886625,0.005696585,0.99430346
-0.022066202,-0.016350657,0.10196956,0.024061767,0.00575326,0.9942468
-0.021965202,-0.016276032,0.101913445,0.024023753,0.0057416256,0.9942584
-0.021950152,-0.01630941,0.10190881,0.024019664,0.0057404605,0.9942596
-0.021693345,-0.01569894,0.10198341,0.024004513,0.005737285,0.9942627
-0.02177551,-0.015313178,0.10255667,0.024238525,0.005813094,0.9941869
-0.021625128,-0.015434891,0.102133386,0.02404252,0.005750702,0.99424934
-0.021443274,-0.014857441,0.10225298,0.02405002,0.005754785,0.99424523
-0.021560129,-0.014591962,0.10272061,0.024244322,0.005817704,0.9941823
-0.022274759,-0.014243156,0.10443243,0.025041845,0.0060739922,0.993926
-0.022117581,-0.01293233,0.10524629,0.02534186,0.006173607,0.9938264
-0.022400584,-0.013196737,0.10569279,0.025580566,0.0062502115,0.99374974
-0.022021111,-0.011618644,0.10635555,0.025775034,0.0063175666,0.99368244
-0.022584107,-0.012489945,0.10685689,0.026083682,0.0064164093,0.9935836
-0.02275702,-0.013049394,0.106474996,0.025952606,0.006371707,0.99362826
-0.022719469,-0.013270527,0.106202066,0.02585215,0.006337429,0.9936626
-0.022567745,-0.013275057,0.10589446,0.025706872,0.0062898155,0.99371016
-0.022499349,-0.014184505,0.104919806,0.025301974,0.006156402,0.9938436
-0.02260762,-0.015375763,0.104022585,0.024966288,0.0060449345,0.9939551
-0.022499558,-0.0148718655,0.10426608,0.025053151,0.006073594,0.99392635
-0.02240559,-0.015974075,0.10305761,0.024553152,0.0059106746,0.99408937
-0.022412416,-0.016356379,0.10274809,0.02443711,0.0058724917,0.9941275
-0.021836665,-0.01735583,0.1006489,0.02351419,0.0055776103,0.9944224
-0.021931048,-0.01771,0.10054947,0.023488792,0.005569075,0.99443096
-0.021728244,-0.017216235,0.100616924,0.023483513,0.005568518,0.9944315
-0.022112872,-0.01825729,0.10043201,0.023472311,0.0055627488,0.9944373
-0.021719333,-0.017898232,0.09992003,0.023214305,0.005482019,0.994518
-0.021579739,-0.01767841,0.099852,0.023158187,0.0054653827,0.9945346
-0.021907445,-0.017833859,0.10042024,0.023431992,0.005551196,0.9944488
-0.021702077,-0.017483145,0.100307845,0.023357594,0.005528347,0.99447167
-0.021722164,-0.017190844,0.10061463,0.023475762,0.0055664266,0.9944336
-0.021999862,-0.017446548,0.10094635,0.023651272,0.0056211674,0.99437886
