mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.0015100241,0.0031931251,0.0057838336,0.6026374,0.43357542,0.21824695,0.20928547,0.23708424,0.5536303
-0.0008968562,0.0032442957,0.005472228,0.60276496,0.43349478,0.21819252,0.20920645,0.23696963,0.55382395
-0.002089411,0.003097102,0.0060381293,0.60243386,0.43321624,0.21760944,0.20907298,0.23695609,0.553971
-0.00092078745,0.003236875,0.0054798797,0.60275054,0.43344864,0.2181166,0.209177,0.23694737,0.5538757
-0.0011424571,0.003196314,0.0055739135,0.6026661,0.43327624,0.21781726,0.20907262,0.23687929,0.55404806
-0.0032627285,0.0029579848,0.0065996945,0.60211825,0.43299475,0.21711989,0.20897631,0.23697126,0.5540525
-0.0015331209,0.003169164,0.005777009,0.60259426,0.43337733,0.2179305,0.20915574,0.23697929,0.55386496
-0.0032866895,0.0029687434,0.006622672,0.6021354,0.43311393,0.21730515,0.20905596,0.23703884,0.55390525
-0.0023919344,0.003080234,0.00619895,0.6023855,0.43333235,0.21775691,0.20916232,0.23705412,0.5537836
-0.0011444986,0.0032175928,0.005592957,0.60270286,0.4334721,0.2181269,0.20920187,0.23698589,0.5538122
-0.0018195808,0.0031268448,0.005907133,0.6025026,0.43324673,0.21768975,0.20908168,0.23694149,0.5539769
-0.00072972476,0.0032546967,0.005384356,0.60279363,0.43344063,0.2181267,0.20916367,0.2369209,0.55391544
0.0012989789,0.0034696609,0.0043918565,0.6032955,0.43359143,0.21860829,0.20917754,0.23676851,0.55405396
-0.0009403825,0.003192529,0.0054538697,0.6026722,0.43306142,0.21750164,0.20892237,0.23673923,0.5543384
-0.0004697442,0.003262356,0.00524047,0.6028235,0.43327907,0.217902,0.20904613,0.23680316,0.55415076
-0.0019448549,0.0030905157,0.0059490353,0.6024316,0.4330274,0.21732824,0.20894226,0.23683673,0.554221
-0.0028185546,0.0030109435,0.006387368,0.60223824,0.43308118,0.21730916,0.20901458,0.23696691,0.5540185
-0.0024608672,0.0030605644,0.0062222034,0.60234696,0.4332143,0.21756208,0.20908734,0.23699793,0.5539147
-0.0018198043,0.0031326264,0.0059120506,0.6025127,0.43330014,0.21777417,0.20911692,0.23697051,0.5539126
-0.003497824,0.0029398054,0.006720409,0.60207176,0.43303803,0.21716014,0.20901474,0.23702191,0.55396336
-0.0022276342,0.003098175,0.006119013,0.6024272,0.43334997,0.21780443,0.209167,0.23704472,0.5537883
-0.00393939,0.0029019862,0.0069440007,0.6019784,0.4330878,0.2171861,0.20906617,0.23709998,0.55383384
-0.0018181801,0.0031667203,0.0059398115,0.602572,0.4336094,0.21826388,0.20932086,0.2371383,0.5535409
-0.00267376,0.003050372,0.0063368306,0.6023159,0.43331158,0.21769054,0.20916052,0.23707542,0.5537641
-0.0028367639,0.0030372888,0.006420046,0.60228276,0.43333733,0.21771175,0.20918433,0.23710823,0.5537074
-0.0039072633,0.0029187948,0.0069395155,0.6020095,0.43321192,0.21738598,0.20914671,0.23716377,0.55368954
-0.0031505972,0.0030145496,0.006582424,0.6022235,0.43341002,0.2177893,0.20924553,0.237184,0.5535705
-0.0033412874,0.0029901415,0.0066721737,0.60216916,0.43335772,0.21768384,0.20921908,0.23717764,0.55360335
-0.002214685,0.0031202286,0.00613001,0.60246617,0.4335391,0.21810518,0.20929122,0.23714593,0.5535629
-0.0037232488,0.0029341727,0.0068460107,0.6020478,0.43318787,0.21736994,0.20912312,0.23712945,0.5537475
-0.0029226094,0.0030402988,0.00647223,0.60228264,0.43344185,0.21786673,0.20925686,0.2371749,0.55356824
-0.004362583,0.0028706342,0.0071623027,0.6018972,0.433179,0.21727967,0.20914416,0.23719847,0.55365735
-0.0042643845,0.0029020458,0.0071320087,0.6019579,0.43337795,0.21760577,0.20927133,0.23729534,0.55343336
-0.004660204,0.002862081,0.007327296,0.60186356,0.43336645,0.21754034,0.20928036,0.23733479,0.55338484
-0.0030020326,0.0030537695,0.00652948,0.60230106,0.4336353,0.2181634,0.20938785,0.23728918,0.55332303
-0.002857849,0.0030495375,0.0064425617,0.60230273,0.4334679,0.21791562,0.20927131,0.23718159,0.55354714
-0.0032606572,0.0029980093,0.006632164,0.6021879,0.43335757,0.21769312,0.20921552,0.23716816,0.5536163
-0.00329265,0.002997771,0.006650448,0.6021854,0.43338382,0.21773088,0.20923422,0.23718616,0.5535796
-0.00225842,0.0031202883,0.0061554015,0.6024635,0.43357876,0.21816272,0.2093192,0.2371725,0.55350834
-0.0028963238,0.0030338615,0.0064516068,0.60227305,0.4333591,0.21773903,0.2092012,0.23712693,0.5536719
-0.0025451183,0.0030777901,0.006285444,0.6023717,0.43344682,0.2179197,0.20924427,0.23713401,0.55362177
-0.0028177649,0.0030400306,0.0064113736,0.6022889,0.43334594,0.21772763,0.20918922,0.2371107,0.5537001
-0.0043114126,0.0028720945,0.0071339607,0.601903,0.43314683,0.21723504,0.2091208,0.2371751,0.5537041
-0.0046423078,0.0028497726,0.007306531,0.6018433,0.43323818,0.21733986,0.209195,0.23726301,0.553542
-0.004613608,0.0028669387,0.00730443,0.601875,0.43336928,0.21755032,0.20928027,0.23733094,0.55338883
-0.0022235215,0.0031398982,0.0061516166,0.6024998,0.4337263,0.21840064,0.20941503,0.23724861,0.5533364
-0.0024491549,0.003086552,0.0062373206,0.602393,0.43344134,0.21792243,0.20923659,0.23711991,0.5536435
-0.0020967573,0.0031187683,0.00606063,0.6024711,0.43342075,0.21793197,0.20920818,0.23706804,0.5537238
-0.003255844,0.002987489,0.0066205114,0.60216993,0.43325728,0.21753521,0.20914921,0.23711315,0.5537377
-0.0031555146,0.0030102283,0.0065816417,0.6022158,0.4333754,0.21773395,0.20922291,0.23716575,0.55361134
-0.002230987,0.0031187087,0.0061381757,0.60246253,0.43353978,0.21810432,0.20929231,0.2371482,0.55355954
-0.0028360784,0.003039971,0.0064219087,0.60228753,0.4333614,0.21774988,0.20920019,0.23712122,0.5536786
-0.0020791441,0.0031223446,0.0060534477,0.60247844,0.4334374,0.21796039,0.20921841,0.23707506,0.5537066
-0.0024864227,0.003065154,0.0062409043,0.6023534,0.43327937,0.2176618,0.20913132,0.23703623,0.5538325
-0.0016483068,0.0031584948,0.005834654,0.60256845,0.43338275,0.21792544,0.20916423,0.23699561,0.55384016
-0.0031118542,0.0029915422,0.0065407157,0.602186,0.433166,0.2174081,0.20908289,0.2370469,0.5538702
-0.0018080324,0.0031527132,0.005922161,0.6025483,0.43347254,0.21804836,0.20923015,0.2370628,0.55370706
-0.0030746907,0.003001824,0.006527871,0.6022063,0.4332267,0.21750845,0.20912139,0.2370756,0.5538031
-0.0025256127,0.0030699223,0.006267555,0.6023592,0.43335763,0.2177809,0.2091846,0.23708329,0.55373216
-0.0031143874,0.003000185,0.006549418,0.60220087,0.43324673,0.21753535,0.20913623,0.23709103,0.55377275
-0.0032538623,0.0029922873,0.006623462,0.60217834,0.43329918,0.21760173,0.20917678,0.23713572,0.5536876
-0.0036021322,0.0029556006,0.0067940056,0.60209274,0.43327567,0.21752308,0.20917594,0.23716319,0.55366087
-0.0021801442,0.0031229109,0.006112337,0.602473,0.43353269,0.21809918,0.20928551,0.23713847,0.55357605
-0.0019319803,0.0031359345,0.0059797615,0.60251135,0.43343014,0.21796644,0.2092074,0.2370541,0.55373853
-0.002668634,0.003048107,0.0063319057,0.60231227,0.43328634,0.21765116,0.20914362,0.2370611,0.55379534
-0.002919376,0.0030229837,0.006455824,0.6022529,0.43328124,0.21761318,0.2091508,0.2370873,0.55376196
-0.0030765831,0.0030145496,0.006539628,0.6022282,0.43334422,0.217694,0.20919895,0.23713967,0.55366135
-0.0025272816,0.0030768663,0.0062743276,0.60237116,0.43342268,0.21788365,0.20922762,0.23711884,0.5536536
-0.0025500953,0.003069654,0.006281495,0.6023573,0.4333775,0.21780944,0.20919876,0.23709694,0.5537043
-0.0026049018,0.0030599385,0.006304994,0.6023368,0.43333724,0.21773922,0.20917448,0.23708136,0.55374414
-0.0035348237,0.0029544085,0.006754078,0.6020949,0.4332046,0.21741879,0.20912622,0.23711675,0.5537571
-0.0024166405,0.0030889958,0.0062205642,0.60239923,0.43343425,0.2179152,0.2092306,0.23711236,0.55365705
-0.00048696995,0.0033011585,0.005282983,0.6028897,0.43364778,0.21848398,0.20929009,0.23700535,0.55370456
-0.000755921,0.0032465905,0.0053926557,0.6027779,0.43339017,0.21804366,0.20913148,0.23689656,0.553972
-0.00067545474,0.0032477528,0.005347073,0.60278493,0.43332896,0.21795635,0.20908767,0.236854,0.5540584
-0.0017026514,0.003128454,0.005840823,0.60251284,0.4331575,0.21756268,0.20901792,0.2368795,0.5541026
-0.000721246,0.0032479614,0.0053738058,0.6027825,0.43337193,0.21801904,0.20911801,0.23688267,0.5539993
-0.00063076615,0.0032504946,0.005323544,0.60279256,0.43331406,0.21793813,0.20907596,0.23684074,0.55408335
0.00046411157,0.0033675581,0.004788786,0.60306525,0.43340498,0.21821295,0.2090898,0.23676372,0.5541465
-0.0020061731,0.0030732602,0.0059699863,0.6023977,0.43292496,0.21715924,0.2088773,0.23678815,0.5543346
-0.003018409,0.0029776543,0.0064749867,0.6021677,0.4329557,0.21708731,0.20894025,0.23692177,0.55413795
-0.0030076206,0.0030000359,0.0064875633,0.60220736,0.43315038,0.21739592,0.20906822,0.23702636,0.5539054
-0.0023886412,0.0030816644,0.0061981753,0.60238826,0.43334258,0.21777348,0.20916891,0.23705928,0.5537718
