mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.007373795,0.0056209564,0.018539464,0.016901726,0.04469914,0.34419212,0.64754087,0.27484953,0.07760957
0.0062244684,0.0063313544,0.01888243,0.016543929,0.04394314,0.34290662,0.64854544,0.2744029,0.0770517
0.0062743872,0.005720705,0.018465376,0.016676016,0.044228606,0.34341195,0.64816034,0.27459863,0.07724107
0.0044556707,0.011072665,0.02130649,0.0154669555,0.04159353,0.3386526,0.65174836,0.27285925,0.07539243
0.0043743104,0.009290308,0.020385718,0.015668403,0.042067822,0.3396004,0.6511948,0.2731318,0.07567345
0.0049196035,0.00870809,0.019948578,0.01596531,0.0426741,0.34072888,0.6502555,0.27356312,0.076181434
0.005388543,0.012893587,0.022080993,0.015679492,0.04190534,0.33920804,0.65085363,0.2732356,0.07591082
0.0062454194,0.0136270225,0.02259723,0.015628219,0.04182191,0.33883947,0.65104955,0.27316454,0.075785905
0.004511729,0.0124462545,0.021968221,0.01540065,0.04138681,0.33819366,0.65179324,0.27285418,0.07535255
0.0048729926,0.008863866,0.020099556,0.015828356,0.042422403,0.3401282,0.65069103,0.27341092,0.07589808
0.003846243,0.009715885,0.020385003,0.015655711,0.041988973,0.339509,0.65111566,0.2731818,0.0757026
0.005277291,0.013078392,0.022192216,0.015587857,0.04172598,0.33882514,0.651148,0.27311668,0.07573536
0.0059735626,0.016680896,0.02378956,0.015577809,0.041512884,0.33831623,0.65081644,0.27324948,0.07593407
0.0068686455,0.021266788,0.026330983,0.015070768,0.040366977,0.3358059,0.652284,0.27255785,0.07515815
0.004654959,0.020999402,0.026091313,0.01465789,0.039518878,0.33430755,0.6536067,0.27199143,0.07440187
0.0041461736,0.020683914,0.026006555,0.014558775,0.039328955,0.33394048,0.6539299,0.27186757,0.0742025
0.004163727,0.014719874,0.022869145,0.015098262,0.040697645,0.3366303,0.6525661,0.27258825,0.07484565
0.0016495138,0.016204208,0.02344886,0.0145194745,0.03940686,0.33448926,0.6544008,0.27166653,0.0739326
0.0027097613,0.01756233,0.02439103,0.014355666,0.039084163,0.33372915,0.6551062,0.27127194,0.07362191
0.00028832257,0.018324703,0.024988687,0.013635722,0.03757512,0.33099157,0.6577277,0.26996917,0.07230309
0.0009998232,0.014040351,0.022852039,0.014208492,0.038922597,0.33382308,0.65600103,0.27078107,0.073217936
0.0016101748,0.010389954,0.02148751,0.014487165,0.039678507,0.3353357,0.6553602,0.27108598,0.073553815
0.0036585182,0.0025570989,0.016894972,0.016359495,0.04370688,0.34309232,0.64950544,0.27386576,0.07662885
0.0068465024,0.006285727,0.01923195,0.016437508,0.04377827,0.34275922,0.6491474,0.2739836,0.07686902
0.006594971,0.0014784336,0.016715502,0.016980499,0.045070875,0.3451144,0.64773774,0.2747256,0.077536695
0.006437823,-0.0024540126,0.014603948,0.017460717,0.046201833,0.34716612,0.64655036,0.2753251,0.07812456
0.0052880794,0.00013282895,0.016039765,0.01685228,0.044849724,0.34491622,0.64817345,0.27453306,0.077293515
0.00736703,-0.003318429,0.014134204,0.017932007,0.04715219,0.3487787,0.6451818,0.27594477,0.07887343
0.0070409924,-0.0014207065,0.015116667,0.017550455,0.04632078,0.34732997,0.6461974,0.27546299,0.07833965
0.0067164153,0.00031775236,0.015899038,0.017349642,0.04581868,0.34648505,0.64662886,0.275247,0.07812422
0.0071664006,0.0014635324,0.016580379,0.01721162,0.045523793,0.3458417,0.6470119,0.27507234,0.07791582
0.0050075203,0.005862117,0.019027388,0.016083656,0.043059304,0.3415668,0.6501639,0.2735703,0.07626585
0.0072954744,-0.0005147755,0.015485918,0.017608695,0.046376593,0.3473394,0.6458807,0.27563256,0.07848676
0.0069777817,0.0008814335,0.016179537,0.017339012,0.04578108,0.3462896,0.64658505,0.27530488,0.07811013
0.00640364,0.0026803017,0.017057633,0.016970329,0.044965204,0.34487656,0.6475767,0.27483273,0.077590644
0.0059541315,0.005981326,0.01869998,0.016509,0.043884616,0.342951,0.6487507,0.2742528,0.076996505
0.0064067096,0.005661696,0.018668985,0.016500128,0.043923233,0.34289795,0.64886963,0.27421883,0.07691157
0.0054930896,0.005989015,0.018523669,0.016532315,0.043900385,0.3430253,0.6485946,0.27434447,0.07706094
0.0065886825,0.00921604,0.020522213,0.016143147,0.04305104,0.34120435,0.64972,0.2738018,0.07647815
0.005935386,0.008392334,0.019629514,0.016496692,0.043699533,0.34254074,0.6484396,0.27442437,0.07713609
0.0069300383,0.011639118,0.02172116,0.01589492,0.04247444,0.33995047,0.65036,0.27352408,0.07611595
0.004071519,0.009412289,0.020137465,0.015838198,0.04235095,0.34014902,0.6504701,0.27350765,0.076022275
0.005673513,0.012771636,0.022055125,0.015657881,0.041900814,0.33904535,0.6509568,0.2732349,0.075808324
0.00472115,0.014061838,0.022550499,0.015435283,0.04135984,0.33812943,0.65150857,0.27297252,0.075518906
0.005243644,0.01656875,0.024032688,0.015140107,0.040695433,0.33670288,0.6523803,0.27254915,0.07507053
0.004422173,0.011749744,0.021557009,0.0153405685,0.04133356,0.33800137,0.6521105,0.27274773,0.07514179
0.0017633587,0.015578955,0.023395872,0.014578362,0.039538864,0.334917,0.6542818,0.2716474,0.07407089
