mu1,mu2,sigma1,sigma2,pi1,pi2
0.0041705333,0.0243612,0.01533252,0.058162842,0.5575344,0.44246563
0.0031215511,0.023888342,0.015731882,0.05916335,0.55716217,0.44283783
0.00226992,0.019779198,0.015931552,0.059696678,0.5569074,0.4430926
0.00250512,0.022690542,0.015998773,0.05983537,0.5569324,0.44306758
0.0014820658,0.0204148,0.016384,0.060805082,0.55657405,0.44342598
0.0011097156,0.01519914,0.016396219,0.060881138,0.55649674,0.4435033
0.0010139905,0.018798023,0.016819375,0.061872683,0.5563359,0.44366407
0.0014137588,0.015610732,0.016433766,0.06096915,0.55654556,0.4434544
0.0014134012,0.017650314,0.01663646,0.06143704,0.55648756,0.4435125
0.0017436706,0.020934649,0.016538424,0.061170187,0.5565861,0.44341388
0.0014495812,0.019029252,0.016447175,0.060965925,0.5565571,0.44344285
0.002113875,0.022560954,0.016199622,0.06032653,0.55678594,0.44321412
0.0019897185,0.02678623,0.0162692,0.060462877,0.55672604,0.44327393
0.0012597404,0.020593137,0.016158514,0.060253646,0.55660504,0.443395
0.0017985068,0.022484668,0.01607157,0.060020216,0.5567527,0.4432473
0.00056796893,0.017040923,0.01659812,0.06136304,0.55630034,0.4436997
0.0010172687,0.015869364,0.016518388,0.06117667,0.556427,0.44357297
0.0006564222,0.016033076,0.016920386,0.062148217,0.55621666,0.44378337
0.00070184097,0.01757548,0.016982557,0.062281717,0.5562087,0.4437913
0.0005327426,0.013766743,0.016865466,0.06203155,0.55622053,0.44377947
0.00097345933,0.017342448,0.01689962,0.062074687,0.55631095,0.44368905
0.0008960925,0.01349771,0.016749581,0.061749857,0.55634254,0.4436575
0.0030711256,0.021797478,0.016020844,0.059888832,0.5570589,0.44294116
0.002321478,0.018620282,0.016138619,0.060212806,0.55685055,0.44314942
0.0026803575,0.018915184,0.01596147,0.059770916,0.5569958,0.44300416
0.0022719465,0.015850395,0.01611841,0.060186118,0.5568523,0.44314772
0.0023948513,0.017689757,0.016259106,0.060512792,0.5568302,0.44316977
0.0024216138,0.017306767,0.016215527,0.060410976,0.5568484,0.44315162
0.003131207,0.021010652,0.015958218,0.0597428,0.5570919,0.44290808
0.0019890629,0.015827447,0.016251722,0.06051275,0.5567475,0.44325253
0.002851721,0.019038357,0.016018867,0.059908062,0.5570163,0.44298366
0.0019081198,0.014284745,0.016335294,0.060730845,0.55670214,0.44329783
0.0030184947,0.016356766,0.015975256,0.059824128,0.5570681,0.44293192
0.0031077825,0.015608601,0.015973141,0.059826475,0.5570856,0.4429144
0.0036377273,0.02015999,0.015901847,0.05960732,0.55722517,0.44277486
0.0028698407,0.019238323,0.016091982,0.060085863,0.5569939,0.4430061
0.0027550422,0.01823581,0.016007204,0.059884705,0.5570047,0.4429953
0.0028498136,0.018299691,0.01597123,0.059795897,0.5570365,0.44296348
0.0037669502,0.022038303,0.015641224,0.05894859,0.5573422,0.44265786
0.003010925,0.019326948,0.015827427,0.05943741,0.5571107,0.4428893
0.0033707581,0.020690046,0.015705891,0.059123397,0.5572317,0.4427683
0.0026861988,0.018897362,0.01598107,0.059821803,0.55698484,0.44301513
0.002060648,0.014607184,0.016192952,0.06038083,0.5567813,0.44321874
0.0019296966,0.013675556,0.01642676,0.060958263,0.5566774,0.4433226
0.002668377,0.014947005,0.01622094,0.060442198,0.5569044,0.44309562
0.0035231672,0.021665506,0.016023641,0.059894543,0.5571555,0.4428445
0.0027646981,0.019974113,0.01607958,0.060050044,0.55697405,0.44302595
0.0025516711,0.020477526,0.016080787,0.060045756,0.5569354,0.4430646
0.0026646815,0.01806558,0.015882116,0.05958142,0.55702454,0.44297543
0.0029441677,0.018676646,0.01587121,0.059549224,0.55708545,0.44291458
0.0034946166,0.021526717,0.015735252,0.059190474,0.55724233,0.44275764
0.0031626187,0.019618995,0.015754389,0.059257075,0.5571627,0.44283727
0.002655562,0.020459652,0.016055912,0.059991352,0.5569523,0.44304773
0.0018182956,0.018164448,0.016351625,0.06073906,0.55667,0.44333002
0.0015918575,0.019655533,0.01652566,0.061148126,0.5565651,0.44343492
0.0018332563,0.01684396,0.016227433,0.060447678,0.5567166,0.4432834
0.002568122,0.020919874,0.016099516,0.06009401,0.55691916,0.44308087
0.0022966228,0.017628834,0.016061665,0.06003528,0.5568681,0.44313195
0.002134677,0.01859495,0.016268633,0.0605306,0.55676776,0.4432322
0.0017489754,0.016644962,0.016405934,0.06088578,0.5566362,0.44336382
0.0021156631,0.016986221,0.016281541,0.060575984,0.5567611,0.44323888
0.0019494258,0.015959233,0.016382074,0.060830545,0.5566925,0.4433075
0.002677437,0.020306222,0.016194806,0.06033098,0.55691206,0.4430879
0.002398666,0.020406835,0.016192518,0.060326766,0.556851,0.443149
0.0024569593,0.018932052,0.016006604,0.059882708,0.55693185,0.4430682
0.0021020733,0.017766587,0.016201643,0.060372196,0.5567889,0.4432111
0.0026950203,0.018345408,0.01598493,0.059835866,0.5569861,0.4430139
0.0025849305,0.019339293,0.016116913,0.060151763,0.556915,0.44308504
0.0025910102,0.019302972,0.016065992,0.060027696,0.5569332,0.4430668
0.0023037754,0.018733375,0.016169125,0.060285177,0.5568389,0.4431611
0.0018918477,0.01602783,0.016298708,0.060627062,0.55670846,0.44329157
0.0020887218,0.018800646,0.016395142,0.06083551,0.5567181,0.44328192
0.0028393827,0.024299905,0.016093457,0.060049303,0.5569753,0.44302475
0.0024942122,0.023157895,0.0159506,0.059711374,0.5569501,0.44304994
0.0020912848,0.022662774,0.016039114,0.05993358,0.5568354,0.4431646
0.00155228,0.01940909,0.016193597,0.06034618,0.55666125,0.44333875
0.001747068,0.021806888,0.016288282,0.060556754,0.55666596,0.44333404
0.0016315542,0.021738783,0.016296308,0.060581025,0.5566312,0.44336885
0.0015709959,0.024064742,0.016346207,0.06068119,0.55660194,0.4433981
0.0003761612,0.016654558,0.016596455,0.061361574,0.5562635,0.44373652
-0.00016034022,0.013592623,0.017023217,0.062417764,0.5560167,0.4439833
0.00032674894,0.014355689,0.017054673,0.062486116,0.55610645,0.44389358
0.0014128648,0.017533869,0.016675875,0.061538644,0.55646396,0.44353604
0.0013563,0.016463108,0.01661614,0.06140114,0.556478,0.443522
0.0015098415,0.016144708,0.016544884,0.061226733,0.55654275,0.44345728
0.001285132,0.015269212,0.016687328,0.06157952,0.5564498,0.4435503
0.00211614,0.018877871,0.01641334,0.060878217,0.5567193,0.44328073
0.002462741,0.020357624,0.016173555,0.06027975,0.556873,0.44312704
0.0031843148,0.021009617,0.015720766,0.059158344,0.5571859,0.4428141
0.0026575886,0.019489147,0.015928969,0.059687458,0.5569992,0.44300082
0.0024538003,0.021203257,0.016124772,0.060154963,0.55688345,0.44311652
0.0017650686,0.016802363,0.01625511,0.060517356,0.5566897,0.44331035
0.0023959242,0.019026041,0.01612462,0.060173698,0.556873,0.443127
0.0019916855,0.015590139,0.016241234,0.06049343,0.55674326,0.44325674
0.0016432963,0.011337601,0.016428687,0.060986523,0.55661386,0.4433861
0.0022318326,0.014683075,0.016507098,0.061142903,0.556715,0.44328502
0.0025378428,0.014982142,0.016349765,0.060756434,0.55683315,0.4431669
0.0030612908,0.01741442,0.016127668,0.060185492,0.55702966,0.44297034
0.0035582744,0.023058824,0.015949115,0.059695013,0.5571971,0.44280297
0.0033383332,0.025871642,0.015836375,0.059395723,0.55718493,0.44281504
0.0032383166,0.024526544,0.015538708,0.058674444,0.55726665,0.44273335
0.0028239451,0.023102932,0.01564482,0.058953807,0.55713516,0.44286484
0.0031959377,0.024263471,0.0155371865,0.05868178,0.55724007,0.44275996
0.0027112924,0.024187818,0.015769517,0.05926327,0.5570443,0.44295567
0.00086438283,0.016833127,0.01644699,0.0609958,0.5564167,0.44358337
0.0010779463,0.018849604,0.0166158,0.06138408,0.5564092,0.4435908
0.00016796216,0.014284991,0.016982574,0.06231629,0.5560919,0.44390807
2.8844923e-05,0.013311021,0.017186534,0.06281005,0.5560066,0.44399342
0.0010147057,0.016478263,0.016883317,0.062047258,0.5563174,0.44368264
0.001505252,0.015015528,0.016531767,0.061206806,0.5565433,0.44345677
0.0017092787,0.013813175,0.016477644,0.061081167,0.55661404,0.44338593
0.002379056,0.01747761,0.016382856,0.060814478,0.55678856,0.44321147
0.0025516711,0.017182253,0.016201574,0.06037491,0.55688626,0.4431138
0.0033334456,0.020239346,0.015868027,0.05952403,0.5571733,0.4428267
0.002974268,0.021327086,0.015985493,0.05980597,0.5570521,0.44294792
0.0031580292,0.021908566,0.015772805,0.059277877,0.5571638,0.4428362
0.0024514757,0.017847426,0.015935255,0.059717238,0.5569557,0.44304428
0.0026968084,0.019586086,0.015997898,0.059855502,0.556984,0.443016
0.0029563867,0.019728586,0.01587488,0.05955454,0.55707484,0.44292513
0.0020236336,0.013313375,0.016151672,0.060292892,0.5567853,0.44321477
0.00224429,0.016120382,0.016396027,0.06086057,0.5567533,0.44324672
0.0024005137,0.016177125,0.016322402,0.0606822,0.55680734,0.44319266
0.0021698438,0.01536236,0.01639312,0.06085838,0.5567432,0.44325683
0.0028433166,0.01990401,0.01620198,0.06034707,0.55695415,0.44304585
0.0032053553,0.022377953,0.015915362,0.05962296,0.5571267,0.4428733
0.0029314123,0.01920911,0.01576836,0.05928983,0.5571215,0.44287848
0.0029507838,0.020711094,0.015872953,0.059534393,0.5570879,0.44291207
0.0030125938,0.019358255,0.015781885,0.059326533,0.5571237,0.4428763
0.0032651983,0.01985754,0.015722325,0.059174206,0.5571984,0.4428016
0.0022953115,0.018312395,0.016195755,0.06035596,0.5568242,0.4431758
0.002274748,0.018599413,0.016219674,0.0604113,0.55681276,0.44318724
0.002187129,0.019897252,0.01628545,0.06055995,0.5567723,0.44322774
0.0015245639,0.017813377,0.016477581,0.061048806,0.5565667,0.44343328
0.0019271336,0.017923914,0.016284287,0.060574327,0.55672103,0.44327897
0.002588924,0.019052647,0.016026169,0.05993136,0.55694854,0.44305146
0.0021039806,0.016685903,0.016220525,0.06043086,0.5567774,0.4432226
0.0025606118,0.018438213,0.016129231,0.06018922,0.5569075,0.44309253
0.0022495948,0.017160118,0.016239949,0.060473137,0.5568023,0.4431977
0.002382394,0.01895506,0.016250893,0.060481396,0.55683,0.44316998
0.0022484623,0.018943861,0.01624978,0.060479756,0.55680096,0.44319907
0.002446171,0.02152834,0.01617343,0.060268577,0.55687004,0.44312996
0.0021831356,0.017792478,0.016057659,0.060020946,0.5568524,0.44314766
0.0024206005,0.017932586,0.016053589,0.060007337,0.55690736,0.4430926
0.002543684,0.018225461,0.01608937,0.06009498,0.5569149,0.44308507
0.0027163588,0.019930929,0.016073965,0.060041588,0.55695605,0.44304395
0.0023972355,0.02147042,0.016207565,0.060355723,0.5568417,0.44315836
0.0018085204,0.018072985,0.016256802,0.06050815,0.55670154,0.44329852
0.0015920959,0.016396657,0.016383575,0.060831066,0.55661684,0.4433832
0.0021829568,0.018748008,0.016275125,0.060545124,0.5567753,0.4432248
0.001986798,0.016219191,0.016274603,0.060568474,0.5567321,0.44326785
0.0025556646,0.015542604,0.016055724,0.060033977,0.55693495,0.44306508
0.0019887052,0.010337688,0.016326804,0.06074461,0.55672514,0.44327483
0.0026030503,0.013005324,0.016389834,0.06086886,0.55683964,0.44316033
0.0027001463,0.013052218,0.016385613,0.060857378,0.5568626,0.4431374
0.0041897856,0.026140183,0.015998987,0.059785202,0.55731815,0.44268182
0.0033208095,0.020206861,0.01569731,0.05910212,0.55723363,0.4427664
0.0034590326,0.021717288,0.015620197,0.058891393,0.55730325,0.44269675
0.003177639,0.018832669,0.015659487,0.05902271,0.55721396,0.44278607
0.0033546053,0.013873577,0.015533728,0.058755428,0.5572949,0.44270507
0.004032489,0.015440099,0.015581563,0.05885856,0.55742025,0.44257978
0.0044623576,0.021248825,0.015671719,0.059031766,0.55747247,0.4425276
0.0029792748,0.02141127,0.016176375,0.06027504,0.55698216,0.44301784
0.0019823872,0.019564807,0.016355451,0.060727723,0.55671823,0.4432818
0.0013434254,0.018037923,0.016545556,0.06120482,0.55652046,0.44347954
0.00329059,0.020828284,0.01564327,0.058965564,0.5572413,0.4427587
0.003050562,0.018044919,0.01571089,0.05916147,0.5571599,0.4428401
0.0037738644,0.020884044,0.0155749,0.0587988,0.5573587,0.44264132
0.0030420981,0.01642657,0.015789457,0.05937338,0.55712324,0.44287676
0.002188202,0.016974173,0.016389549,0.0608386,0.5567406,0.44325945
0.0014821254,0.01641269,0.016719846,0.06164816,0.556478,0.44352198
0.0019251071,0.017140202,0.01644325,0.06096608,0.5566717,0.4433283
0.0024425946,0.016273513,0.016122622,0.060188174,0.5568949,0.44310513
0.0030270778,0.017910138,0.015960867,0.05977442,0.5570756,0.4429244
0.0032925569,0.019185819,0.015874485,0.05955161,0.55715805,0.442842
0.0032282434,0.018586904,0.015836963,0.059464745,0.5571578,0.44284225
0.0030955635,0.020524412,0.015961079,0.05975282,0.55708647,0.44291353
0.0031591617,0.021077015,0.01583739,0.05944528,0.55713964,0.4428604
0.0024685226,0.02040112,0.016084945,0.060061708,0.5569065,0.44309348
0.0024235211,0.019751512,0.016037174,0.05995177,0.55691123,0.44308877
0.002463039,0.018383257,0.015988667,0.059845723,0.5569351,0.443065
0.0024774037,0.016686223,0.016019514,0.05993718,0.5569265,0.44307348
0.0021496378,0.01463794,0.016262135,0.06055052,0.55677384,0.44322613
0.0019904934,0.011606306,0.016393159,0.06089618,0.5567,0.44330007
0.0026414357,0.014158376,0.016346253,0.06075328,0.55685997,0.44314003
0.0025114976,0.013636656,0.016407678,0.06090677,0.55681425,0.44318572
0.0030818544,0.015643448,0.01617301,0.0603095,0.5570244,0.44297555
0.0038114153,0.02047813,0.01589025,0.059569255,0.55727863,0.44272134
0.004163917,0.02394285,0.015591756,0.0588023,0.5574558,0.4425442
0.003707584,0.020404689,0.015459679,0.058508676,0.55740446,0.4425955
0.0039344393,0.020743772,0.015400081,0.058357567,0.5574725,0.44252747
0.0040898286,0.022724323,0.015432699,0.05842656,0.5574812,0.4425188
0.0034563504,0.020628147,0.015609727,0.05888935,0.55727684,0.44272313
0.0030930005,0.02483432,0.01592225,0.05962395,0.55708843,0.44291157
0.0018375479,0.018766098,0.016141642,0.06022386,0.55674,0.44326004
0.0014512502,0.017426237,0.016390447,0.060840603,0.55658096,0.443419
0.0012091361,0.015527964,0.016579568,0.061320957,0.55646056,0.4435395
0.0020284615,0.019039154,0.016385501,0.060814265,0.5567001,0.4432999
0.0022368394,0.017236255,0.016155222,0.060268134,0.55682313,0.44317687
0.001682695,0.013828918,0.016404947,0.060906347,0.5566289,0.4433711
0.002063688,0.01675278,0.016485108,0.06107249,0.5566837,0.4433163
0.0019243918,0.013572603,0.01641618,0.06093451,0.5566778,0.44332224
0.0027233325,0.020619802,0.01633348,0.060662214,0.5568825,0.4431175
0.0031703673,0.019696452,0.015838042,0.059458584,0.55714315,0.44285685
0.0032213293,0.02263949,0.015845193,0.05944651,0.55715775,0.44284222
0.0030351244,0.024120502,0.015838087,0.059420977,0.5571111,0.4428889
0.002099868,0.019277975,0.015998958,0.059864506,0.55685365,0.44314638
0.0022876225,0.015109904,0.015887413,0.05962607,0.556935,0.44306496
0.0025654398,0.0141467005,0.016034871,0.059997745,0.55693954,0.4430605
0.00241011,0.015015133,0.01636616,0.06080182,0.55678976,0.4432103
0.0024982058,0.01529371,0.016344136,0.0607426,0.55682135,0.44317865
0.001566466,0.012192056,0.016712015,0.061662097,0.5565108,0.44348922
0.002353426,0.011229634,0.016350595,0.060785614,0.5568098,0.4431902
0.003074821,0.014592133,0.016248517,0.060501862,0.5570007,0.44299933
0.004145976,0.019528218,0.015808074,0.059374392,0.55737853,0.4426215
0.004621204,0.01864867,0.015339423,0.058218613,0.5576491,0.4423509
0.005060192,0.021951944,0.015208389,0.057860196,0.5577925,0.44220755
0.0042966567,0.021285035,0.015448223,0.05847073,0.5575331,0.44246697
0.0032674633,0.015382759,0.015690483,0.059126906,0.5572281,0.44277188
0.004319962,0.021480016,0.015536819,0.05868895,0.5575057,0.44249424
0.003923174,0.018694483,0.015530218,0.058704063,0.5574125,0.44258747
