mu1,mu2,sigma1,sigma2,pi1,pi2
-0.0073388442,0.76680255,0.022217691,0.557747,0.6145982,0.38540182
-0.0073425993,0.7687149,0.02198293,0.55748945,0.61516535,0.38483465
-0.007411085,0.76745313,0.02205426,0.55774266,0.61509824,0.3849018
-0.006245695,0.7824785,0.021145746,0.5556477,0.6161402,0.38385984
-0.0066362247,0.77964073,0.021332385,0.55566925,0.61591053,0.3840895
-0.0072939023,0.77283746,0.021421002,0.5573558,0.61653495,0.38346505
-0.0075954422,0.76851404,0.021015724,0.5600601,0.6184879,0.3815121
-0.0059346184,0.7800471,0.02111938,0.55743206,0.61646974,0.38353032
-0.006467782,0.779103,0.021020686,0.55713665,0.6170406,0.38295943
-0.0059997067,0.7826404,0.021464163,0.5550525,0.615007,0.38499302
-0.0074446425,0.77296805,0.0211558,0.5577809,0.6174747,0.3825253
-0.006981872,0.7733109,0.021014594,0.5589607,0.6178191,0.38218093
-0.008096062,0.76078856,0.020643193,0.5638619,0.620824,0.37917602
-0.005589269,0.77837217,0.020369023,0.56116956,0.61926496,0.38073504
-0.0058188066,0.7803556,0.020098329,0.56059986,0.6200814,0.3799186
-0.005526684,0.78306675,0.020137472,0.5597854,0.6195649,0.38043508
-0.0047464594,0.7902086,0.020760076,0.5558873,0.61638296,0.38361707
-0.0063318834,0.7837862,0.020157546,0.5578304,0.6195589,0.38044116
-0.0045210943,0.7986443,0.020185519,0.5542772,0.61731726,0.38268277
-0.0045644864,0.80657506,0.019778028,0.551815,0.617841,0.382159
-0.005373977,0.80029696,0.020279838,0.55170786,0.6168705,0.3831295
-0.004912637,0.8052072,0.020896116,0.5484443,0.61398387,0.38601613
-0.009130023,0.7647119,0.021854272,0.55647117,0.61632675,0.38367322
-0.007035218,0.77505106,0.022050448,0.5550742,0.6140289,0.3859712
-0.0074270293,0.7718531,0.0225945,0.5541555,0.61274904,0.387251
-0.0076819584,0.7700578,0.023031421,0.5533284,0.61160606,0.3883939
-0.008021794,0.770097,0.022563152,0.55402,0.6131493,0.3868507
-0.008537345,0.7604447,0.023296164,0.5554813,0.6120702,0.38792983
-0.008045815,0.76537853,0.02300187,0.5548989,0.6123244,0.38767555
-0.008516215,0.76163244,0.022703202,0.55660063,0.6138156,0.38618442
-0.0075276718,0.7687117,0.022678455,0.5552312,0.61286825,0.38713172
-0.00737115,0.7751038,0.021879565,0.554854,0.6146882,0.38531178
-0.008215062,0.76180434,0.022934318,0.5564361,0.6130112,0.38698882
-0.007925414,0.76460636,0.022716379,0.55626345,0.6133302,0.3866698
-0.007739447,0.76734746,0.022390043,0.5562588,0.6140272,0.38597283
-0.007836185,0.7672365,0.021903897,0.5575525,0.61565477,0.3843452
-0.0065943226,0.77668273,0.022064958,0.55499166,0.61377215,0.38622782
-0.008543633,0.7614175,0.021790793,0.5592402,0.61687547,0.3831246
-0.00626304,0.7779016,0.021720052,0.55606645,0.6147173,0.38528275
-0.008927308,0.7553005,0.02158324,0.5619632,0.6183961,0.3816039
-0.0050357804,0.7859024,0.021517674,0.555187,0.6142497,0.38575026
-0.007989787,0.7669163,0.021214046,0.55933076,0.61812717,0.38187286
-0.006193064,0.7783061,0.02113942,0.5577145,0.6166621,0.38333791
-0.0072326288,0.77120954,0.020807482,0.56002295,0.61887455,0.38112545
-0.0059074983,0.78069174,0.02069799,0.5584485,0.61787915,0.38212085
-0.00503733,0.79074526,0.021105884,0.55407256,0.6151255,0.38487452
-0.0074852332,0.7764394,0.020260056,0.5588528,0.62022084,0.37977913
-0.0058323964,0.78170854,0.020950977,0.55737317,0.61684006,0.38315997
-0.005569242,0.79011005,0.02049698,0.555281,0.6174024,0.38259768
-0.006644927,0.77771306,0.02154746,0.55586016,0.6154385,0.38456145
-0.0058993325,0.7904297,0.020555144,0.5544279,0.61717796,0.382822
-0.006558202,0.78157514,0.021340199,0.5549065,0.6156262,0.38437384
-0.006142281,0.7869762,0.021353794,0.5531502,0.6148448,0.3851552
-0.0070087537,0.7786239,0.022101533,0.55320704,0.61349005,0.38650995
-0.008490168,0.76502687,0.021945745,0.55724627,0.61588603,0.384114
-0.0067948923,0.77843934,0.021255722,0.5562704,0.6162777,0.38372234
-0.007807873,0.7643912,0.022303134,0.55773854,0.61468244,0.38531756
-0.006416999,0.7780214,0.022366483,0.55381894,0.6125966,0.38740343
-0.006985061,0.7785592,0.02239085,0.55243677,0.61255693,0.38744313
-0.00724604,0.778223,0.022480931,0.5519076,0.6123212,0.38767886
-0.009702824,0.75472903,0.022161163,0.5591659,0.61661285,0.38338718
-0.007989071,0.7606517,0.022016518,0.56004953,0.6160683,0.38393173
-0.0074535236,0.7654558,0.021593904,0.55996454,0.61685455,0.38314548
-0.006253384,0.7773993,0.02137007,0.557319,0.6159819,0.3840181
-0.007640861,0.76462054,0.02184241,0.5592435,0.6161972,0.3838028
-0.006577514,0.77301115,0.021866938,0.5572421,0.61492467,0.3850753
-0.006827973,0.7734767,0.021921212,0.55633974,0.61475223,0.38524774
-0.0056748018,0.7896066,0.02128836,0.55292624,0.6147172,0.38528278
-0.0043903217,0.8088773,0.021219954,0.5466761,0.6123696,0.38763043
-0.007158123,0.7925307,0.020803483,0.550408,0.6162199,0.38378012
-0.0077068433,0.7764286,0.022055868,0.5532037,0.6139409,0.38605914
-0.008241378,0.76751953,0.022510163,0.5549723,0.6136362,0.3863638
-0.0077844486,0.76835144,0.023080034,0.55383843,0.611637,0.38836303
-0.008160792,0.7670325,0.023063784,0.553791,0.61192375,0.3880763
-0.008830689,0.75807524,0.023606801,0.5552159,0.61142445,0.38857552
-0.0084943995,0.7600697,0.023599375,0.5549129,0.61115766,0.38884234
-0.009011678,0.754863,0.0235725,0.55640817,0.6119752,0.38802478
-0.00866469,0.7571238,0.023120334,0.55725044,0.6130589,0.3869411
-0.007712148,0.76908815,0.021806601,0.55723953,0.61571145,0.38428855
-0.007815264,0.76411426,0.022174824,0.5582627,0.6151257,0.38487428
-0.00706508,0.7700914,0.022316726,0.5564318,0.61383253,0.38616747
-0.007990204,0.7632065,0.022315282,0.55788994,0.61484605,0.38515392
-0.006755136,0.77495253,0.021916844,0.55590934,0.61452025,0.38547972
-0.008119665,0.7647856,0.021439344,0.55949455,0.61759293,0.3824071
-0.0062110648,0.77796763,0.021402523,0.5570445,0.615792,0.38420802
-0.006232463,0.7825083,0.021169722,0.55553705,0.616069,0.383931
-0.008277141,0.7642339,0.020853786,0.561276,0.6196946,0.3803054
-0.0064135417,0.77339137,0.020834675,0.5605467,0.61833644,0.38166353
-0.006350003,0.7744517,0.020925492,0.5597721,0.6179342,0.38206577
-0.007884704,0.7606398,0.02057201,0.5645132,0.62109697,0.37890306
-0.0059743747,0.7738327,0.019910457,0.56404316,0.6215548,0.3784452
-0.0047313794,0.7855059,0.019924995,0.56072396,0.61994314,0.38005686
-0.004758917,0.79245573,0.019383704,0.55921584,0.6211157,0.3788843
-0.0041983947,0.7975715,0.019930286,0.5560961,0.61838216,0.38161787
-0.0048874244,0.7993647,0.019397488,0.5557384,0.6202317,0.37976828
-0.0044874772,0.80539465,0.019008419,0.5550825,0.6208511,0.3791489
-0.005358778,0.7938551,0.019888232,0.55590135,0.6191004,0.38089958
-0.005726896,0.7910727,0.019857476,0.55664456,0.61959094,0.3804091
-0.0053971037,0.7935713,0.019841345,0.5561876,0.6192748,0.38072523
-0.005902849,0.784904,0.020980388,0.5556521,0.6163656,0.3836344
-0.006786965,0.7769865,0.021481501,0.5561586,0.6157613,0.3842387
-0.0065919384,0.7796551,0.02136324,0.5556617,0.6157951,0.3842049
-0.0074472055,0.77122664,0.021422436,0.5578034,0.6167558,0.3832442
-0.006356381,0.7807684,0.021005163,0.5566854,0.6168365,0.3831635
-0.006325744,0.78145725,0.021215076,0.5557526,0.61603713,0.38396284
-0.0070197806,0.7759421,0.02125475,0.5569237,0.6166814,0.38331863
-0.0066513047,0.77774924,0.021313895,0.55660576,0.6161914,0.38380858
-0.006554328,0.77834576,0.02162991,0.5555298,0.61504334,0.38495663
-0.006730102,0.7784713,0.021762257,0.55475515,0.6146134,0.3853866
-0.006717108,0.7810316,0.021570433,0.5541885,0.6149316,0.38506845
