mu1,mu2,sigma1,sigma2,pi1,pi2
0.0011597201,-0.02413296,0.35203448,0.5912425,0.70720565,0.29279435
-0.00024086982,-0.025396056,0.3517372,0.5916892,0.70712996,0.29287004
0.0016634166,-0.024248436,0.35157463,0.59080225,0.70757645,0.29242358
-0.0002867803,-0.025576733,0.35158896,0.59163547,0.70721155,0.29278848
-0.00028957427,-0.025798105,0.35137087,0.59152883,0.7073434,0.2926566
0.003463693,-0.023156002,0.3514285,0.5899683,0.7079937,0.29200634
0.0005060211,-0.025088638,0.3515315,0.5912712,0.7073912,0.29260883
0.003511645,-0.022950523,0.35159996,0.5900326,0.7078985,0.29210147
0.0021108463,-0.023801714,0.35171252,0.5906809,0.70757455,0.29242545
-0.00016992539,-0.025418326,0.35166645,0.59162414,0.70718586,0.29281417
0.00092577934,-0.024776801,0.35155427,0.59110457,0.7074541,0.2925459
-0.0007449314,-0.025891826,0.3515893,0.59182984,0.7071276,0.29287243
-0.004567221,-0.028798476,0.35131598,0.5933164,0.70659465,0.29340535
-0.0007985607,-0.02642224,0.351099,0.5916101,0.7074155,0.29258454
-0.0012657568,-0.026617266,0.35122478,0.5918703,0.70725375,0.29274628
0.00094988197,-0.025204107,0.3511132,0.5908765,0.7077262,0.29227388
0.002694279,-0.023761347,0.35135338,0.59025675,0.7078988,0.29210117
0.0019568652,-0.024179429,0.35144243,0.5906127,0.7077102,0.29228976
0.00074364245,-0.024981618,0.3514753,0.5911427,0.70746875,0.2925313
0.0037008747,-0.022877946,0.35154262,0.5899243,0.7079678,0.29203218
0.001743257,-0.024051294,0.35171604,0.59083825,0.7075053,0.2924947
0.004656628,-0.022005446,0.3517558,0.58962524,0.708013,0.291987
0.0015612915,-0.023822859,0.3520679,0.5910889,0.70725876,0.2927413
0.0026921183,-0.02325645,0.35185686,0.590506,0.7075932,0.29240677
0.0032161474,-0.022816293,0.3519358,0.5903232,0.70764107,0.29235893
0.005024202,-0.021554768,0.3519524,0.58956665,0.7079611,0.29203898
0.0037685707,-0.022327393,0.3520438,0.59014267,0.7076765,0.29232353
0.004003711,-0.022173002,0.35203633,0.5900395,0.7077239,0.29227605
0.0021909997,-0.023375146,0.352082,0.5908292,0.7073653,0.29263476
0.0045414865,-0.02192074,0.3519189,0.5897543,0.7078932,0.2921068
0.0034959167,-0.022459775,0.35209894,0.5902852,0.7075933,0.29240665
0.0057264715,-0.021009445,0.3520139,0.58930016,0.7080519,0.2919481
0.0059471577,-0.020587146,0.35228303,0.5893393,0.7079293,0.2920707
0.006601855,-0.020067677,0.35235146,0.5890963,0.7080074,0.29199263
0.003787607,-0.02195917,0.35239735,0.5903087,0.7074658,0.29253414
0.0032144412,-0.022580586,0.35217157,0.5904401,0.70749795,0.29250208
0.0039943457,-0.022085652,0.35212964,0.59008944,0.7076657,0.29233435
0.0041491836,-0.021957412,0.3521512,0.59003454,0.70768094,0.2923191
0.0024883747,-0.02305954,0.35219237,0.59075767,0.7073527,0.2926473
0.0033440515,-0.022654772,0.35200882,0.59030503,0.70762014,0.29237986
0.0028763413,-0.022944681,0.35204083,0.5905188,0.70751536,0.2924846
0.0031419843,-0.022876792,0.35192642,0.59035,0.7076332,0.29236677
0.0056748316,-0.021120086,0.35193917,0.58928514,0.7080877,0.2919123
0.0063433647,-0.020493805,0.3521044,0.589084,0.7081097,0.2918903
0.0064284652,-0.020232283,0.35230643,0.5891474,0.708003,0.29199702
0.0023234636,-0.023026526,0.3523383,0.5908994,0.70723414,0.29276586
0.002379924,-0.02326744,0.35205975,0.5907382,0.70741326,0.29258677
0.0018636435,-0.023713402,0.35196966,0.59091246,0.7073735,0.2926265
0.0039703697,-0.022262767,0.35196984,0.5900209,0.7077581,0.2922419
0.003949195,-0.022189356,0.35205743,0.59007293,0.70770127,0.2922988
0.0023301542,-0.023295991,0.35206535,0.5907621,0.7074007,0.2925993
0.003219977,-0.02279456,0.35195473,0.59033096,0.7076303,0.29236975
0.0018214732,-0.023837015,0.35187557,0.59088385,0.70742285,0.29257718
0.0022839308,-0.023657762,0.35173717,0.5906198,0.7075912,0.2924088
0.0007997751,-0.024723873,0.35169315,0.5912265,0.70734686,0.29265317
0.0034133568,-0.022886798,0.35173056,0.59013855,0.7078014,0.2921986
0.0013919622,-0.024154842,0.35185358,0.59105486,0.7073577,0.2926423
0.0034230351,-0.022823758,0.35178667,0.59016216,0.7077692,0.29223084
0.002537042,-0.023390494,0.3518297,0.5905583,0.7075814,0.29241866
0.0034158751,-0.022814363,0.3518009,0.5901722,0.70775926,0.29224077
0.003815025,-0.022420228,0.3519196,0.59006184,0.7077602,0.29223981
0.0043969825,-0.021976538,0.35196245,0.58983684,0.7078405,0.29215953
0.0020454153,-0.023520887,0.35203668,0.59086853,0.7073661,0.29263392
0.0014144629,-0.024117269,0.35187554,0.59105617,0.7073485,0.2926515
0.002803184,-0.023180246,0.35185653,0.5904588,0.70761365,0.29238632
0.0032606125,-0.022862531,0.3518593,0.59026664,0.70769554,0.29230452
0.0036599115,-0.02247978,0.3519666,0.5901506,0.7077034,0.2922966
0.0026250035,-0.023216233,0.3519428,0.5905769,0.7075289,0.29247114
0.0026031733,-0.023271352,0.35190293,0.59056634,0.70754904,0.29245093
0.0026592761,-0.02327466,0.35186118,0.5905221,0.7075846,0.29241544
0.004240364,-0.022182375,0.35186487,0.58985496,0.70787096,0.29212904
0.0023663566,-0.023407444,0.3519297,0.5906798,0.70748955,0.29251045
-0.0010710657,-0.025869586,0.3518347,0.59208935,0.706919,0.293081
-0.0007740781,-0.025917001,0.35158426,0.5918397,0.70712537,0.29287466
-0.00088600814,-0.026126891,0.3514522,0.59182185,0.70718503,0.292815
0.00083084404,-0.025019906,0.35137764,0.5910575,0.7075439,0.29245606
-0.0008414611,-0.026148722,0.35140005,0.59177715,0.70722485,0.29277515
-0.0011895597,-0.026496813,0.35129228,0.59187144,0.70722663,0.29277337
-0.0031879097,-0.027994014,0.35117173,0.5926594,0.70693463,0.2930654
0.00091059506,-0.025305845,0.35103905,0.59085643,0.70776397,0.29223603
0.002841957,-0.023784667,0.35122916,0.590133,0.7080011,0.29199895
0.0029219985,-0.02347771,0.35147947,0.5902226,0.7078639,0.29213604
0.0019979477,-0.02391395,0.35167822,0.5907118,0.7075748,0.29242527
0.0028159395,-0.023330972,0.3516979,0.59037524,0.7077122,0.29228786
0.0034957975,-0.022756152,0.35180405,0.5901399,0.70777196,0.29222807
