mu1,mu2,sigma1,sigma2,pi1,pi2
-0.045548737,0.006091733,0.2900457,0.025115602,0.10546019,0.89453983
-0.04501155,0.006314416,0.29050297,0.025279414,0.1057556,0.8942444
-0.044931203,0.0064165783,0.29050118,0.025290353,0.10577063,0.89422935
-0.042332083,0.0074792695,0.2927114,0.026104506,0.10722871,0.8927713
-0.04315485,0.0069709015,0.29212013,0.025871351,0.10681998,0.89318
-0.04298988,0.0073214364,0.292089,0.02588034,0.10685354,0.89314646
-0.040815145,0.009035248,0.2934659,0.026448047,0.10788235,0.8921176
-0.041608125,0.008361299,0.2929939,0.02624651,0.107474476,0.89252555
-0.041420117,0.008290011,0.2932288,0.026326654,0.10761917,0.89238083
-0.043560773,0.006782968,0.29177955,0.02574459,0.1065625,0.8934375
-0.04179278,0.0080340095,0.2929605,0.02622278,0.10746124,0.8925388
-0.041054875,0.008789618,0.29335302,0.026393509,0.10776779,0.8922322
-0.038293675,0.011179466,0.2949654,0.027093573,0.10902315,0.8909769
-0.037730336,0.011384685,0.29546988,0.027282776,0.109286256,0.89071375
-0.036594585,0.011824567,0.29641518,0.027658341,0.10991898,0.89008105
-0.037080154,0.011457581,0.29611325,0.027523348,0.10967795,0.890322
-0.0404184,0.008959133,0.29392114,0.026603037,0.108038396,0.89196163
-0.03819549,0.0102104135,0.2956291,0.027279815,0.10928291,0.8907171
-0.03929752,0.009114642,0.29508647,0.027023159,0.10881347,0.89118654
-0.038739726,0.0087554045,0.29590923,0.027302194,0.10931574,0.8906843
-0.04071951,0.0074988795,0.29447308,0.026724266,0.108334064,0.891666
-0.043899804,0.0051112366,0.292419,0.025877977,0.10682449,0.89317554
-0.045080334,0.005534847,0.2908496,0.025370983,0.10599801,0.894002
-0.046016708,0.0051608873,0.29010132,0.02508842,0.105445184,0.8945548
-0.0483011,0.003693242,0.2884837,0.024474157,0.10429544,0.89570457
-0.04966356,0.0027510715,0.28751972,0.024120584,0.10362777,0.8963722
-0.048088282,0.0036431146,0.2887147,0.024554579,0.10446004,0.89554
-0.050194576,0.0028066826,0.2869394,0.02392972,0.10329631,0.89670366
-0.04943718,0.003159721,0.28756386,0.024146874,0.10369654,0.8963035
-0.048173696,0.0041266275,0.288371,0.024457421,0.104291745,0.89570826
-0.048073217,0.004072745,0.28848752,0.024498416,0.10433963,0.89566034
-0.045364797,0.0054085446,0.29063374,0.025285415,0.10579121,0.8942088
