mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
-0.015605008,-0.0021177903,0.0038540326,0.032629903,0.23085767,0.026013983,0.32633805,0.07621825,0.5974437
-0.016102044,-0.003895484,0.0023043118,0.03257352,0.23100334,0.025962256,0.3260875,0.07606517,0.59784734
-0.015707215,-0.004542209,0.0009839498,0.032857914,0.23180604,0.026198624,0.3264332,0.07634361,0.59722316
-0.015442392,-0.0015158206,0.0048813783,0.032294087,0.22980887,0.025712539,0.3263217,0.07600875,0.5976696
-0.01633591,-0.0025391057,0.0047090016,0.032017533,0.22931814,0.025485167,0.3257128,0.07561476,0.5986725
-0.018331124,-0.00780455,0.0004483424,0.03174861,0.22949436,0.025246182,0.32476887,0.07503748,0.6001937
-0.017807154,-0.0053403005,0.003191229,0.03141614,0.22812003,0.024947496,0.32498828,0.07494331,0.60006845
-0.016277565,-0.0033026785,0.0035735331,0.032126702,0.22967209,0.025564667,0.32592252,0.07574091,0.5983366
-0.016214458,-0.0039819404,0.0023729764,0.032444462,0.23064373,0.025842253,0.3260695,0.075977765,0.5979528
-0.015303528,-0.0013355315,0.0045871697,0.032559037,0.23049755,0.025944976,0.3265091,0.07624461,0.59724635
-0.01565384,-0.0024983138,0.0034966432,0.032623604,0.23090011,0.026007613,0.32630336,0.07619468,0.59750193
-0.016421055,-0.0035106018,0.0033413135,0.032251567,0.23009706,0.02568477,0.3258184,0.07578045,0.5984012
-0.017516961,-0.005337268,0.0026253425,0.03176653,0.229111,0.025261449,0.32515132,0.075220115,0.59962857
-0.015981575,-0.0036844686,0.002595421,0.032456372,0.23061325,0.025852006,0.32615882,0.07601764,0.59782356
-0.01562537,-0.0046083927,0.0008072816,0.032889586,0.23188211,0.026222417,0.3265113,0.07638775,0.597101
-0.017121328,-0.005637966,0.0017454587,0.03195583,0.22959368,0.02541045,0.3255274,0.075456984,0.59901565
-0.016670702,-0.0045936033,0.0024105273,0.032087974,0.22976266,0.02552422,0.3258012,0.075651675,0.5985471
-0.01608899,-0.0038345456,0.0024074279,0.032446593,0.23058978,0.02583678,0.3262012,0.07602538,0.59777343
-0.016880421,-0.0067278445,-0.00044060126,0.03252999,0.23129617,0.025904069,0.32591864,0.075931795,0.59814954
-0.015451966,-0.006324552,-0.0020247735,0.033377428,0.23335275,0.0266221,0.3270101,0.07682984,0.5961601
-0.014175599,-0.0037717,-0.0003987588,0.033674642,0.23363735,0.026874391,0.32773998,0.07730601,0.594954
-0.014476923,-0.0058480203,-0.0029032268,0.033977907,0.23477362,0.027135413,0.32772946,0.07745145,0.59481907
-0.013937419,-0.004287131,-0.001640562,0.03403012,0.23460849,0.027175445,0.32806668,0.07762708,0.59430623
-0.013170553,-0.00249096,-0.00044191256,0.034284767,0.23495992,0.027401734,0.3284733,0.07795542,0.5935713
-0.013488328,-0.0020586476,0.0004909001,0.034085248,0.23442732,0.027238254,0.32820028,0.07775038,0.59404933
-0.013338847,-0.001048334,0.0015510283,0.03408087,0.23428208,0.027243981,0.32819894,0.07776691,0.59403414
-0.0132625755,-0.0020380318,6.6872686e-05,0.034404293,0.23529084,0.027528996,0.3282956,0.07797798,0.5937264
-0.012293188,-0.00020530075,0.001244422,0.034650948,0.23558053,0.027744357,0.32879442,0.07832957,0.5928761
-0.013103282,0.00019296259,0.0031862222,0.03390472,0.2336697,0.027106259,0.32805523,0.07762839,0.5943164
-0.014720274,-0.0012999848,0.0036528073,0.03306592,0.23182963,0.026388593,0.326922,0.076699965,0.5963781
-0.014738528,-0.0006062016,0.0046911202,0.032904144,0.23131296,0.026254209,0.32679668,0.07656852,0.5966348
-0.016570507,-0.0027179644,0.004698511,0.032004807,0.22935174,0.025481135,0.32555628,0.07555197,0.59889174
-0.017563669,-0.0047716573,0.0034947358,0.031667203,0.22879393,0.025185863,0.32499003,0.0751128,0.5998972
-0.016951328,-0.0026592314,0.005575057,0.03156458,0.2281424,0.025095485,0.32523564,0.07516643,0.599598
-0.017902805,-0.0061735734,0.0021948777,0.031645745,0.22895831,0.02516344,0.32483765,0.07502289,0.6001395
-0.017077228,-0.0047078207,0.0030119382,0.031825483,0.22913386,0.02530886,0.32538345,0.075342186,0.5992744
