mu1,mu2,mu3,sigma1,sigma2,sigma3,pi1,pi2,pi3
0.0024150005,-0.008958146,0.015143022,0.022572262,0.1523783,0.017451603,0.239167,0.048495453,0.71233755
0.0013835272,-0.0102301985,0.015262231,0.022118127,0.15110156,0.017070105,0.23803885,0.047934666,0.71402645
0.002850688,-0.0073392987,0.01672946,0.022424879,0.15174444,0.017328702,0.23902144,0.04841132,0.7125672
-0.00010891352,-0.009571463,0.01891981,0.020998212,0.14753817,0.016148748,0.23527606,0.046625026,0.7180989
2.7119182e-05,-0.010612436,0.016309366,0.021722302,0.14998147,0.016753722,0.23672527,0.047375713,0.715899
0.00419443,-0.006482899,0.014496669,0.023666274,0.15546589,0.018373746,0.24163923,0.049779404,0.7085814
0.005508817,-0.0009531528,0.021219715,0.022704856,0.15196119,0.017579015,0.24011707,0.048967566,0.7109154
0.0033192476,-0.0030777678,0.02164255,0.022086937,0.15041687,0.017088238,0.23793451,0.04801915,0.71404636
0.001557528,-0.005018018,0.021842822,0.0215793,0.14908563,0.016674029,0.23634006,0.047285937,0.71637404
-0.00091826264,-0.009400785,0.020337686,0.020895522,0.14736025,0.01610065,0.23431616,0.046306573,0.7193773
-0.0022976333,-0.012927666,0.018325314,0.02054014,0.14650923,0.015790228,0.23340566,0.045814052,0.72078025
-0.00397423,-0.018207744,0.014078483,0.020413127,0.14654551,0.015660813,0.23299149,0.045549966,0.72145855
-0.0019492367,-0.016602084,0.013224468,0.02093748,0.14795548,0.016070878,0.23498942,0.046382688,0.7186279
5.2711926e-05,-0.014396191,0.0126018375,0.02166463,0.14999638,0.016664436,0.23713005,0.047380045,0.7154899
0.0009894734,-0.010307364,0.016656026,0.021327829,0.14851178,0.016390322,0.23667802,0.047161434,0.7161606
-0.0014845887,-0.013880491,0.014599904,0.021169998,0.14847437,0.01626991,0.2355166,0.04671732,0.7177661
0.0026316857,-0.009199478,0.0129572,0.02323482,0.15439288,0.017989775,0.2407064,0.0492683,0.71002537
0.0050513363,-0.008068532,0.009764418,0.024877133,0.15912677,0.019362625,0.24435046,0.051125657,0.70452386
0.008904672,-0.001606062,0.012585983,0.025818275,0.16106902,0.02015666,0.24705684,0.052473437,0.70046973
0.0069493717,-0.007399887,0.0071754307,0.026209561,0.16288051,0.020488048,0.24704222,0.052554052,0.70040375
0.006796769,-0.008753352,0.0058994144,0.026160337,0.16279943,0.020422835,0.2472086,0.052548546,0.7002429
0.006520315,-0.007039346,0.009967551,0.024870811,0.15884578,0.019329136,0.24508224,0.051342476,0.7035753
0.0055795675,-0.006797485,0.011797532,0.024243616,0.15703832,0.018815046,0.24356624,0.050614327,0.7058194
0.0049164956,-0.0066668764,0.012520179,0.024104988,0.15667841,0.018711144,0.2430037,0.050393403,0.70660293
0.006699792,-0.0056336373,0.009964451,0.025601866,0.16094792,0.019974845,0.24603349,0.052007634,0.7019589
0.0071903383,-0.0055266917,0.009395942,0.025863733,0.16165665,0.020190522,0.24667364,0.05231658,0.7010098
0.0089747375,-0.0014088899,0.012749657,0.025812013,0.16103104,0.02015209,0.24705592,0.05247447,0.7004697
0.006982944,-0.0037881806,0.012854323,0.025058478,0.15920782,0.019530494,0.24502695,0.051482596,0.7034905
0.0080426475,-0.0031027496,0.011650309,0.02587053,0.16147052,0.020218603,0.24666347,0.052355815,0.7009807
0.0054057827,-0.006488085,0.012138709,0.024508243,0.15790443,0.019066187,0.24364398,0.050763026,0.70559305
0.003400593,-0.007753134,0.014651522,0.023050927,0.15367551,0.017842004,0.24049067,0.049130183,0.7103792
0.0029026037,-0.009390563,0.012848601,0.023263121,0.1545127,0.01801983,0.24071543,0.04927326,0.71001136
0.003981716,-0.008493602,0.012072906,0.023823855,0.15607227,0.018483547,0.24212645,0.049961958,0.7079116
0.004384733,-0.009393908,0.009907469,0.024362389,0.15774275,0.018927349,0.2432763,0.050536633,0.7061871
0.0048416695,-0.0076998323,0.011956438,0.024003463,0.1564552,0.018620832,0.2428609,0.050271757,0.70686734
0.0033290228,-0.010114625,0.010934576,0.023649089,0.15568446,0.018324787,0.2417644,0.04974997,0.7084856
0.0044013998,-0.01058583,0.007670149,0.024795925,0.159107,0.019277459,0.24420321,0.050997116,0.70479965
0.006457447,-0.0077397674,0.008236989,0.025414461,0.16052243,0.019787727,0.2459812,0.051857017,0.7021618
0.007881648,-0.0041835085,0.010940656,0.025466232,0.1602831,0.019839136,0.2463949,0.052068517,0.7015366
0.006623349,-0.0062553734,0.009568676,0.025454752,0.16055126,0.01984039,0.24586958,0.051878363,0.7022521
0.0069788536,-0.0074723065,0.006686315,0.026287438,0.16304658,0.020536058,0.24742292,0.052704833,0.6998723
0.008840038,-0.0034370571,0.009836778,0.0262455,0.16241874,0.020496964,0.24796632,0.05291292,0.6991208
0.009899496,0.0005316362,0.013908967,0.025929306,0.16113833,0.020251729,0.24750438,0.0527016,0.699794
0.007131248,-0.0028369874,0.013523802,0.025144393,0.15938844,0.019611184,0.24512464,0.05157473,0.7033006
0.00726734,-0.0025319532,0.013698682,0.025260221,0.1597053,0.019714039,0.24532177,0.0516871,0.7029912
0.00473263,-0.009331338,0.008473024,0.025149817,0.16013047,0.019608233,0.244496,0.051271323,0.7042327
0.004508189,-0.00896696,0.010701403,0.024155568,0.1570547,0.018749375,0.24302034,0.05036493,0.7066148
0.0046075275,-0.008352354,0.011826262,0.023814369,0.15595594,0.018461423,0.24243802,0.050046224,0.7075158
0.0062657064,-0.0051885247,0.012992606,0.02440468,0.15738511,0.018965323,0.24386345,0.050800916,0.7053356
0.004656351,-0.007749662,0.011652932,0.024206085,0.15713163,0.01880473,0.24297574,0.05040876,0.7066155
0.0027325219,-0.009290718,0.0131435245,0.023114378,0.15401818,0.017886944,0.24052958,0.0491522,0.7103182
0.003531321,-0.008036688,0.013413653,0.02339835,0.15474525,0.018126303,0.24125405,0.049519576,0.70922637
0.0052333614,-0.008376405,0.00908719,0.025065264,0.15971129,0.01952196,0.24469274,0.05130771,0.7039995
0.006620816,-0.00782989,0.007524118,0.025812805,0.16172975,0.020136254,0.24652855,0.05220323,0.7012682
0.008761263,-0.004584871,0.008775577,0.026304815,0.16270782,0.02054603,0.24801545,0.052928656,0.6990559
0.006187006,-0.006406784,0.011124596,0.024697913,0.15833813,0.01919895,0.24450773,0.05110919,0.7043831
0.0050500026,-0.007459916,0.011246905,0.024367658,0.15752792,0.018928245,0.24353635,0.05065557,0.70580804
0.004973865,-0.008255348,0.009810314,0.024727825,0.15868104,0.019229956,0.24415623,0.050995022,0.7048488
0.006090007,-0.0087405145,0.0067868084,0.025791159,0.1617709,0.020114468,0.24638273,0.052139718,0.7014775
0.008119768,-0.0044285655,0.009989008,0.025804676,0.16126972,0.020121645,0.24706809,0.052420527,0.7005114
0.009528889,-0.00033906102,0.01337336,0.025833303,0.1609533,0.020166878,0.24727553,0.052572966,0.7001515
0.007965683,-0.003963515,0.010012493,0.02622388,0.16256529,0.020512005,0.24726082,0.052691896,0.7000473
0.007102928,-0.003919691,0.012225494,0.025287686,0.15986633,0.019718384,0.2455432,0.051737774,0.7027191
0.006046525,-0.003771618,0.015020713,0.024181327,0.15664321,0.01879497,0.24323031,0.05053736,0.70623237
0.0049152663,-0.0057403147,0.013990626,0.024042858,0.15649566,0.018686282,0.24254845,0.050241653,0.70720994
0.006236448,-0.002626039,0.016429886,0.02408015,0.15626271,0.018722784,0.24295367,0.050425664,0.7066207
0.005125529,-0.004554905,0.015627965,0.023860628,0.15586813,0.018546918,0.24211031,0.050043788,0.7078459
0.004011615,-0.005049452,0.017403588,0.023019476,0.15339293,0.01784336,0.24025314,0.049091447,0.7106554
