mu1,mu2,sigma1,sigma2,pi1,pi2
0.010865195,-0.085848644,0.43709648,0.2654661,0.46781674,0.5321833
0.010789668,-0.085917965,0.43712938,0.26547468,0.46778342,0.53221655
0.010446614,-0.086118236,0.4373218,0.26558638,0.4676461,0.5323539
0.010344012,-0.08630444,0.43726698,0.26547194,0.4676564,0.5323436
0.010695731,-0.08618866,0.43704605,0.2653199,0.46780774,0.5321923
0.0104825925,-0.086329624,0.4370682,0.26535267,0.46780708,0.5321929
0.010187602,-0.08661865,0.43721232,0.2653312,0.46764117,0.5323589
0.010218596,-0.08651246,0.43726152,0.26538932,0.46761796,0.532382
0.010549245,-0.08616145,0.43721554,0.26545838,0.46768856,0.53231144
0.010547703,-0.08608736,0.43721625,0.26550144,0.46772143,0.5322786
0.010852,-0.0858648,0.43710598,0.26546657,0.4678058,0.5321942
0.010788029,-0.08603908,0.4370782,0.2653809,0.4677914,0.5322086
0.01049616,-0.08638637,0.4370942,0.26530868,0.4677511,0.532249
0.01041965,-0.086276904,0.4372639,0.26546133,0.46764225,0.53235775
0.010363324,-0.086183295,0.4373669,0.26560083,0.46760747,0.5323925
0.0100061875,-0.08671273,0.43732414,0.26538667,0.46755132,0.5324487
0.0100925695,-0.086635634,0.43733075,0.26539952,0.46754727,0.53245276
0.010279654,-0.08638121,0.43732136,0.26548016,0.46759632,0.53240365
0.0101556685,-0.08638246,0.4373736,0.26556817,0.4675912,0.53240883
0.009909062,-0.086317316,0.4376886,0.26587117,0.46741968,0.5325803
0.009902498,-0.08630745,0.43780068,0.26592612,0.46732503,0.532675
0.009771718,-0.086358115,0.4378443,0.26597577,0.4673102,0.5326898
0.009824341,-0.08626224,0.4379055,0.26604205,0.46727645,0.5327236
0.009759469,-0.086321816,0.43789572,0.2660191,0.46728498,0.532715
0.010061955,-0.08611615,0.43772772,0.26594153,0.46741655,0.5325835
0.010311989,-0.08590521,0.43760836,0.26591232,0.4675252,0.53247476
0.01064912,-0.08556618,0.43756688,0.26597428,0.46758386,0.5324161
0.010464115,-0.08565055,0.437648,0.26603326,0.4675419,0.53245807
0.010525545,-0.08578248,0.43745464,0.2658241,0.46764114,0.5323589
0.0107896235,-0.0857925,0.43720147,0.2655844,0.46777222,0.53222775
0.010859696,-0.08577241,0.43712595,0.2655292,0.46782494,0.5321751
0.011012545,-0.085957274,0.43693426,0.26529714,0.46790662,0.53209335
0.010820938,-0.086187676,0.4369483,0.26525223,0.4678748,0.5321252
0.010637118,-0.08637838,0.4369992,0.26522148,0.46781293,0.5321871
0.0106379,-0.08629952,0.43700248,0.265282,0.46783757,0.5321624
0.010308115,-0.08654304,0.4371792,0.26531315,0.46766338,0.53233665
0.01022931,-0.08670397,0.43714896,0.26524556,0.46766758,0.5323324
0.010167902,-0.08669658,0.4371901,0.2652877,0.46764517,0.53235483
0.010622872,-0.08611633,0.43712702,0.26541194,0.46776772,0.5322323
0.010939663,-0.08601661,0.4369522,0.26529628,0.46789077,0.53210926
0.010992175,-0.085863605,0.4370049,0.26538107,0.4678667,0.5321333
0.010749346,-0.08603002,0.43711194,0.26541102,0.46776983,0.53223014
0.010588428,-0.08626117,0.43711615,0.2653426,0.46773833,0.53226167
0.010588786,-0.086138085,0.43715885,0.26542524,0.4677369,0.5322631
0.010607032,-0.08629121,0.4370626,0.26530927,0.46778232,0.5322177
0.010458095,-0.086486295,0.4371005,0.26526052,0.46772078,0.53227925
