mu1,mu2,sigma1,sigma2,pi1,pi2
0.01399258,-0.0043554604,0.07488325,0.05888543,0.52388525,0.47611475
0.014115198,-0.00513418,0.07424326,0.058386233,0.52429616,0.47570384
0.013952868,-0.0042551756,0.07463863,0.058754914,0.5241749,0.4758251
0.014226617,-0.005994886,0.07235188,0.057112172,0.526023,0.47397706
0.014243895,-0.004542619,0.073619515,0.05802277,0.5251416,0.47485843
0.013813874,-0.0017937869,0.07663907,0.060256924,0.5229177,0.4770823
0.013579847,-0.0027419776,0.074727565,0.059051793,0.5245905,0.47540954
0.013906268,-0.0025072247,0.07334861,0.058132924,0.526106,0.47389397
0.014000384,-0.00325346,0.07231025,0.057395466,0.52696997,0.47303
0.014225261,-0.005214438,0.07124005,0.05649526,0.5274832,0.47251683
0.0143524315,-0.007138014,0.07088716,0.056071553,0.5272382,0.47276187
0.014583239,-0.008971259,0.07118583,0.05603303,0.5263043,0.47369567
0.014388399,-0.009144798,0.072468035,0.056855693,0.52486527,0.4751347
0.014288379,-0.007824242,0.07390109,0.05788129,0.5237729,0.47622713
0.014164044,-0.0072158277,0.07336161,0.05763895,0.52454764,0.47545233
0.014495632,-0.006290987,0.07332671,0.05761516,0.52487224,0.47512773
0.014019633,-0.0026174635,0.0767543,0.060192388,0.5225234,0.47747663
0.013825079,-0.0003901571,0.07941877,0.062096033,0.520589,0.47941098
0.013361005,0.0010322034,0.08058846,0.0630861,0.5199274,0.4800726
0.01373853,0.0013125539,0.08124139,0.063405246,0.51937103,0.48062894
0.013663249,-0.000117599964,0.08141258,0.06338747,0.51874286,0.48125714
0.013654584,-0.002190888,0.07951411,0.062024973,0.51991504,0.480085
0.013813334,-0.0020816475,0.07848284,0.061360613,0.5209656,0.4790344
0.01385905,-0.0013530254,0.07822737,0.06126235,0.5214562,0.47854388
0.013697779,0.0010866225,0.080473624,0.06292465,0.52004284,0.4799572
0.013605503,0.001003921,0.08090166,0.0632048,0.5196042,0.48039582
0.013373164,0.00111112,0.08056192,0.063074246,0.51997846,0.48002154
0.013639459,0.00051535666,0.079242505,0.06212985,0.5210658,0.4789342
0.013518682,0.0015598685,0.08026124,0.06289305,0.52041155,0.47958848
0.013754411,-0.0010188818,0.078220464,0.061319888,0.5215764,0.47842363
0.013903657,-0.003424719,0.07599505,0.059680823,0.5230417,0.4769583
0.014019193,-0.0030222982,0.07641743,0.059947036,0.5227352,0.47726488
0.013888074,-0.0024195313,0.077371806,0.060626417,0.5219671,0.47803286
0.013896959,-0.0020156503,0.07834917,0.06126188,0.5211169,0.47888306
0.013800008,-0.002672717,0.07784376,0.060915604,0.5214128,0.47858718
0.014019934,-0.0029753894,0.07744641,0.060582172,0.52170515,0.47829485
0.013934361,-0.0015636086,0.079462685,0.06197636,0.52015865,0.4798414
0.013687456,-0.000948593,0.08052242,0.06275431,0.51933223,0.48066783
0.013550034,-0.00019854307,0.080452554,0.062825695,0.5196504,0.48034957
0.013743797,0.0004133433,0.08040973,0.06280516,0.5198836,0.48011643
0.013693137,0.0011793822,0.08180048,0.06374635,0.5187921,0.4812079
0.01341301,0.000952363,0.08164416,0.063709125,0.51887965,0.48112038
0.013323849,0.0016339272,0.08072796,0.06324265,0.5199897,0.48001024
0.013648497,0.0013415366,0.079297684,0.062242825,0.5212802,0.47871974
0.013552392,0.0013856441,0.07926941,0.062257033,0.52132654,0.47867346
0.013884166,-1.3664365e-05,0.07933734,0.06206663,0.5207896,0.47921044
0.0137752835,-0.002838567,0.07803783,0.06102521,0.52116513,0.47883493
0.0138453785,-0.0032316595,0.07755119,0.060669832,0.5215232,0.47847682
0.013700334,-0.0015629083,0.078279175,0.06131799,0.5213426,0.4786574
0.013904611,-0.0015072227,0.077976875,0.061081108,0.5216549,0.47834513
0.014005447,-0.0032961667,0.076425016,0.059929363,0.5226387,0.47736135
0.013928732,-0.0025759488,0.07692861,0.060328286,0.5223634,0.47763655
0.013837231,-0.00027413666,0.07960752,0.062219586,0.5204405,0.47955948
0.013666647,-6.578863e-05,0.080891974,0.06307407,0.51926225,0.48073778
0.013457881,0.00042110682,0.08153752,0.063577324,0.51880693,0.4811931
0.013736593,-0.0014660805,0.07907251,0.061803207,0.52058387,0.4794161
0.013855694,-0.0014321208,0.07858275,0.06147331,0.521076,0.47892398
0.013857948,-0.00086301565,0.07925415,0.06193945,0.52059585,0.47940415
0.013765896,0.00013321638,0.08107268,0.0631758,0.5191482,0.4808518
0.013481228,7.355213e-05,0.081037484,0.063230164,0.51917464,0.4808254
0.013373168,0.0013143569,0.08067215,0.06316221,0.5199376,0.4800624
0.013624886,0.002356097,0.08108691,0.06344857,0.51986516,0.48013481
0.013561236,0.0005275309,0.079608835,0.062377986,0.520712,0.47928795
0.013655366,-0.0008958429,0.07775487,0.061073527,0.52208734,0.47791263
0.013810763,-0.0008943379,0.077452384,0.060844555,0.52238613,0.4776139
0.01359305,-0.0007265657,0.07725006,0.060796622,0.5226543,0.47734573
0.013767423,-0.0009456128,0.0767208,0.06040138,0.52311283,0.4768872
0.01380611,-0.0024519414,0.07526058,0.059347197,0.524121,0.47587904
0.0144449305,-0.0053731054,0.07387562,0.058050457,0.52459186,0.47540814
0.01425243,-0.006365925,0.075005285,0.058702577,0.5230922,0.47690782
0.013719337,-0.004317105,0.07665279,0.0600499,0.5220853,0.4779147
0.0136014465,-0.003464803,0.07431826,0.05872528,0.5247826,0.47521743
0.014278153,-0.0021933615,0.07376905,0.058323544,0.5257472,0.47425285
0.014038229,-0.0023963302,0.0745914,0.058876887,0.5248264,0.47517362
0.013783606,-0.0034611672,0.073746145,0.058323253,0.52537894,0.47462112
0.014139695,-0.0028599054,0.074891314,0.05899112,0.52435803,0.47564197
0.01381815,-0.0039825886,0.074801676,0.058917,0.52409905,0.47590092
0.013875427,-0.0036306083,0.07508264,0.059107732,0.5239188,0.47608116
0.01426472,-0.006857991,0.07219073,0.056924455,0.52591395,0.47408608
0.0146464985,-0.009626031,0.07003088,0.055247206,0.52736163,0.4726384
0.014486937,-0.008341849,0.071335934,0.056206435,0.5263493,0.4736507
0.014024826,-0.0030455291,0.076472655,0.05997719,0.5226709,0.47732905
0.013962628,-0.0031599998,0.077055685,0.060340866,0.5220427,0.47795728
0.013853623,-0.0035793483,0.07643385,0.059949268,0.52254367,0.47745636
0.013543611,-0.0007414669,0.07749716,0.060961023,0.52240187,0.47759816
0.014029281,-0.0019012988,0.0756456,0.05957618,0.52389276,0.47610727
0.013805924,-0.0020525008,0.07546992,0.059514146,0.5240343,0.4759657
0.014033863,-0.0022921413,0.07582522,0.059648477,0.5235801,0.47642
0.0139740575,-0.0031703115,0.076424174,0.0599494,0.52268183,0.4773182
0.013990549,-0.004099071,0.0766986,0.060024578,0.5220985,0.47790155
0.013883339,-0.0039899796,0.07699428,0.060245465,0.5218377,0.4781623
0.013971625,-0.0042422414,0.07604784,0.059617214,0.5227182,0.4772818
0.014171576,-0.0044396967,0.0752502,0.059054926,0.52346885,0.47653115
0.014112683,-0.003226459,0.076460525,0.059928488,0.5226207,0.47737935
0.013663916,-0.0005005747,0.07898649,0.06186583,0.5209868,0.47901326
0.013673866,1.0579824e-05,0.07921554,0.062053822,0.5209264,0.47907358
0.013504265,0.0012014955,0.08022686,0.0628403,0.52032876,0.47967124
0.013527798,0.00020335615,0.07882756,0.061875854,0.52137953,0.4786205
0.013687277,-0.0011126697,0.07678707,0.060448192,0.5229942,0.47700575
0.014055839,-0.002694413,0.07537117,0.059324898,0.523917,0.476083
0.013982067,-0.003551811,0.07521167,0.059165824,0.52380604,0.476194
0.013895357,-0.00319539,0.07573952,0.059547734,0.5233798,0.4766202
0.013959048,-0.0032821149,0.07581783,0.059570402,0.52326816,0.4767319
0.014094079,-0.0043373257,0.07532089,0.05912885,0.52343214,0.47656786
0.0139983725,-0.0042487383,0.0756254,0.059350062,0.52314997,0.47685
0.013987036,-0.0040045828,0.07551383,0.059307642,0.5233453,0.47665474
0.014063438,-0.0036575347,0.07558259,0.059361964,0.52338415,0.47661588
