mu1,mu2,sigma1,sigma2,pi1,pi2
0.0018429607,0.0077676754,0.45159882,0.38881704,0.25488657,0.74511343
0.0019309744,0.007908506,0.45155323,0.38877267,0.25483954,0.74516046
0.0021049082,0.00813712,0.45142746,0.38865867,0.25470552,0.7452945
0.0022441894,0.008147387,0.45164323,0.3889351,0.25489518,0.74510485
0.0019688308,0.007833121,0.45174214,0.38900065,0.2550126,0.7449874
0.002025187,0.008018998,0.45158267,0.38881537,0.2548628,0.7451372
0.0024127588,0.008359818,0.45162964,0.38893947,0.25487238,0.7451276
0.0021741912,0.008089809,0.4515718,0.38884625,0.25483105,0.7451689
0.002006553,0.007953314,0.45149982,0.38873652,0.25477663,0.74522334
0.0020073056,0.007905243,0.45158362,0.38883474,0.2548549,0.7451451
0.0018457249,0.00776474,0.45159042,0.38881,0.25487733,0.74512273
0.0019640848,0.007899089,0.45163286,0.38887045,0.2549116,0.74508846
0.0021156073,0.008069349,0.4516479,0.38890725,0.254916,0.745084
0.0021467805,0.008117614,0.45152813,0.38878402,0.25479576,0.7452042
0.0021136105,0.008131785,0.45139003,0.38862437,0.25466597,0.745334
0.0023206025,0.008297918,0.45149726,0.38877952,0.25475127,0.74524873
0.0022605956,0.008208988,0.45148468,0.3887629,0.25474063,0.7452594
0.0021090284,0.008054597,0.45144248,0.3886943,0.25471082,0.7452892
0.002096042,0.008128507,0.45129806,0.38852262,0.25457725,0.7454228
0.0022696778,0.008387564,0.4510417,0.38826594,0.25431642,0.7456836
0.0023485273,0.008420138,0.45101988,0.38826668,0.2542831,0.74571687
0.002193518,0.008314354,0.4508776,0.38808188,0.2541594,0.7458406
0.0022977963,0.008396504,0.45086262,0.38808864,0.25413343,0.7458666
0.0021431595,0.0081958305,0.45089263,0.38810423,0.25417128,0.74582875
0.0019775927,0.007992027,0.4509973,0.3881939,0.2542852,0.74571484
0.0018512979,0.007842002,0.45109224,0.3882769,0.2543879,0.74561214
0.0017565414,0.007804809,0.45104435,0.38819847,0.2543541,0.7456459
0.0018506572,0.007891474,0.45108432,0.3882574,0.25438538,0.74561465
0.0018553361,0.007817699,0.45132604,0.38852707,0.2546176,0.7453824
0.0018184781,0.0077450704,0.4515201,0.3887306,0.25481024,0.7451897
0.0018228069,0.007726116,0.45162827,0.38884917,0.2549154,0.7450846
0.0018832684,0.0077705216,0.45178854,0.38902953,0.2550685,0.7449315
0.0020118654,0.007938905,0.45177624,0.38902938,0.25504977,0.74495023
0.0021434128,0.008016912,0.45185444,0.3891446,0.25511104,0.74488896
0.0020526648,0.008003918,0.45171812,0.3889704,0.25499105,0.74500895
0.0022656322,0.008218853,0.45165423,0.38893905,0.2549098,0.7450902
0.0022755414,0.008204995,0.45167723,0.38896987,0.2549293,0.7450707
0.0022514984,0.008196218,0.45160127,0.3888834,0.2548572,0.7451428
0.0021679252,0.008007688,0.4517198,0.38901612,0.25497106,0.745029
0.0018168986,0.00767052,0.45173952,0.38897493,0.25502148,0.74497855
0.0018416643,0.0077696275,0.45164722,0.38886648,0.25493532,0.7450647
0.0019989312,0.007954715,0.45161507,0.38885316,0.2548932,0.74510676
0.002102442,0.0080364775,0.45167112,0.38893363,0.25493822,0.7450618
0.0020399392,0.007960899,0.45165014,0.38890424,0.25492105,0.7450789
0.002071321,0.008006601,0.4516849,0.38894245,0.2549546,0.7450454
0.0021822006,0.008088646,0.4517228,0.38900682,0.25498003,0.74502
0.0021279976,0.008042617,0.45170754,0.38898006,0.25497022,0.74502975
0.0022448897,0.008264406,0.45151767,0.38877884,0.2547825,0.7452175
0.0023935586,0.008391527,0.45137686,0.3886619,0.25462738,0.74537265
0.0021048337,0.007951243,0.4515858,0.38886467,0.25484335,0.74515665
0.0017596781,0.0077137034,0.45148826,0.38868162,0.25478637,0.7452136
0.0020611957,0.007979123,0.4515834,0.388839,0.25485232,0.7451477
0.0019196346,0.007823465,0.4516366,0.38887382,0.25491565,0.74508435
0.0019278675,0.007934464,0.45147344,0.38868263,0.25476333,0.74523664
0.0022072494,0.008186815,0.4515131,0.38877657,0.25477672,0.7452233
0.0021211877,0.008079363,0.45150372,0.38875726,0.25477222,0.74522775
0.0020395368,0.007908506,0.45166793,0.38893417,0.25493315,0.7450669
0.001933381,0.007774083,0.4518597,0.38912228,0.25513026,0.74486977
0.0020209253,0.007995693,0.45165256,0.38889164,0.25493088,0.7450691
0.0022118464,0.008185862,0.4515086,0.38877395,0.2547713,0.7452287
0.0021320656,0.008030979,0.45167542,0.38895082,0.25493613,0.7450639
0.0019795746,0.007879285,0.45165485,0.38890374,0.25492844,0.7450716
0.00194484,0.007882861,0.45160186,0.38883436,0.25488266,0.7451173
0.0021498576,0.008158399,0.45153752,0.38878602,0.25480905,0.745191
0.002368331,0.008320911,0.45156175,0.38886008,0.25480893,0.7451911
0.0021684095,0.008077113,0.4515952,0.38887116,0.25485414,0.7451459
0.0019967258,0.007976485,0.4514155,0.38863987,0.25469697,0.74530303
0.0021153018,0.008176742,0.4512439,0.38846305,0.25452477,0.74547523
0.0023320764,0.0082817655,0.45145014,0.38873854,0.2547003,0.74529976
0.002100505,0.008146731,0.4512404,0.3884603,0.25452083,0.74547917
0.0022989511,0.0083895605,0.4510694,0.38830572,0.25433865,0.7456613
0.002277337,0.008368624,0.45096657,0.38819495,0.25423795,0.74576205
