mu1,mu2,sigma1,sigma2,pi1,pi2
-0.025434837,-0.006116163,0.095728435,0.04020716,0.010118069,0.98988193
-0.025299713,-0.006122481,0.09587445,0.040297907,0.010148369,0.9898516
-0.025055751,-0.0057791583,0.09576255,0.040236253,0.0101235965,0.98987645
-0.025390968,-0.006170582,0.09607764,0.040412895,0.010193139,0.9898069
-0.026371881,-0.007272493,0.095941596,0.040314797,0.010167168,0.9898329
-0.02602677,-0.0069303624,0.095456876,0.040039513,0.010061707,0.9899383
-0.023678705,-0.004153561,0.095521204,0.040100712,0.010063104,0.9899369
-0.026370987,-0.007174026,0.095536284,0.040063586,0.010079344,0.9899207
-0.027294025,-0.008505773,0.09555819,0.040066257,0.010090502,0.9899095
-0.027568743,-0.008860361,0.09575382,0.040177137,0.010134913,0.9898651
-0.026927277,-0.00799663,0.09594875,0.04030256,0.010174388,0.98982567
-0.026330933,-0.007105302,0.096212305,0.04046871,0.0102273915,0.9897726
-0.024316117,-0.0050959103,0.096234865,0.040528286,0.010222681,0.9897773
-0.023648068,-0.004764568,0.0961744,0.040515255,0.010204739,0.98979527
-0.023084208,-0.0042017214,0.09622479,0.040557183,0.010213238,0.98978674
-0.024935588,-0.006492745,0.09633707,0.04059072,0.010243337,0.98975664
-0.024988934,-0.0063200705,0.09582779,0.040288642,0.010134104,0.98986584
-0.025362834,-0.006692838,0.09550722,0.040094364,0.010066339,0.98993367
-0.024303898,-0.005179774,0.09518823,0.039923172,0.009995497,0.9900045
-0.026181206,-0.0075864308,0.09521407,0.039908156,0.010006195,0.98999375
-0.024618134,-0.0059800856,0.09529965,0.03999116,0.010018191,0.98998183
-0.022900566,-0.004151594,0.09557995,0.040189266,0.01007191,0.98992807
-0.023594186,-0.0050423257,0.095704496,0.040250465,0.010100738,0.9898993
-0.02445291,-0.00592668,0.09569167,0.04022456,0.010101525,0.9898985
-0.02542089,-0.0068574063,0.09535147,0.0400051,0.010032388,0.9899676
-0.025068447,-0.0063457005,0.09529165,0.03997482,0.010018857,0.9899811
-0.024339244,-0.0052574985,0.09519419,0.039926752,0.009996701,0.99000335
-0.025553986,-0.006609332,0.09531771,0.0399745,0.010027758,0.98997223
-0.025991008,-0.0069487207,0.09508708,0.03982927,0.009980531,0.99001944
-0.025618121,-0.0065543167,0.09539526,0.04001546,0.010045416,0.9899546
-0.02483897,-0.005706381,0.095717244,0.040217843,0.010112049,0.98988795
-0.025468156,-0.00655235,0.09571858,0.04020935,0.010113868,0.98988616
